context: Hey, Aiko! response:	Don't open it!
context: Hey, Aiko!\Don't open it! response:	Eh?
context: Hey, Aiko!\Don't open it!\Eh? response:	Why not?
context: Hey, Aiko!\Don't open it!\Eh?\Why not? response:	Hey!
context: Hey, Aiko!\Don't open it!\Eh?\Why not?\Hey! response:	I'm opening now!
context: Hey, Aiko!\Don't open it!\Eh?\Why not?\Hey!\I'm opening now! response:	Still preparing?
context: Hey, Aiko!\Don't open it!\Eh?\Why not?\Hey!\I'm opening now!\Still preparing? response:	Yeah.
context: Hey, Aiko!\Don't open it!\Eh?\Why not?\Hey!\I'm opening now!\Still preparing?\Yeah. response:	I hurried cleaning up my house in order to see Ai-chan.
context: Don't open it!\Eh?\Why not?\Hey!\I'm opening now!\Still preparing?\Yeah.\I hurried cleaning up my house in order to see Ai-chan. response:	You don't need to force yourself to come...
context: Eh?\Why not?\Hey!\I'm opening now!\Still preparing?\Yeah.\I hurried cleaning up my house in order to see Ai-chan.\You don't need to force yourself to come... response:	Why do you say that?
context: Why not?\Hey!\I'm opening now!\Still preparing?\Yeah.\I hurried cleaning up my house in order to see Ai-chan.\You don't need to force yourself to come...\Why do you say that? response:	Just be honest about how happy you are!
context: Hey!\I'm opening now!\Still preparing?\Yeah.\I hurried cleaning up my house in order to see Ai-chan.\You don't need to force yourself to come...\Why do you say that?\Just be honest about how happy you are! response:	Here's something for ya.
context: I'm opening now!\Still preparing?\Yeah.\I hurried cleaning up my house in order to see Ai-chan.\You don't need to force yourself to come...\Why do you say that?\Just be honest about how happy you are!\Here's something for ya. response:	Hey! Isn't that...
context: Still preparing?\Yeah.\I hurried cleaning up my house in order to see Ai-chan.\You don't need to force yourself to come...\Why do you say that?\Just be honest about how happy you are!\Here's something for ya.\Hey! Isn't that... response:	My sweater?
context: Yeah.\I hurried cleaning up my house in order to see Ai-chan.\You don't need to force yourself to come...\Why do you say that?\Just be honest about how happy you are!\Here's something for ya.\Hey! Isn't that...\My sweater? response:	Y- Yeah...
context: I hurried cleaning up my house in order to see Ai-chan.\You don't need to force yourself to come...\Why do you say that?\Just be honest about how happy you are!\Here's something for ya.\Hey! Isn't that...\My sweater?\Y- Yeah... response:	Then let's check the size!
context: You don't need to force yourself to come...\Why do you say that?\Just be honest about how happy you are!\Here's something for ya.\Hey! Isn't that...\My sweater?\Y- Yeah...\Then let's check the size! response:	Come on, put it up against my shoulders,
context: Why do you say that?\Just be honest about how happy you are!\Here's something for ya.\Hey! Isn't that...\My sweater?\Y- Yeah...\Then let's check the size!\Come on, put it up against my shoulders, response:	I'm really looking forward to this.
context: Just be honest about how happy you are!\Here's something for ya.\Hey! Isn't that...\My sweater?\Y- Yeah...\Then let's check the size!\Come on, put it up against my shoulders,\I'm really looking forward to this. response:	Why must you act so spoiled?
context: Here's something for ya.\Hey! Isn't that...\My sweater?\Y- Yeah...\Then let's check the size!\Come on, put it up against my shoulders,\I'm really looking forward to this.\Why must you act so spoiled? response:	I'm really busy!
context: Hey! Isn't that...\My sweater?\Y- Yeah...\Then let's check the size!\Come on, put it up against my shoulders,\I'm really looking forward to this.\Why must you act so spoiled?\I'm really busy! response:	I need to open up the store,
context: My sweater?\Y- Yeah...\Then let's check the size!\Come on, put it up against my shoulders,\I'm really looking forward to this.\Why must you act so spoiled?\I'm really busy!\I need to open up the store, response:	and you guys are keeping me!
context: Y- Yeah...\Then let's check the size!\Come on, put it up against my shoulders,\I'm really looking forward to this.\Why must you act so spoiled?\I'm really busy!\I need to open up the store,\and you guys are keeping me! response:	Did you do something to make her angry?
context: Then let's check the size!\Come on, put it up against my shoulders,\I'm really looking forward to this.\Why must you act so spoiled?\I'm really busy!\I need to open up the store,\and you guys are keeping me!\Did you do something to make her angry? response:	I have no idea...
context: Come on, put it up against my shoulders,\I'm really looking forward to this.\Why must you act so spoiled?\I'm really busy!\I need to open up the store,\and you guys are keeping me!\Did you do something to make her angry?\I have no idea... response:	Hey, what were you doing during school breaks?
context: I'm really looking forward to this.\Why must you act so spoiled?\I'm really busy!\I need to open up the store,\and you guys are keeping me!\Did you do something to make her angry?\I have no idea...\Hey, what were you doing during school breaks? response:	Huh?
