context: Newspaper! response:	It's the latest issue of Youkai's newspaper!
context: Newspaper!\It's the latest issue of Youkai's newspaper! response:	The latest issue just came out not long ago.
context: Newspaper!\It's the latest issue of Youkai's newspaper!\The latest issue just came out not long ago. response:	Please read it.
context: Newspaper!\It's the latest issue of Youkai's newspaper!\The latest issue just came out not long ago.\Please read it. response:	Give me a copy please.
context: Newspaper!\It's the latest issue of Youkai's newspaper!\The latest issue just came out not long ago.\Please read it.\Give me a copy please. response:	Me too.
context: Newspaper!\It's the latest issue of Youkai's newspaper!\The latest issue just came out not long ago.\Please read it.\Give me a copy please.\Me too. response:	Strategy for final exams, eh?
context: Newspaper!\It's the latest issue of Youkai's newspaper!\The latest issue just came out not long ago.\Please read it.\Give me a copy please.\Me too.\Strategy for final exams, eh? response:	The latest issue gives a good feeling.
context: Newspaper!\It's the latest issue of Youkai's newspaper!\The latest issue just came out not long ago.\Please read it.\Give me a copy please.\Me too.\Strategy for final exams, eh?\The latest issue gives a good feeling. response:	Yeah, this is all thanks to everyone's effort.
context: It's the latest issue of Youkai's newspaper!\The latest issue just came out not long ago.\Please read it.\Give me a copy please.\Me too.\Strategy for final exams, eh?\The latest issue gives a good feeling.\Yeah, this is all thanks to everyone's effort. response:	Yay, all the newspaper are distributed!
context: The latest issue just came out not long ago.\Please read it.\Give me a copy please.\Me too.\Strategy for final exams, eh?\The latest issue gives a good feeling.\Yeah, this is all thanks to everyone's effort.\Yay, all the newspaper are distributed! response:	Yahoo, The news report critics are good this time too.
context: Please read it.\Give me a copy please.\Me too.\Strategy for final exams, eh?\The latest issue gives a good feeling.\Yeah, this is all thanks to everyone's effort.\Yay, all the newspaper are distributed!\Yahoo, The news report critics are good this time too. response:	Hey, how about we hold a celebration?
context: Give me a copy please.\Me too.\Strategy for final exams, eh?\The latest issue gives a good feeling.\Yeah, this is all thanks to everyone's effort.\Yay, all the newspaper are distributed!\Yahoo, The news report critics are good this time too.\Hey, how about we hold a celebration? response:	Like bring some snacks and such.
context: Me too.\Strategy for final exams, eh?\The latest issue gives a good feeling.\Yeah, this is all thanks to everyone's effort.\Yay, all the newspaper are distributed!\Yahoo, The news report critics are good this time too.\Hey, how about we hold a celebration?\Like bring some snacks and such. response:	That's a great idea, Moka-san.
context: Strategy for final exams, eh?\The latest issue gives a good feeling.\Yeah, this is all thanks to everyone's effort.\Yay, all the newspaper are distributed!\Yahoo, The news report critics are good this time too.\Hey, how about we hold a celebration?\Like bring some snacks and such.\That's a great idea, Moka-san. response:	Agreed!
context: The latest issue gives a good feeling.\Yeah, this is all thanks to everyone's effort.\Yay, all the newspaper are distributed!\Yahoo, The news report critics are good this time too.\Hey, how about we hold a celebration?\Like bring some snacks and such.\That's a great idea, Moka-san.\Agreed! response:	Huh? Where's Gin-senpai?
context: Yeah, this is all thanks to everyone's effort.\Yay, all the newspaper are distributed!\Yahoo, The news report critics are good this time too.\Hey, how about we hold a celebration?\Like bring some snacks and such.\That's a great idea, Moka-san.\Agreed!\Huh? Where's Gin-senpai? response:	He was over here just now...
