context: Between catching a cold and trying to help Sota with his first girlfriend, response:	I used up a lot of time.
context: Between catching a cold and trying to help Sota with his first girlfriend,\I used up a lot of time. response:	But at last, I've returned to the Feudal Era with Inuyasha.
context: Between catching a cold and trying to help Sota with his first girlfriend,\I used up a lot of time.\But at last, I've returned to the Feudal Era with Inuyasha. response:	So long, Sota.
context: Between catching a cold and trying to help Sota with his first girlfriend,\I used up a lot of time.\But at last, I've returned to the Feudal Era with Inuyasha.\So long, Sota. response:	Awright, let's go Kagome!
context: Between catching a cold and trying to help Sota with his first girlfriend,\I used up a lot of time.\But at last, I've returned to the Feudal Era with Inuyasha.\So long, Sota.\Awright, let's go Kagome! response:	Now we can get back to tracking Naraku's whereabouts.
context: Between catching a cold and trying to help Sota with his first girlfriend,\I used up a lot of time.\But at last, I've returned to the Feudal Era with Inuyasha.\So long, Sota.\Awright, let's go Kagome!\Now we can get back to tracking Naraku's whereabouts. response:	Though we sure wasted a lot of time on stupid things.
context: Between catching a cold and trying to help Sota with his first girlfriend,\I used up a lot of time.\But at last, I've returned to the Feudal Era with Inuyasha.\So long, Sota.\Awright, let's go Kagome!\Now we can get back to tracking Naraku's whereabouts.\Though we sure wasted a lot of time on stupid things. response:	Well, excuse me!
context: Between catching a cold and trying to help Sota with his first girlfriend,\I used up a lot of time.\But at last, I've returned to the Feudal Era with Inuyasha.\So long, Sota.\Awright, let's go Kagome!\Now we can get back to tracking Naraku's whereabouts.\Though we sure wasted a lot of time on stupid things.\Well, excuse me! response:	My illness certainly was stupid!
context: I used up a lot of time.\But at last, I've returned to the Feudal Era with Inuyasha.\So long, Sota.\Awright, let's go Kagome!\Now we can get back to tracking Naraku's whereabouts.\Though we sure wasted a lot of time on stupid things.\Well, excuse me!\My illness certainly was stupid! response:	Such a fool... He's digging his own grave again.
context: But at last, I've returned to the Feudal Era with Inuyasha.\So long, Sota.\Awright, let's go Kagome!\Now we can get back to tracking Naraku's whereabouts.\Though we sure wasted a lot of time on stupid things.\Well, excuse me!\My illness certainly was stupid!\Such a fool... He's digging his own grave again. response:	Yeah, he's so dumb.
context: So long, Sota.\Awright, let's go Kagome!\Now we can get back to tracking Naraku's whereabouts.\Though we sure wasted a lot of time on stupid things.\Well, excuse me!\My illness certainly was stupid!\Such a fool... He's digging his own grave again.\Yeah, he's so dumb. response:	It can't be helped.
context: Awright, let's go Kagome!\Now we can get back to tracking Naraku's whereabouts.\Though we sure wasted a lot of time on stupid things.\Well, excuse me!\My illness certainly was stupid!\Such a fool... He's digging his own grave again.\Yeah, he's so dumb.\It can't be helped. response:	So Naraku disappeared in the direction of the Ox-Tiger.
context: Now we can get back to tracking Naraku's whereabouts.\Though we sure wasted a lot of time on stupid things.\Well, excuse me!\My illness certainly was stupid!\Such a fool... He's digging his own grave again.\Yeah, he's so dumb.\It can't be helped.\So Naraku disappeared in the direction of the Ox-Tiger. response:	The way I see it, it's in that direction.
context: Though we sure wasted a lot of time on stupid things.\Well, excuse me!\My illness certainly was stupid!\Such a fool... He's digging his own grave again.\Yeah, he's so dumb.\It can't be helped.\So Naraku disappeared in the direction of the Ox-Tiger.\The way I see it, it's in that direction. response:	Yeah! No time to dally!
context: Well, excuse me!\My illness certainly was stupid!\Such a fool... He's digging his own grave again.\Yeah, he's so dumb.\It can't be helped.\So Naraku disappeared in the direction of the Ox-Tiger.\The way I see it, it's in that direction.\Yeah! No time to dally! response:	Let's go!
context: My illness certainly was stupid!\Such a fool... He's digging his own grave again.\Yeah, he's so dumb.\It can't be helped.\So Naraku disappeared in the direction of the Ox-Tiger.\The way I see it, it's in that direction.\Yeah! No time to dally!\Let's go! response:	Naraku! Just you wait!
context: Such a fool... He's digging his own grave again.\Yeah, he's so dumb.\It can't be helped.\So Naraku disappeared in the direction of the Ox-Tiger.\The way I see it, it's in that direction.\Yeah! No time to dally!\Let's go!\Naraku! Just you wait! response:	Hey! Wait Inuyasha!
context: Yeah, he's so dumb.\It can't be helped.\So Naraku disappeared in the direction of the Ox-Tiger.\The way I see it, it's in that direction.\Yeah! No time to dally!\Let's go!\Naraku! Just you wait!\Hey! Wait Inuyasha! response:	Hearme, all!
context: It can't be helped.\So Naraku disappeared in the direction of the Ox-Tiger.\The way I see it, it's in that direction.\Yeah! No time to dally!\Let's go!\Naraku! Just you wait!\Hey! Wait Inuyasha!\Hearme, all! response:	The divine oracle has been received!
context: So Naraku disappeared in the direction of the Ox-Tiger.\The way I see it, it's in that direction.\Yeah! No time to dally!\Let's go!\Naraku! Just you wait!\Hey! Wait Inuyasha!\Hearme, all!\The divine oracle has been received! response:	The feline invites calamity!
context: The way I see it, it's in that direction.\Yeah! No time to dally!\Let's go!\Naraku! Just you wait!\Hey! Wait Inuyasha!\Hearme, all!\The divine oracle has been received!\The feline invites calamity! response:	Feline?!
context: Yeah! No time to dally!\Let's go!\Naraku! Just you wait!\Hey! Wait Inuyasha!\Hearme, all!\The divine oracle has been received!\The feline invites calamity!\Feline?! response:	It is said that when a cat's tail becomes two,
context: Let's go!\Naraku! Just you wait!\Hey! Wait Inuyasha!\Hearme, all!\The divine oracle has been received!\The feline invites calamity!\Feline?!\It is said that when a cat's tail becomes two, response:	it possesses supernatural powers.
context: Naraku! Just you wait!\Hey! Wait Inuyasha!\Hearme, all!\The divine oracle has been received!\The feline invites calamity!\Feline?!\It is said that when a cat's tail becomes two,\it possesses supernatural powers. response:	You mustexpel the feline from the village,
context: Hey! Wait Inuyasha!\Hearme, all!\The divine oracle has been received!\The feline invites calamity!\Feline?!\It is said that when a cat's tail becomes two,\it possesses supernatural powers.\You mustexpel the feline from the village, response:	orthere is sure to be misfortune!
context: Hearme, all!\The divine oracle has been received!\The feline invites calamity!\Feline?!\It is said that when a cat's tail becomes two,\it possesses supernatural powers.\You mustexpel the feline from the village,\orthere is sure to be misfortune! response:	Never come around here again! Cursed twin-tail!
context: The divine oracle has been received!\The feline invites calamity!\Feline?!\It is said that when a cat's tail becomes two,\it possesses supernatural powers.\You mustexpel the feline from the village,\orthere is sure to be misfortune!\Never come around here again! Cursed twin-tail! response:	Kuroro!
context: The feline invites calamity!\Feline?!\It is said that when a cat's tail becomes two,\it possesses supernatural powers.\You mustexpel the feline from the village,\orthere is sure to be misfortune!\Never come around here again! Cursed twin-tail!\Kuroro! response:	Kuroro!
context: Feline?!\It is said that when a cat's tail becomes two,\it possesses supernatural powers.\You mustexpel the feline from the village,\orthere is sure to be misfortune!\Never come around here again! Cursed twin-tail!\Kuroro!\Kuroro! response:	Kuroro!
context: It is said that when a cat's tail becomes two,\it possesses supernatural powers.\You mustexpel the feline from the village,\orthere is sure to be misfortune!\Never come around here again! Cursed twin-tail!\Kuroro!\Kuroro!\Kuroro! response:	Kuroro!
context: it possesses supernatural powers.\You mustexpel the feline from the village,\orthere is sure to be misfortune!\Never come around here again! Cursed twin-tail!\Kuroro!\Kuroro!\Kuroro!\Kuroro! response:	Kuroro!
context: You mustexpel the feline from the village,\orthere is sure to be misfortune!\Never come around here again! Cursed twin-tail!\Kuroro!\Kuroro!\Kuroro!\Kuroro!\Kuroro! response:	Kuroro!
context: orthere is sure to be misfortune!\Never come around here again! Cursed twin-tail!\Kuroro!\Kuroro!\Kuroro!\Kuroro!\Kuroro!\Kuroro! response:	Where are you going, Kirara?
context: Never come around here again! Cursed twin-tail!\Kuroro!\Kuroro!\Kuroro!\Kuroro!\Kuroro!\Kuroro!\Where are you going, Kirara? response:	Kirara!
context: Kuroro!\Kuroro!\Kuroro!\Kuroro!\Kuroro!\Kuroro!\Where are you going, Kirara?\Kirara! response:	Man! Where did she go?
context: Kuroro!\Kuroro!\Kuroro!\Kuroro!\Kuroro!\Where are you going, Kirara?\Kirara!\Man! Where did she go? response:	Kirara!
context: Kuroro!\Kuroro!\Kuroro!\Kuroro!\Where are you going, Kirara?\Kirara!\Man! Where did she go?\Kirara! response:	Hey, Kirara!
context: Kuroro!\Kuroro!\Kuroro!\Where are you going, Kirara?\Kirara!\Man! Where did she go?\Kirara!\Hey, Kirara! response:	Huh?
context: Kuroro!\Kuroro!\Where are you going, Kirara?\Kirara!\Man! Where did she go?\Kirara!\Hey, Kirara!\Huh? response:	Ahhh! This is so refreshing!
context: Kuroro!\Where are you going, Kirara?\Kirara!\Man! Where did she go?\Kirara!\Hey, Kirara!\Huh?\Ahhh! This is so refreshing! response:	Huh?
context: Where are you going, Kirara?\Kirara!\Man! Where did she go?\Kirara!\Hey, Kirara!\Huh?\Ahhh! This is so refreshing!\Huh? response:	Kuroro?
context: Kirara!\Man! Where did she go?\Kirara!\Hey, Kirara!\Huh?\Ahhh! This is so refreshing!\Huh?\Kuroro? response:	Oh... such a cute girl.
context: Man! Where did she go?\Kirara!\Hey, Kirara!\Huh?\Ahhh! This is so refreshing!\Huh?\Kuroro?\Oh... such a cute girl. response:	Kirara... Were you following the sound of hervoice?
context: Kirara!\Hey, Kirara!\Huh?\Ahhh! This is so refreshing!\Huh?\Kuroro?\Oh... such a cute girl.\Kirara... Were you following the sound of hervoice? response:	Kuroro... Here you are!
context: Hey, Kirara!\Huh?\Ahhh! This is so refreshing!\Huh?\Kuroro?\Oh... such a cute girl.\Kirara... Were you following the sound of hervoice?\Kuroro... Here you are! response:	I was so worried.
context: Huh?\Ahhh! This is so refreshing!\Huh?\Kuroro?\Oh... such a cute girl.\Kirara... Were you following the sound of hervoice?\Kuroro... Here you are!\I was so worried. response:	Now come. Come.
context: Ahhh! This is so refreshing!\Huh?\Kuroro?\Oh... such a cute girl.\Kirara... Were you following the sound of hervoice?\Kuroro... Here you are!\I was so worried.\Now come. Come. response:	Here... Good girl!
context: Huh?\Kuroro?\Oh... such a cute girl.\Kirara... Were you following the sound of hervoice?\Kuroro... Here you are!\I was so worried.\Now come. Come.\Here... Good girl! response:	I'm so glad, Kuroro!
context: Kuroro?\Oh... such a cute girl.\Kirara... Were you following the sound of hervoice?\Kuroro... Here you are!\I was so worried.\Now come. Come.\Here... Good girl!\I'm so glad, Kuroro! response:	That's not Kuroro.
context: Oh... such a cute girl.\Kirara... Were you following the sound of hervoice?\Kuroro... Here you are!\I was so worried.\Now come. Come.\Here... Good girl!\I'm so glad, Kuroro!\That's not Kuroro. response:	Hername's Kirara.
context: Kirara... Were you following the sound of hervoice?\Kuroro... Here you are!\I was so worried.\Now come. Come.\Here... Good girl!\I'm so glad, Kuroro!\That's not Kuroro.\Hername's Kirara. response:	Let's put this on.
context: Kuroro... Here you are!\I was so worried.\Now come. Come.\Here... Good girl!\I'm so glad, Kuroro!\That's not Kuroro.\Hername's Kirara.\Let's put this on. response:	She's Sango's beloved pet.
context: I was so worried.\Now come. Come.\Here... Good girl!\I'm so glad, Kuroro!\That's not Kuroro.\Hername's Kirara.\Let's put this on.\She's Sango's beloved pet. response:	Huh?
context: Now come. Come.\Here... Good girl!\I'm so glad, Kuroro!\That's not Kuroro.\Hername's Kirara.\Let's put this on.\She's Sango's beloved pet.\Huh? response:	There, all set.
context: Here... Good girl!\I'm so glad, Kuroro!\That's not Kuroro.\Hername's Kirara.\Let's put this on.\She's Sango's beloved pet.\Huh?\There, all set. response:	Now let's go home, Kuroro.
context: I'm so glad, Kuroro!\That's not Kuroro.\Hername's Kirara.\Let's put this on.\She's Sango's beloved pet.\Huh?\There, all set.\Now let's go home, Kuroro. response:	I told you that's not Kuroro! Hername's Kirara!
context: That's not Kuroro.\Hername's Kirara.\Let's put this on.\She's Sango's beloved pet.\Huh?\There, all set.\Now let's go home, Kuroro.\I told you that's not Kuroro! Hername's Kirara! response:	They're coming.
