context: There aren't many Russians who hate the summer sun. response:	We thoroughly and innocently enjoyed those short summer days.
context: There aren't many Russians who hate the summer sun.\We thoroughly and innocently enjoyed those short summer days. response:	Suou wins!
context: There aren't many Russians who hate the summer sun.\We thoroughly and innocently enjoyed those short summer days.\Suou wins! response:	You've got to be kidding me!
context: There aren't many Russians who hate the summer sun.\We thoroughly and innocently enjoyed those short summer days.\Suou wins!\You've got to be kidding me! response:	I won!
context: There aren't many Russians who hate the summer sun.\We thoroughly and innocently enjoyed those short summer days.\Suou wins!\You've got to be kidding me!\I won! response:	Sore loser!
context: There aren't many Russians who hate the summer sun.\We thoroughly and innocently enjoyed those short summer days.\Suou wins!\You've got to be kidding me!\I won!\Sore loser! response:	Hey! Sasha!
context: There aren't many Russians who hate the summer sun.\We thoroughly and innocently enjoyed those short summer days.\Suou wins!\You've got to be kidding me!\I won!\Sore loser!\Hey! Sasha! response:	Sorry.
context: There aren't many Russians who hate the summer sun.\We thoroughly and innocently enjoyed those short summer days.\Suou wins!\You've got to be kidding me!\I won!\Sore loser!\Hey! Sasha!\Sorry. response:	Sheesh, Suou!
context: We thoroughly and innocently enjoyed those short summer days.\Suou wins!\You've got to be kidding me!\I won!\Sore loser!\Hey! Sasha!\Sorry.\Sheesh, Suou! response:	So how was it? Did that break help you?
context: Suou wins!\You've got to be kidding me!\I won!\Sore loser!\Hey! Sasha!\Sorry.\Sheesh, Suou!\So how was it? Did that break help you? response:	Madame?
context: You've got to be kidding me!\I won!\Sore loser!\Hey! Sasha!\Sorry.\Sheesh, Suou!\So how was it? Did that break help you?\Madame? response:	Why are you here?
context: I won!\Sore loser!\Hey! Sasha!\Sorry.\Sheesh, Suou!\So how was it? Did that break help you?\Madame?\Why are you here? response:	Looks like you took a little break from the search.
context: Sore loser!\Hey! Sasha!\Sorry.\Sheesh, Suou!\So how was it? Did that break help you?\Madame?\Why are you here?\Looks like you took a little break from the search. response:	I guess it's not that easy to find... the memories of the future.
context: Hey! Sasha!\Sorry.\Sheesh, Suou!\So how was it? Did that break help you?\Madame?\Why are you here?\Looks like you took a little break from the search.\I guess it's not that easy to find... the memories of the future. response:	Memories of the future?
context: Sorry.\Sheesh, Suou!\So how was it? Did that break help you?\Madame?\Why are you here?\Looks like you took a little break from the search.\I guess it's not that easy to find... the memories of the future.\Memories of the future? response:	That's what the Mitaka Documents are sometimes referred to as.
context: Sheesh, Suou!\So how was it? Did that break help you?\Madame?\Why are you here?\Looks like you took a little break from the search.\I guess it's not that easy to find... the memories of the future.\Memories of the future?\That's what the Mitaka Documents are sometimes referred to as. response:	Doesn't it sound romantic?
context: So how was it? Did that break help you?\Madame?\Why are you here?\Looks like you took a little break from the search.\I guess it's not that easy to find... the memories of the future.\Memories of the future?\That's what the Mitaka Documents are sometimes referred to as.\Doesn't it sound romantic? response:	Memories that you can still change.
context: Madame?\Why are you here?\Looks like you took a little break from the search.\I guess it's not that easy to find... the memories of the future.\Memories of the future?\That's what the Mitaka Documents are sometimes referred to as.\Doesn't it sound romantic?\Memories that you can still change. response:	Would such memories be a blessing, or perhaps a curse?
context: Why are you here?\Looks like you took a little break from the search.\I guess it's not that easy to find... the memories of the future.\Memories of the future?\That's what the Mitaka Documents are sometimes referred to as.\Doesn't it sound romantic?\Memories that you can still change.\Would such memories be a blessing, or perhaps a curse? response:	Such a contractor does exist.
context: Looks like you took a little break from the search.\I guess it's not that easy to find... the memories of the future.\Memories of the future?\That's what the Mitaka Documents are sometimes referred to as.\Doesn't it sound romantic?\Memories that you can still change.\Would such memories be a blessing, or perhaps a curse?\Such a contractor does exist. response:	Have you ever heard about it?
context: I guess it's not that easy to find... the memories of the future.\Memories of the future?\That's what the Mitaka Documents are sometimes referred to as.\Doesn't it sound romantic?\Memories that you can still change.\Would such memories be a blessing, or perhaps a curse?\Such a contractor does exist.\Have you ever heard about it? response:	Now then, I suppose I should go for a swim.
context: Memories of the future?\That's what the Mitaka Documents are sometimes referred to as.\Doesn't it sound romantic?\Memories that you can still change.\Would such memories be a blessing, or perhaps a curse?\Such a contractor does exist.\Have you ever heard about it?\Now then, I suppose I should go for a swim. response:	Hold on.
context: That's what the Mitaka Documents are sometimes referred to as.\Doesn't it sound romantic?\Memories that you can still change.\Would such memories be a blessing, or perhaps a curse?\Such a contractor does exist.\Have you ever heard about it?\Now then, I suppose I should go for a swim.\Hold on. response:	Why are you telling me this?
context: Doesn't it sound romantic?\Memories that you can still change.\Would such memories be a blessing, or perhaps a curse?\Such a contractor does exist.\Have you ever heard about it?\Now then, I suppose I should go for a swim.\Hold on.\Why are you telling me this? response:	Just a little token of my gratitude.
context: Memories that you can still change.\Would such memories be a blessing, or perhaps a curse?\Such a contractor does exist.\Have you ever heard about it?\Now then, I suppose I should go for a swim.\Hold on.\Why are you telling me this?\Just a little token of my gratitude. response:	Thanks to you, I was able to obtain some information.
context: Would such memories be a blessing, or perhaps a curse?\Such a contractor does exist.\Have you ever heard about it?\Now then, I suppose I should go for a swim.\Hold on.\Why are you telling me this?\Just a little token of my gratitude.\Thanks to you, I was able to obtain some information. response:	Tsukiakari no michishirube
context: Such a contractor does exist.\Have you ever heard about it?\Now then, I suppose I should go for a swim.\Hold on.\Why are you telling me this?\Just a little token of my gratitude.\Thanks to you, I was able to obtain some information.\Tsukiakari no michishirube response:	The moonlight's guiding sign
context: Have you ever heard about it?\Now then, I suppose I should go for a swim.\Hold on.\Why are you telling me this?\Just a little token of my gratitude.\Thanks to you, I was able to obtain some information.\Tsukiakari no michishirube\The moonlight's guiding sign response:	Kumo o koe boku ni todoke
context: Now then, I suppose I should go for a swim.\Hold on.\Why are you telling me this?\Just a little token of my gratitude.\Thanks to you, I was able to obtain some information.\Tsukiakari no michishirube\The moonlight's guiding sign\Kumo o koe boku ni todoke response:	Reaches me over the clouds
context: Hold on.\Why are you telling me this?\Just a little token of my gratitude.\Thanks to you, I was able to obtain some information.\Tsukiakari no michishirube\The moonlight's guiding sign\Kumo o koe boku ni todoke\Reaches me over the clouds response:	Susumu beki michi o terashite yo
context: Why are you telling me this?\Just a little token of my gratitude.\Thanks to you, I was able to obtain some information.\Tsukiakari no michishirube\The moonlight's guiding sign\Kumo o koe boku ni todoke\Reaches me over the clouds\Susumu beki michi o terashite yo response:	Illuminate the road that I must advance on
context: Just a little token of my gratitude.\Thanks to you, I was able to obtain some information.\Tsukiakari no michishirube\The moonlight's guiding sign\Kumo o koe boku ni todoke\Reaches me over the clouds\Susumu beki michi o terashite yo\Illuminate the road that I must advance on response:	Kyou ga donna ni kowaresou de mo
context: Thanks to you, I was able to obtain some information.\Tsukiakari no michishirube\The moonlight's guiding sign\Kumo o koe boku ni todoke\Reaches me over the clouds\Susumu beki michi o terashite yo\Illuminate the road that I must advance on\Kyou ga donna ni kowaresou de mo response:	No matter how broken today looks
context: Tsukiakari no michishirube\The moonlight's guiding sign\Kumo o koe boku ni todoke\Reaches me over the clouds\Susumu beki michi o terashite yo\Illuminate the road that I must advance on\Kyou ga donna ni kowaresou de mo\No matter how broken today looks response:	Nee dareka oshiete
context: The moonlight's guiding sign\Kumo o koe boku ni todoke\Reaches me over the clouds\Susumu beki michi o terashite yo\Illuminate the road that I must advance on\Kyou ga donna ni kowaresou de mo\No matter how broken today looks\Nee dareka oshiete response:	Hey, someone, tell me
context: Kumo o koe boku ni todoke\Reaches me over the clouds\Susumu beki michi o terashite yo\Illuminate the road that I must advance on\Kyou ga donna ni kowaresou de mo\No matter how broken today looks\Nee dareka oshiete\Hey, someone, tell me response:	Minna sou na no kana?
context: Reaches me over the clouds\Susumu beki michi o terashite yo\Illuminate the road that I must advance on\Kyou ga donna ni kowaresou de mo\No matter how broken today looks\Nee dareka oshiete\Hey, someone, tell me\Minna sou na no kana? response:	Is everyone like that?
context: Susumu beki michi o terashite yo\Illuminate the road that I must advance on\Kyou ga donna ni kowaresou de mo\No matter how broken today looks\Nee dareka oshiete\Hey, someone, tell me\Minna sou na no kana?\Is everyone like that? response:	Kyou ga shiawase nara
context: Illuminate the road that I must advance on\Kyou ga donna ni kowaresou de mo\No matter how broken today looks\Nee dareka oshiete\Hey, someone, tell me\Minna sou na no kana?\Is everyone like that?\Kyou ga shiawase nara response:	That they'feel it's good enough
context: Kyou ga donna ni kowaresou de mo\No matter how broken today looks\Nee dareka oshiete\Hey, someone, tell me\Minna sou na no kana?\Is everyone like that?\Kyou ga shiawase nara\That they'feel it's good enough response:	Sore de ii to omoeru tte
context: No matter how broken today looks\Nee dareka oshiete\Hey, someone, tell me\Minna sou na no kana?\Is everyone like that?\Kyou ga shiawase nara\That they'feel it's good enough\Sore de ii to omoeru tte response:	if they're if happy today'
context: Nee dareka oshiete\Hey, someone, tell me\Minna sou na no kana?\Is everyone like that?\Kyou ga shiawase nara\That they'feel it's good enough\Sore de ii to omoeru tte\if they're if happy today' response:	Osanai koro ni wa
context: Hey, someone, tell me\Minna sou na no kana?\Is everyone like that?\Kyou ga shiawase nara\That they'feel it's good enough\Sore de ii to omoeru tte\if they're if happy today'\Osanai koro ni wa response:	When I was young
context: Minna sou na no kana?\Is everyone like that?\Kyou ga shiawase nara\That they'feel it's good enough\Sore de ii to omoeru tte\if they're if happy today'\Osanai koro ni wa\When I was young response:	Tashika ni atta yo
context: Is everyone like that?\Kyou ga shiawase nara\That they'feel it's good enough\Sore de ii to omoeru tte\if they're if happy today'\Osanai koro ni wa\When I was young\Tashika ni atta yo response:	They certainly existed
context: Kyou ga shiawase nara\That they'feel it's good enough\Sore de ii to omoeru tte\if they're if happy today'\Osanai koro ni wa\When I was young\Tashika ni atta yo\They certainly existed response:	Yume o oikaketeta
context: That they'feel it's good enough\Sore de ii to omoeru tte\if they're if happy today'\Osanai koro ni wa\When I was young\Tashika ni atta yo\They certainly existed\Yume o oikaketeta response:	I pursued my dreams
context: Sore de ii to omoeru tte\if they're if happy today'\Osanai koro ni wa\When I was young\Tashika ni atta yo\They certainly existed\Yume o oikaketeta\I pursued my dreams response:	Demo sore mo tooi kioku
context: if they're if happy today'\Osanai koro ni wa\When I was young\Tashika ni atta yo\They certainly existed\Yume o oikaketeta\I pursued my dreams\Demo sore mo tooi kioku response:	But that's also a distant memory
context: Osanai koro ni wa\When I was young\Tashika ni atta yo\They certainly existed\Yume o oikaketeta\I pursued my dreams\Demo sore mo tooi kioku\But that's also a distant memory response:	Kotae no nai mainichi ga
context: When I was young\Tashika ni atta yo\They certainly existed\Yume o oikaketeta\I pursued my dreams\Demo sore mo tooi kioku\But that's also a distant memory\Kotae no nai mainichi ga response:	The each unanswered day-
context: Tashika ni atta yo\They certainly existed\Yume o oikaketeta\I pursued my dreams\Demo sore mo tooi kioku\But that's also a distant memory\Kotae no nai mainichi ga\The each unanswered day- response:	Tada sugite iku jikan ga
context: They certainly existed\Yume o oikaketeta\I pursued my dreams\Demo sore mo tooi kioku\But that's also a distant memory\Kotae no nai mainichi ga\The each unanswered day-\Tada sugite iku jikan ga response:	The time that is simply passing by-
context: Yume o oikaketeta\I pursued my dreams\Demo sore mo tooi kioku\But that's also a distant memory\Kotae no nai mainichi ga\The each unanswered day-\Tada sugite iku jikan ga\The time that is simply passing by- response:	Kore kara saki dou naru no darou?
context: I pursued my dreams\Demo sore mo tooi kioku\But that's also a distant memory\Kotae no nai mainichi ga\The each unanswered day-\Tada sugite iku jikan ga\The time that is simply passing by-\Kore kara saki dou naru no darou? response:	What will happen beyond now?
context: Demo sore mo tooi kioku\But that's also a distant memory\Kotae no nai mainichi ga\The each unanswered day-\Tada sugite iku jikan ga\The time that is simply passing by-\Kore kara saki dou naru no darou?\What will happen beyond now? response:	Wakaranai...
context: But that's also a distant memory\Kotae no nai mainichi ga\The each unanswered day-\Tada sugite iku jikan ga\The time that is simply passing by-\Kore kara saki dou naru no darou?\What will happen beyond now?\Wakaranai... response:	They don't know...
context: Kotae no nai mainichi ga\The each unanswered day-\Tada sugite iku jikan ga\The time that is simply passing by-\Kore kara saki dou naru no darou?\What will happen beyond now?\Wakaranai...\They don't know... response:	Tsukiakari no michishirube
context: The each unanswered day-\Tada sugite iku jikan ga\The time that is simply passing by-\Kore kara saki dou naru no darou?\What will happen beyond now?\Wakaranai...\They don't know...\Tsukiakari no michishirube response:	The moonlight's guiding sign
context: Tada sugite iku jikan ga\The time that is simply passing by-\Kore kara saki dou naru no darou?\What will happen beyond now?\Wakaranai...\They don't know...\Tsukiakari no michishirube\The moonlight's guiding sign response:	Kumo o koe boku ni todoke
context: The time that is simply passing by-\Kore kara saki dou naru no darou?\What will happen beyond now?\Wakaranai...\They don't know...\Tsukiakari no michishirube\The moonlight's guiding sign\Kumo o koe boku ni todoke response:	Reaches me over the clouds
context: Kore kara saki dou naru no darou?\What will happen beyond now?\Wakaranai...\They don't know...\Tsukiakari no michishirube\The moonlight's guiding sign\Kumo o koe boku ni todoke\Reaches me over the clouds response:	Susumu beki michi o terashite yo
context: What will happen beyond now?\Wakaranai...\They don't know...\Tsukiakari no michishirube\The moonlight's guiding sign\Kumo o koe boku ni todoke\Reaches me over the clouds\Susumu beki michi o terashite yo response:	Illuminate the road that I must advance on
context: Wakaranai...\They don't know...\Tsukiakari no michishirube\The moonlight's guiding sign\Kumo o koe boku ni todoke\Reaches me over the clouds\Susumu beki michi o terashite yo\Illuminate the road that I must advance on response:	Kyou ga donna ni kowaresou de mo
context: They don't know...\Tsukiakari no michishirube\The moonlight's guiding sign\Kumo o koe boku ni todoke\Reaches me over the clouds\Susumu beki michi o terashite yo\Illuminate the road that I must advance on\Kyou ga donna ni kowaresou de mo response:	No matter how broken today looks
context: Tsukiakari no michishirube\The moonlight's guiding sign\Kumo o koe boku ni todoke\Reaches me over the clouds\Susumu beki michi o terashite yo\Illuminate the road that I must advance on\Kyou ga donna ni kowaresou de mo\No matter how broken today looks response:	You can open the door.
context: The moonlight's guiding sign\Kumo o koe boku ni todoke\Reaches me over the clouds\Susumu beki michi o terashite yo\Illuminate the road that I must advance on\Kyou ga donna ni kowaresou de mo\No matter how broken today looks\You can open the door. response:	Oh, you've skimmed the train.
context: Kumo o koe boku ni todoke\Reaches me over the clouds\Susumu beki michi o terashite yo\Illuminate the road that I must advance on\Kyou ga donna ni kowaresou de mo\No matter how broken today looks\You can open the door.\Oh, you've skimmed the train. response:	Nothing less expected from the SVR.
context: Reaches me over the clouds\Susumu beki michi o terashite yo\Illuminate the road that I must advance on\Kyou ga donna ni kowaresou de mo\No matter how broken today looks\You can open the door.\Oh, you've skimmed the train.\Nothing less expected from the SVR. response:	You know what you're doing.
context: Susumu beki michi o terashite yo\Illuminate the road that I must advance on\Kyou ga donna ni kowaresou de mo\No matter how broken today looks\You can open the door.\Oh, you've skimmed the train.\Nothing less expected from the SVR.\You know what you're doing. response:	We'll find BK201's room soon.
context: Illuminate the road that I must advance on\Kyou ga donna ni kowaresou de mo\No matter how broken today looks\You can open the door.\Oh, you've skimmed the train.\Nothing less expected from the SVR.\You know what you're doing.\We'll find BK201's room soon. response:	There's no need for that.
