context: Are you free on 3/14? Let's meet up if you aren't busy. response:	White Day?? I said it! I was trying to pretend I didn't know. But I did noticeso much for that.
context: Are you free on 3/14? Let's meet up if you aren't busy.\White Day?? I said it! I was trying to pretend I didn't know. But I did noticeso much for that. response:	Takeo-kun!
context: Are you free on 3/14? Let's meet up if you aren't busy.\White Day?? I said it! I was trying to pretend I didn't know. But I did noticeso much for that.\Takeo-kun! response:	Oh, I'm so happy!
context: Are you free on 3/14? Let's meet up if you aren't busy.\White Day?? I said it! I was trying to pretend I didn't know. But I did noticeso much for that.\Takeo-kun!\Oh, I'm so happy! response:	Thanks!
context: Are you free on 3/14? Let's meet up if you aren't busy.\White Day?? I said it! I was trying to pretend I didn't know. But I did noticeso much for that.\Takeo-kun!\Oh, I'm so happy!\Thanks! response:	This box...
context: Are you free on 3/14? Let's meet up if you aren't busy.\White Day?? I said it! I was trying to pretend I didn't know. But I did noticeso much for that.\Takeo-kun!\Oh, I'm so happy!\Thanks!\This box... response:	Oh, wait...
context: Are you free on 3/14? Let's meet up if you aren't busy.\White Day?? I said it! I was trying to pretend I didn't know. But I did noticeso much for that.\Takeo-kun!\Oh, I'm so happy!\Thanks!\This box...\Oh, wait... response:	Did you make this?
context: Are you free on 3/14? Let's meet up if you aren't busy.\White Day?? I said it! I was trying to pretend I didn't know. But I did noticeso much for that.\Takeo-kun!\Oh, I'm so happy!\Thanks!\This box...\Oh, wait...\Did you make this? response:	Wow, she can tell just from looking at the box?
context: White Day?? I said it! I was trying to pretend I didn't know. But I did noticeso much for that.\Takeo-kun!\Oh, I'm so happy!\Thanks!\This box...\Oh, wait...\Did you make this?\Wow, she can tell just from looking at the box? response:	I want to see!
context: Takeo-kun!\Oh, I'm so happy!\Thanks!\This box...\Oh, wait...\Did you make this?\Wow, she can tell just from looking at the box?\I want to see! response:	Can I open it?
context: Oh, I'm so happy!\Thanks!\This box...\Oh, wait...\Did you make this?\Wow, she can tell just from looking at the box?\I want to see!\Can I open it? response:	Sure.
context: Thanks!\This box...\Oh, wait...\Did you make this?\Wow, she can tell just from looking at the box?\I want to see!\Can I open it?\Sure. response:	Sorry...
context: This box...\Oh, wait...\Did you make this?\Wow, she can tell just from looking at the box?\I want to see!\Can I open it?\Sure.\Sorry... response:	When I baked them for the specified time, they looked a little pale.
context: Oh, wait...\Did you make this?\Wow, she can tell just from looking at the box?\I want to see!\Can I open it?\Sure.\Sorry...\When I baked them for the specified time, they looked a little pale. response:	But when I baked them a little longer,
context: Did you make this?\Wow, she can tell just from looking at the box?\I want to see!\Can I open it?\Sure.\Sorry...\When I baked them for the specified time, they looked a little pale.\But when I baked them a little longer, response:	they looked okay at first, but then they got scorched and hard-looking.
context: Wow, she can tell just from looking at the box?\I want to see!\Can I open it?\Sure.\Sorry...\When I baked them for the specified time, they looked a little pale.\But when I baked them a little longer,\they looked okay at first, but then they got scorched and hard-looking. response:	I can't eat these!
context: I want to see!\Can I open it?\Sure.\Sorry...\When I baked them for the specified time, they looked a little pale.\But when I baked them a little longer,\they looked okay at first, but then they got scorched and hard-looking.\I can't eat these! response:	They're too precious!
context: Can I open it?\Sure.\Sorry...\When I baked them for the specified time, they looked a little pale.\But when I baked them a little longer,\they looked okay at first, but then they got scorched and hard-looking.\I can't eat these!\They're too precious! response:	But I want to try one!
context: Sure.\Sorry...\When I baked them for the specified time, they looked a little pale.\But when I baked them a little longer,\they looked okay at first, but then they got scorched and hard-looking.\I can't eat these!\They're too precious!\But I want to try one! response:	Can I?
context: Sorry...\When I baked them for the specified time, they looked a little pale.\But when I baked them a little longer,\they looked okay at first, but then they got scorched and hard-looking.\I can't eat these!\They're too precious!\But I want to try one!\Can I? response:	Sure.
context: When I baked them for the specified time, they looked a little pale.\But when I baked them a little longer,\they looked okay at first, but then they got scorched and hard-looking.\I can't eat these!\They're too precious!\But I want to try one!\Can I?\Sure. response:	Isn't it rock-solid?
context: But when I baked them a little longer,\they looked okay at first, but then they got scorched and hard-looking.\I can't eat these!\They're too precious!\But I want to try one!\Can I?\Sure.\Isn't it rock-solid? response:	It's super good!
context: they looked okay at first, but then they got scorched and hard-looking.\I can't eat these!\They're too precious!\But I want to try one!\Can I?\Sure.\Isn't it rock-solid?\It's super good! response:	Takeo-kun?
context: I can't eat these!\They're too precious!\But I want to try one!\Can I?\Sure.\Isn't it rock-solid?\It's super good!\Takeo-kun? response:	Oh, I was just thinking it's nice to have
context: They're too precious!\But I want to try one!\Can I?\Sure.\Isn't it rock-solid?\It's super good!\Takeo-kun?\Oh, I was just thinking it's nice to have response:	someone eat something you made.
context: But I want to try one!\Can I?\Sure.\Isn't it rock-solid?\It's super good!\Takeo-kun?\Oh, I was just thinking it's nice to have\someone eat something you made. response:	To have the girl you like happily eat what you made...
context: Can I?\Sure.\Isn't it rock-solid?\It's super good!\Takeo-kun?\Oh, I was just thinking it's nice to have\someone eat something you made.\To have the girl you like happily eat what you made... response:	That's what it's always like for me!
context: Sure.\Isn't it rock-solid?\It's super good!\Takeo-kun?\Oh, I was just thinking it's nice to have\someone eat something you made.\To have the girl you like happily eat what you made...\That's what it's always like for me! response:	I see...
context: Isn't it rock-solid?\It's super good!\Takeo-kun?\Oh, I was just thinking it's nice to have\someone eat something you made.\To have the girl you like happily eat what you made...\That's what it's always like for me!\I see... response:	The Letter and Me
context: It's super good!\Takeo-kun?\Oh, I was just thinking it's nice to have\someone eat something you made.\To have the girl you like happily eat what you made...\That's what it's always like for me!\I see...\The Letter and Me response:	Did she like the cookies?
context: Takeo-kun?\Oh, I was just thinking it's nice to have\someone eat something you made.\To have the girl you like happily eat what you made...\That's what it's always like for me!\I see...\The Letter and Me\Did she like the cookies? response:	Thanks for helping me
context: Oh, I was just thinking it's nice to have\someone eat something you made.\To have the girl you like happily eat what you made...\That's what it's always like for me!\I see...\The Letter and Me\Did she like the cookies?\Thanks for helping me response:	Yeah!
context: someone eat something you made.\To have the girl you like happily eat what you made...\That's what it's always like for me!\I see...\The Letter and Me\Did she like the cookies?\Thanks for helping me\Yeah! response:	I hope you'll find a girl you like soon!
context: To have the girl you like happily eat what you made...\That's what it's always like for me!\I see...\The Letter and Me\Did she like the cookies?\Thanks for helping me\Yeah!\I hope you'll find a girl you like soon! response:	And I hope that girl will like
context: That's what it's always like for me!\I see...\The Letter and Me\Did she like the cookies?\Thanks for helping me\Yeah!\I hope you'll find a girl you like soon!\And I hope that girl will like response:	home-made rice crackers.
context: I see...\The Letter and Me\Did she like the cookies?\Thanks for helping me\Yeah!\I hope you'll find a girl you like soon!\And I hope that girl will like\home-made rice crackers. response:	Rice crackers?
