context: Hey, your feet stopped short! response:	What happened to your serving and receiving reflexes from yesterday?
context: Hey, your feet stopped short!\What happened to your serving and receiving reflexes from yesterday? response:	You need to focus!
context: Hey, your feet stopped short!\What happened to your serving and receiving reflexes from yesterday?\You need to focus! response:	All I'm doing is receiving...
context: Hey, your feet stopped short!\What happened to your serving and receiving reflexes from yesterday?\You need to focus!\All I'm doing is receiving... response:	There's not much time left!
context: Hey, your feet stopped short!\What happened to your serving and receiving reflexes from yesterday?\You need to focus!\All I'm doing is receiving...\There's not much time left! response:	I want to spike, too! I want to jump, too!
context: Hey, your feet stopped short!\What happened to your serving and receiving reflexes from yesterday?\You need to focus!\All I'm doing is receiving...\There's not much time left!\I want to spike, too! I want to jump, too! response:	Go jump around, then!
context: Hey, your feet stopped short!\What happened to your serving and receiving reflexes from yesterday?\You need to focus!\All I'm doing is receiving...\There's not much time left!\I want to spike, too! I want to jump, too!\Go jump around, then! response:	Hey, you guys.
context: Hey, your feet stopped short!\What happened to your serving and receiving reflexes from yesterday?\You need to focus!\All I'm doing is receiving...\There's not much time left!\I want to spike, too! I want to jump, too!\Go jump around, then!\Hey, you guys. response:	I should give you fair warning.
context: What happened to your serving and receiving reflexes from yesterday?\You need to focus!\All I'm doing is receiving...\There's not much time left!\I want to spike, too! I want to jump, too!\Go jump around, then!\Hey, you guys.\I should give you fair warning. response:	Daichi-san is usually gentle,
context: You need to focus!\All I'm doing is receiving...\There's not much time left!\I want to spike, too! I want to jump, too!\Go jump around, then!\Hey, you guys.\I should give you fair warning.\Daichi-san is usually gentle, response:	but he's extremely scary when he gets angry.
context: All I'm doing is receiving...\There's not much time left!\I want to spike, too! I want to jump, too!\Go jump around, then!\Hey, you guys.\I should give you fair warning.\Daichi-san is usually gentle,\but he's extremely scary when he gets angry. response:	I mean extremely.
context: There's not much time left!\I want to spike, too! I want to jump, too!\Go jump around, then!\Hey, you guys.\I should give you fair warning.\Daichi-san is usually gentle,\but he's extremely scary when he gets angry.\I mean extremely. response:	We know.
context: I want to spike, too! I want to jump, too!\Go jump around, then!\Hey, you guys.\I should give you fair warning.\Daichi-san is usually gentle,\but he's extremely scary when he gets angry.\I mean extremely.\We know. response:	It won't be good if he finds out about this morning practice.
context: Go jump around, then!\Hey, you guys.\I should give you fair warning.\Daichi-san is usually gentle,\but he's extremely scary when he gets angry.\I mean extremely.\We know.\It won't be good if he finds out about this morning practice. response:	It won't be good for me.
context: Hey, you guys.\I should give you fair warning.\Daichi-san is usually gentle,\but he's extremely scary when he gets angry.\I mean extremely.\We know.\It won't be good if he finds out about this morning practice.\It won't be good for me. response:	It's not that I'm scared or anything.
context: I should give you fair warning.\Daichi-san is usually gentle,\but he's extremely scary when he gets angry.\I mean extremely.\We know.\It won't be good if he finds out about this morning practice.\It won't be good for me.\It's not that I'm scared or anything. response:	Absolutely not. Absolutely not at all.
context: Daichi-san is usually gentle,\but he's extremely scary when he gets angry.\I mean extremely.\We know.\It won't be good if he finds out about this morning practice.\It won't be good for me.\It's not that I'm scared or anything.\Absolutely not. Absolutely not at all. response:	But anyway, the three of us here are the only ones
context: but he's extremely scary when he gets angry.\I mean extremely.\We know.\It won't be good if he finds out about this morning practice.\It won't be good for me.\It's not that I'm scared or anything.\Absolutely not. Absolutely not at all.\But anyway, the three of us here are the only ones response:	that know about this morning practice, so make sure that you...
context: I mean extremely.\We know.\It won't be good if he finds out about this morning practice.\It won't be good for me.\It's not that I'm scared or anything.\Absolutely not. Absolutely not at all.\But anyway, the three of us here are the only ones\that know about this morning practice, so make sure that you... response:	Morning practice, huh? I knew it.
context: We know.\It won't be good if he finds out about this morning practice.\It won't be good for me.\It's not that I'm scared or anything.\Absolutely not. Absolutely not at all.\But anyway, the three of us here are the only ones\that know about this morning practice, so make sure that you...\Morning practice, huh? I knew it. response:	Suga-san.
context: It won't be good if he finds out about this morning practice.\It won't be good for me.\It's not that I'm scared or anything.\Absolutely not. Absolutely not at all.\But anyway, the three of us here are the only ones\that know about this morning practice, so make sure that you...\Morning practice, huh? I knew it.\Suga-san. response:	Hey.
context: It won't be good for me.\It's not that I'm scared or anything.\Absolutely not. Absolutely not at all.\But anyway, the three of us here are the only ones\that know about this morning practice, so make sure that you...\Morning practice, huh? I knew it.\Suga-san.\Hey. response:	But why...
context: It's not that I'm scared or anything.\Absolutely not. Absolutely not at all.\But anyway, the three of us here are the only ones\that know about this morning practice, so make sure that you...\Morning practice, huh? I knew it.\Suga-san.\Hey.\But why... response:	He's a third-year.
context: Absolutely not. Absolutely not at all.\But anyway, the three of us here are the only ones\that know about this morning practice, so make sure that you...\Morning practice, huh? I knew it.\Suga-san.\Hey.\But why...\He's a third-year. response:	Because you were obviously weird yesterday.
context: But anyway, the three of us here are the only ones\that know about this morning practice, so make sure that you...\Morning practice, huh? I knew it.\Suga-san.\Hey.\But why...\He's a third-year.\Because you were obviously weird yesterday. response:	You're always barely on time, but you voluntarily
context: that know about this morning practice, so make sure that you...\Morning practice, huh? I knew it.\Suga-san.\Hey.\But why...\He's a third-year.\Because you were obviously weird yesterday.\You're always barely on time, but you voluntarily response:	asked to be in charge of opening the lock.
context: Morning practice, huh? I knew it.\Suga-san.\Hey.\But why...\He's a third-year.\Because you were obviously weird yesterday.\You're always barely on time, but you voluntarily\asked to be in charge of opening the lock. response:	Oh... ah...
context: Suga-san.\Hey.\But why...\He's a third-year.\Because you were obviously weird yesterday.\You're always barely on time, but you voluntarily\asked to be in charge of opening the lock.\Oh... ah... response:	Don't worry, don't worry. I won't tell Daichi.
context: Hey.\But why...\He's a third-year.\Because you were obviously weird yesterday.\You're always barely on time, but you voluntarily\asked to be in charge of opening the lock.\Oh... ah...\Don't worry, don't worry. I won't tell Daichi. response:	This is like secret training or something.
context: But why...\He's a third-year.\Because you were obviously weird yesterday.\You're always barely on time, but you voluntarily\asked to be in charge of opening the lock.\Oh... ah...\Don't worry, don't worry. I won't tell Daichi.\This is like secret training or something. response:	It's kind of thrilling.
context: He's a third-year.\Because you were obviously weird yesterday.\You're always barely on time, but you voluntarily\asked to be in charge of opening the lock.\Oh... ah...\Don't worry, don't worry. I won't tell Daichi.\This is like secret training or something.\It's kind of thrilling. response:	Haikyu!!
context: Because you were obviously weird yesterday.\You're always barely on time, but you voluntarily\asked to be in charge of opening the lock.\Oh... ah...\Don't worry, don't worry. I won't tell Daichi.\This is like secret training or something.\It's kind of thrilling.\Haikyu!! response:	Episode 3: The Formidable Ally
context: You're always barely on time, but you voluntarily\asked to be in charge of opening the lock.\Oh... ah...\Don't worry, don't worry. I won't tell Daichi.\This is like secret training or something.\It's kind of thrilling.\Haikyu!!\Episode 3: The Formidable Ally response:	Come and get it!
context: asked to be in charge of opening the lock.\Oh... ah...\Don't worry, don't worry. I won't tell Daichi.\This is like secret training or something.\It's kind of thrilling.\Haikyu!!\Episode 3: The Formidable Ally\Come and get it! response:	Good, that was excellent.
context: Oh... ah...\Don't worry, don't worry. I won't tell Daichi.\This is like secret training or something.\It's kind of thrilling.\Haikyu!!\Episode 3: The Formidable Ally\Come and get it!\Good, that was excellent. response:	Hinata, don't get distracted.
context: Don't worry, don't worry. I won't tell Daichi.\This is like secret training or something.\It's kind of thrilling.\Haikyu!!\Episode 3: The Formidable Ally\Come and get it!\Good, that was excellent.\Hinata, don't get distracted. response:	I want to hit the ball, too. Send me a toss, too.
context: This is like secret training or something.\It's kind of thrilling.\Haikyu!!\Episode 3: The Formidable Ally\Come and get it!\Good, that was excellent.\Hinata, don't get distracted.\I want to hit the ball, too. Send me a toss, too. response:	Tossing's your favorite, right? Send me a toss, too.
context: It's kind of thrilling.\Haikyu!!\Episode 3: The Formidable Ally\Come and get it!\Good, that was excellent.\Hinata, don't get distracted.\I want to hit the ball, too. Send me a toss, too.\Tossing's your favorite, right? Send me a toss, too. response:	Just one.
context: Haikyu!!\Episode 3: The Formidable Ally\Come and get it!\Good, that was excellent.\Hinata, don't get distracted.\I want to hit the ball, too. Send me a toss, too.\Tossing's your favorite, right? Send me a toss, too.\Just one. response:	Hey, Hinata...
context: Episode 3: The Formidable Ally\Come and get it!\Good, that was excellent.\Hinata, don't get distracted.\I want to hit the ball, too. Send me a toss, too.\Tossing's your favorite, right? Send me a toss, too.\Just one.\Hey, Hinata... response:	Just try me out, once. Okay?
context: Come and get it!\Good, that was excellent.\Hinata, don't get distracted.\I want to hit the ball, too. Send me a toss, too.\Tossing's your favorite, right? Send me a toss, too.\Just one.\Hey, Hinata...\Just try me out, once. Okay? response:	I refuse.
context: Good, that was excellent.\Hinata, don't get distracted.\I want to hit the ball, too. Send me a toss, too.\Tossing's your favorite, right? Send me a toss, too.\Just one.\Hey, Hinata...\Just try me out, once. Okay?\I refuse. response:	What is this? Stinginess?
context: Hinata, don't get distracted.\I want to hit the ball, too. Send me a toss, too.\Tossing's your favorite, right? Send me a toss, too.\Just one.\Hey, Hinata...\Just try me out, once. Okay?\I refuse.\What is this? Stinginess? response:	That's right, that's right.
context: I want to hit the ball, too. Send me a toss, too.\Tossing's your favorite, right? Send me a toss, too.\Just one.\Hey, Hinata...\Just try me out, once. Okay?\I refuse.\What is this? Stinginess?\That's right, that's right. response:	That came straight at you from front.
context: Tossing's your favorite, right? Send me a toss, too.\Just one.\Hey, Hinata...\Just try me out, once. Okay?\I refuse.\What is this? Stinginess?\That's right, that's right.\That came straight at you from front. response:	Tossing and attacking happen only if there's a reception.
context: Just one.\Hey, Hinata...\Just try me out, once. Okay?\I refuse.\What is this? Stinginess?\That's right, that's right.\That came straight at you from front.\Tossing and attacking happen only if there's a reception. response:	Which you're too slow to even do, so don't talk cocky.
context: Hey, Hinata...\Just try me out, once. Okay?\I refuse.\What is this? Stinginess?\That's right, that's right.\That came straight at you from front.\Tossing and attacking happen only if there's a reception.\Which you're too slow to even do, so don't talk cocky. response:	For the three-on-three match this Saturday,
context: Just try me out, once. Okay?\I refuse.\What is this? Stinginess?\That's right, that's right.\That came straight at you from front.\Tossing and attacking happen only if there's a reception.\Which you're too slow to even do, so don't talk cocky.\For the three-on-three match this Saturday, response:	I'll make every effort to give Tanaka-san all the tosses.
context: I refuse.\What is this? Stinginess?\That's right, that's right.\That came straight at you from front.\Tossing and attacking happen only if there's a reception.\Which you're too slow to even do, so don't talk cocky.\For the three-on-three match this Saturday,\I'll make every effort to give Tanaka-san all the tosses. response:	Let Tanaka-san do the attacking.
context: What is this? Stinginess?\That's right, that's right.\That came straight at you from front.\Tossing and attacking happen only if there's a reception.\Which you're too slow to even do, so don't talk cocky.\For the three-on-three match this Saturday,\I'll make every effort to give Tanaka-san all the tosses.\Let Tanaka-san do the attacking. response:	You do your best to not get in our way.
context: That's right, that's right.\That came straight at you from front.\Tossing and attacking happen only if there's a reception.\Which you're too slow to even do, so don't talk cocky.\For the three-on-three match this Saturday,\I'll make every effort to give Tanaka-san all the tosses.\Let Tanaka-san do the attacking.\You do your best to not get in our way. response:	When I can receive satisfactorily, you'll send me tosses, too?
context: That came straight at you from front.\Tossing and attacking happen only if there's a reception.\Which you're too slow to even do, so don't talk cocky.\For the three-on-three match this Saturday,\I'll make every effort to give Tanaka-san all the tosses.\Let Tanaka-san do the attacking.\You do your best to not get in our way.\When I can receive satisfactorily, you'll send me tosses, too? response:	I'll toss to anyone who's essential to winning.
context: Tossing and attacking happen only if there's a reception.\Which you're too slow to even do, so don't talk cocky.\For the three-on-three match this Saturday,\I'll make every effort to give Tanaka-san all the tosses.\Let Tanaka-san do the attacking.\You do your best to not get in our way.\When I can receive satisfactorily, you'll send me tosses, too?\I'll toss to anyone who's essential to winning. response:	Right now, I don't think you're essential to winning.
context: Which you're too slow to even do, so don't talk cocky.\For the three-on-three match this Saturday,\I'll make every effort to give Tanaka-san all the tosses.\Let Tanaka-san do the attacking.\You do your best to not get in our way.\When I can receive satisfactorily, you'll send me tosses, too?\I'll toss to anyone who's essential to winning.\Right now, I don't think you're essential to winning. response:	Nasty.
context: For the three-on-three match this Saturday,\I'll make every effort to give Tanaka-san all the tosses.\Let Tanaka-san do the attacking.\You do your best to not get in our way.\When I can receive satisfactorily, you'll send me tosses, too?\I'll toss to anyone who's essential to winning.\Right now, I don't think you're essential to winning.\Nasty. response:	What's it take to toss him a few here and there?
context: I'll make every effort to give Tanaka-san all the tosses.\Let Tanaka-san do the attacking.\You do your best to not get in our way.\When I can receive satisfactorily, you'll send me tosses, too?\I'll toss to anyone who's essential to winning.\Right now, I don't think you're essential to winning.\Nasty.\What's it take to toss him a few here and there? response:	It's getting to be that time. We'd better clean up.
context: Let Tanaka-san do the attacking.\You do your best to not get in our way.\When I can receive satisfactorily, you'll send me tosses, too?\I'll toss to anyone who's essential to winning.\Right now, I don't think you're essential to winning.\Nasty.\What's it take to toss him a few here and there?\It's getting to be that time. We'd better clean up. response:	Crap. Hurry! Erase all evidence!
context: You do your best to not get in our way.\When I can receive satisfactorily, you'll send me tosses, too?\I'll toss to anyone who's essential to winning.\Right now, I don't think you're essential to winning.\Nasty.\What's it take to toss him a few here and there?\It's getting to be that time. We'd better clean up.\Crap. Hurry! Erase all evidence! response:	Tanaka, get a mop!
context: When I can receive satisfactorily, you'll send me tosses, too?\I'll toss to anyone who's essential to winning.\Right now, I don't think you're essential to winning.\Nasty.\What's it take to toss him a few here and there?\It's getting to be that time. We'd better clean up.\Crap. Hurry! Erase all evidence!\Tanaka, get a mop! response:	Damn it...
context: I'll toss to anyone who's essential to winning.\Right now, I don't think you're essential to winning.\Nasty.\What's it take to toss him a few here and there?\It's getting to be that time. We'd better clean up.\Crap. Hurry! Erase all evidence!\Tanaka, get a mop!\Damn it... response:	Yes.
context: Right now, I don't think you're essential to winning.\Nasty.\What's it take to toss him a few here and there?\It's getting to be that time. We'd better clean up.\Crap. Hurry! Erase all evidence!\Tanaka, get a mop!\Damn it...\Yes. response:	Damn it...
context: Nasty.\What's it take to toss him a few here and there?\It's getting to be that time. We'd better clean up.\Crap. Hurry! Erase all evidence!\Tanaka, get a mop!\Damn it...\Yes.\Damn it... response:	Hinata, drop your waist,
context: What's it take to toss him a few here and there?\It's getting to be that time. We'd better clean up.\Crap. Hurry! Erase all evidence!\Tanaka, get a mop!\Damn it...\Yes.\Damn it...\Hinata, drop your waist, response:	and hit it like you're sending it right back in the direction it came from.
context: It's getting to be that time. We'd better clean up.\Crap. Hurry! Erase all evidence!\Tanaka, get a mop!\Damn it...\Yes.\Damn it...\Hinata, drop your waist,\and hit it like you're sending it right back in the direction it came from. response:	Yes.
context: Crap. Hurry! Erase all evidence!\Tanaka, get a mop!\Damn it...\Yes.\Damn it...\Hinata, drop your waist,\and hit it like you're sending it right back in the direction it came from.\Yes. response:	Here goes.
context: Tanaka, get a mop!\Damn it...\Yes.\Damn it...\Hinata, drop your waist,\and hit it like you're sending it right back in the direction it came from.\Yes.\Here goes. response:	Oh, that was a good one.
context: Damn it...\Yes.\Damn it...\Hinata, drop your waist,\and hit it like you're sending it right back in the direction it came from.\Yes.\Here goes.\Oh, that was a good one. response:	Hey, Hinata.
context: Yes.\Damn it...\Hinata, drop your waist,\and hit it like you're sending it right back in the direction it came from.\Yes.\Here goes.\Oh, that was a good one.\Hey, Hinata. response:	You want me to toss to you, starting tomorrow morning?
context: Damn it...\Hinata, drop your waist,\and hit it like you're sending it right back in the direction it came from.\Yes.\Here goes.\Oh, that was a good one.\Hey, Hinata.\You want me to toss to you, starting tomorrow morning? response:	Really? You will?
context: Hinata, drop your waist,\and hit it like you're sending it right back in the direction it came from.\Yes.\Here goes.\Oh, that was a good one.\Hey, Hinata.\You want me to toss to you, starting tomorrow morning?\Really? You will? response:	I'm the official setter of Karasuno, you know.
context: and hit it like you're sending it right back in the direction it came from.\Yes.\Here goes.\Oh, that was a good one.\Hey, Hinata.\You want me to toss to you, starting tomorrow morning?\Really? You will?\I'm the official setter of Karasuno, you know. response:	You want to practice spiking, right?
context: Yes.\Here goes.\Oh, that was a good one.\Hey, Hinata.\You want me to toss to you, starting tomorrow morning?\Really? You will?\I'm the official setter of Karasuno, you know.\You want to practice spiking, right? response:	Oh, yes. I love spiking.
context: Here goes.\Oh, that was a good one.\Hey, Hinata.\You want me to toss to you, starting tomorrow morning?\Really? You will?\I'm the official setter of Karasuno, you know.\You want to practice spiking, right?\Oh, yes. I love spiking. response:	It feels great when it works, and it's awesome!
context: Oh, that was a good one.\Hey, Hinata.\You want me to toss to you, starting tomorrow morning?\Really? You will?\I'm the official setter of Karasuno, you know.\You want to practice spiking, right?\Oh, yes. I love spiking.\It feels great when it works, and it's awesome! response:	Sounds like you got some spiking memories.
context: Hey, Hinata.\You want me to toss to you, starting tomorrow morning?\Really? You will?\I'm the official setter of Karasuno, you know.\You want to practice spiking, right?\Oh, yes. I love spiking.\It feels great when it works, and it's awesome!\Sounds like you got some spiking memories. response:	Yes. All three years in junior high there was no setter or anything.
context: You want me to toss to you, starting tomorrow morning?\Really? You will?\I'm the official setter of Karasuno, you know.\You want to practice spiking, right?\Oh, yes. I love spiking.\It feels great when it works, and it's awesome!\Sounds like you got some spiking memories.\Yes. All three years in junior high there was no setter or anything. response:	I was the only club member.
context: Really? You will?\I'm the official setter of Karasuno, you know.\You want to practice spiking, right?\Oh, yes. I love spiking.\It feels great when it works, and it's awesome!\Sounds like you got some spiking memories.\Yes. All three years in junior high there was no setter or anything.\I was the only club member. response:	My friends in the basketball club would toss for me.
context: I'm the official setter of Karasuno, you know.\You want to practice spiking, right?\Oh, yes. I love spiking.\It feels great when it works, and it's awesome!\Sounds like you got some spiking memories.\Yes. All three years in junior high there was no setter or anything.\I was the only club member.\My friends in the basketball club would toss for me. response:	Yikes, I'm sorry. I didn't mean for it to go there.
context: You want to practice spiking, right?\Oh, yes. I love spiking.\It feels great when it works, and it's awesome!\Sounds like you got some spiking memories.\Yes. All three years in junior high there was no setter or anything.\I was the only club member.\My friends in the basketball club would toss for me.\Yikes, I'm sorry. I didn't mean for it to go there. response:	Even after club activities, I had first-years,
context: Oh, yes. I love spiking.\It feels great when it works, and it's awesome!\Sounds like you got some spiking memories.\Yes. All three years in junior high there was no setter or anything.\I was the only club member.\My friends in the basketball club would toss for me.\Yikes, I'm sorry. I didn't mean for it to go there.\Even after club activities, I had first-years, response:	mothers, setters from the girl's team throw tosses to me...
context: It feels great when it works, and it's awesome!\Sounds like you got some spiking memories.\Yes. All three years in junior high there was no setter or anything.\I was the only club member.\My friends in the basketball club would toss for me.\Yikes, I'm sorry. I didn't mean for it to go there.\Even after club activities, I had first-years,\mothers, setters from the girl's team throw tosses to me... response:	We got along well and we're friends, but still,
context: Sounds like you got some spiking memories.\Yes. All three years in junior high there was no setter or anything.\I was the only club member.\My friends in the basketball club would toss for me.\Yikes, I'm sorry. I didn't mean for it to go there.\Even after club activities, I had first-years,\mothers, setters from the girl's team throw tosses to me...\We got along well and we're friends, but still, response:	they weren't really teammates.
context: Yes. All three years in junior high there was no setter or anything.\I was the only club member.\My friends in the basketball club would toss for me.\Yikes, I'm sorry. I didn't mean for it to go there.\Even after club activities, I had first-years,\mothers, setters from the girl's team throw tosses to me...\We got along well and we're friends, but still,\they weren't really teammates. response:	That's why I used to wonder what kind of setter I'd have in high school.
context: I was the only club member.\My friends in the basketball club would toss for me.\Yikes, I'm sorry. I didn't mean for it to go there.\Even after club activities, I had first-years,\mothers, setters from the girl's team throw tosses to me...\We got along well and we're friends, but still,\they weren't really teammates.\That's why I used to wonder what kind of setter I'd have in high school. response:	You're lousy as shit.
context: My friends in the basketball club would toss for me.\Yikes, I'm sorry. I didn't mean for it to go there.\Even after club activities, I had first-years,\mothers, setters from the girl's team throw tosses to me...\We got along well and we're friends, but still,\they weren't really teammates.\That's why I used to wonder what kind of setter I'd have in high school.\You're lousy as shit. response:	I was looking forward to it...
context: Yikes, I'm sorry. I didn't mean for it to go there.\Even after club activities, I had first-years,\mothers, setters from the girl's team throw tosses to me...\We got along well and we're friends, but still,\they weren't really teammates.\That's why I used to wonder what kind of setter I'd have in high school.\You're lousy as shit.\I was looking forward to it... response:	You suck.
context: Even after club activities, I had first-years,\mothers, setters from the girl's team throw tosses to me...\We got along well and we're friends, but still,\they weren't really teammates.\That's why I used to wonder what kind of setter I'd have in high school.\You're lousy as shit.\I was looking forward to it...\You suck. response:	Like I said, I'm a setter. I'll toss to you.
