context: Dang... I finally climbed up the ladder enough to get a TV appearance. response:	These greenrooms sure do make you restless, though.
context: Dang... I finally climbed up the ladder enough to get a TV appearance.\These greenrooms sure do make you restless, though. response:	Reigen-san, you're up.
context: Dang... I finally climbed up the ladder enough to get a TV appearance.\These greenrooms sure do make you restless, though.\Reigen-san, you're up. response:	All right. Let's do this.
context: Dang... I finally climbed up the ladder enough to get a TV appearance.\These greenrooms sure do make you restless, though.\Reigen-san, you're up.\All right. Let's do this. response:	Tea
context: Dang... I finally climbed up the ladder enough to get a TV appearance.\These greenrooms sure do make you restless, though.\Reigen-san, you're up.\All right. Let's do this.\Tea response:	Supernatural Detective! Do Spiritual Powers Actually Exist!? Special
context: Dang... I finally climbed up the ladder enough to get a TV appearance.\These greenrooms sure do make you restless, though.\Reigen-san, you're up.\All right. Let's do this.\Tea\Supernatural Detective! Do Spiritual Powers Actually Exist!? Special response:	Mob Psycho
context: Dang... I finally climbed up the ladder enough to get a TV appearance.\These greenrooms sure do make you restless, though.\Reigen-san, you're up.\All right. Let's do this.\Tea\Supernatural Detective! Do Spiritual Powers Actually Exist!? Special\Mob Psycho response:	__ __
context: Dang... I finally climbed up the ladder enough to get a TV appearance.\These greenrooms sure do make you restless, though.\Reigen-san, you're up.\All right. Let's do this.\Tea\Supernatural Detective! Do Spiritual Powers Actually Exist!? Special\Mob Psycho\__ __ response:	A boy was possessed by a fox after playing Kokkuri-san after school!?
context: These greenrooms sure do make you restless, though.\Reigen-san, you're up.\All right. Let's do this.\Tea\Supernatural Detective! Do Spiritual Powers Actually Exist!? Special\Mob Psycho\__ __\A boy was possessed by a fox after playing Kokkuri-san after school!? response:	Oh, this must be it. Jodo-sama's return to TV.
context: Reigen-san, you're up.\All right. Let's do this.\Tea\Supernatural Detective! Do Spiritual Powers Actually Exist!? Special\Mob Psycho\__ __\A boy was possessed by a fox after playing Kokkuri-san after school!?\Oh, this must be it. Jodo-sama's return to TV. response:	R-Reigen?!
context: All right. Let's do this.\Tea\Supernatural Detective! Do Spiritual Powers Actually Exist!? Special\Mob Psycho\__ __\A boy was possessed by a fox after playing Kokkuri-san after school!?\Oh, this must be it. Jodo-sama's return to TV.\R-Reigen?! response:	What the heck is he doing?
context: Tea\Supernatural Detective! Do Spiritual Powers Actually Exist!? Special\Mob Psycho\__ __\A boy was possessed by a fox after playing Kokkuri-san after school!?\Oh, this must be it. Jodo-sama's return to TV.\R-Reigen?!\What the heck is he doing? response:	And now... Will we be able to save the poor,
context: Supernatural Detective! Do Spiritual Powers Actually Exist!? Special\Mob Psycho\__ __\A boy was possessed by a fox after playing Kokkuri-san after school!?\Oh, this must be it. Jodo-sama's return to TV.\R-Reigen?!\What the heck is he doing?\And now... Will we be able to save the poor, response:	Host
context: Mob Psycho\__ __\A boy was possessed by a fox after playing Kokkuri-san after school!?\Oh, this must be it. Jodo-sama's return to TV.\R-Reigen?!\What the heck is he doing?\And now... Will we be able to save the poor,\Host response:	Ebihara Morizo
context: __ __\A boy was possessed by a fox after playing Kokkuri-san after school!?\Oh, this must be it. Jodo-sama's return to TV.\R-Reigen?!\What the heck is he doing?\And now... Will we be able to save the poor,\Host\Ebihara Morizo response:	unfortunate young man that's been possessed?
context: A boy was possessed by a fox after playing Kokkuri-san after school!?\Oh, this must be it. Jodo-sama's return to TV.\R-Reigen?!\What the heck is he doing?\And now... Will we be able to save the poor,\Host\Ebihara Morizo\unfortunate young man that's been possessed? response:	Let's introduce our two powerful helpers!
context: Oh, this must be it. Jodo-sama's return to TV.\R-Reigen?!\What the heck is he doing?\And now... Will we be able to save the poor,\Host\Ebihara Morizo\unfortunate young man that's been possessed?\Let's introduce our two powerful helpers! response:	The first one needs no introduction.
context: R-Reigen?!\What the heck is he doing?\And now... Will we be able to save the poor,\Host\Ebihara Morizo\unfortunate young man that's been possessed?\Let's introduce our two powerful helpers!\The first one needs no introduction. response:	The president of the Rising Sun Spiritual Union, Jodo Kirin-sensei!
