context: Are you sure you're okay? response:	Yeah, I'm totally fine.
context: Are you sure you're okay?\Yeah, I'm totally fine. response:	Hey!
context: Are you sure you're okay?\Yeah, I'm totally fine.\Hey! response:	I can hear it... that sound.
context: Are you sure you're okay?\Yeah, I'm totally fine.\Hey!\I can hear it... that sound. response:	Miuna! Don't rush off!
context: Are you sure you're okay?\Yeah, I'm totally fine.\Hey!\I can hear it... that sound.\Miuna! Don't rush off! response:	Hikari, look.
context: Are you sure you're okay?\Yeah, I'm totally fine.\Hey!\I can hear it... that sound.\Miuna! Don't rush off!\Hikari, look. response:	What is that?
context: Are you sure you're okay?\Yeah, I'm totally fine.\Hey!\I can hear it... that sound.\Miuna! Don't rush off!\Hikari, look.\What is that? response:	Miuna! Come back!
context: Are you sure you're okay?\Yeah, I'm totally fine.\Hey!\I can hear it... that sound.\Miuna! Don't rush off!\Hikari, look.\What is that?\Miuna! Come back! response:	Beyond that is...
context: Yeah, I'm totally fine.\Hey!\I can hear it... that sound.\Miuna! Don't rush off!\Hikari, look.\What is that?\Miuna! Come back!\Beyond that is... response:	It was a mysterious sound.
context: Hey!\I can hear it... that sound.\Miuna! Don't rush off!\Hikari, look.\What is that?\Miuna! Come back!\Beyond that is...\It was a mysterious sound. response:	Like grains of sand scraping against each other...
context: I can hear it... that sound.\Miuna! Don't rush off!\Hikari, look.\What is that?\Miuna! Come back!\Beyond that is...\It was a mysterious sound.\Like grains of sand scraping against each other... response:	Like Manaka-san's heart pounding...
context: Miuna! Don't rush off!\Hikari, look.\What is that?\Miuna! Come back!\Beyond that is...\It was a mysterious sound.\Like grains of sand scraping against each other...\Like Manaka-san's heart pounding... response:	Like it was hitting waves.
context: Hikari, look.\What is that?\Miuna! Come back!\Beyond that is...\It was a mysterious sound.\Like grains of sand scraping against each other...\Like Manaka-san's heart pounding...\Like it was hitting waves. response:	It's Shioshishio...
context: What is that?\Miuna! Come back!\Beyond that is...\It was a mysterious sound.\Like grains of sand scraping against each other...\Like Manaka-san's heart pounding...\Like it was hitting waves.\It's Shioshishio... response:	Episode Eighteen: Shioshishio
context: Miuna! Come back!\Beyond that is...\It was a mysterious sound.\Like grains of sand scraping against each other...\Like Manaka-san's heart pounding...\Like it was hitting waves.\It's Shioshishio...\Episode Eighteen: Shioshishio response:	It's so quiet.
context: Beyond that is...\It was a mysterious sound.\Like grains of sand scraping against each other...\Like Manaka-san's heart pounding...\Like it was hitting waves.\It's Shioshishio...\Episode Eighteen: Shioshishio\It's so quiet. response:	Of course. Everyone's asleep.
context: It was a mysterious sound.\Like grains of sand scraping against each other...\Like Manaka-san's heart pounding...\Like it was hitting waves.\It's Shioshishio...\Episode Eighteen: Shioshishio\It's so quiet.\Of course. Everyone's asleep. response:	Yeah.
context: Like grains of sand scraping against each other...\Like Manaka-san's heart pounding...\Like it was hitting waves.\It's Shioshishio...\Episode Eighteen: Shioshishio\It's so quiet.\Of course. Everyone's asleep.\Yeah. response:	If everyone was wandering around like sleepwalkers,
context: Like Manaka-san's heart pounding...\Like it was hitting waves.\It's Shioshishio...\Episode Eighteen: Shioshishio\It's so quiet.\Of course. Everyone's asleep.\Yeah.\If everyone was wandering around like sleepwalkers, response:	it'd be creepy.
context: Like it was hitting waves.\It's Shioshishio...\Episode Eighteen: Shioshishio\It's so quiet.\Of course. Everyone's asleep.\Yeah.\If everyone was wandering around like sleepwalkers,\it'd be creepy. response:	This is Shioshishio...
context: It's Shioshishio...\Episode Eighteen: Shioshishio\It's so quiet.\Of course. Everyone's asleep.\Yeah.\If everyone was wandering around like sleepwalkers,\it'd be creepy.\This is Shioshishio... response:	Where Hikari, Kaname-san, Chisaki-san...
context: Episode Eighteen: Shioshishio\It's so quiet.\Of course. Everyone's asleep.\Yeah.\If everyone was wandering around like sleepwalkers,\it'd be creepy.\This is Shioshishio...\Where Hikari, Kaname-san, Chisaki-san... response:	and Manaka-san lived.
context: It's so quiet.\Of course. Everyone's asleep.\Yeah.\If everyone was wandering around like sleepwalkers,\it'd be creepy.\This is Shioshishio...\Where Hikari, Kaname-san, Chisaki-san...\and Manaka-san lived. response:	But...
context: Of course. Everyone's asleep.\Yeah.\If everyone was wandering around like sleepwalkers,\it'd be creepy.\This is Shioshishio...\Where Hikari, Kaname-san, Chisaki-san...\and Manaka-san lived.\But... response:	Is this okay?
context: Yeah.\If everyone was wandering around like sleepwalkers,\it'd be creepy.\This is Shioshishio...\Where Hikari, Kaname-san, Chisaki-san...\and Manaka-san lived.\But...\Is this okay? response:	Yeah, I think so.
context: If everyone was wandering around like sleepwalkers,\it'd be creepy.\This is Shioshishio...\Where Hikari, Kaname-san, Chisaki-san...\and Manaka-san lived.\But...\Is this okay?\Yeah, I think so. response:	The light is on.
context: it'd be creepy.\This is Shioshishio...\Where Hikari, Kaname-san, Chisaki-san...\and Manaka-san lived.\But...\Is this okay?\Yeah, I think so.\The light is on. response:	Apparently with this, they can find out all sorts of things,
context: This is Shioshishio...\Where Hikari, Kaname-san, Chisaki-san...\and Manaka-san lived.\But...\Is this okay?\Yeah, I think so.\The light is on.\Apparently with this, they can find out all sorts of things, response:	like the salt density and the flow of the tide.
context: Where Hikari, Kaname-san, Chisaki-san...\and Manaka-san lived.\But...\Is this okay?\Yeah, I think so.\The light is on.\Apparently with this, they can find out all sorts of things,\like the salt density and the flow of the tide. response:	Miuna!
context: and Manaka-san lived.\But...\Is this okay?\Yeah, I think so.\The light is on.\Apparently with this, they can find out all sorts of things,\like the salt density and the flow of the tide.\Miuna! response:	It's not really like this.
context: But...\Is this okay?\Yeah, I think so.\The light is on.\Apparently with this, they can find out all sorts of things,\like the salt density and the flow of the tide.\Miuna!\It's not really like this. response:	Huh?
context: Is this okay?\Yeah, I think so.\The light is on.\Apparently with this, they can find out all sorts of things,\like the salt density and the flow of the tide.\Miuna!\It's not really like this.\Huh? response:	Let's go look for Manaka.
context: Yeah, I think so.\The light is on.\Apparently with this, they can find out all sorts of things,\like the salt density and the flow of the tide.\Miuna!\It's not really like this.\Huh?\Let's go look for Manaka. response:	Old man Hayakawa...
context: The light is on.\Apparently with this, they can find out all sorts of things,\like the salt density and the flow of the tide.\Miuna!\It's not really like this.\Huh?\Let's go look for Manaka.\Old man Hayakawa... response:	I wonder if he was trying to guard the place.
context: Apparently with this, they can find out all sorts of things,\like the salt density and the flow of the tide.\Miuna!\It's not really like this.\Huh?\Let's go look for Manaka.\Old man Hayakawa...\I wonder if he was trying to guard the place. response:	Even though we were told that during the hibernation,
context: like the salt density and the flow of the tide.\Miuna!\It's not really like this.\Huh?\Let's go look for Manaka.\Old man Hayakawa...\I wonder if he was trying to guard the place.\Even though we were told that during the hibernation, response:	we should be relaxing at our own houses.
context: Miuna!\It's not really like this.\Huh?\Let's go look for Manaka.\Old man Hayakawa...\I wonder if he was trying to guard the place.\Even though we were told that during the hibernation,\we should be relaxing at our own houses. response:	His back's gonna hurt when he wakes up.
context: It's not really like this.\Huh?\Let's go look for Manaka.\Old man Hayakawa...\I wonder if he was trying to guard the place.\Even though we were told that during the hibernation,\we should be relaxing at our own houses.\His back's gonna hurt when he wakes up. response:	He's just sleeping.
context: Huh?\Let's go look for Manaka.\Old man Hayakawa...\I wonder if he was trying to guard the place.\Even though we were told that during the hibernation,\we should be relaxing at our own houses.\His back's gonna hurt when he wakes up.\He's just sleeping. response:	Huh?
context: Let's go look for Manaka.\Old man Hayakawa...\I wonder if he was trying to guard the place.\Even though we were told that during the hibernation,\we should be relaxing at our own houses.\His back's gonna hurt when he wakes up.\He's just sleeping.\Huh? response:	Yeah, he's just sleeping.
context: Old man Hayakawa...\I wonder if he was trying to guard the place.\Even though we were told that during the hibernation,\we should be relaxing at our own houses.\His back's gonna hurt when he wakes up.\He's just sleeping.\Huh?\Yeah, he's just sleeping. response:	Once he wakes up, he'll be back to normal.
context: I wonder if he was trying to guard the place.\Even though we were told that during the hibernation,\we should be relaxing at our own houses.\His back's gonna hurt when he wakes up.\He's just sleeping.\Huh?\Yeah, he's just sleeping.\Once he wakes up, he'll be back to normal. response:	Yeah, back to normal.
context: Even though we were told that during the hibernation,\we should be relaxing at our own houses.\His back's gonna hurt when he wakes up.\He's just sleeping.\Huh?\Yeah, he's just sleeping.\Once he wakes up, he'll be back to normal.\Yeah, back to normal. response:	This was the place I always dreamed of...
context: we should be relaxing at our own houses.\His back's gonna hurt when he wakes up.\He's just sleeping.\Huh?\Yeah, he's just sleeping.\Once he wakes up, he'll be back to normal.\Yeah, back to normal.\This was the place I always dreamed of... response:	And yet...
context: His back's gonna hurt when he wakes up.\He's just sleeping.\Huh?\Yeah, he's just sleeping.\Once he wakes up, he'll be back to normal.\Yeah, back to normal.\This was the place I always dreamed of...\And yet... response:	What are you so scared of?
context: He's just sleeping.\Huh?\Yeah, he's just sleeping.\Once he wakes up, he'll be back to normal.\Yeah, back to normal.\This was the place I always dreamed of...\And yet...\What are you so scared of? response:	Huh?
context: Huh?\Yeah, he's just sleeping.\Once he wakes up, he'll be back to normal.\Yeah, back to normal.\This was the place I always dreamed of...\And yet...\What are you so scared of?\Huh? response:	I told you, they're just hibernating!
