context: Akaashi... response:	Don't toss to me anymore!
context: Akaashi...\Don't toss to me anymore! response:	All right.
context: Akaashi...\Don't toss to me anymore!\All right. response:	Huh?
context: Akaashi...\Don't toss to me anymore!\All right.\Huh? response:	Then please calm down in the time that I'm not tossing to you.
context: Akaashi...\Don't toss to me anymore!\All right.\Huh?\Then please calm down in the time that I'm not tossing to you. response:	I don't know what's going on,
context: Akaashi...\Don't toss to me anymore!\All right.\Huh?\Then please calm down in the time that I'm not tossing to you.\I don't know what's going on, response:	but their ace doesn't seem to be doing well.
context: Akaashi...\Don't toss to me anymore!\All right.\Huh?\Then please calm down in the time that I'm not tossing to you.\I don't know what's going on,\but their ace doesn't seem to be doing well. response:	Let's keep it up!
context: Akaashi...\Don't toss to me anymore!\All right.\Huh?\Then please calm down in the time that I'm not tossing to you.\I don't know what's going on,\but their ace doesn't seem to be doing well.\Let's keep it up! response:	Yeah!
context: Don't toss to me anymore!\All right.\Huh?\Then please calm down in the time that I'm not tossing to you.\I don't know what's going on,\but their ace doesn't seem to be doing well.\Let's keep it up!\Yeah! response:	Haikyu!!
context: All right.\Huh?\Then please calm down in the time that I'm not tossing to you.\I don't know what's going on,\but their ace doesn't seem to be doing well.\Let's keep it up!\Yeah!\Haikyu!! response:	Episode 11: Above
context: Huh?\Then please calm down in the time that I'm not tossing to you.\I don't know what's going on,\but their ace doesn't seem to be doing well.\Let's keep it up!\Yeah!\Haikyu!!\Episode 11: Above response:	All right!
context: Then please calm down in the time that I'm not tossing to you.\I don't know what's going on,\but their ace doesn't seem to be doing well.\Let's keep it up!\Yeah!\Haikyu!!\Episode 11: Above\All right! response:	Nice kill!
context: I don't know what's going on,\but their ace doesn't seem to be doing well.\Let's keep it up!\Yeah!\Haikyu!!\Episode 11: Above\All right!\Nice kill! response:	Yeah!
context: but their ace doesn't seem to be doing well.\Let's keep it up!\Yeah!\Haikyu!!\Episode 11: Above\All right!\Nice kill!\Yeah! response:	All right!
context: Let's keep it up!\Yeah!\Haikyu!!\Episode 11: Above\All right!\Nice kill!\Yeah!\All right! response:	Karasuno Fukurodani
context: Yeah!\Haikyu!!\Episode 11: Above\All right!\Nice kill!\Yeah!\All right!\Karasuno Fukurodani response:	M-Maybe I'm just imagining it,
context: Haikyu!!\Episode 11: Above\All right!\Nice kill!\Yeah!\All right!\Karasuno Fukurodani\M-Maybe I'm just imagining it, response:	but it doesn't seem like Fukurodani is fazed at all.
context: Episode 11: Above\All right!\Nice kill!\Yeah!\All right!\Karasuno Fukurodani\M-Maybe I'm just imagining it,\but it doesn't seem like Fukurodani is fazed at all. response:	Yeah...
context: All right!\Nice kill!\Yeah!\All right!\Karasuno Fukurodani\M-Maybe I'm just imagining it,\but it doesn't seem like Fukurodani is fazed at all.\Yeah... response:	Chance ball!
context: Nice kill!\Yeah!\All right!\Karasuno Fukurodani\M-Maybe I'm just imagining it,\but it doesn't seem like Fukurodani is fazed at all.\Yeah...\Chance ball! response:	Here.
context: Yeah!\All right!\Karasuno Fukurodani\M-Maybe I'm just imagining it,\but it doesn't seem like Fukurodani is fazed at all.\Yeah...\Chance ball!\Here. response:	Right now, there are two attackers in Fukurodani's front line.
context: All right!\Karasuno Fukurodani\M-Maybe I'm just imagining it,\but it doesn't seem like Fukurodani is fazed at all.\Yeah...\Chance ball!\Here.\Right now, there are two attackers in Fukurodani's front line. response:	Is it going to be a quick from the center,
context: Karasuno Fukurodani\M-Maybe I'm just imagining it,\but it doesn't seem like Fukurodani is fazed at all.\Yeah...\Chance ball!\Here.\Right now, there are two attackers in Fukurodani's front line.\Is it going to be a quick from the center, response:	an attack from the back,
context: M-Maybe I'm just imagining it,\but it doesn't seem like Fukurodani is fazed at all.\Yeah...\Chance ball!\Here.\Right now, there are two attackers in Fukurodani's front line.\Is it going to be a quick from the center,\an attack from the back, response:	or is their 4 finally going to do something again?
context: but it doesn't seem like Fukurodani is fazed at all.\Yeah...\Chance ball!\Here.\Right now, there are two attackers in Fukurodani's front line.\Is it going to be a quick from the center,\an attack from the back,\or is their 4 finally going to do something again? response:	A dump!
context: Yeah...\Chance ball!\Here.\Right now, there are two attackers in Fukurodani's front line.\Is it going to be a quick from the center,\an attack from the back,\or is their 4 finally going to do something again?\A dump! response:	Karasuno Fukurodani
context: Chance ball!\Here.\Right now, there are two attackers in Fukurodani's front line.\Is it going to be a quick from the center,\an attack from the back,\or is their 4 finally going to do something again?\A dump!\Karasuno Fukurodani response:	Fukurodani's turning the tables again.
context: Here.\Right now, there are two attackers in Fukurodani's front line.\Is it going to be a quick from the center,\an attack from the back,\or is their 4 finally going to do something again?\A dump!\Karasuno Fukurodani\Fukurodani's turning the tables again. response:	And the ace hasn't even hit anything!
context: Right now, there are two attackers in Fukurodani's front line.\Is it going to be a quick from the center,\an attack from the back,\or is their 4 finally going to do something again?\A dump!\Karasuno Fukurodani\Fukurodani's turning the tables again.\And the ace hasn't even hit anything! response:	Bokuto may look like the big brother,
context: Is it going to be a quick from the center,\an attack from the back,\or is their 4 finally going to do something again?\A dump!\Karasuno Fukurodani\Fukurodani's turning the tables again.\And the ace hasn't even hit anything!\Bokuto may look like the big brother, response:	but he's actually the baby of the family.
context: an attack from the back,\or is their 4 finally going to do something again?\A dump!\Karasuno Fukurodani\Fukurodani's turning the tables again.\And the ace hasn't even hit anything!\Bokuto may look like the big brother,\but he's actually the baby of the family. response:	Nice, Akaashi!
context: or is their 4 finally going to do something again?\A dump!\Karasuno Fukurodani\Fukurodani's turning the tables again.\And the ace hasn't even hit anything!\Bokuto may look like the big brother,\but he's actually the baby of the family.\Nice, Akaashi! response:	Thank you.
context: A dump!\Karasuno Fukurodani\Fukurodani's turning the tables again.\And the ace hasn't even hit anything!\Bokuto may look like the big brother,\but he's actually the baby of the family.\Nice, Akaashi!\Thank you. response:	He is pretty amazing on his own, though.
context: Karasuno Fukurodani\Fukurodani's turning the tables again.\And the ace hasn't even hit anything!\Bokuto may look like the big brother,\but he's actually the baby of the family.\Nice, Akaashi!\Thank you.\He is pretty amazing on his own, though. response:	Nice receive!
context: Fukurodani's turning the tables again.\And the ace hasn't even hit anything!\Bokuto may look like the big brother,\but he's actually the baby of the family.\Nice, Akaashi!\Thank you.\He is pretty amazing on his own, though.\Nice receive! response:	We're used to Bokuto's slumps.
context: And the ace hasn't even hit anything!\Bokuto may look like the big brother,\but he's actually the baby of the family.\Nice, Akaashi!\Thank you.\He is pretty amazing on his own, though.\Nice receive!\We're used to Bokuto's slumps. response:	The slightest thing can bring him up or down.
context: Bokuto may look like the big brother,\but he's actually the baby of the family.\Nice, Akaashi!\Thank you.\He is pretty amazing on his own, though.\Nice receive!\We're used to Bokuto's slumps.\The slightest thing can bring him up or down. response:	Left!
context: but he's actually the baby of the family.\Nice, Akaashi!\Thank you.\He is pretty amazing on his own, though.\Nice receive!\We're used to Bokuto's slumps.\The slightest thing can bring him up or down.\Left! response:	Oh, for crying out loud...
