context: Otani... response:	Sorry.
context: Otani...\Sorry. response:	I'm going to have to take back that Let's pretend nothing happened.
context: Otani...\Sorry.\I'm going to have to take back that Let's pretend nothing happened. response:	I still like you, after all.
context: Otani...\Sorry.\I'm going to have to take back that Let's pretend nothing happened.\I still like you, after all. response:	Just keep that in mind.
context: Otani...\Sorry.\I'm going to have to take back that Let's pretend nothing happened.\I still like you, after all.\Just keep that in mind. response:	'Kay.
context: Otani...\Sorry.\I'm going to have to take back that Let's pretend nothing happened.\I still like you, after all.\Just keep that in mind.\'Kay. response:	I like who I like.
context: Otani...\Sorry.\I'm going to have to take back that Let's pretend nothing happened.\I still like you, after all.\Just keep that in mind.\'Kay.\I like who I like. response:	You got a problem with that?
context: Otani...\Sorry.\I'm going to have to take back that Let's pretend nothing happened.\I still like you, after all.\Just keep that in mind.\'Kay.\I like who I like.\You got a problem with that? response:	A Confrontation With the Ex-Girlfriend?! The Great Chest Baring Plan!!
context: Sorry.\I'm going to have to take back that Let's pretend nothing happened.\I still like you, after all.\Just keep that in mind.\'Kay.\I like who I like.\You got a problem with that?\A Confrontation With the Ex-Girlfriend?! The Great Chest Baring Plan!! response:	What the hell is this?!
context: I'm going to have to take back that Let's pretend nothing happened.\I still like you, after all.\Just keep that in mind.\'Kay.\I like who I like.\You got a problem with that?\A Confrontation With the Ex-Girlfriend?! The Great Chest Baring Plan!!\What the hell is this?! response:	I've been cut off!
context: I still like you, after all.\Just keep that in mind.\'Kay.\I like who I like.\You got a problem with that?\A Confrontation With the Ex-Girlfriend?! The Great Chest Baring Plan!!\What the hell is this?!\I've been cut off! response:	Pretty lame, huh?
context: Just keep that in mind.\'Kay.\I like who I like.\You got a problem with that?\A Confrontation With the Ex-Girlfriend?! The Great Chest Baring Plan!!\What the hell is this?!\I've been cut off!\Pretty lame, huh? response:	Seriously, Umibouzu's wife, couldn't you have done better?
context: 'Kay.\I like who I like.\You got a problem with that?\A Confrontation With the Ex-Girlfriend?! The Great Chest Baring Plan!!\What the hell is this?!\I've been cut off!\Pretty lame, huh?\Seriously, Umibouzu's wife, couldn't you have done better? response:	Look, here's another picture of you looking lame.
context: I like who I like.\You got a problem with that?\A Confrontation With the Ex-Girlfriend?! The Great Chest Baring Plan!!\What the hell is this?!\I've been cut off!\Pretty lame, huh?\Seriously, Umibouzu's wife, couldn't you have done better?\Look, here's another picture of you looking lame. response:	What? There are more?
