context: I want to go back to that time again. response:	I want to be small again. Minami-kun...
context: I want to go back to that time again.\I want to be small again. Minami-kun... response:	Where are you, Chiyomi?
context: I want to go back to that time again.\I want to be small again. Minami-kun...\Where are you, Chiyomi? response:	Here, I'm here, Minami-kun!
context: I want to go back to that time again.\I want to be small again. Minami-kun...\Where are you, Chiyomi?\Here, I'm here, Minami-kun! response:	You're in Tokyo?!
context: I want to go back to that time again.\I want to be small again. Minami-kun...\Where are you, Chiyomi?\Here, I'm here, Minami-kun!\You're in Tokyo?! response:	Hey, what are you thinking about?
context: I want to go back to that time again.\I want to be small again. Minami-kun...\Where are you, Chiyomi?\Here, I'm here, Minami-kun!\You're in Tokyo?!\Hey, what are you thinking about? response:	So, I told you yesterday. About the dance workshop.
context: I want to go back to that time again.\I want to be small again. Minami-kun...\Where are you, Chiyomi?\Here, I'm here, Minami-kun!\You're in Tokyo?!\Hey, what are you thinking about?\So, I told you yesterday. About the dance workshop. response:	Please, I really want to do it.
context: I want to go back to that time again.\I want to be small again. Minami-kun...\Where are you, Chiyomi?\Here, I'm here, Minami-kun!\You're in Tokyo?!\Hey, what are you thinking about?\So, I told you yesterday. About the dance workshop.\Please, I really want to do it. response:	So, please let me stay with you.
context: I want to be small again. Minami-kun...\Where are you, Chiyomi?\Here, I'm here, Minami-kun!\You're in Tokyo?!\Hey, what are you thinking about?\So, I told you yesterday. About the dance workshop.\Please, I really want to do it.\So, please let me stay with you. response:	Wait a minute, what are you doing?
context: Where are you, Chiyomi?\Here, I'm here, Minami-kun!\You're in Tokyo?!\Hey, what are you thinking about?\So, I told you yesterday. About the dance workshop.\Please, I really want to do it.\So, please let me stay with you.\Wait a minute, what are you doing? response:	Minami-kun's father disappeared, right?
context: Here, I'm here, Minami-kun!\You're in Tokyo?!\Hey, what are you thinking about?\So, I told you yesterday. About the dance workshop.\Please, I really want to do it.\So, please let me stay with you.\Wait a minute, what are you doing?\Minami-kun's father disappeared, right? response:	He made a lover and left us. I don't consider him my dad.
context: You're in Tokyo?!\Hey, what are you thinking about?\So, I told you yesterday. About the dance workshop.\Please, I really want to do it.\So, please let me stay with you.\Wait a minute, what are you doing?\Minami-kun's father disappeared, right?\He made a lover and left us. I don't consider him my dad. response:	Idiot!
context: Hey, what are you thinking about?\So, I told you yesterday. About the dance workshop.\Please, I really want to do it.\So, please let me stay with you.\Wait a minute, what are you doing?\Minami-kun's father disappeared, right?\He made a lover and left us. I don't consider him my dad.\Idiot! response:	Never give up! Minami-kun!
context: So, I told you yesterday. About the dance workshop.\Please, I really want to do it.\So, please let me stay with you.\Wait a minute, what are you doing?\Minami-kun's father disappeared, right?\He made a lover and left us. I don't consider him my dad.\Idiot!\Never give up! Minami-kun! response:	Tsuki (kendo term)!
context: Please, I really want to do it.\So, please let me stay with you.\Wait a minute, what are you doing?\Minami-kun's father disappeared, right?\He made a lover and left us. I don't consider him my dad.\Idiot!\Never give up! Minami-kun!\Tsuki (kendo term)! response:	Tsuki ari. (Tsuki point)
context: So, please let me stay with you.\Wait a minute, what are you doing?\Minami-kun's father disappeared, right?\He made a lover and left us. I don't consider him my dad.\Idiot!\Never give up! Minami-kun!\Tsuki (kendo term)!\Tsuki ari. (Tsuki point) response:	You did it!
context: Wait a minute, what are you doing?\Minami-kun's father disappeared, right?\He made a lover and left us. I don't consider him my dad.\Idiot!\Never give up! Minami-kun!\Tsuki (kendo term)!\Tsuki ari. (Tsuki point)\You did it! response:	He did it.
context: Minami-kun's father disappeared, right?\He made a lover and left us. I don't consider him my dad.\Idiot!\Never give up! Minami-kun!\Tsuki (kendo term)!\Tsuki ari. (Tsuki point)\You did it!\He did it. response:	Good, good, good.
context: He made a lover and left us. I don't consider him my dad.\Idiot!\Never give up! Minami-kun!\Tsuki (kendo term)!\Tsuki ari. (Tsuki point)\You did it!\He did it.\Good, good, good. response:	Timing and Subtitles brought to you by My Little Lover Team@Viki.
context: Idiot!\Never give up! Minami-kun!\Tsuki (kendo term)!\Tsuki ari. (Tsuki point)\You did it!\He did it.\Good, good, good.\Timing and Subtitles brought to you by My Little Lover Team@Viki. response:	I'm home.
context: Never give up! Minami-kun!\Tsuki (kendo term)!\Tsuki ari. (Tsuki point)\You did it!\He did it.\Good, good, good.\Timing and Subtitles brought to you by My Little Lover Team@Viki.\I'm home. response:	Hello, I'm Chiyomi.
context: Tsuki (kendo term)!\Tsuki ari. (Tsuki point)\You did it!\He did it.\Good, good, good.\Timing and Subtitles brought to you by My Little Lover Team@Viki.\I'm home.\Hello, I'm Chiyomi. response:	It's been two weeks since I became small like this.
context: Tsuki ari. (Tsuki point)\You did it!\He did it.\Good, good, good.\Timing and Subtitles brought to you by My Little Lover Team@Viki.\I'm home.\Hello, I'm Chiyomi.\It's been two weeks since I became small like this. response:	I guess people get used to things whatever it is.
context: You did it!\He did it.\Good, good, good.\Timing and Subtitles brought to you by My Little Lover Team@Viki.\I'm home.\Hello, I'm Chiyomi.\It's been two weeks since I became small like this.\I guess people get used to things whatever it is. response:	Little by little, I am getting used to the way I am.
context: He did it.\Good, good, good.\Timing and Subtitles brought to you by My Little Lover Team@Viki.\I'm home.\Hello, I'm Chiyomi.\It's been two weeks since I became small like this.\I guess people get used to things whatever it is.\Little by little, I am getting used to the way I am. response:	What are you doing?
context: Good, good, good.\Timing and Subtitles brought to you by My Little Lover Team@Viki.\I'm home.\Hello, I'm Chiyomi.\It's been two weeks since I became small like this.\I guess people get used to things whatever it is.\Little by little, I am getting used to the way I am.\What are you doing? response:	I think your handkerchief is so cute.
context: Timing and Subtitles brought to you by My Little Lover Team@Viki.\I'm home.\Hello, I'm Chiyomi.\It's been two weeks since I became small like this.\I guess people get used to things whatever it is.\Little by little, I am getting used to the way I am.\What are you doing?\I think your handkerchief is so cute. response:	These patterns are cute.
context: I'm home.\Hello, I'm Chiyomi.\It's been two weeks since I became small like this.\I guess people get used to things whatever it is.\Little by little, I am getting used to the way I am.\What are you doing?\I think your handkerchief is so cute.\These patterns are cute. response:	Is it okay to repot it as it is?
context: Hello, I'm Chiyomi.\It's been two weeks since I became small like this.\I guess people get used to things whatever it is.\Little by little, I am getting used to the way I am.\What are you doing?\I think your handkerchief is so cute.\These patterns are cute.\Is it okay to repot it as it is? response:	Hey, would you give this to me? I could make a dress out of this...
context: It's been two weeks since I became small like this.\I guess people get used to things whatever it is.\Little by little, I am getting used to the way I am.\What are you doing?\I think your handkerchief is so cute.\These patterns are cute.\Is it okay to repot it as it is?\Hey, would you give this to me? I could make a dress out of this... response:	Minami-kun, what are you doing?!
context: I guess people get used to things whatever it is.\Little by little, I am getting used to the way I am.\What are you doing?\I think your handkerchief is so cute.\These patterns are cute.\Is it okay to repot it as it is?\Hey, would you give this to me? I could make a dress out of this...\Minami-kun, what are you doing?! response:	Well, it won't be good to keep this pot as it is. So I got this.
context: Little by little, I am getting used to the way I am.\What are you doing?\I think your handkerchief is so cute.\These patterns are cute.\Is it okay to repot it as it is?\Hey, would you give this to me? I could make a dress out of this...\Minami-kun, what are you doing?!\Well, it won't be good to keep this pot as it is. So I got this. response:	Ivy?
context: What are you doing?\I think your handkerchief is so cute.\These patterns are cute.\Is it okay to repot it as it is?\Hey, would you give this to me? I could make a dress out of this...\Minami-kun, what are you doing?!\Well, it won't be good to keep this pot as it is. So I got this.\Ivy? response:	I suppose if the ivy covers the pot, I would feel comfortable for sure.
context: I think your handkerchief is so cute.\These patterns are cute.\Is it okay to repot it as it is?\Hey, would you give this to me? I could make a dress out of this...\Minami-kun, what are you doing?!\Well, it won't be good to keep this pot as it is. So I got this.\Ivy?\I suppose if the ivy covers the pot, I would feel comfortable for sure. response:	Ah, don't dig it up too much. That spot is...
context: These patterns are cute.\Is it okay to repot it as it is?\Hey, would you give this to me? I could make a dress out of this...\Minami-kun, what are you doing?!\Well, it won't be good to keep this pot as it is. So I got this.\Ivy?\I suppose if the ivy covers the pot, I would feel comfortable for sure.\Ah, don't dig it up too much. That spot is... response:	Hmm?
context: Is it okay to repot it as it is?\Hey, would you give this to me? I could make a dress out of this...\Minami-kun, what are you doing?!\Well, it won't be good to keep this pot as it is. So I got this.\Ivy?\I suppose if the ivy covers the pot, I would feel comfortable for sure.\Ah, don't dig it up too much. That spot is...\Hmm? response:	Hm? No. Nothing.
context: Hey, would you give this to me? I could make a dress out of this...\Minami-kun, what are you doing?!\Well, it won't be good to keep this pot as it is. So I got this.\Ivy?\I suppose if the ivy covers the pot, I would feel comfortable for sure.\Ah, don't dig it up too much. That spot is...\Hmm?\Hm? No. Nothing. response:	How is it? Why don't you use it?
