context: These are the results for the real deal. response:	The readers sure showed him, eh?
context: These are the results for the real deal.\The readers sure showed him, eh? response:	Yeah.
context: These are the results for the real deal.\The readers sure showed him, eh?\Yeah. response:	Fukuda-kun and the others came in complaining to the higher-ups in order to stop it.
context: These are the results for the real deal.\The readers sure showed him, eh?\Yeah.\Fukuda-kun and the others came in complaining to the higher-ups in order to stop it. response:	Honestly, I wanted anybody but KOOGY to win too.
context: These are the results for the real deal.\The readers sure showed him, eh?\Yeah.\Fukuda-kun and the others came in complaining to the higher-ups in order to stop it.\Honestly, I wanted anybody but KOOGY to win too. response:	Now the Golden Future Cup is really only between three works.
context: These are the results for the real deal.\The readers sure showed him, eh?\Yeah.\Fukuda-kun and the others came in complaining to the higher-ups in order to stop it.\Honestly, I wanted anybody but KOOGY to win too.\Now the Golden Future Cup is really only between three works. response:	KIYOSHI Knight, hideout door...
context: These are the results for the real deal.\The readers sure showed him, eh?\Yeah.\Fukuda-kun and the others came in complaining to the higher-ups in order to stop it.\Honestly, I wanted anybody but KOOGY to win too.\Now the Golden Future Cup is really only between three works.\KIYOSHI Knight, hideout door... response:	Gitantei TRAP! We won't lose!
context: These are the results for the real deal.\The readers sure showed him, eh?\Yeah.\Fukuda-kun and the others came in complaining to the higher-ups in order to stop it.\Honestly, I wanted anybody but KOOGY to win too.\Now the Golden Future Cup is really only between three works.\KIYOSHI Knight, hideout door...\Gitantei TRAP! We won't lose! response:	They announce the results for the Golden Future Cup in November, don't they?
context: The readers sure showed him, eh?\Yeah.\Fukuda-kun and the others came in complaining to the higher-ups in order to stop it.\Honestly, I wanted anybody but KOOGY to win too.\Now the Golden Future Cup is really only between three works.\KIYOSHI Knight, hideout door...\Gitantei TRAP! We won't lose!\They announce the results for the Golden Future Cup in November, don't they? response:	Yeah.
context: Yeah.\Fukuda-kun and the others came in complaining to the higher-ups in order to stop it.\Honestly, I wanted anybody but KOOGY to win too.\Now the Golden Future Cup is really only between three works.\KIYOSHI Knight, hideout door...\Gitantei TRAP! We won't lose!\They announce the results for the Golden Future Cup in November, don't they?\Yeah. response:	Although the actual deciding takes place at the end of this month.
context: Fukuda-kun and the others came in complaining to the higher-ups in order to stop it.\Honestly, I wanted anybody but KOOGY to win too.\Now the Golden Future Cup is really only between three works.\KIYOSHI Knight, hideout door...\Gitantei TRAP! We won't lose!\They announce the results for the Golden Future Cup in November, don't they?\Yeah.\Although the actual deciding takes place at the end of this month. response:	Well, they said that they were counting the results a second time with 5000 questionnaires.
context: Honestly, I wanted anybody but KOOGY to win too.\Now the Golden Future Cup is really only between three works.\KIYOSHI Knight, hideout door...\Gitantei TRAP! We won't lose!\They announce the results for the Golden Future Cup in November, don't they?\Yeah.\Although the actual deciding takes place at the end of this month.\Well, they said that they were counting the results a second time with 5000 questionnaires. response:	Yeah.
context: Now the Golden Future Cup is really only between three works.\KIYOSHI Knight, hideout door...\Gitantei TRAP! We won't lose!\They announce the results for the Golden Future Cup in November, don't they?\Yeah.\Although the actual deciding takes place at the end of this month.\Well, they said that they were counting the results a second time with 5000 questionnaires.\Yeah. response:	A second time?
