context: Maka! response:	What's up with this wavelength?
context: Maka!\What's up with this wavelength? response:	Such an intense killing intent...
context: Maka!\What's up with this wavelength?\Such an intense killing intent... response:	I can't stop.
context: Maka!\What's up with this wavelength?\Such an intense killing intent...\I can't stop. response:	The engine's on!
context: Maka!\What's up with this wavelength?\Such an intense killing intent...\I can't stop.\The engine's on! response:	My soul's wavelength...
context: Maka!\What's up with this wavelength?\Such an intense killing intent...\I can't stop.\The engine's on!\My soul's wavelength... response:	Don't underestimate the Black Blood, dammit!
context: Maka!\What's up with this wavelength?\Such an intense killing intent...\I can't stop.\The engine's on!\My soul's wavelength...\Don't underestimate the Black Blood, dammit! response:	Ragnarok.
context: Maka!\What's up with this wavelength?\Such an intense killing intent...\I can't stop.\The engine's on!\My soul's wavelength...\Don't underestimate the Black Blood, dammit!\Ragnarok. response:	Let's go, Maka.
context: What's up with this wavelength?\Such an intense killing intent...\I can't stop.\The engine's on!\My soul's wavelength...\Don't underestimate the Black Blood, dammit!\Ragnarok.\Let's go, Maka. response:	Yeah.
context: Such an intense killing intent...\I can't stop.\The engine's on!\My soul's wavelength...\Don't underestimate the Black Blood, dammit!\Ragnarok.\Let's go, Maka.\Yeah. response:	Why would a soulless golem go berserk due to the Wavelength of Madness?
context: I can't stop.\The engine's on!\My soul's wavelength...\Don't underestimate the Black Blood, dammit!\Ragnarok.\Let's go, Maka.\Yeah.\Why would a soulless golem go berserk due to the Wavelength of Madness? response:	The eldest golem was made 800 years ago.
context: The engine's on!\My soul's wavelength...\Don't underestimate the Black Blood, dammit!\Ragnarok.\Let's go, Maka.\Yeah.\Why would a soulless golem go berserk due to the Wavelength of Madness?\The eldest golem was made 800 years ago. response:	The birth of the Demonic Weapons was around that time, too.
context: My soul's wavelength...\Don't underestimate the Black Blood, dammit!\Ragnarok.\Let's go, Maka.\Yeah.\Why would a soulless golem go berserk due to the Wavelength of Madness?\The eldest golem was made 800 years ago.\The birth of the Demonic Weapons was around that time, too. response:	What happened at the village of Loew?
context: Don't underestimate the Black Blood, dammit!\Ragnarok.\Let's go, Maka.\Yeah.\Why would a soulless golem go berserk due to the Wavelength of Madness?\The eldest golem was made 800 years ago.\The birth of the Demonic Weapons was around that time, too.\What happened at the village of Loew? response:	There's only one thing I can think of...
context: Ragnarok.\Let's go, Maka.\Yeah.\Why would a soulless golem go berserk due to the Wavelength of Madness?\The eldest golem was made 800 years ago.\The birth of the Demonic Weapons was around that time, too.\What happened at the village of Loew?\There's only one thing I can think of... response:	If the Heretic's soul resides within that golem...
context: Let's go, Maka.\Yeah.\Why would a soulless golem go berserk due to the Wavelength of Madness?\The eldest golem was made 800 years ago.\The birth of the Demonic Weapons was around that time, too.\What happened at the village of Loew?\There's only one thing I can think of...\If the Heretic's soul resides within that golem... response:	800 Year Old Murderous Intent.
context: Yeah.\Why would a soulless golem go berserk due to the Wavelength of Madness?\The eldest golem was made 800 years ago.\The birth of the Demonic Weapons was around that time, too.\What happened at the village of Loew?\There's only one thing I can think of...\If the Heretic's soul resides within that golem...\800 Year Old Murderous Intent. response:	The Heretic Witch Descends?
context: Why would a soulless golem go berserk due to the Wavelength of Madness?\The eldest golem was made 800 years ago.\The birth of the Demonic Weapons was around that time, too.\What happened at the village of Loew?\There's only one thing I can think of...\If the Heretic's soul resides within that golem...\800 Year Old Murderous Intent.\The Heretic Witch Descends? response:	Let's go, Maka.
context: The eldest golem was made 800 years ago.\The birth of the Demonic Weapons was around that time, too.\What happened at the village of Loew?\There's only one thing I can think of...\If the Heretic's soul resides within that golem...\800 Year Old Murderous Intent.\The Heretic Witch Descends?\Let's go, Maka. response:	Yeah.
context: The birth of the Demonic Weapons was around that time, too.\What happened at the village of Loew?\There's only one thing I can think of...\If the Heretic's soul resides within that golem...\800 Year Old Murderous Intent.\The Heretic Witch Descends?\Let's go, Maka.\Yeah. response:	Ragnarok.
context: What happened at the village of Loew?\There's only one thing I can think of...\If the Heretic's soul resides within that golem...\800 Year Old Murderous Intent.\The Heretic Witch Descends?\Let's go, Maka.\Yeah.\Ragnarok. response:	Aye!
context: There's only one thing I can think of...\If the Heretic's soul resides within that golem...\800 Year Old Murderous Intent.\The Heretic Witch Descends?\Let's go, Maka.\Yeah.\Ragnarok.\Aye! response:	Dark Sword Style...
context: If the Heretic's soul resides within that golem...\800 Year Old Murderous Intent.\The Heretic Witch Descends?\Let's go, Maka.\Yeah.\Ragnarok.\Aye!\Dark Sword Style... response:	Screech Alpha!
context: 800 Year Old Murderous Intent.\The Heretic Witch Descends?\Let's go, Maka.\Yeah.\Ragnarok.\Aye!\Dark Sword Style...\Screech Alpha! response:	Now!
context: The Heretic Witch Descends?\Let's go, Maka.\Yeah.\Ragnarok.\Aye!\Dark Sword Style...\Screech Alpha!\Now! response:	It's hard...
context: Let's go, Maka.\Yeah.\Ragnarok.\Aye!\Dark Sword Style...\Screech Alpha!\Now!\It's hard... response:	It may be an old golem, but that won't be enough to take it down.
context: Yeah.\Ragnarok.\Aye!\Dark Sword Style...\Screech Alpha!\Now!\It's hard...\It may be an old golem, but that won't be enough to take it down. response:	Not once did I slack off on its maintenance.
context: Ragnarok.\Aye!\Dark Sword Style...\Screech Alpha!\Now!\It's hard...\It may be an old golem, but that won't be enough to take it down.\Not once did I slack off on its maintenance. response:	Don't overdo it! Get away from him!
context: Aye!\Dark Sword Style...\Screech Alpha!\Now!\It's hard...\It may be an old golem, but that won't be enough to take it down.\Not once did I slack off on its maintenance.\Don't overdo it! Get away from him! response:	It's alright. I can still do it.
context: Dark Sword Style...\Screech Alpha!\Now!\It's hard...\It may be an old golem, but that won't be enough to take it down.\Not once did I slack off on its maintenance.\Don't overdo it! Get away from him!\It's alright. I can still do it. response:	I finally got close with Crona's help.
context: Screech Alpha!\Now!\It's hard...\It may be an old golem, but that won't be enough to take it down.\Not once did I slack off on its maintenance.\Don't overdo it! Get away from him!\It's alright. I can still do it.\I finally got close with Crona's help. response:	I can't back down now!
context: Now!\It's hard...\It may be an old golem, but that won't be enough to take it down.\Not once did I slack off on its maintenance.\Don't overdo it! Get away from him!\It's alright. I can still do it.\I finally got close with Crona's help.\I can't back down now! response:	Maka, what's wrong?
context: It's hard...\It may be an old golem, but that won't be enough to take it down.\Not once did I slack off on its maintenance.\Don't overdo it! Get away from him!\It's alright. I can still do it.\I finally got close with Crona's help.\I can't back down now!\Maka, what's wrong? response:	My...
context: It may be an old golem, but that won't be enough to take it down.\Not once did I slack off on its maintenance.\Don't overdo it! Get away from him!\It's alright. I can still do it.\I finally got close with Crona's help.\I can't back down now!\Maka, what's wrong?\My... response:	My body...
context: Not once did I slack off on its maintenance.\Don't overdo it! Get away from him!\It's alright. I can still do it.\I finally got close with Crona's help.\I can't back down now!\Maka, what's wrong?\My...\My body... response:	Splat her entrails around!
context: Don't overdo it! Get away from him!\It's alright. I can still do it.\I finally got close with Crona's help.\I can't back down now!\Maka, what's wrong?\My...\My body...\Splat her entrails around! response:	What's going on?
context: It's alright. I can still do it.\I finally got close with Crona's help.\I can't back down now!\Maka, what's wrong?\My...\My body...\Splat her entrails around!\What's going on? response:	Maka!
context: I finally got close with Crona's help.\I can't back down now!\Maka, what's wrong?\My...\My body...\Splat her entrails around!\What's going on?\Maka! response:	What happened all of sudden?
