context: Ladies and gentlemen, good evening. response:	At long last, the time has come for my friend to bid farewell to things of beauty.
context: Ladies and gentlemen, good evening.\At long last, the time has come for my friend to bid farewell to things of beauty. response:	Sincerity. Trust. Friendship.
context: Ladies and gentlemen, good evening.\At long last, the time has come for my friend to bid farewell to things of beauty.\Sincerity. Trust. Friendship. response:	All those virtues, all those wonderful things that we possess during childhood,
context: Ladies and gentlemen, good evening.\At long last, the time has come for my friend to bid farewell to things of beauty.\Sincerity. Trust. Friendship.\All those virtues, all those wonderful things that we possess during childhood, response:	Act 16: Scandal
context: Ladies and gentlemen, good evening.\At long last, the time has come for my friend to bid farewell to things of beauty.\Sincerity. Trust. Friendship.\All those virtues, all those wonderful things that we possess during childhood,\Act 16: Scandal response:	Planet Janina invaded by Empire 15 years ago.
context: Ladies and gentlemen, good evening.\At long last, the time has come for my friend to bid farewell to things of beauty.\Sincerity. Trust. Friendship.\All those virtues, all those wonderful things that we possess during childhood,\Act 16: Scandal\Planet Janina invaded by Empire 15 years ago. response:	Space Forces hurriedly deployed,
context: Ladies and gentlemen, good evening.\At long last, the time has come for my friend to bid farewell to things of beauty.\Sincerity. Trust. Friendship.\All those virtues, all those wonderful things that we possess during childhood,\Act 16: Scandal\Planet Janina invaded by Empire 15 years ago.\Space Forces hurriedly deployed, response:	Paris has been shaken to its foundation by this scandal...
context: Ladies and gentlemen, good evening.\At long last, the time has come for my friend to bid farewell to things of beauty.\Sincerity. Trust. Friendship.\All those virtues, all those wonderful things that we possess during childhood,\Act 16: Scandal\Planet Janina invaded by Empire 15 years ago.\Space Forces hurriedly deployed,\Paris has been shaken to its foundation by this scandal... response:	Take me to Space Forces Imperial Headquarters.
context: At long last, the time has come for my friend to bid farewell to things of beauty.\Sincerity. Trust. Friendship.\All those virtues, all those wonderful things that we possess during childhood,\Act 16: Scandal\Planet Janina invaded by Empire 15 years ago.\Space Forces hurriedly deployed,\Paris has been shaken to its foundation by this scandal...\Take me to Space Forces Imperial Headquarters. response:	I'm Albert de Morcerf.
context: Sincerity. Trust. Friendship.\All those virtues, all those wonderful things that we possess during childhood,\Act 16: Scandal\Planet Janina invaded by Empire 15 years ago.\Space Forces hurriedly deployed,\Paris has been shaken to its foundation by this scandal...\Take me to Space Forces Imperial Headquarters.\I'm Albert de Morcerf. response:	That's the son of the general!
context: All those virtues, all those wonderful things that we possess during childhood,\Act 16: Scandal\Planet Janina invaded by Empire 15 years ago.\Space Forces hurriedly deployed,\Paris has been shaken to its foundation by this scandal...\Take me to Space Forces Imperial Headquarters.\I'm Albert de Morcerf.\That's the son of the general! response:	Were you and your family aware of what your father had done on Janina?
context: Act 16: Scandal\Planet Janina invaded by Empire 15 years ago.\Space Forces hurriedly deployed,\Paris has been shaken to its foundation by this scandal...\Take me to Space Forces Imperial Headquarters.\I'm Albert de Morcerf.\That's the son of the general!\Were you and your family aware of what your father had done on Janina? response:	Was the General trying to get at the Pasha of Janina's fortune?
context: Planet Janina invaded by Empire 15 years ago.\Space Forces hurriedly deployed,\Paris has been shaken to its foundation by this scandal...\Take me to Space Forces Imperial Headquarters.\I'm Albert de Morcerf.\That's the son of the general!\Were you and your family aware of what your father had done on Janina?\Was the General trying to get at the Pasha of Janina's fortune? response:	Ow! Hey, watch it! Don't push!
context: Space Forces hurriedly deployed,\Paris has been shaken to its foundation by this scandal...\Take me to Space Forces Imperial Headquarters.\I'm Albert de Morcerf.\That's the son of the general!\Were you and your family aware of what your father had done on Janina?\Was the General trying to get at the Pasha of Janina's fortune?\Ow! Hey, watch it! Don't push! response:	What do you think of your father's shameful acts?
context: Paris has been shaken to its foundation by this scandal...\Take me to Space Forces Imperial Headquarters.\I'm Albert de Morcerf.\That's the son of the general!\Were you and your family aware of what your father had done on Janina?\Was the General trying to get at the Pasha of Janina's fortune?\Ow! Hey, watch it! Don't push!\What do you think of your father's shameful acts? response:	Get out of my way!
context: Take me to Space Forces Imperial Headquarters.\I'm Albert de Morcerf.\That's the son of the general!\Were you and your family aware of what your father had done on Janina?\Was the General trying to get at the Pasha of Janina's fortune?\Ow! Hey, watch it! Don't push!\What do you think of your father's shameful acts?\Get out of my way! response:	The General should apologize to the people of Paris!
context: I'm Albert de Morcerf.\That's the son of the general!\Were you and your family aware of what your father had done on Janina?\Was the General trying to get at the Pasha of Janina's fortune?\Ow! Hey, watch it! Don't push!\What do you think of your father's shameful acts?\Get out of my way!\The General should apologize to the people of Paris! response:	Yeah, he's right!
context: That's the son of the general!\Were you and your family aware of what your father had done on Janina?\Was the General trying to get at the Pasha of Janina's fortune?\Ow! Hey, watch it! Don't push!\What do you think of your father's shameful acts?\Get out of my way!\The General should apologize to the people of Paris!\Yeah, he's right! response:	Issue an apology!
context: Were you and your family aware of what your father had done on Janina?\Was the General trying to get at the Pasha of Janina's fortune?\Ow! Hey, watch it! Don't push!\What do you think of your father's shameful acts?\Get out of my way!\The General should apologize to the people of Paris!\Yeah, he's right!\Issue an apology! response:	We've heard rumors to the effect that your parents are from Marseilles.
context: Was the General trying to get at the Pasha of Janina's fortune?\Ow! Hey, watch it! Don't push!\What do you think of your father's shameful acts?\Get out of my way!\The General should apologize to the people of Paris!\Yeah, he's right!\Issue an apology!\We've heard rumors to the effect that your parents are from Marseilles. response:	I don't know anything about that! Didn't I tell you to stand aside?!
context: Ow! Hey, watch it! Don't push!\What do you think of your father's shameful acts?\Get out of my way!\The General should apologize to the people of Paris!\Yeah, he's right!\Issue an apology!\We've heard rumors to the effect that your parents are from Marseilles.\I don't know anything about that! Didn't I tell you to stand aside?! response:	There are rumors going around that your family isn't really of nobility.
context: What do you think of your father's shameful acts?\Get out of my way!\The General should apologize to the people of Paris!\Yeah, he's right!\Issue an apology!\We've heard rumors to the effect that your parents are from Marseilles.\I don't know anything about that! Didn't I tell you to stand aside?!\There are rumors going around that your family isn't really of nobility. response:	Is it safe to assume that they falsified their background?
context: Get out of my way!\The General should apologize to the people of Paris!\Yeah, he's right!\Issue an apology!\We've heard rumors to the effect that your parents are from Marseilles.\I don't know anything about that! Didn't I tell you to stand aside?!\There are rumors going around that your family isn't really of nobility.\Is it safe to assume that they falsified their background? response:	Don't be rude! I've had about enough of you people insulting my father!
context: The General should apologize to the people of Paris!\Yeah, he's right!\Issue an apology!\We've heard rumors to the effect that your parents are from Marseilles.\I don't know anything about that! Didn't I tell you to stand aside?!\There are rumors going around that your family isn't really of nobility.\Is it safe to assume that they falsified their background?\Don't be rude! I've had about enough of you people insulting my father! response:	Insulting?! The ones who have been insulted all these years are us! The citizens of Paris!
context: Yeah, he's right!\Issue an apology!\We've heard rumors to the effect that your parents are from Marseilles.\I don't know anything about that! Didn't I tell you to stand aside?!\There are rumors going around that your family isn't really of nobility.\Is it safe to assume that they falsified their background?\Don't be rude! I've had about enough of you people insulting my father!\Insulting?! The ones who have been insulted all these years are us! The citizens of Paris! response:	You're the son of a traitor who colluded with the enemy and sold out the Pasha out of greed!
context: Issue an apology!\We've heard rumors to the effect that your parents are from Marseilles.\I don't know anything about that! Didn't I tell you to stand aside?!\There are rumors going around that your family isn't really of nobility.\Is it safe to assume that they falsified their background?\Don't be rude! I've had about enough of you people insulting my father!\Insulting?! The ones who have been insulted all these years are us! The citizens of Paris!\You're the son of a traitor who colluded with the enemy and sold out the Pasha out of greed! response:	Viscount Morcerf?!
context: We've heard rumors to the effect that your parents are from Marseilles.\I don't know anything about that! Didn't I tell you to stand aside?!\There are rumors going around that your family isn't really of nobility.\Is it safe to assume that they falsified their background?\Don't be rude! I've had about enough of you people insulting my father!\Insulting?! The ones who have been insulted all these years are us! The citizens of Paris!\You're the son of a traitor who colluded with the enemy and sold out the Pasha out of greed!\Viscount Morcerf?! response:	Where's my father?! Tell me where my father is!
context: I don't know anything about that! Didn't I tell you to stand aside?!\There are rumors going around that your family isn't really of nobility.\Is it safe to assume that they falsified their background?\Don't be rude! I've had about enough of you people insulting my father!\Insulting?! The ones who have been insulted all these years are us! The citizens of Paris!\You're the son of a traitor who colluded with the enemy and sold out the Pasha out of greed!\Viscount Morcerf?!\Where's my father?! Tell me where my father is! response:	You came in through the front gate? What a foolish thing to do...
context: There are rumors going around that your family isn't really of nobility.\Is it safe to assume that they falsified their background?\Don't be rude! I've had about enough of you people insulting my father!\Insulting?! The ones who have been insulted all these years are us! The citizens of Paris!\You're the son of a traitor who colluded with the enemy and sold out the Pasha out of greed!\Viscount Morcerf?!\Where's my father?! Tell me where my father is!\You came in through the front gate? What a foolish thing to do... response:	Come with me to the back entrance. It's not safe for you here.
context: Is it safe to assume that they falsified their background?\Don't be rude! I've had about enough of you people insulting my father!\Insulting?! The ones who have been insulted all these years are us! The citizens of Paris!\You're the son of a traitor who colluded with the enemy and sold out the Pasha out of greed!\Viscount Morcerf?!\Where's my father?! Tell me where my father is!\You came in through the front gate? What a foolish thing to do...\Come with me to the back entrance. It's not safe for you here. response:	My father! Where is he? Let me speak with him!
context: Don't be rude! I've had about enough of you people insulting my father!\Insulting?! The ones who have been insulted all these years are us! The citizens of Paris!\You're the son of a traitor who colluded with the enemy and sold out the Pasha out of greed!\Viscount Morcerf?!\Where's my father?! Tell me where my father is!\You came in through the front gate? What a foolish thing to do...\Come with me to the back entrance. It's not safe for you here.\My father! Where is he? Let me speak with him! response:	Unfortunately, he is preoccupied with dealing with everything that has come up,
context: Insulting?! The ones who have been insulted all these years are us! The citizens of Paris!\You're the son of a traitor who colluded with the enemy and sold out the Pasha out of greed!\Viscount Morcerf?!\Where's my father?! Tell me where my father is!\You came in through the front gate? What a foolish thing to do...\Come with me to the back entrance. It's not safe for you here.\My father! Where is he? Let me speak with him!\Unfortunately, he is preoccupied with dealing with everything that has come up, response:	Oh, I see.
context: You're the son of a traitor who colluded with the enemy and sold out the Pasha out of greed!\Viscount Morcerf?!\Where's my father?! Tell me where my father is!\You came in through the front gate? What a foolish thing to do...\Come with me to the back entrance. It's not safe for you here.\My father! Where is he? Let me speak with him!\Unfortunately, he is preoccupied with dealing with everything that has come up,\Oh, I see. response:	In that case, give my father this message. There is something I want to discuss with him.
context: Viscount Morcerf?!\Where's my father?! Tell me where my father is!\You came in through the front gate? What a foolish thing to do...\Come with me to the back entrance. It's not safe for you here.\My father! Where is he? Let me speak with him!\Unfortunately, he is preoccupied with dealing with everything that has come up,\Oh, I see.\In that case, give my father this message. There is something I want to discuss with him. response:	And also tell my father that I believe in him.
context: Where's my father?! Tell me where my father is!\You came in through the front gate? What a foolish thing to do...\Come with me to the back entrance. It's not safe for you here.\My father! Where is he? Let me speak with him!\Unfortunately, he is preoccupied with dealing with everything that has come up,\Oh, I see.\In that case, give my father this message. There is something I want to discuss with him.\And also tell my father that I believe in him. response:	Understood.
context: You came in through the front gate? What a foolish thing to do...\Come with me to the back entrance. It's not safe for you here.\My father! Where is he? Let me speak with him!\Unfortunately, he is preoccupied with dealing with everything that has come up,\Oh, I see.\In that case, give my father this message. There is something I want to discuss with him.\And also tell my father that I believe in him.\Understood. response:	Enter.
context: Come with me to the back entrance. It's not safe for you here.\My father! Where is he? Let me speak with him!\Unfortunately, he is preoccupied with dealing with everything that has come up,\Oh, I see.\In that case, give my father this message. There is something I want to discuss with him.\And also tell my father that I believe in him.\Understood.\Enter. response:	I have done everything that I can.
context: My father! Where is he? Let me speak with him!\Unfortunately, he is preoccupied with dealing with everything that has come up,\Oh, I see.\In that case, give my father this message. There is something I want to discuss with him.\And also tell my father that I believe in him.\Understood.\Enter.\I have done everything that I can. response:	However, explaining things to the National Assembly may prove difficult.
context: Unfortunately, he is preoccupied with dealing with everything that has come up,\Oh, I see.\In that case, give my father this message. There is something I want to discuss with him.\And also tell my father that I believe in him.\Understood.\Enter.\I have done everything that I can.\However, explaining things to the National Assembly may prove difficult. response:	Their discussions are already centering around issuing subpoenas for witnesses.
context: Oh, I see.\In that case, give my father this message. There is something I want to discuss with him.\And also tell my father that I believe in him.\Understood.\Enter.\I have done everything that I can.\However, explaining things to the National Assembly may prove difficult.\Their discussions are already centering around issuing subpoenas for witnesses. response:	Understood. You can go.
context: In that case, give my father this message. There is something I want to discuss with him.\And also tell my father that I believe in him.\Understood.\Enter.\I have done everything that I can.\However, explaining things to the National Assembly may prove difficult.\Their discussions are already centering around issuing subpoenas for witnesses.\Understood. You can go. response:	Your son was just here, sir.
context: And also tell my father that I believe in him.\Understood.\Enter.\I have done everything that I can.\However, explaining things to the National Assembly may prove difficult.\Their discussions are already centering around issuing subpoenas for witnesses.\Understood. You can go.\Your son was just here, sir. response:	As per your orders, I told him that you were not here.
context: Understood.\Enter.\I have done everything that I can.\However, explaining things to the National Assembly may prove difficult.\Their discussions are already centering around issuing subpoenas for witnesses.\Understood. You can go.\Your son was just here, sir.\As per your orders, I told him that you were not here. response:	What did he say?
context: Enter.\I have done everything that I can.\However, explaining things to the National Assembly may prove difficult.\Their discussions are already centering around issuing subpoenas for witnesses.\Understood. You can go.\Your son was just here, sir.\As per your orders, I told him that you were not here.\What did he say? response:	Your son said that he believes in his father.
context: I have done everything that I can.\However, explaining things to the National Assembly may prove difficult.\Their discussions are already centering around issuing subpoenas for witnesses.\Understood. You can go.\Your son was just here, sir.\As per your orders, I told him that you were not here.\What did he say?\Your son said that he believes in his father. response:	Albert! Quick, get in!
context: However, explaining things to the National Assembly may prove difficult.\Their discussions are already centering around issuing subpoenas for witnesses.\Understood. You can go.\Your son was just here, sir.\As per your orders, I told him that you were not here.\What did he say?\Your son said that he believes in his father.\Albert! Quick, get in! response:	Eugenie!
context: Their discussions are already centering around issuing subpoenas for witnesses.\Understood. You can go.\Your son was just here, sir.\As per your orders, I told him that you were not here.\What did he say?\Your son said that he believes in his father.\Albert! Quick, get in!\Eugenie! response:	Where do you think you're going at a time like this?
context: Understood. You can go.\Your son was just here, sir.\As per your orders, I told him that you were not here.\What did he say?\Your son said that he believes in his father.\Albert! Quick, get in!\Eugenie!\Where do you think you're going at a time like this? response:	Why can't you do as you're told for once?!
context: Your son was just here, sir.\As per your orders, I told him that you were not here.\What did he say?\Your son said that he believes in his father.\Albert! Quick, get in!\Eugenie!\Where do you think you're going at a time like this?\Why can't you do as you're told for once?! response:	No! Let me go!
context: As per your orders, I told him that you were not here.\What did he say?\Your son said that he believes in his father.\Albert! Quick, get in!\Eugenie!\Where do you think you're going at a time like this?\Why can't you do as you're told for once?!\No! Let me go! response:	Let go of me!
context: What did he say?\Your son said that he believes in his father.\Albert! Quick, get in!\Eugenie!\Where do you think you're going at a time like this?\Why can't you do as you're told for once?!\No! Let me go!\Let go of me! response:	Was I talking to myself when I ordered you people again and again...
context: Your son said that he believes in his father.\Albert! Quick, get in!\Eugenie!\Where do you think you're going at a time like this?\Why can't you do as you're told for once?!\No! Let me go!\Let go of me!\Was I talking to myself when I ordered you people again and again... response:	Call security!
context: Albert! Quick, get in!\Eugenie!\Where do you think you're going at a time like this?\Why can't you do as you're told for once?!\No! Let me go!\Let go of me!\Was I talking to myself when I ordered you people again and again...\Call security! response:	Yes, Monsieur!
context: Eugenie!\Where do you think you're going at a time like this?\Why can't you do as you're told for once?!\No! Let me go!\Let go of me!\Was I talking to myself when I ordered you people again and again...\Call security!\Yes, Monsieur! response:	At once!
context: Where do you think you're going at a time like this?\Why can't you do as you're told for once?!\No! Let me go!\Let go of me!\Was I talking to myself when I ordered you people again and again...\Call security!\Yes, Monsieur!\At once! response:	Something terrible has happened to my friend's family, and you're telling me...
context: Why can't you do as you're told for once?!\No! Let me go!\Let go of me!\Was I talking to myself when I ordered you people again and again...\Call security!\Yes, Monsieur!\At once!\Something terrible has happened to my friend's family, and you're telling me... response:	You little fool! If you went out there now, those journalists would eat you alive!
context: No! Let me go!\Let go of me!\Was I talking to myself when I ordered you people again and again...\Call security!\Yes, Monsieur!\At once!\Something terrible has happened to my friend's family, and you're telling me...\You little fool! If you went out there now, those journalists would eat you alive! response:	They'll write about your relationship with Albert, blending fact and fiction until it becomes a farce,
context: Let go of me!\Was I talking to myself when I ordered you people again and again...\Call security!\Yes, Monsieur!\At once!\Something terrible has happened to my friend's family, and you're telling me...\You little fool! If you went out there now, those journalists would eat you alive!\They'll write about your relationship with Albert, blending fact and fiction until it becomes a farce, response:	Can't you see that?!
context: Was I talking to myself when I ordered you people again and again...\Call security!\Yes, Monsieur!\At once!\Something terrible has happened to my friend's family, and you're telling me...\You little fool! If you went out there now, those journalists would eat you alive!\They'll write about your relationship with Albert, blending fact and fiction until it becomes a farce,\Can't you see that?! response:	I don't care about any of that!
context: Call security!\Yes, Monsieur!\At once!\Something terrible has happened to my friend's family, and you're telling me...\You little fool! If you went out there now, those journalists would eat you alive!\They'll write about your relationship with Albert, blending fact and fiction until it becomes a farce,\Can't you see that?!\I don't care about any of that! response:	Listen, this matter isn't just about you!
context: Yes, Monsieur!\At once!\Something terrible has happened to my friend's family, and you're telling me...\You little fool! If you went out there now, those journalists would eat you alive!\They'll write about your relationship with Albert, blending fact and fiction until it becomes a farce,\Can't you see that?!\I don't care about any of that!\Listen, this matter isn't just about you! response:	I won't tolerate anything that might lower your value, whatever it might be!
context: At once!\Something terrible has happened to my friend's family, and you're telling me...\You little fool! If you went out there now, those journalists would eat you alive!\They'll write about your relationship with Albert, blending fact and fiction until it becomes a farce,\Can't you see that?!\I don't care about any of that!\Listen, this matter isn't just about you!\I won't tolerate anything that might lower your value, whatever it might be! response:	Keep a close eye on her to make sure that she doesn't leave the house!
