context: Hey, the float's coming along pretty nicely. response:	How's the cafe going?
context: Hey, the float's coming along pretty nicely.\How's the cafe going? response:	Right on schedule. Wanna see?
context: Hey, the float's coming along pretty nicely.\How's the cafe going?\Right on schedule. Wanna see? response:	Ah, umm... has Yano been showing up?
context: Hey, the float's coming along pretty nicely.\How's the cafe going?\Right on schedule. Wanna see?\Ah, umm... has Yano been showing up? response:	Huh? Yeah, he's been there. Why?
context: Hey, the float's coming along pretty nicely.\How's the cafe going?\Right on schedule. Wanna see?\Ah, umm... has Yano been showing up?\Huh? Yeah, he's been there. Why? response:	Ah, well... I was a little worried he might be slacking off or something.
context: Hey, the float's coming along pretty nicely.\How's the cafe going?\Right on schedule. Wanna see?\Ah, umm... has Yano been showing up?\Huh? Yeah, he's been there. Why?\Ah, well... I was a little worried he might be slacking off or something. response:	After all, that's all he did last year.
context: Hey, the float's coming along pretty nicely.\How's the cafe going?\Right on schedule. Wanna see?\Ah, umm... has Yano been showing up?\Huh? Yeah, he's been there. Why?\Ah, well... I was a little worried he might be slacking off or something.\After all, that's all he did last year. response:	After what happened, he completely stopped coming to see me...
context: Hey, the float's coming along pretty nicely.\How's the cafe going?\Right on schedule. Wanna see?\Ah, umm... has Yano been showing up?\Huh? Yeah, he's been there. Why?\Ah, well... I was a little worried he might be slacking off or something.\After all, that's all he did last year.\After what happened, he completely stopped coming to see me... response:	I see... he's been showing up...
context: How's the cafe going?\Right on schedule. Wanna see?\Ah, umm... has Yano been showing up?\Huh? Yeah, he's been there. Why?\Ah, well... I was a little worried he might be slacking off or something.\After all, that's all he did last year.\After what happened, he completely stopped coming to see me...\I see... he's been showing up... response:	Hey, gimme a break!
context: Right on schedule. Wanna see?\Ah, umm... has Yano been showing up?\Huh? Yeah, he's been there. Why?\Ah, well... I was a little worried he might be slacking off or something.\After all, that's all he did last year.\After what happened, he completely stopped coming to see me...\I see... he's been showing up...\Hey, gimme a break! response:	You're so clumsy!
context: Ah, umm... has Yano been showing up?\Huh? Yeah, he's been there. Why?\Ah, well... I was a little worried he might be slacking off or something.\After all, that's all he did last year.\After what happened, he completely stopped coming to see me...\I see... he's been showing up...\Hey, gimme a break!\You're so clumsy! response:	Thank goodness... he's the same as always...
