context: What's Kuro-senpai doing here? response:	His steps are so clumsy.
context: What's Kuro-senpai doing here?\His steps are so clumsy. response:	He basically has no sports or martial arts experience,
context: What's Kuro-senpai doing here?\His steps are so clumsy.\He basically has no sports or martial arts experience, response:	yet he looks completely unfazed taking that monster on.
context: What's Kuro-senpai doing here?\His steps are so clumsy.\He basically has no sports or martial arts experience,\yet he looks completely unfazed taking that monster on. response:	That's undoubtedly Kuro-senpai.
context: What's Kuro-senpai doing here?\His steps are so clumsy.\He basically has no sports or martial arts experience,\yet he looks completely unfazed taking that monster on.\That's undoubtedly Kuro-senpai. response:	I figured something like this might happen, but right now? Really?
context: What's Kuro-senpai doing here?\His steps are so clumsy.\He basically has no sports or martial arts experience,\yet he looks completely unfazed taking that monster on.\That's undoubtedly Kuro-senpai.\I figured something like this might happen, but right now? Really? response:	Hey!
context: What's Kuro-senpai doing here?\His steps are so clumsy.\He basically has no sports or martial arts experience,\yet he looks completely unfazed taking that monster on.\That's undoubtedly Kuro-senpai.\I figured something like this might happen, but right now? Really?\Hey! response:	What the hell do you think you're doing?!
context: What's Kuro-senpai doing here?\His steps are so clumsy.\He basically has no sports or martial arts experience,\yet he looks completely unfazed taking that monster on.\That's undoubtedly Kuro-senpai.\I figured something like this might happen, but right now? Really?\Hey!\What the hell do you think you're doing?! response:	You have a monster summon me and then leave the place we're supposed to meet,
context: His steps are so clumsy.\He basically has no sports or martial arts experience,\yet he looks completely unfazed taking that monster on.\That's undoubtedly Kuro-senpai.\I figured something like this might happen, but right now? Really?\Hey!\What the hell do you think you're doing?!\You have a monster summon me and then leave the place we're supposed to meet, response:	and you leave a ghost with a message?!
context: He basically has no sports or martial arts experience,\yet he looks completely unfazed taking that monster on.\That's undoubtedly Kuro-senpai.\I figured something like this might happen, but right now? Really?\Hey!\What the hell do you think you're doing?!\You have a monster summon me and then leave the place we're supposed to meet,\and you leave a ghost with a message?! response:	Why couldn't you have just waited at the restaurant?
context: yet he looks completely unfazed taking that monster on.\That's undoubtedly Kuro-senpai.\I figured something like this might happen, but right now? Really?\Hey!\What the hell do you think you're doing?!\You have a monster summon me and then leave the place we're supposed to meet,\and you leave a ghost with a message?!\Why couldn't you have just waited at the restaurant? response:	Say someth
context: That's undoubtedly Kuro-senpai.\I figured something like this might happen, but right now? Really?\Hey!\What the hell do you think you're doing?!\You have a monster summon me and then leave the place we're supposed to meet,\and you leave a ghost with a message?!\Why couldn't you have just waited at the restaurant?\Say someth response:	Hey, we need to save him.
context: I figured something like this might happen, but right now? Really?\Hey!\What the hell do you think you're doing?!\You have a monster summon me and then leave the place we're supposed to meet,\and you leave a ghost with a message?!\Why couldn't you have just waited at the restaurant?\Say someth\Hey, we need to save him. response:	We can leave him alone. He'll be fine.
context: Hey!\What the hell do you think you're doing?!\You have a monster summon me and then leave the place we're supposed to meet,\and you leave a ghost with a message?!\Why couldn't you have just waited at the restaurant?\Say someth\Hey, we need to save him.\We can leave him alone. He'll be fine. response:	I'm sure even he's prepared to have his head smashed in at least once.
context: What the hell do you think you're doing?!\You have a monster summon me and then leave the place we're supposed to meet,\and you leave a ghost with a message?!\Why couldn't you have just waited at the restaurant?\Say someth\Hey, we need to save him.\We can leave him alone. He'll be fine.\I'm sure even he's prepared to have his head smashed in at least once. response:	Huh?!
context: You have a monster summon me and then leave the place we're supposed to meet,\and you leave a ghost with a message?!\Why couldn't you have just waited at the restaurant?\Say someth\Hey, we need to save him.\We can leave him alone. He'll be fine.\I'm sure even he's prepared to have his head smashed in at least once.\Huh?! response:	Kuro-kun!
context: and you leave a ghost with a message?!\Why couldn't you have just waited at the restaurant?\Say someth\Hey, we need to save him.\We can leave him alone. He'll be fine.\I'm sure even he's prepared to have his head smashed in at least once.\Huh?!\Kuro-kun! response:	Why is Kuro-kun...
context: Why couldn't you have just waited at the restaurant?\Say someth\Hey, we need to save him.\We can leave him alone. He'll be fine.\I'm sure even he's prepared to have his head smashed in at least once.\Huh?!\Kuro-kun!\Why is Kuro-kun... response:	If you get any closer, you might get caught in the middle.
context: Say someth\Hey, we need to save him.\We can leave him alone. He'll be fine.\I'm sure even he's prepared to have his head smashed in at least once.\Huh?!\Kuro-kun!\Why is Kuro-kun...\If you get any closer, you might get caught in the middle. response:	Let's just watch for a bit.
context: Hey, we need to save him.\We can leave him alone. He'll be fine.\I'm sure even he's prepared to have his head smashed in at least once.\Huh?!\Kuro-kun!\Why is Kuro-kun...\If you get any closer, you might get caught in the middle.\Let's just watch for a bit. response:	But it looks like he could go down at any moment.
context: We can leave him alone. He'll be fine.\I'm sure even he's prepared to have his head smashed in at least once.\Huh?!\Kuro-kun!\Why is Kuro-kun...\If you get any closer, you might get caught in the middle.\Let's just watch for a bit.\But it looks like he could go down at any moment. response:	He's tripping over his own feet!
context: I'm sure even he's prepared to have his head smashed in at least once.\Huh?!\Kuro-kun!\Why is Kuro-kun...\If you get any closer, you might get caught in the middle.\Let's just watch for a bit.\But it looks like he could go down at any moment.\He's tripping over his own feet! response:	Yes, but it doesn't seem like she's that much stronger than he is.
context: Huh?!\Kuro-kun!\Why is Kuro-kun...\If you get any closer, you might get caught in the middle.\Let's just watch for a bit.\But it looks like he could go down at any moment.\He's tripping over his own feet!\Yes, but it doesn't seem like she's that much stronger than he is. response:	It should be simple, then.
context: Kuro-kun!\Why is Kuro-kun...\If you get any closer, you might get caught in the middle.\Let's just watch for a bit.\But it looks like he could go down at any moment.\He's tripping over his own feet!\Yes, but it doesn't seem like she's that much stronger than he is.\It should be simple, then. response:	Especially if he's willing to take a steel beam to the face.
