context: Fly response:	A tall, tall wall looms in front of me.
context: Fly\A tall, tall wall looms in front of me. response:	Aoba Johsai Karasuno
context: Fly\A tall, tall wall looms in front of me.\Aoba Johsai Karasuno response:	What's the view on the other side?
context: Fly\A tall, tall wall looms in front of me.\Aoba Johsai Karasuno\What's the view on the other side? response:	What does it look like?
context: Fly\A tall, tall wall looms in front of me.\Aoba Johsai Karasuno\What's the view on the other side?\What does it look like? response:	The view from the top...
context: Fly\A tall, tall wall looms in front of me.\Aoba Johsai Karasuno\What's the view on the other side?\What does it look like?\The view from the top... response:	it's a view I could never see on my own.
context: Fly\A tall, tall wall looms in front of me.\Aoba Johsai Karasuno\What's the view on the other side?\What does it look like?\The view from the top...\it's a view I could never see on my own. response:	But...
context: Fly\A tall, tall wall looms in front of me.\Aoba Johsai Karasuno\What's the view on the other side?\What does it look like?\The view from the top...\it's a view I could never see on my own.\But... response:	If I'm not doing it alone...
context: A tall, tall wall looms in front of me.\Aoba Johsai Karasuno\What's the view on the other side?\What does it look like?\The view from the top...\it's a view I could never see on my own.\But...\If I'm not doing it alone... response:	I just might be able to see it.
context: Aoba Johsai Karasuno\What's the view on the other side?\What does it look like?\The view from the top...\it's a view I could never see on my own.\But...\If I'm not doing it alone...\I just might be able to see it. response:	Haikyu!!
context: What's the view on the other side?\What does it look like?\The view from the top...\it's a view I could never see on my own.\But...\If I'm not doing it alone...\I just might be able to see it.\Haikyu!! response:	Episode 1 Let's Go To Tokyo!!
context: What does it look like?\The view from the top...\it's a view I could never see on my own.\But...\If I'm not doing it alone...\I just might be able to see it.\Haikyu!!\Episode 1 Let's Go To Tokyo!! response:	Red White
context: The view from the top...\it's a view I could never see on my own.\But...\If I'm not doing it alone...\I just might be able to see it.\Haikyu!!\Episode 1 Let's Go To Tokyo!!\Red White response:	Nice receive!
context: it's a view I could never see on my own.\But...\If I'm not doing it alone...\I just might be able to see it.\Haikyu!!\Episode 1 Let's Go To Tokyo!!\Red White\Nice receive! response:	Nice receive!
context: But...\If I'm not doing it alone...\I just might be able to see it.\Haikyu!!\Episode 1 Let's Go To Tokyo!!\Red White\Nice receive!\Nice receive! response:	Here it comes...
context: If I'm not doing it alone...\I just might be able to see it.\Haikyu!!\Episode 1 Let's Go To Tokyo!!\Red White\Nice receive!\Nice receive!\Here it comes... response:	All right! Here I go!
context: I just might be able to see it.\Haikyu!!\Episode 1 Let's Go To Tokyo!!\Red White\Nice receive!\Nice receive!\Here it comes...\All right! Here I go! response:	Yeah!
context: Haikyu!!\Episode 1 Let's Go To Tokyo!!\Red White\Nice receive!\Nice receive!\Here it comes...\All right! Here I go!\Yeah! response:	Whoo!
context: Episode 1 Let's Go To Tokyo!!\Red White\Nice receive!\Nice receive!\Here it comes...\All right! Here I go!\Yeah!\Whoo! response:	Wh-Whoo...
context: Red White\Nice receive!\Nice receive!\Here it comes...\All right! Here I go!\Yeah!\Whoo!\Wh-Whoo... response:	Get used to it already.
context: Nice receive!\Nice receive!\Here it comes...\All right! Here I go!\Yeah!\Whoo!\Wh-Whoo...\Get used to it already. response:	Daichi-san, nice serve!
context: Nice receive!\Here it comes...\All right! Here I go!\Yeah!\Whoo!\Wh-Whoo...\Get used to it already.\Daichi-san, nice serve! response:	Got it!
context: Here it comes...\All right! Here I go!\Yeah!\Whoo!\Wh-Whoo...\Get used to it already.\Daichi-san, nice serve!\Got it! response:	Left!
context: All right! Here I go!\Yeah!\Whoo!\Wh-Whoo...\Get used to it already.\Daichi-san, nice serve!\Got it!\Left! response:	Asahi likes his tosses a little... higher.
context: Yeah!\Whoo!\Wh-Whoo...\Get used to it already.\Daichi-san, nice serve!\Got it!\Left!\Asahi likes his tosses a little... higher. response:	Chance ball!
context: Whoo!\Wh-Whoo...\Get used to it already.\Daichi-san, nice serve!\Got it!\Left!\Asahi likes his tosses a little... higher.\Chance ball! response:	Got it!
context: Wh-Whoo...\Get used to it already.\Daichi-san, nice serve!\Got it!\Left!\Asahi likes his tosses a little... higher.\Chance ball!\Got it! response:	It's coming again.
context: Get used to it already.\Daichi-san, nice serve!\Got it!\Left!\Asahi likes his tosses a little... higher.\Chance ball!\Got it!\It's coming again. response:	It's funny how you keep falling for that.
context: Daichi-san, nice serve!\Got it!\Left!\Asahi likes his tosses a little... higher.\Chance ball!\Got it!\It's coming again.\It's funny how you keep falling for that. response:	What'd you say?!
context: Got it!\Left!\Asahi likes his tosses a little... higher.\Chance ball!\Got it!\It's coming again.\It's funny how you keep falling for that.\What'd you say?! response:	Now, now...
context: Left!\Asahi likes his tosses a little... higher.\Chance ball!\Got it!\It's coming again.\It's funny how you keep falling for that.\What'd you say?!\Now, now... response:	Nice serve!
context: Asahi likes his tosses a little... higher.\Chance ball!\Got it!\It's coming again.\It's funny how you keep falling for that.\What'd you say?!\Now, now...\Nice serve! response:	I just can't get it.
