context: Soldier response:	Stand back, rookies.
context: Soldier\Stand back, rookies. response:	Leave it to us.
context: Soldier\Stand back, rookies.\Leave it to us. response:	It's time to show off our ODM gear.
context: Soldier\Stand back, rookies.\Leave it to us.\It's time to show off our ODM gear. response:	Let's go!
context: Soldier\Stand back, rookies.\Leave it to us.\It's time to show off our ODM gear.\Let's go! response:	2 hours earlier
context: Soldier\Stand back, rookies.\Leave it to us.\It's time to show off our ODM gear.\Let's go!\2 hours earlier response:	Looks like someone was here recently.
context: Soldier\Stand back, rookies.\Leave it to us.\It's time to show off our ODM gear.\Let's go!\2 hours earlier\Looks like someone was here recently. response:	That's odd for a place this near the wall.
context: Soldier\Stand back, rookies.\Leave it to us.\It's time to show off our ODM gear.\Let's go!\2 hours earlier\Looks like someone was here recently.\That's odd for a place this near the wall. response:	Some bandits probably used it as a base.
context: Stand back, rookies.\Leave it to us.\It's time to show off our ODM gear.\Let's go!\2 hours earlier\Looks like someone was here recently.\That's odd for a place this near the wall.\Some bandits probably used it as a base. response:	It said Ruins of Utgard Castle on one of the signs.
context: Leave it to us.\It's time to show off our ODM gear.\Let's go!\2 hours earlier\Looks like someone was here recently.\That's odd for a place this near the wall.\Some bandits probably used it as a base.\It said Ruins of Utgard Castle on one of the signs. response:	Who would have thought there was a castle around here?
context: It's time to show off our ODM gear.\Let's go!\2 hours earlier\Looks like someone was here recently.\That's odd for a place this near the wall.\Some bandits probably used it as a base.\It said Ruins of Utgard Castle on one of the signs.\Who would have thought there was a castle around here? response:	Hey, check it out. Look what I found.
context: Let's go!\2 hours earlier\Looks like someone was here recently.\That's odd for a place this near the wall.\Some bandits probably used it as a base.\It said Ruins of Utgard Castle on one of the signs.\Who would have thought there was a castle around here?\Hey, check it out. Look what I found. response:	Gelgar... Is that booze I see?
context: 2 hours earlier\Looks like someone was here recently.\That's odd for a place this near the wall.\Some bandits probably used it as a base.\It said Ruins of Utgard Castle on one of the signs.\Who would have thought there was a castle around here?\Hey, check it out. Look what I found.\Gelgar... Is that booze I see? response:	Yeah.
context: Looks like someone was here recently.\That's odd for a place this near the wall.\Some bandits probably used it as a base.\It said Ruins of Utgard Castle on one of the signs.\Who would have thought there was a castle around here?\Hey, check it out. Look what I found.\Gelgar... Is that booze I see?\Yeah. response:	What the heck does it say?
context: That's odd for a place this near the wall.\Some bandits probably used it as a base.\It said Ruins of Utgard Castle on one of the signs.\Who would have thought there was a castle around here?\Hey, check it out. Look what I found.\Gelgar... Is that booze I see?\Yeah.\What the heck does it say? response:	You're not gonna drink it now, are you?
context: Some bandits probably used it as a base.\It said Ruins of Utgard Castle on one of the signs.\Who would have thought there was a castle around here?\Hey, check it out. Look what I found.\Gelgar... Is that booze I see?\Yeah.\What the heck does it say?\You're not gonna drink it now, are you? response:	Don't be stupid.
context: It said Ruins of Utgard Castle on one of the signs.\Who would have thought there was a castle around here?\Hey, check it out. Look what I found.\Gelgar... Is that booze I see?\Yeah.\What the heck does it say?\You're not gonna drink it now, are you?\Don't be stupid. response:	Not at a time like this.
context: Who would have thought there was a castle around here?\Hey, check it out. Look what I found.\Gelgar... Is that booze I see?\Yeah.\What the heck does it say?\You're not gonna drink it now, are you?\Don't be stupid.\Not at a time like this. response:	Convenient... All this contraband to enjoy for ourselves.
context: Hey, check it out. Look what I found.\Gelgar... Is that booze I see?\Yeah.\What the heck does it say?\You're not gonna drink it now, are you?\Don't be stupid.\Not at a time like this.\Convenient... All this contraband to enjoy for ourselves. response:	Now you're making us sound like the bandits.
context: Gelgar... Is that booze I see?\Yeah.\What the heck does it say?\You're not gonna drink it now, are you?\Don't be stupid.\Not at a time like this.\Convenient... All this contraband to enjoy for ourselves.\Now you're making us sound like the bandits. response:	You rookies should try to get some rest.
context: Yeah.\What the heck does it say?\You're not gonna drink it now, are you?\Don't be stupid.\Not at a time like this.\Convenient... All this contraband to enjoy for ourselves.\Now you're making us sound like the bandits.\You rookies should try to get some rest. response:	Titans won't be roaming around at this hour,
context: What the heck does it say?\You're not gonna drink it now, are you?\Don't be stupid.\Not at a time like this.\Convenient... All this contraband to enjoy for ourselves.\Now you're making us sound like the bandits.\You rookies should try to get some rest.\Titans won't be roaming around at this hour, response:	but the rest of us will take turns keeping watch.
context: You're not gonna drink it now, are you?\Don't be stupid.\Not at a time like this.\Convenient... All this contraband to enjoy for ourselves.\Now you're making us sound like the bandits.\You rookies should try to get some rest.\Titans won't be roaming around at this hour,\but the rest of us will take turns keeping watch. response:	We'll leave from here four hours before daybreak.
context: Don't be stupid.\Not at a time like this.\Convenient... All this contraband to enjoy for ourselves.\Now you're making us sound like the bandits.\You rookies should try to get some rest.\Titans won't be roaming around at this hour,\but the rest of us will take turns keeping watch.\We'll leave from here four hours before daybreak. response:	Um...
context: Not at a time like this.\Convenient... All this contraband to enjoy for ourselves.\Now you're making us sound like the bandits.\You rookies should try to get some rest.\Titans won't be roaming around at this hour,\but the rest of us will take turns keeping watch.\We'll leave from here four hours before daybreak.\Um... response:	What if the wall isn't actually broken after all?
context: Convenient... All this contraband to enjoy for ourselves.\Now you're making us sound like the bandits.\You rookies should try to get some rest.\Titans won't be roaming around at this hour,\but the rest of us will take turns keeping watch.\We'll leave from here four hours before daybreak.\Um...\What if the wall isn't actually broken after all? response:	The Titans... Where could they be invading from?
context: Now you're making us sound like the bandits.\You rookies should try to get some rest.\Titans won't be roaming around at this hour,\but the rest of us will take turns keeping watch.\We'll leave from here four hours before daybreak.\Um...\What if the wall isn't actually broken after all?\The Titans... Where could they be invading from? response:	Finding the answer to that... is our job for tomorrow.
context: You rookies should try to get some rest.\Titans won't be roaming around at this hour,\but the rest of us will take turns keeping watch.\We'll leave from here four hours before daybreak.\Um...\What if the wall isn't actually broken after all?\The Titans... Where could they be invading from?\Finding the answer to that... is our job for tomorrow. response:	But what if-? Maybe it's not nearly as bad as we thought from the start.
context: Titans won't be roaming around at this hour,\but the rest of us will take turns keeping watch.\We'll leave from here four hours before daybreak.\Um...\What if the wall isn't actually broken after all?\The Titans... Where could they be invading from?\Finding the answer to that... is our job for tomorrow.\But what if-? Maybe it's not nearly as bad as we thought from the start. response:	I'm just saying, but...
context: but the rest of us will take turns keeping watch.\We'll leave from here four hours before daybreak.\Um...\What if the wall isn't actually broken after all?\The Titans... Where could they be invading from?\Finding the answer to that... is our job for tomorrow.\But what if-? Maybe it's not nearly as bad as we thought from the start.\I'm just saying, but... response:	Yeah... There's barely any Titans around here.
context: We'll leave from here four hours before daybreak.\Um...\What if the wall isn't actually broken after all?\The Titans... Where could they be invading from?\Finding the answer to that... is our job for tomorrow.\But what if-? Maybe it's not nearly as bad as we thought from the start.\I'm just saying, but...\Yeah... There's barely any Titans around here. response:	If the wall was really broken, that is.
context: Um...\What if the wall isn't actually broken after all?\The Titans... Where could they be invading from?\Finding the answer to that... is our job for tomorrow.\But what if-? Maybe it's not nearly as bad as we thought from the start.\I'm just saying, but...\Yeah... There's barely any Titans around here.\If the wall was really broken, that is. response:	The only group we've really seen was during the initial sighting.
context: What if the wall isn't actually broken after all?\The Titans... Where could they be invading from?\Finding the answer to that... is our job for tomorrow.\But what if-? Maybe it's not nearly as bad as we thought from the start.\I'm just saying, but...\Yeah... There's barely any Titans around here.\If the wall was really broken, that is.\The only group we've really seen was during the initial sighting. response:	Conny? What about your village?
context: The Titans... Where could they be invading from?\Finding the answer to that... is our job for tomorrow.\But what if-? Maybe it's not nearly as bad as we thought from the start.\I'm just saying, but...\Yeah... There's barely any Titans around here.\If the wall was really broken, that is.\The only group we've really seen was during the initial sighting.\Conny? What about your village? response:	It was destroyed.
