context: What happened?! response:	How are Bellows and the others?! What about the pirates?!
context: What happened?!\How are Bellows and the others?! What about the pirates?! response:	There is no loss of personnel to the defensive side's vessel.
context: What happened?!\How are Bellows and the others?! What about the pirates?!\There is no loss of personnel to the defensive side's vessel. response:	The enemy force has been annihilated.
context: What happened?!\How are Bellows and the others?! What about the pirates?!\There is no loss of personnel to the defensive side's vessel.\The enemy force has been annihilated. response:	Annihilated... You murdered all of the pirates?!
context: What happened?!\How are Bellows and the others?! What about the pirates?!\There is no loss of personnel to the defensive side's vessel.\The enemy force has been annihilated.\Annihilated... You murdered all of the pirates?! response:	Affirmative. The enemy force has been annihilated.
context: What happened?!\How are Bellows and the others?! What about the pirates?!\There is no loss of personnel to the defensive side's vessel.\The enemy force has been annihilated.\Annihilated... You murdered all of the pirates?!\Affirmative. The enemy force has been annihilated. response:	Ledo, you idiot!
context: What happened?!\How are Bellows and the others?! What about the pirates?!\There is no loss of personnel to the defensive side's vessel.\The enemy force has been annihilated.\Annihilated... You murdered all of the pirates?!\Affirmative. The enemy force has been annihilated.\Ledo, you idiot! response:	What was that about?
context: What happened?!\How are Bellows and the others?! What about the pirates?!\There is no loss of personnel to the defensive side's vessel.\The enemy force has been annihilated.\Annihilated... You murdered all of the pirates?!\Affirmative. The enemy force has been annihilated.\Ledo, you idiot!\What was that about? response:	The Villainous Empress
context: How are Bellows and the others?! What about the pirates?!\There is no loss of personnel to the defensive side's vessel.\The enemy force has been annihilated.\Annihilated... You murdered all of the pirates?!\Affirmative. The enemy force has been annihilated.\Ledo, you idiot!\What was that about?\The Villainous Empress response:	The pirate convoy was wiped out?
context: There is no loss of personnel to the defensive side's vessel.\The enemy force has been annihilated.\Annihilated... You murdered all of the pirates?!\Affirmative. The enemy force has been annihilated.\Ledo, you idiot!\What was that about?\The Villainous Empress\The pirate convoy was wiped out? response:	Not just their fleet. All of the bastards who boarded my boat, too.
context: The enemy force has been annihilated.\Annihilated... You murdered all of the pirates?!\Affirmative. The enemy force has been annihilated.\Ledo, you idiot!\What was that about?\The Villainous Empress\The pirate convoy was wiped out?\Not just their fleet. All of the bastards who boarded my boat, too. response:	With them dead, it's a sure bet the others will come, hellbent on revenge.
context: Annihilated... You murdered all of the pirates?!\Affirmative. The enemy force has been annihilated.\Ledo, you idiot!\What was that about?\The Villainous Empress\The pirate convoy was wiped out?\Not just their fleet. All of the bastards who boarded my boat, too.\With them dead, it's a sure bet the others will come, hellbent on revenge. response:	They really botched this up.
context: Affirmative. The enemy force has been annihilated.\Ledo, you idiot!\What was that about?\The Villainous Empress\The pirate convoy was wiped out?\Not just their fleet. All of the bastards who boarded my boat, too.\With them dead, it's a sure bet the others will come, hellbent on revenge.\They really botched this up. response:	Fleet Comander! We need to get rid of that boy as soon as possible.
context: Ledo, you idiot!\What was that about?\The Villainous Empress\The pirate convoy was wiped out?\Not just their fleet. All of the bastards who boarded my boat, too.\With them dead, it's a sure bet the others will come, hellbent on revenge.\They really botched this up.\Fleet Comander! We need to get rid of that boy as soon as possible. response:	How about handing him over to the pirates?
