context: That was close. I almost got killed. response:	You're slacking off.
context: That was close. I almost got killed.\You're slacking off. response:	You've really lost your touch... Unacceptable, Yoichi.
context: That was close. I almost got killed.\You're slacking off.\You've really lost your touch... Unacceptable, Yoichi. response:	Th-That voice...
context: That was close. I almost got killed.\You're slacking off.\You've really lost your touch... Unacceptable, Yoichi.\Th-That voice... response:	Lord... Yoshitsune.
context: That was close. I almost got killed.\You're slacking off.\You've really lost your touch... Unacceptable, Yoichi.\Th-That voice...\Lord... Yoshitsune. response:	What were you thinking, engaging in single combat? That's not your style.
context: That was close. I almost got killed.\You're slacking off.\You've really lost your touch... Unacceptable, Yoichi.\Th-That voice...\Lord... Yoshitsune.\What were you thinking, engaging in single combat? That's not your style. response:	You fool!
context: That was close. I almost got killed.\You're slacking off.\You've really lost your touch... Unacceptable, Yoichi.\Th-That voice...\Lord... Yoshitsune.\What were you thinking, engaging in single combat? That's not your style.\You fool! response:	What, did you really think you had become a true Genpei warrior?
context: That was close. I almost got killed.\You're slacking off.\You've really lost your touch... Unacceptable, Yoichi.\Th-That voice...\Lord... Yoshitsune.\What were you thinking, engaging in single combat? That's not your style.\You fool!\What, did you really think you had become a true Genpei warrior? response:	Remember what you did during the battle?
context: You're slacking off.\You've really lost your touch... Unacceptable, Yoichi.\Th-That voice...\Lord... Yoshitsune.\What were you thinking, engaging in single combat? That's not your style.\You fool!\What, did you really think you had become a true Genpei warrior?\Remember what you did during the battle? response:	What a joke!
context: You've really lost your touch... Unacceptable, Yoichi.\Th-That voice...\Lord... Yoshitsune.\What were you thinking, engaging in single combat? That's not your style.\You fool!\What, did you really think you had become a true Genpei warrior?\Remember what you did during the battle?\What a joke! response:	You were also brought into this world! Where are you?!
context: Th-That voice...\Lord... Yoshitsune.\What were you thinking, engaging in single combat? That's not your style.\You fool!\What, did you really think you had become a true Genpei warrior?\Remember what you did during the battle?\What a joke!\You were also brought into this world! Where are you?! response:	I will not follow your orders anymore!
context: Lord... Yoshitsune.\What were you thinking, engaging in single combat? That's not your style.\You fool!\What, did you really think you had become a true Genpei warrior?\Remember what you did during the battle?\What a joke!\You were also brought into this world! Where are you?!\I will not follow your orders anymore! response:	Do as you please, Yoichi. I'll see you.
