context: July 12th (Mon) 5:05 PM response:	Yoshikage... My son...
context: July 12th (Mon) 5:05 PM\Yoshikage... My son... response:	Where are you right now?
context: July 12th (Mon) 5:05 PM\Yoshikage... My son...\Where are you right now? response:	I'm sure you've probably changed your face and name, and have hidden yourself.
context: July 12th (Mon) 5:05 PM\Yoshikage... My son...\Where are you right now?\I'm sure you've probably changed your face and name, and have hidden yourself. response:	How pitiful... And yet...
context: July 12th (Mon) 5:05 PM\Yoshikage... My son...\Where are you right now?\I'm sure you've probably changed your face and name, and have hidden yourself.\How pitiful... And yet... response:	Right. We need to find out about any people who've gone missing recently.
context: July 12th (Mon) 5:05 PM\Yoshikage... My son...\Where are you right now?\I'm sure you've probably changed your face and name, and have hidden yourself.\How pitiful... And yet...\Right. We need to find out about any people who've gone missing recently. response:	Including those considered runaways.
context: July 12th (Mon) 5:05 PM\Yoshikage... My son...\Where are you right now?\I'm sure you've probably changed your face and name, and have hidden yourself.\How pitiful... And yet...\Right. We need to find out about any people who've gone missing recently.\Including those considered runaways. response:	Kira is probably hiding.
context: July 12th (Mon) 5:05 PM\Yoshikage... My son...\Where are you right now?\I'm sure you've probably changed your face and name, and have hidden yourself.\How pitiful... And yet...\Right. We need to find out about any people who've gone missing recently.\Including those considered runaways.\Kira is probably hiding. response:	Do you think he'd commit murders again in that state?
context: Yoshikage... My son...\Where are you right now?\I'm sure you've probably changed your face and name, and have hidden yourself.\How pitiful... And yet...\Right. We need to find out about any people who've gone missing recently.\Including those considered runaways.\Kira is probably hiding.\Do you think he'd commit murders again in that state? response:	Serial killers like him can't easily keep their impulses in check.
context: Where are you right now?\I'm sure you've probably changed your face and name, and have hidden yourself.\How pitiful... And yet...\Right. We need to find out about any people who've gone missing recently.\Including those considered runaways.\Kira is probably hiding.\Do you think he'd commit murders again in that state?\Serial killers like him can't easily keep their impulses in check. response:	He will strike again.
context: I'm sure you've probably changed your face and name, and have hidden yourself.\How pitiful... And yet...\Right. We need to find out about any people who've gone missing recently.\Including those considered runaways.\Kira is probably hiding.\Do you think he'd commit murders again in that state?\Serial killers like him can't easily keep their impulses in check.\He will strike again. response:	Are you sure we don't need to do anything?
context: How pitiful... And yet...\Right. We need to find out about any people who've gone missing recently.\Including those considered runaways.\Kira is probably hiding.\Do you think he'd commit murders again in that state?\Serial killers like him can't easily keep their impulses in check.\He will strike again.\Are you sure we don't need to do anything? response:	We haven't been able to find a single clue about Kira yet.
context: Right. We need to find out about any people who've gone missing recently.\Including those considered runaways.\Kira is probably hiding.\Do you think he'd commit murders again in that state?\Serial killers like him can't easily keep their impulses in check.\He will strike again.\Are you sure we don't need to do anything?\We haven't been able to find a single clue about Kira yet. response:	That's what I was thinking, too.
context: Including those considered runaways.\Kira is probably hiding.\Do you think he'd commit murders again in that state?\Serial killers like him can't easily keep their impulses in check.\He will strike again.\Are you sure we don't need to do anything?\We haven't been able to find a single clue about Kira yet.\That's what I was thinking, too. response:	But Jotaro said it was fine.
context: Kira is probably hiding.\Do you think he'd commit murders again in that state?\Serial killers like him can't easily keep their impulses in check.\He will strike again.\Are you sure we don't need to do anything?\We haven't been able to find a single clue about Kira yet.\That's what I was thinking, too.\But Jotaro said it was fine. response:	He said he'll have us move when he finds something out,
context: Do you think he'd commit murders again in that state?\Serial killers like him can't easily keep their impulses in check.\He will strike again.\Are you sure we don't need to do anything?\We haven't been able to find a single clue about Kira yet.\That's what I was thinking, too.\But Jotaro said it was fine.\He said he'll have us move when he finds something out, response:	but until then, he wants us to continue being students.
context: Serial killers like him can't easily keep their impulses in check.\He will strike again.\Are you sure we don't need to do anything?\We haven't been able to find a single clue about Kira yet.\That's what I was thinking, too.\But Jotaro said it was fine.\He said he'll have us move when he finds something out,\but until then, he wants us to continue being students. response:	I'd rather look for Kira than study.
context: He will strike again.\Are you sure we don't need to do anything?\We haven't been able to find a single clue about Kira yet.\That's what I was thinking, too.\But Jotaro said it was fine.\He said he'll have us move when he finds something out,\but until then, he wants us to continue being students.\I'd rather look for Kira than study. response:	We managed to corner him that one time,
context: Are you sure we don't need to do anything?\We haven't been able to find a single clue about Kira yet.\That's what I was thinking, too.\But Jotaro said it was fine.\He said he'll have us move when he finds something out,\but until then, he wants us to continue being students.\I'd rather look for Kira than study.\We managed to corner him that one time, response:	so it should be pretty easy, shouldn't it?
context: We haven't been able to find a single clue about Kira yet.\That's what I was thinking, too.\But Jotaro said it was fine.\He said he'll have us move when he finds something out,\but until then, he wants us to continue being students.\I'd rather look for Kira than study.\We managed to corner him that one time,\so it should be pretty easy, shouldn't it? response:	Kisara Drug
context: That's what I was thinking, too.\But Jotaro said it was fine.\He said he'll have us move when he finds something out,\but until then, he wants us to continue being students.\I'd rather look for Kira than study.\We managed to corner him that one time,\so it should be pretty easy, shouldn't it?\Kisara Drug response:	Yes. As long as I'm repairing my house, I'd like to do some renovations, too.
context: But Jotaro said it was fine.\He said he'll have us move when he finds something out,\but until then, he wants us to continue being students.\I'd rather look for Kira than study.\We managed to corner him that one time,\so it should be pretty easy, shouldn't it?\Kisara Drug\Yes. As long as I'm repairing my house, I'd like to do some renovations, too. response:	Curses! He's actually taking pictures of everyone to try to find him!
context: He said he'll have us move when he finds something out,\but until then, he wants us to continue being students.\I'd rather look for Kira than study.\We managed to corner him that one time,\so it should be pretty easy, shouldn't it?\Kisara Drug\Yes. As long as I'm repairing my house, I'd like to do some renovations, too.\Curses! He's actually taking pictures of everyone to try to find him! response:	I guess I'll have someone come by to give me an estimate.
context: but until then, he wants us to continue being students.\I'd rather look for Kira than study.\We managed to corner him that one time,\so it should be pretty easy, shouldn't it?\Kisara Drug\Yes. As long as I'm repairing my house, I'd like to do some renovations, too.\Curses! He's actually taking pictures of everyone to try to find him!\I guess I'll have someone come by to give me an estimate. response:	Jotaro and all of his other Stand users are doing whatever they want...
context: I'd rather look for Kira than study.\We managed to corner him that one time,\so it should be pretty easy, shouldn't it?\Kisara Drug\Yes. As long as I'm repairing my house, I'd like to do some renovations, too.\Curses! He's actually taking pictures of everyone to try to find him!\I guess I'll have someone come by to give me an estimate.\Jotaro and all of his other Stand users are doing whatever they want... response:	I need to make a new Stand user
context: We managed to corner him that one time,\so it should be pretty easy, shouldn't it?\Kisara Drug\Yes. As long as I'm repairing my house, I'd like to do some renovations, too.\Curses! He's actually taking pictures of everyone to try to find him!\I guess I'll have someone come by to give me an estimate.\Jotaro and all of his other Stand users are doing whatever they want...\I need to make a new Stand user response:	to take care of those meddlesome bastards...
