context: Hold it! response:	I didn't know who to expect, but I'm surprised to see Saber's Master.
context: Hold it!\I didn't know who to expect, but I'm surprised to see Saber's Master. response:	You seem to have the will to fight, but that means nothing.
context: Hold it!\I didn't know who to expect, but I'm surprised to see Saber's Master.\You seem to have the will to fight, but that means nothing. response:	Without your precious Saber, you are worthless.
context: Hold it!\I didn't know who to expect, but I'm surprised to see Saber's Master.\You seem to have the will to fight, but that means nothing.\Without your precious Saber, you are worthless. response:	Hold on a second.
context: Hold it!\I didn't know who to expect, but I'm surprised to see Saber's Master.\You seem to have the will to fight, but that means nothing.\Without your precious Saber, you are worthless.\Hold on a second. response:	That guy is an acquaintance of mine.
context: Hold it!\I didn't know who to expect, but I'm surprised to see Saber's Master.\You seem to have the will to fight, but that means nothing.\Without your precious Saber, you are worthless.\Hold on a second.\That guy is an acquaintance of mine. response:	What a coincidence, meeting you in a place like this.
context: Hold it!\I didn't know who to expect, but I'm surprised to see Saber's Master.\You seem to have the will to fight, but that means nothing.\Without your precious Saber, you are worthless.\Hold on a second.\That guy is an acquaintance of mine.\What a coincidence, meeting you in a place like this. response:	Right, Emiya?
context: Hold it!\I didn't know who to expect, but I'm surprised to see Saber's Master.\You seem to have the will to fight, but that means nothing.\Without your precious Saber, you are worthless.\Hold on a second.\That guy is an acquaintance of mine.\What a coincidence, meeting you in a place like this.\Right, Emiya? response:	Allow me to introduce my new Servant.
context: I didn't know who to expect, but I'm surprised to see Saber's Master.\You seem to have the will to fight, but that means nothing.\Without your precious Saber, you are worthless.\Hold on a second.\That guy is an acquaintance of mine.\What a coincidence, meeting you in a place like this.\Right, Emiya?\Allow me to introduce my new Servant. response:	He's way more awesome than Rider, right?
context: You seem to have the will to fight, but that means nothing.\Without your precious Saber, you are worthless.\Hold on a second.\That guy is an acquaintance of mine.\What a coincidence, meeting you in a place like this.\Right, Emiya?\Allow me to introduce my new Servant.\He's way more awesome than Rider, right? response:	Beg for your life, Emiya.
context: Without your precious Saber, you are worthless.\Hold on a second.\That guy is an acquaintance of mine.\What a coincidence, meeting you in a place like this.\Right, Emiya?\Allow me to introduce my new Servant.\He's way more awesome than Rider, right?\Beg for your life, Emiya. response:	I might even consider sparing it.
context: Hold on a second.\That guy is an acquaintance of mine.\What a coincidence, meeting you in a place like this.\Right, Emiya?\Allow me to introduce my new Servant.\He's way more awesome than Rider, right?\Beg for your life, Emiya.\I might even consider sparing it. response:	Never!
context: That guy is an acquaintance of mine.\What a coincidence, meeting you in a place like this.\Right, Emiya?\Allow me to introduce my new Servant.\He's way more awesome than Rider, right?\Beg for your life, Emiya.\I might even consider sparing it.\Never! response:	Is that so? In that case, go ahead and die, you bastard
context: What a coincidence, meeting you in a place like this.\Right, Emiya?\Allow me to introduce my new Servant.\He's way more awesome than Rider, right?\Beg for your life, Emiya.\I might even consider sparing it.\Never!\Is that so? In that case, go ahead and die, you bastard response:	That's enough!
context: Right, Emiya?\Allow me to introduce my new Servant.\He's way more awesome than Rider, right?\Beg for your life, Emiya.\I might even consider sparing it.\Never!\Is that so? In that case, go ahead and die, you bastard\That's enough! response:	You, the Servant there...
context: Allow me to introduce my new Servant.\He's way more awesome than Rider, right?\Beg for your life, Emiya.\I might even consider sparing it.\Never!\Is that so? In that case, go ahead and die, you bastard\That's enough!\You, the Servant there... response:	If you move so much as a finger, it'll cost your Master his life!
context: He's way more awesome than Rider, right?\Beg for your life, Emiya.\I might even consider sparing it.\Never!\Is that so? In that case, go ahead and die, you bastard\That's enough!\You, the Servant there...\If you move so much as a finger, it'll cost your Master his life! response:	T-Tohsaka...
context: Beg for your life, Emiya.\I might even consider sparing it.\Never!\Is that so? In that case, go ahead and die, you bastard\That's enough!\You, the Servant there...\If you move so much as a finger, it'll cost your Master his life!\T-Tohsaka... response:	You threatened him, rather than killing him outright,
context: I might even consider sparing it.\Never!\Is that so? In that case, go ahead and die, you bastard\That's enough!\You, the Servant there...\If you move so much as a finger, it'll cost your Master his life!\T-Tohsaka...\You threatened him, rather than killing him outright, response:	because you determined that killing him would not stop me, correct?
context: Never!\Is that so? In that case, go ahead and die, you bastard\That's enough!\You, the Servant there...\If you move so much as a finger, it'll cost your Master his life!\T-Tohsaka...\You threatened him, rather than killing him outright,\because you determined that killing him would not stop me, correct? response:	That's right.
context: Is that so? In that case, go ahead and die, you bastard\That's enough!\You, the Servant there...\If you move so much as a finger, it'll cost your Master his life!\T-Tohsaka...\You threatened him, rather than killing him outright,\because you determined that killing him would not stop me, correct?\That's right. response:	Even for you, losing your Master would have to be a serious blow.
context: That's enough!\You, the Servant there...\If you move so much as a finger, it'll cost your Master his life!\T-Tohsaka...\You threatened him, rather than killing him outright,\because you determined that killing him would not stop me, correct?\That's right.\Even for you, losing your Master would have to be a serious blow. response:	Wh-What do you think you're doing?
context: You, the Servant there...\If you move so much as a finger, it'll cost your Master his life!\T-Tohsaka...\You threatened him, rather than killing him outright,\because you determined that killing him would not stop me, correct?\That's right.\Even for you, losing your Master would have to be a serious blow.\Wh-What do you think you're doing? response:	The situation has changed, Shinji.
context: If you move so much as a finger, it'll cost your Master his life!\T-Tohsaka...\You threatened him, rather than killing him outright,\because you determined that killing him would not stop me, correct?\That's right.\Even for you, losing your Master would have to be a serious blow.\Wh-What do you think you're doing?\The situation has changed, Shinji. response:	That other girl will be a satisfactory vessel.
context: T-Tohsaka...\You threatened him, rather than killing him outright,\because you determined that killing him would not stop me, correct?\That's right.\Even for you, losing your Master would have to be a serious blow.\Wh-What do you think you're doing?\The situation has changed, Shinji.\That other girl will be a satisfactory vessel. response:	Oh, right...
context: You threatened him, rather than killing him outright,\because you determined that killing him would not stop me, correct?\That's right.\Even for you, losing your Master would have to be a serious blow.\Wh-What do you think you're doing?\The situation has changed, Shinji.\That other girl will be a satisfactory vessel.\Oh, right... response:	How about this, Tohsaka?
context: because you determined that killing him would not stop me, correct?\That's right.\Even for you, losing your Master would have to be a serious blow.\Wh-What do you think you're doing?\The situation has changed, Shinji.\That other girl will be a satisfactory vessel.\Oh, right...\How about this, Tohsaka? response:	Why not ditch Emiya and join forces with us?
context: That's right.\Even for you, losing your Master would have to be a serious blow.\Wh-What do you think you're doing?\The situation has changed, Shinji.\That other girl will be a satisfactory vessel.\Oh, right...\How about this, Tohsaka?\Why not ditch Emiya and join forces with us? response:	You have to know that Caster is amassing power.
context: Even for you, losing your Master would have to be a serious blow.\Wh-What do you think you're doing?\The situation has changed, Shinji.\That other girl will be a satisfactory vessel.\Oh, right...\How about this, Tohsaka?\Why not ditch Emiya and join forces with us?\You have to know that Caster is amassing power. response:	Ryuudou Temple is her altar this time.
context: Wh-What do you think you're doing?\The situation has changed, Shinji.\That other girl will be a satisfactory vessel.\Oh, right...\How about this, Tohsaka?\Why not ditch Emiya and join forces with us?\You have to know that Caster is amassing power.\Ryuudou Temple is her altar this time. response:	If we do nothing, we'll be at a slight disadvantage
context: The situation has changed, Shinji.\That other girl will be a satisfactory vessel.\Oh, right...\How about this, Tohsaka?\Why not ditch Emiya and join forces with us?\You have to know that Caster is amassing power.\Ryuudou Temple is her altar this time.\If we do nothing, we'll be at a slight disadvantage response:	No thanks, Shinji.
context: That other girl will be a satisfactory vessel.\Oh, right...\How about this, Tohsaka?\Why not ditch Emiya and join forces with us?\You have to know that Caster is amassing power.\Ryuudou Temple is her altar this time.\If we do nothing, we'll be at a slight disadvantage\No thanks, Shinji. response:	It makes no sense to follow someone who's just a flunky.
context: Oh, right...\How about this, Tohsaka?\Why not ditch Emiya and join forces with us?\You have to know that Caster is amassing power.\Ryuudou Temple is her altar this time.\If we do nothing, we'll be at a slight disadvantage\No thanks, Shinji.\It makes no sense to follow someone who's just a flunky. response:	What did you say?
context: How about this, Tohsaka?\Why not ditch Emiya and join forces with us?\You have to know that Caster is amassing power.\Ryuudou Temple is her altar this time.\If we do nothing, we'll be at a slight disadvantage\No thanks, Shinji.\It makes no sense to follow someone who's just a flunky.\What did you say? response:	Kill them, Gilgamesh!
context: Why not ditch Emiya and join forces with us?\You have to know that Caster is amassing power.\Ryuudou Temple is her altar this time.\If we do nothing, we'll be at a slight disadvantage\No thanks, Shinji.\It makes no sense to follow someone who's just a flunky.\What did you say?\Kill them, Gilgamesh! response:	Kill both Emiya and Tohsaka!
context: You have to know that Caster is amassing power.\Ryuudou Temple is her altar this time.\If we do nothing, we'll be at a slight disadvantage\No thanks, Shinji.\It makes no sense to follow someone who's just a flunky.\What did you say?\Kill them, Gilgamesh!\Kill both Emiya and Tohsaka! response:	No.
context: Ryuudou Temple is her altar this time.\If we do nothing, we'll be at a slight disadvantage\No thanks, Shinji.\It makes no sense to follow someone who's just a flunky.\What did you say?\Kill them, Gilgamesh!\Kill both Emiya and Tohsaka!\No. response:	Unfortunately, we have run out of time.
context: If we do nothing, we'll be at a slight disadvantage\No thanks, Shinji.\It makes no sense to follow someone who's just a flunky.\What did you say?\Kill them, Gilgamesh!\Kill both Emiya and Tohsaka!\No.\Unfortunately, we have run out of time. response:	If we tarry any longer, this will spoil.
context: No thanks, Shinji.\It makes no sense to follow someone who's just a flunky.\What did you say?\Kill them, Gilgamesh!\Kill both Emiya and Tohsaka!\No.\Unfortunately, we have run out of time.\If we tarry any longer, this will spoil. response:	Damn it!
context: It makes no sense to follow someone who's just a flunky.\What did you say?\Kill them, Gilgamesh!\Kill both Emiya and Tohsaka!\No.\Unfortunately, we have run out of time.\If we tarry any longer, this will spoil.\Damn it! response:	You'll regret this, Tohsaka!
context: What did you say?\Kill them, Gilgamesh!\Kill both Emiya and Tohsaka!\No.\Unfortunately, we have run out of time.\If we tarry any longer, this will spoil.\Damn it!\You'll regret this, Tohsaka! response:	Because I won't make that offer again!
context: Kill them, Gilgamesh!\Kill both Emiya and Tohsaka!\No.\Unfortunately, we have run out of time.\If we tarry any longer, this will spoil.\Damn it!\You'll regret this, Tohsaka!\Because I won't make that offer again! response:	You heard him.
context: Kill both Emiya and Tohsaka!\No.\Unfortunately, we have run out of time.\If we tarry any longer, this will spoil.\Damn it!\You'll regret this, Tohsaka!\Because I won't make that offer again!\You heard him. response:	You have a good friend.
context: No.\Unfortunately, we have run out of time.\If we tarry any longer, this will spoil.\Damn it!\You'll regret this, Tohsaka!\Because I won't make that offer again!\You heard him.\You have a good friend. response:	Damn it! Damn it! Damn it!
context: Unfortunately, we have run out of time.\If we tarry any longer, this will spoil.\Damn it!\You'll regret this, Tohsaka!\Because I won't make that offer again!\You heard him.\You have a good friend.\Damn it! Damn it! Damn it! response:	It wasn't your fault, Shirou.
context: If we tarry any longer, this will spoil.\Damn it!\You'll regret this, Tohsaka!\Because I won't make that offer again!\You heard him.\You have a good friend.\Damn it! Damn it! Damn it!\It wasn't your fault, Shirou. response:	There was nothing we could have done to save her.
context: Damn it!\You'll regret this, Tohsaka!\Because I won't make that offer again!\You heard him.\You have a good friend.\Damn it! Damn it! Damn it!\It wasn't your fault, Shirou.\There was nothing we could have done to save her. response:	Why?
