context: I was afraid that this day would come. response:	If an Age of Cosmos were to arrive, who would stand to benefit?
context: I was afraid that this day would come.\If an Age of Cosmos were to arrive, who would stand to benefit? response:	The Lords would lose their Crests, the Mages would lose their magic,
context: I was afraid that this day would come.\If an Age of Cosmos were to arrive, who would stand to benefit?\The Lords would lose their Crests, the Mages would lose their magic, response:	and the Artists would lose their Art.
context: I was afraid that this day would come.\If an Age of Cosmos were to arrive, who would stand to benefit?\The Lords would lose their Crests, the Mages would lose their magic,\and the Artists would lose their Art. response:	Everyone else, all of the ordinary people are hoping for an Age of Cosmos!
context: I was afraid that this day would come.\If an Age of Cosmos were to arrive, who would stand to benefit?\The Lords would lose their Crests, the Mages would lose their magic,\and the Artists would lose their Art.\Everyone else, all of the ordinary people are hoping for an Age of Cosmos! response:	During the Age of the Ultimate Chaos,
context: I was afraid that this day would come.\If an Age of Cosmos were to arrive, who would stand to benefit?\The Lords would lose their Crests, the Mages would lose their magic,\and the Artists would lose their Art.\Everyone else, all of the ordinary people are hoping for an Age of Cosmos!\During the Age of the Ultimate Chaos, response:	we fought alongside the humans with Chaos as our common enemy.
context: I was afraid that this day would come.\If an Age of Cosmos were to arrive, who would stand to benefit?\The Lords would lose their Crests, the Mages would lose their magic,\and the Artists would lose their Art.\Everyone else, all of the ordinary people are hoping for an Age of Cosmos!\During the Age of the Ultimate Chaos,\we fought alongside the humans with Chaos as our common enemy. response:	But as Chaos began to fade away,
context: I was afraid that this day would come.\If an Age of Cosmos were to arrive, who would stand to benefit?\The Lords would lose their Crests, the Mages would lose their magic,\and the Artists would lose their Art.\Everyone else, all of the ordinary people are hoping for an Age of Cosmos!\During the Age of the Ultimate Chaos,\we fought alongside the humans with Chaos as our common enemy.\But as Chaos began to fade away, response:	more and more humans began to fight among each other.
context: If an Age of Cosmos were to arrive, who would stand to benefit?\The Lords would lose their Crests, the Mages would lose their magic,\and the Artists would lose their Art.\Everyone else, all of the ordinary people are hoping for an Age of Cosmos!\During the Age of the Ultimate Chaos,\we fought alongside the humans with Chaos as our common enemy.\But as Chaos began to fade away,\more and more humans began to fight among each other. response:	So what do you think will happen if Chaos were to vanish completely?
context: The Lords would lose their Crests, the Mages would lose their magic,\and the Artists would lose their Art.\Everyone else, all of the ordinary people are hoping for an Age of Cosmos!\During the Age of the Ultimate Chaos,\we fought alongside the humans with Chaos as our common enemy.\But as Chaos began to fade away,\more and more humans began to fight among each other.\So what do you think will happen if Chaos were to vanish completely? response:	Even in the Age of Cosmos, there would probably still be wars.
context: and the Artists would lose their Art.\Everyone else, all of the ordinary people are hoping for an Age of Cosmos!\During the Age of the Ultimate Chaos,\we fought alongside the humans with Chaos as our common enemy.\But as Chaos began to fade away,\more and more humans began to fight among each other.\So what do you think will happen if Chaos were to vanish completely?\Even in the Age of Cosmos, there would probably still be wars. response:	But that would be the decision of the people in that era.
