context: Give Mikono back! response:	Infinity Punch!
context: Give Mikono back!\Infinity Punch! response:	Infinity, you say?
context: Give Mikono back!\Infinity Punch!\Infinity, you say? response:	He's got an Infinity Punch too?
context: Give Mikono back!\Infinity Punch!\Infinity, you say?\He's got an Infinity Punch too? response:	But it's different!
context: Give Mikono back!\Infinity Punch!\Infinity, you say?\He's got an Infinity Punch too?\But it's different! response:	His arms are following his punches!
context: Give Mikono back!\Infinity Punch!\Infinity, you say?\He's got an Infinity Punch too?\But it's different!\His arms are following his punches! response:	The effect comes before the cause!
context: Give Mikono back!\Infinity Punch!\Infinity, you say?\He's got an Infinity Punch too?\But it's different!\His arms are following his punches!\The effect comes before the cause! response:	Are those punches violating the laws of causality?
context: Give Mikono back!\Infinity Punch!\Infinity, you say?\He's got an Infinity Punch too?\But it's different!\His arms are following his punches!\The effect comes before the cause!\Are those punches violating the laws of causality? response:	A mere dog with wings dare speak of infinity? Ridiculous!
context: Infinity Punch!\Infinity, you say?\He's got an Infinity Punch too?\But it's different!\His arms are following his punches!\The effect comes before the cause!\Are those punches violating the laws of causality?\A mere dog with wings dare speak of infinity? Ridiculous! response:	Infinity is a power of God.
context: Infinity, you say?\He's got an Infinity Punch too?\But it's different!\His arms are following his punches!\The effect comes before the cause!\Are those punches violating the laws of causality?\A mere dog with wings dare speak of infinity? Ridiculous!\Infinity is a power of God. response:	The power to appear at any place and bless at any time.
context: He's got an Infinity Punch too?\But it's different!\His arms are following his punches!\The effect comes before the cause!\Are those punches violating the laws of causality?\A mere dog with wings dare speak of infinity? Ridiculous!\Infinity is a power of God.\The power to appear at any place and bless at any time. response:	Where is this?
context: But it's different!\His arms are following his punches!\The effect comes before the cause!\Are those punches violating the laws of causality?\A mere dog with wings dare speak of infinity? Ridiculous!\Infinity is a power of God.\The power to appear at any place and bless at any time.\Where is this? response:	Silvie!
context: His arms are following his punches!\The effect comes before the cause!\Are those punches violating the laws of causality?\A mere dog with wings dare speak of infinity? Ridiculous!\Infinity is a power of God.\The power to appear at any place and bless at any time.\Where is this?\Silvie! response:	Silvie!
context: The effect comes before the cause!\Are those punches violating the laws of causality?\A mere dog with wings dare speak of infinity? Ridiculous!\Infinity is a power of God.\The power to appear at any place and bless at any time.\Where is this?\Silvie!\Silvie! response:	Why can't I reach her?
context: Are those punches violating the laws of causality?\A mere dog with wings dare speak of infinity? Ridiculous!\Infinity is a power of God.\The power to appear at any place and bless at any time.\Where is this?\Silvie!\Silvie!\Why can't I reach her? response:	Why can't I reach you, Silvie?
context: A mere dog with wings dare speak of infinity? Ridiculous!\Infinity is a power of God.\The power to appear at any place and bless at any time.\Where is this?\Silvie!\Silvie!\Why can't I reach her?\Why can't I reach you, Silvie? response:	Damn it!
context: Infinity is a power of God.\The power to appear at any place and bless at any time.\Where is this?\Silvie!\Silvie!\Why can't I reach her?\Why can't I reach you, Silvie?\Damn it! response:	This Union is making Amata suffer.
context: The power to appear at any place and bless at any time.\Where is this?\Silvie!\Silvie!\Why can't I reach her?\Why can't I reach you, Silvie?\Damn it!\This Union is making Amata suffer. response:	Who're you?
context: Where is this?\Silvie!\Silvie!\Why can't I reach her?\Why can't I reach you, Silvie?\Damn it!\This Union is making Amata suffer.\Who're you? response:	This is the labyrinth of Mikage's mind.
context: Silvie!\Silvie!\Why can't I reach her?\Why can't I reach you, Silvie?\Damn it!\This Union is making Amata suffer.\Who're you?\This is the labyrinth of Mikage's mind. response:	Please, kill me.
context: Silvie!\Why can't I reach her?\Why can't I reach you, Silvie?\Damn it!\This Union is making Amata suffer.\Who're you?\This is the labyrinth of Mikage's mind.\Please, kill me. response:	What?
context: Why can't I reach her?\Why can't I reach you, Silvie?\Damn it!\This Union is making Amata suffer.\Who're you?\This is the labyrinth of Mikage's mind.\Please, kill me.\What? response:	If I die, Mikage won't be able to control the Wings of the Sun.
context: Why can't I reach you, Silvie?\Damn it!\This Union is making Amata suffer.\Who're you?\This is the labyrinth of Mikage's mind.\Please, kill me.\What?\If I die, Mikage won't be able to control the Wings of the Sun. response:	It's what I get for being so stupid.
context: Damn it!\This Union is making Amata suffer.\Who're you?\This is the labyrinth of Mikage's mind.\Please, kill me.\What?\If I die, Mikage won't be able to control the Wings of the Sun.\It's what I get for being so stupid. response:	I can't think of any other way to stop Mikage.
context: This Union is making Amata suffer.\Who're you?\This is the labyrinth of Mikage's mind.\Please, kill me.\What?\If I die, Mikage won't be able to control the Wings of the Sun.\It's what I get for being so stupid.\I can't think of any other way to stop Mikage. response:	Amata's going to suffer if he loses Mikono.
context: Who're you?\This is the labyrinth of Mikage's mind.\Please, kill me.\What?\If I die, Mikage won't be able to control the Wings of the Sun.\It's what I get for being so stupid.\I can't think of any other way to stop Mikage.\Amata's going to suffer if he loses Mikono. response:	I don't want Amata to suffer.
context: This is the labyrinth of Mikage's mind.\Please, kill me.\What?\If I die, Mikage won't be able to control the Wings of the Sun.\It's what I get for being so stupid.\I can't think of any other way to stop Mikage.\Amata's going to suffer if he loses Mikono.\I don't want Amata to suffer. response:	Please.
context: Please, kill me.\What?\If I die, Mikage won't be able to control the Wings of the Sun.\It's what I get for being so stupid.\I can't think of any other way to stop Mikage.\Amata's going to suffer if he loses Mikono.\I don't want Amata to suffer.\Please. response:	I can't handle any more!
context: What?\If I die, Mikage won't be able to control the Wings of the Sun.\It's what I get for being so stupid.\I can't think of any other way to stop Mikage.\Amata's going to suffer if he loses Mikono.\I don't want Amata to suffer.\Please.\I can't handle any more! response:	The Union's about to break!
context: If I die, Mikage won't be able to control the Wings of the Sun.\It's what I get for being so stupid.\I can't think of any other way to stop Mikage.\Amata's going to suffer if he loses Mikono.\I don't want Amata to suffer.\Please.\I can't handle any more!\The Union's about to break! response:	How dare you!
context: It's what I get for being so stupid.\I can't think of any other way to stop Mikage.\Amata's going to suffer if he loses Mikono.\I don't want Amata to suffer.\Please.\I can't handle any more!\The Union's about to break!\How dare you! response:	Goodbye, Amata...
context: I can't think of any other way to stop Mikage.\Amata's going to suffer if he loses Mikono.\I don't want Amata to suffer.\Please.\I can't handle any more!\The Union's about to break!\How dare you!\Goodbye, Amata... response:	Can't do it.
