context: Come home soon, Father. response:	Oh, shut up! Stop ringing!
context: Come home soon, Father.\Oh, shut up! Stop ringing! response:	Come on, already...
context: Come home soon, Father.\Oh, shut up! Stop ringing!\Come on, already... response:	I was up until late last night, so just a few more minutes.
context: Come home soon, Father.\Oh, shut up! Stop ringing!\Come on, already...\I was up until late last night, so just a few more minutes. response:	Jeez, you're heartless!
context: Come home soon, Father.\Oh, shut up! Stop ringing!\Come on, already...\I was up until late last night, so just a few more minutes.\Jeez, you're heartless! response:	Oh, right. That pendant...
context: Come home soon, Father.\Oh, shut up! Stop ringing!\Come on, already...\I was up until late last night, so just a few more minutes.\Jeez, you're heartless!\Oh, right. That pendant... response:	It hasn't begun yet, but I can't be too careful, can I?
context: Come home soon, Father.\Oh, shut up! Stop ringing!\Come on, already...\I was up until late last night, so just a few more minutes.\Jeez, you're heartless!\Oh, right. That pendant...\It hasn't begun yet, but I can't be too careful, can I? response:	What's going on?
context: Come home soon, Father.\Oh, shut up! Stop ringing!\Come on, already...\I was up until late last night, so just a few more minutes.\Jeez, you're heartless!\Oh, right. That pendant...\It hasn't begun yet, but I can't be too careful, can I?\What's going on? response:	I don't see a single student...
context: Oh, shut up! Stop ringing!\Come on, already...\I was up until late last night, so just a few more minutes.\Jeez, you're heartless!\Oh, right. That pendant...\It hasn't begun yet, but I can't be too careful, can I?\What's going on?\I don't see a single student... response:	It's too quiet.
context: Come on, already...\I was up until late last night, so just a few more minutes.\Jeez, you're heartless!\Oh, right. That pendant...\It hasn't begun yet, but I can't be too careful, can I?\What's going on?\I don't see a single student...\It's too quiet. response:	Well, I guess it's just one of those days.
context: I was up until late last night, so just a few more minutes.\Jeez, you're heartless!\Oh, right. That pendant...\It hasn't begun yet, but I can't be too careful, can I?\What's going on?\I don't see a single student...\It's too quiet.\Well, I guess it's just one of those days. response:	Hey, Tohsaka!
context: Jeez, you're heartless!\Oh, right. That pendant...\It hasn't begun yet, but I can't be too careful, can I?\What's going on?\I don't see a single student...\It's too quiet.\Well, I guess it's just one of those days.\Hey, Tohsaka! response:	You're early today.
context: Oh, right. That pendant...\It hasn't begun yet, but I can't be too careful, can I?\What's going on?\I don't see a single student...\It's too quiet.\Well, I guess it's just one of those days.\Hey, Tohsaka!\You're early today. response:	Ah, so that's it...
context: It hasn't begun yet, but I can't be too careful, can I?\What's going on?\I don't see a single student...\It's too quiet.\Well, I guess it's just one of those days.\Hey, Tohsaka!\You're early today.\Ah, so that's it... response:	Morning.
context: What's going on?\I don't see a single student...\It's too quiet.\Well, I guess it's just one of those days.\Hey, Tohsaka!\You're early today.\Ah, so that's it...\Morning. response:	Sure is cold today, huh?
context: I don't see a single student...\It's too quiet.\Well, I guess it's just one of those days.\Hey, Tohsaka!\You're early today.\Ah, so that's it...\Morning.\Sure is cold today, huh? response:	Good morning, Mitsuzuri-san.
context: It's too quiet.\Well, I guess it's just one of those days.\Hey, Tohsaka!\You're early today.\Ah, so that's it...\Morning.\Sure is cold today, huh?\Good morning, Mitsuzuri-san. response:	By the way, do you know what time it is?
context: Well, I guess it's just one of those days.\Hey, Tohsaka!\You're early today.\Ah, so that's it...\Morning.\Sure is cold today, huh?\Good morning, Mitsuzuri-san.\By the way, do you know what time it is? response:	The time? It's just before seven, of course.
context: Hey, Tohsaka!\You're early today.\Ah, so that's it...\Morning.\Sure is cold today, huh?\Good morning, Mitsuzuri-san.\By the way, do you know what time it is?\The time? It's just before seven, of course. response:	Tohsaka, are you half-asleep?
context: You're early today.\Ah, so that's it...\Morning.\Sure is cold today, huh?\Good morning, Mitsuzuri-san.\By the way, do you know what time it is?\The time? It's just before seven, of course.\Tohsaka, are you half-asleep? response:	Looks like the clocks at home were an hour fast.
context: Ah, so that's it...\Morning.\Sure is cold today, huh?\Good morning, Mitsuzuri-san.\By the way, do you know what time it is?\The time? It's just before seven, of course.\Tohsaka, are you half-asleep?\Looks like the clocks at home were an hour fast. response:	Not only my alarm clock, but the wall clocks, too. By exactly one hour.
context: Morning.\Sure is cold today, huh?\Good morning, Mitsuzuri-san.\By the way, do you know what time it is?\The time? It's just before seven, of course.\Tohsaka, are you half-asleep?\Looks like the clocks at home were an hour fast.\Not only my alarm clock, but the wall clocks, too. By exactly one hour. response:	It happened right after I found the pendant...
context: Sure is cold today, huh?\Good morning, Mitsuzuri-san.\By the way, do you know what time it is?\The time? It's just before seven, of course.\Tohsaka, are you half-asleep?\Looks like the clocks at home were an hour fast.\Not only my alarm clock, but the wall clocks, too. By exactly one hour.\It happened right after I found the pendant... response:	Could Father have caused it?
context: Good morning, Mitsuzuri-san.\By the way, do you know what time it is?\The time? It's just before seven, of course.\Tohsaka, are you half-asleep?\Looks like the clocks at home were an hour fast.\Not only my alarm clock, but the wall clocks, too. By exactly one hour.\It happened right after I found the pendant...\Could Father have caused it? response:	Tohsaka?
context: By the way, do you know what time it is?\The time? It's just before seven, of course.\Tohsaka, are you half-asleep?\Looks like the clocks at home were an hour fast.\Not only my alarm clock, but the wall clocks, too. By exactly one hour.\It happened right after I found the pendant...\Could Father have caused it?\Tohsaka? response:	Holding morning practice again, Mitsuzuri-san?
context: The time? It's just before seven, of course.\Tohsaka, are you half-asleep?\Looks like the clocks at home were an hour fast.\Not only my alarm clock, but the wall clocks, too. By exactly one hour.\It happened right after I found the pendant...\Could Father have caused it?\Tohsaka?\Holding morning practice again, Mitsuzuri-san? response:	Yeah, I lost one of our best people.
context: Tohsaka, are you half-asleep?\Looks like the clocks at home were an hour fast.\Not only my alarm clock, but the wall clocks, too. By exactly one hour.\It happened right after I found the pendant...\Could Father have caused it?\Tohsaka?\Holding morning practice again, Mitsuzuri-san?\Yeah, I lost one of our best people. response:	I have to try to put on a good show so new students will join our club.
