context: Hmm? What is he planning to do? response:	No! Your body won't be able to bear it if you go higher than 2X, Goku!
context: Hmm? What is he planning to do?\No! Your body won't be able to bear it if you go higher than 2X, Goku! response:	Times-three Kaio-ken!!
context: Hmm? What is he planning to do?\No! Your body won't be able to bear it if you go higher than 2X, Goku!\Times-three Kaio-ken!! response:	What!?
context: Hmm? What is he planning to do?\No! Your body won't be able to bear it if you go higher than 2X, Goku!\Times-three Kaio-ken!!\What!? response:	A- awesome!
context: Hmm? What is he planning to do?\No! Your body won't be able to bear it if you go higher than 2X, Goku!\Times-three Kaio-ken!!\What!?\A- awesome! response:	Why, you-!
context: Hmm? What is he planning to do?\No! Your body won't be able to bear it if you go higher than 2X, Goku!\Times-three Kaio-ken!!\What!?\A- awesome!\Why, you-! response:	W- why, you-!
context: Hmm? What is he planning to do?\No! Your body won't be able to bear it if you go higher than 2X, Goku!\Times-three Kaio-ken!!\What!?\A- awesome!\Why, you-!\W- why, you-! response:	H- he can do this! He just might be able to beat him!
context: Hmm? What is he planning to do?\No! Your body won't be able to bear it if you go higher than 2X, Goku!\Times-three Kaio-ken!!\What!?\A- awesome!\Why, you-!\W- why, you-!\H- he can do this! He just might be able to beat him! response:	Goku's fightin' power readin' has risen, you say?
context: No! Your body won't be able to bear it if you go higher than 2X, Goku!\Times-three Kaio-ken!!\What!?\A- awesome!\Why, you-!\W- why, you-!\H- he can do this! He just might be able to beat him!\Goku's fightin' power readin' has risen, you say? response:	What on earth is goin' on?
context: Times-three Kaio-ken!!\What!?\A- awesome!\Why, you-!\W- why, you-!\H- he can do this! He just might be able to beat him!\Goku's fightin' power readin' has risen, you say?\What on earth is goin' on? response:	Baba- san, please hurry up and show us how the fight is going!
context: What!?\A- awesome!\Why, you-!\W- why, you-!\H- he can do this! He just might be able to beat him!\Goku's fightin' power readin' has risen, you say?\What on earth is goin' on?\Baba- san, please hurry up and show us how the fight is going! response:	How is Gohan? How is Gohan!?
context: A- awesome!\Why, you-!\W- why, you-!\H- he can do this! He just might be able to beat him!\Goku's fightin' power readin' has risen, you say?\What on earth is goin' on?\Baba- san, please hurry up and show us how the fight is going!\How is Gohan? How is Gohan!? response:	I- it's no use! The Ki over there is too strong, and I can't control the power!
context: Why, you-!\W- why, you-!\H- he can do this! He just might be able to beat him!\Goku's fightin' power readin' has risen, you say?\What on earth is goin' on?\Baba- san, please hurry up and show us how the fight is going!\How is Gohan? How is Gohan!?\I- it's no use! The Ki over there is too strong, and I can't control the power! response:	You don't suppose Goku has unleashed some technique he's been saving, do you?
context: W- why, you-!\H- he can do this! He just might be able to beat him!\Goku's fightin' power readin' has risen, you say?\What on earth is goin' on?\Baba- san, please hurry up and show us how the fight is going!\How is Gohan? How is Gohan!?\I- it's no use! The Ki over there is too strong, and I can't control the power!\You don't suppose Goku has unleashed some technique he's been saving, do you? response:	Sure! If that's the case, then...
context: H- he can do this! He just might be able to beat him!\Goku's fightin' power readin' has risen, you say?\What on earth is goin' on?\Baba- san, please hurry up and show us how the fight is going!\How is Gohan? How is Gohan!?\I- it's no use! The Ki over there is too strong, and I can't control the power!\You don't suppose Goku has unleashed some technique he's been saving, do you?\Sure! If that's the case, then... response:	H- he just might win!
context: Goku's fightin' power readin' has risen, you say?\What on earth is goin' on?\Baba- san, please hurry up and show us how the fight is going!\How is Gohan? How is Gohan!?\I- it's no use! The Ki over there is too strong, and I can't control the power!\You don't suppose Goku has unleashed some technique he's been saving, do you?\Sure! If that's the case, then...\H- he just might win! response:	I, on the other hand, have a bad feeling about this.
context: What on earth is goin' on?\Baba- san, please hurry up and show us how the fight is going!\How is Gohan? How is Gohan!?\I- it's no use! The Ki over there is too strong, and I can't control the power!\You don't suppose Goku has unleashed some technique he's been saving, do you?\Sure! If that's the case, then...\H- he just might win!\I, on the other hand, have a bad feeling about this. response:	It's said that the flame of a candle burns intensely just before it goes out.
context: Baba- san, please hurry up and show us how the fight is going!\How is Gohan? How is Gohan!?\I- it's no use! The Ki over there is too strong, and I can't control the power!\You don't suppose Goku has unleashed some technique he's been saving, do you?\Sure! If that's the case, then...\H- he just might win!\I, on the other hand, have a bad feeling about this.\It's said that the flame of a candle burns intensely just before it goes out. response:	It seems to me that Goku is tremendously overexerting himself.
context: How is Gohan? How is Gohan!?\I- it's no use! The Ki over there is too strong, and I can't control the power!\You don't suppose Goku has unleashed some technique he's been saving, do you?\Sure! If that's the case, then...\H- he just might win!\I, on the other hand, have a bad feeling about this.\It's said that the flame of a candle burns intensely just before it goes out.\It seems to me that Goku is tremendously overexerting himself. response:	Don't say anythin' so ill-fated!
context: I- it's no use! The Ki over there is too strong, and I can't control the power!\You don't suppose Goku has unleashed some technique he's been saving, do you?\Sure! If that's the case, then...\H- he just might win!\I, on the other hand, have a bad feeling about this.\It's said that the flame of a candle burns intensely just before it goes out.\It seems to me that Goku is tremendously overexerting himself.\Don't say anythin' so ill-fated! response:	l - impossible! How could his - how could Kakarrot's battle power be higher than mine!?
context: You don't suppose Goku has unleashed some technique he's been saving, do you?\Sure! If that's the case, then...\H- he just might win!\I, on the other hand, have a bad feeling about this.\It's said that the flame of a candle burns intensely just before it goes out.\It seems to me that Goku is tremendously overexerting himself.\Don't say anythin' so ill-fated!\l - impossible! How could his - how could Kakarrot's battle power be higher than mine!? response:	Damn... He's a tough one. If I don't finish this quickly-
context: Sure! If that's the case, then...\H- he just might win!\I, on the other hand, have a bad feeling about this.\It's said that the flame of a candle burns intensely just before it goes out.\It seems to me that Goku is tremendously overexerting himself.\Don't say anythin' so ill-fated!\l - impossible! How could his - how could Kakarrot's battle power be higher than mine!?\Damn... He's a tough one. If I don't finish this quickly- response:	Damn! My body can't-!
context: H- he just might win!\I, on the other hand, have a bad feeling about this.\It's said that the flame of a candle burns intensely just before it goes out.\It seems to me that Goku is tremendously overexerting himself.\Don't say anythin' so ill-fated!\l - impossible! How could his - how could Kakarrot's battle power be higher than mine!?\Damn... He's a tough one. If I don't finish this quickly-\Damn! My body can't-! response:	What're you doin', Goku!? You should just put him away right here'n now!
context: I, on the other hand, have a bad feeling about this.\It's said that the flame of a candle burns intensely just before it goes out.\It seems to me that Goku is tremendously overexerting himself.\Don't say anythin' so ill-fated!\l - impossible! How could his - how could Kakarrot's battle power be higher than mine!?\Damn... He's a tough one. If I don't finish this quickly-\Damn! My body can't-!\What're you doin', Goku!? You should just put him away right here'n now! response:	H- how can I let this happen!? I am super-elite!
context: It's said that the flame of a candle burns intensely just before it goes out.\It seems to me that Goku is tremendously overexerting himself.\Don't say anythin' so ill-fated!\l - impossible! How could his - how could Kakarrot's battle power be higher than mine!?\Damn... He's a tough one. If I don't finish this quickly-\Damn! My body can't-!\What're you doin', Goku!? You should just put him away right here'n now!\H- how can I let this happen!? I am super-elite! response:	There's no way I should be beaten by that lower-class warrior!
context: It seems to me that Goku is tremendously overexerting himself.\Don't say anythin' so ill-fated!\l - impossible! How could his - how could Kakarrot's battle power be higher than mine!?\Damn... He's a tough one. If I don't finish this quickly-\Damn! My body can't-!\What're you doin', Goku!? You should just put him away right here'n now!\H- how can I let this happen!? I am super-elite!\There's no way I should be beaten by that lower-class warrior! response:	I am the greatest in the universe!
context: Don't say anythin' so ill-fated!\l - impossible! How could his - how could Kakarrot's battle power be higher than mine!?\Damn... He's a tough one. If I don't finish this quickly-\Damn! My body can't-!\What're you doin', Goku!? You should just put him away right here'n now!\H- how can I let this happen!? I am super-elite!\There's no way I should be beaten by that lower-class warrior!\I am the greatest in the universe! response:	My whole body is aching!
context: l - impossible! How could his - how could Kakarrot's battle power be higher than mine!?\Damn... He's a tough one. If I don't finish this quickly-\Damn! My body can't-!\What're you doin', Goku!? You should just put him away right here'n now!\H- how can I let this happen!? I am super-elite!\There's no way I should be beaten by that lower-class warrior!\I am the greatest in the universe!\My whole body is aching! response:	Sure enough, it looks like performing a times-three Kaio-ken was asking too much...
context: Damn... He's a tough one. If I don't finish this quickly-\Damn! My body can't-!\What're you doin', Goku!? You should just put him away right here'n now!\H- how can I let this happen!? I am super-elite!\There's no way I should be beaten by that lower-class warrior!\I am the greatest in the universe!\My whole body is aching!\Sure enough, it looks like performing a times-three Kaio-ken was asking too much... response:	lf I dally around, I'll be the one who goes down first!
context: Damn! My body can't-!\What're you doin', Goku!? You should just put him away right here'n now!\H- how can I let this happen!? I am super-elite!\There's no way I should be beaten by that lower-class warrior!\I am the greatest in the universe!\My whole body is aching!\Sure enough, it looks like performing a times-three Kaio-ken was asking too much...\lf I dally around, I'll be the one who goes down first! response:	Blood?
context: What're you doin', Goku!? You should just put him away right here'n now!\H- how can I let this happen!? I am super-elite!\There's no way I should be beaten by that lower-class warrior!\I am the greatest in the universe!\My whole body is aching!\Sure enough, it looks like performing a times-three Kaio-ken was asking too much...\lf I dally around, I'll be the one who goes down first!\Blood? response:	I had my noble blood shed over fighting a piece of trash like that?
context: H- how can I let this happen!? I am super-elite!\There's no way I should be beaten by that lower-class warrior!\I am the greatest in the universe!\My whole body is aching!\Sure enough, it looks like performing a times-three Kaio-ken was asking too much...\lf I dally around, I'll be the one who goes down first!\Blood?\I had my noble blood shed over fighting a piece of trash like that? response:	This will not stand! This absolutely... absolutely will not stand!!
context: There's no way I should be beaten by that lower-class warrior!\I am the greatest in the universe!\My whole body is aching!\Sure enough, it looks like performing a times-three Kaio-ken was asking too much...\lf I dally around, I'll be the one who goes down first!\Blood?\I had my noble blood shed over fighting a piece of trash like that?\This will not stand! This absolutely... absolutely will not stand!! response:	I don't need this planet anymore!
context: I am the greatest in the universe!\My whole body is aching!\Sure enough, it looks like performing a times-three Kaio-ken was asking too much...\lf I dally around, I'll be the one who goes down first!\Blood?\I had my noble blood shed over fighting a piece of trash like that?\This will not stand! This absolutely... absolutely will not stand!!\I don't need this planet anymore! response:	I'm going to crush you, along with the rest of the Earth!
context: My whole body is aching!\Sure enough, it looks like performing a times-three Kaio-ken was asking too much...\lf I dally around, I'll be the one who goes down first!\Blood?\I had my noble blood shed over fighting a piece of trash like that?\This will not stand! This absolutely... absolutely will not stand!!\I don't need this planet anymore!\I'm going to crush you, along with the rest of the Earth! response:	You're going to what!?
context: Sure enough, it looks like performing a times-three Kaio-ken was asking too much...\lf I dally around, I'll be the one who goes down first!\Blood?\I had my noble blood shed over fighting a piece of trash like that?\This will not stand! This absolutely... absolutely will not stand!!\I don't need this planet anymore!\I'm going to crush you, along with the rest of the Earth!\You're going to what!? response:	Go ahead and try to dodge this, if you can!
context: lf I dally around, I'll be the one who goes down first!\Blood?\I had my noble blood shed over fighting a piece of trash like that?\This will not stand! This absolutely... absolutely will not stand!!\I don't need this planet anymore!\I'm going to crush you, along with the rest of the Earth!\You're going to what!?\Go ahead and try to dodge this, if you can! response:	Even if you spare yourself, the Earth will be blown to pieces!
context: Blood?\I had my noble blood shed over fighting a piece of trash like that?\This will not stand! This absolutely... absolutely will not stand!!\I don't need this planet anymore!\I'm going to crush you, along with the rest of the Earth!\You're going to what!?\Go ahead and try to dodge this, if you can!\Even if you spare yourself, the Earth will be blown to pieces! response:	Dammit, he thought this through!
context: I had my noble blood shed over fighting a piece of trash like that?\This will not stand! This absolutely... absolutely will not stand!!\I don't need this planet anymore!\I'm going to crush you, along with the rest of the Earth!\You're going to what!?\Go ahead and try to dodge this, if you can!\Even if you spare yourself, the Earth will be blown to pieces!\Dammit, he thought this through! response:	I ain't got no choice but to risk it!
context: This will not stand! This absolutely... absolutely will not stand!!\I don't need this planet anymore!\I'm going to crush you, along with the rest of the Earth!\You're going to what!?\Go ahead and try to dodge this, if you can!\Even if you spare yourself, the Earth will be blown to pieces!\Dammit, he thought this through!\I ain't got no choice but to risk it! response:	Times-three Kaio-ken...
context: I don't need this planet anymore!\I'm going to crush you, along with the rest of the Earth!\You're going to what!?\Go ahead and try to dodge this, if you can!\Even if you spare yourself, the Earth will be blown to pieces!\Dammit, he thought this through!\I ain't got no choice but to risk it!\Times-three Kaio-ken... response:	Ka... me...
context: I'm going to crush you, along with the rest of the Earth!\You're going to what!?\Go ahead and try to dodge this, if you can!\Even if you spare yourself, the Earth will be blown to pieces!\Dammit, he thought this through!\I ain't got no choice but to risk it!\Times-three Kaio-ken...\Ka... me... response:	ha...
context: You're going to what!?\Go ahead and try to dodge this, if you can!\Even if you spare yourself, the Earth will be blown to pieces!\Dammit, he thought this through!\I ain't got no choice but to risk it!\Times-three Kaio-ken...\Ka... me...\ha... response:	There's absolutely no way you can stop my Gyallic Ho blast!
context: Go ahead and try to dodge this, if you can!\Even if you spare yourself, the Earth will be blown to pieces!\Dammit, he thought this through!\I ain't got no choice but to risk it!\Times-three Kaio-ken...\Ka... me...\ha...\There's absolutely no way you can stop my Gyallic Ho blast! response:	me...
context: Even if you spare yourself, the Earth will be blown to pieces!\Dammit, he thought this through!\I ain't got no choice but to risk it!\Times-three Kaio-ken...\Ka... me...\ha...\There's absolutely no way you can stop my Gyallic Ho blast!\me... response:	Let you and the Earth together turn to space dust!
context: Dammit, he thought this through!\I ain't got no choice but to risk it!\Times-three Kaio-ken...\Ka... me...\ha...\There's absolutely no way you can stop my Gyallic Ho blast!\me...\Let you and the Earth together turn to space dust! response:	Damn it, man! If I hafta die like this, I should've eaten more meaty buns!
context: I ain't got no choice but to risk it!\Times-three Kaio-ken...\Ka... me...\ha...\There's absolutely no way you can stop my Gyallic Ho blast!\me...\Let you and the Earth together turn to space dust!\Damn it, man! If I hafta die like this, I should've eaten more meaty buns! response:	Ha!!
context: Times-three Kaio-ken...\Ka... me...\ha...\There's absolutely no way you can stop my Gyallic Ho blast!\me...\Let you and the Earth together turn to space dust!\Damn it, man! If I hafta die like this, I should've eaten more meaty buns!\Ha!! response:	W- what!? It's just like my Gyallic Ho!
context: Ka... me...\ha...\There's absolutely no way you can stop my Gyallic Ho blast!\me...\Let you and the Earth together turn to space dust!\Damn it, man! If I hafta die like this, I should've eaten more meaty buns!\Ha!!\W- what!? It's just like my Gyallic Ho! response:	Yow, that's hot!
context: ha...\There's absolutely no way you can stop my Gyallic Ho blast!\me...\Let you and the Earth together turn to space dust!\Damn it, man! If I hafta die like this, I should've eaten more meaty buns!\Ha!!\W- what!? It's just like my Gyallic Ho!\Yow, that's hot! response:	What is this?
context: There's absolutely no way you can stop my Gyallic Ho blast!\me...\Let you and the Earth together turn to space dust!\Damn it, man! If I hafta die like this, I should've eaten more meaty buns!\Ha!!\W- what!? It's just like my Gyallic Ho!\Yow, that's hot!\What is this? response:	T- the power of the Ki from Goku and that other guy
context: me...\Let you and the Earth together turn to space dust!\Damn it, man! If I hafta die like this, I should've eaten more meaty buns!\Ha!!\W- what!? It's just like my Gyallic Ho!\Yow, that's hot!\What is this?\T- the power of the Ki from Goku and that other guy response:	is manifesting itself through the crystal ball!
context: Let you and the Earth together turn to space dust!\Damn it, man! If I hafta die like this, I should've eaten more meaty buns!\Ha!!\W- what!? It's just like my Gyallic Ho!\Yow, that's hot!\What is this?\T- the power of the Ki from Goku and that other guy\is manifesting itself through the crystal ball! response:	Kaio-ken... times four!!
context: Damn it, man! If I hafta die like this, I should've eaten more meaty buns!\Ha!!\W- what!? It's just like my Gyallic Ho!\Yow, that's hot!\What is this?\T- the power of the Ki from Goku and that other guy\is manifesting itself through the crystal ball!\Kaio-ken... times four!! response:	No! Goku!
context: Ha!!\W- what!? It's just like my Gyallic Ho!\Yow, that's hot!\What is this?\T- the power of the Ki from Goku and that other guy\is manifesting itself through the crystal ball!\Kaio-ken... times four!!\No! Goku! response:	H- he's pushing back-
context: W- what!? It's just like my Gyallic Ho!\Yow, that's hot!\What is this?\T- the power of the Ki from Goku and that other guy\is manifesting itself through the crystal ball!\Kaio-ken... times four!!\No! Goku!\H- he's pushing back- response:	M- my body!
context: Yow, that's hot!\What is this?\T- the power of the Ki from Goku and that other guy\is manifesting itself through the crystal ball!\Kaio-ken... times four!!\No! Goku!\H- he's pushing back-\M- my body! response:	H- he did it... He did it!
context: What is this?\T- the power of the Ki from Goku and that other guy\is manifesting itself through the crystal ball!\Kaio-ken... times four!!\No! Goku!\H- he's pushing back-\M- my body!\H- he did it... He did it! response:	Son! You did it, didn'cha!?
context: T- the power of the Ki from Goku and that other guy\is manifesting itself through the crystal ball!\Kaio-ken... times four!!\No! Goku!\H- he's pushing back-\M- my body!\H- he did it... He did it!\Son! You did it, didn'cha!? response:	You bastard!
context: is manifesting itself through the crystal ball!\Kaio-ken... times four!!\No! Goku!\H- he's pushing back-\M- my body!\H- he did it... He did it!\Son! You did it, didn'cha!?\You bastard! response:	Yajirobe? What are you doing here?
