context: I could just die right now. response:	A Place Further Than the Universe
context: I could just die right now.\A Place Further Than the Universe response:	The Follow Backs Don't Stop!
context: I could just die right now.\A Place Further Than the Universe\The Follow Backs Don't Stop! response:	2 Likes 0 Comments
context: I could just die right now.\A Place Further Than the Universe\The Follow Backs Don't Stop!\2 Likes 0 Comments response:	IFollowEveryoneWhoFollowsMe
context: I could just die right now.\A Place Further Than the Universe\The Follow Backs Don't Stop!\2 Likes 0 Comments\IFollowEveryoneWhoFollowsMe response:	High school students. Antarctica.
context: I could just die right now.\A Place Further Than the Universe\The Follow Backs Don't Stop!\2 Likes 0 Comments\IFollowEveryoneWhoFollowsMe\High school students. Antarctica. response:	3rd annual middle-high school polar science contest
context: I could just die right now.\A Place Further Than the Universe\The Follow Backs Don't Stop!\2 Likes 0 Comments\IFollowEveryoneWhoFollowsMe\High school students. Antarctica.\3rd annual middle-high school polar science contest response:	Seriously doubt we'll find anything.
context: I could just die right now.\A Place Further Than the Universe\The Follow Backs Don't Stop!\2 Likes 0 Comments\IFollowEveryoneWhoFollowsMe\High school students. Antarctica.\3rd annual middle-high school polar science contest\Seriously doubt we'll find anything. response:	Here you are.
context: A Place Further Than the Universe\The Follow Backs Don't Stop!\2 Likes 0 Comments\IFollowEveryoneWhoFollowsMe\High school students. Antarctica.\3rd annual middle-high school polar science contest\Seriously doubt we'll find anything.\Here you are. response:	Thanks!
context: The Follow Backs Don't Stop!\2 Likes 0 Comments\IFollowEveryoneWhoFollowsMe\High school students. Antarctica.\3rd annual middle-high school polar science contest\Seriously doubt we'll find anything.\Here you are.\Thanks! response:	That's hot!
context: 2 Likes 0 Comments\IFollowEveryoneWhoFollowsMe\High school students. Antarctica.\3rd annual middle-high school polar science contest\Seriously doubt we'll find anything.\Here you are.\Thanks!\That's hot! response:	Why would you serve it hot?!
context: IFollowEveryoneWhoFollowsMe\High school students. Antarctica.\3rd annual middle-high school polar science contest\Seriously doubt we'll find anything.\Here you are.\Thanks!\That's hot!\Why would you serve it hot?! response:	My grandma says it's only May, so...
context: High school students. Antarctica.\3rd annual middle-high school polar science contest\Seriously doubt we'll find anything.\Here you are.\Thanks!\That's hot!\Why would you serve it hot?!\My grandma says it's only May, so... response:	Even if it's only May, it's still hot out!
context: 3rd annual middle-high school polar science contest\Seriously doubt we'll find anything.\Here you are.\Thanks!\That's hot!\Why would you serve it hot?!\My grandma says it's only May, so...\Even if it's only May, it's still hot out! response:	I want cold tea.
context: Seriously doubt we'll find anything.\Here you are.\Thanks!\That's hot!\Why would you serve it hot?!\My grandma says it's only May, so...\Even if it's only May, it's still hot out!\I want cold tea. response:	And some sweets with it, too!
context: Here you are.\Thanks!\That's hot!\Why would you serve it hot?!\My grandma says it's only May, so...\Even if it's only May, it's still hot out!\I want cold tea.\And some sweets with it, too! response:	I request something of the pudding variety!
context: Thanks!\That's hot!\Why would you serve it hot?!\My grandma says it's only May, so...\Even if it's only May, it's still hot out!\I want cold tea.\And some sweets with it, too!\I request something of the pudding variety! response:	Don't you think this is a bit bizarre?
context: That's hot!\Why would you serve it hot?!\My grandma says it's only May, so...\Even if it's only May, it's still hot out!\I want cold tea.\And some sweets with it, too!\I request something of the pudding variety!\Don't you think this is a bit bizarre? response:	Bizarre?
context: Why would you serve it hot?!\My grandma says it's only May, so...\Even if it's only May, it's still hot out!\I want cold tea.\And some sweets with it, too!\I request something of the pudding variety!\Don't you think this is a bit bizarre?\Bizarre? response:	This, from the girl who came up with our last plan?
context: My grandma says it's only May, so...\Even if it's only May, it's still hot out!\I want cold tea.\And some sweets with it, too!\I request something of the pudding variety!\Don't you think this is a bit bizarre?\Bizarre?\This, from the girl who came up with our last plan? response:	Yeah! Don't you realize how embarrassed we were?
context: Even if it's only May, it's still hot out!\I want cold tea.\And some sweets with it, too!\I request something of the pudding variety!\Don't you think this is a bit bizarre?\Bizarre?\This, from the girl who came up with our last plan?\Yeah! Don't you realize how embarrassed we were? response:	What was I supposed to do?
context: I want cold tea.\And some sweets with it, too!\I request something of the pudding variety!\Don't you think this is a bit bizarre?\Bizarre?\This, from the girl who came up with our last plan?\Yeah! Don't you realize how embarrassed we were?\What was I supposed to do? response:	It was our only option.
context: And some sweets with it, too!\I request something of the pudding variety!\Don't you think this is a bit bizarre?\Bizarre?\This, from the girl who came up with our last plan?\Yeah! Don't you realize how embarrassed we were?\What was I supposed to do?\It was our only option. response:	Even so...
context: I request something of the pudding variety!\Don't you think this is a bit bizarre?\Bizarre?\This, from the girl who came up with our last plan?\Yeah! Don't you realize how embarrassed we were?\What was I supposed to do?\It was our only option.\Even so... response:	What? What?
context: Don't you think this is a bit bizarre?\Bizarre?\This, from the girl who came up with our last plan?\Yeah! Don't you realize how embarrassed we were?\What was I supposed to do?\It was our only option.\Even so...\What? What? response:	High school girl!
context: Bizarre?\This, from the girl who came up with our last plan?\Yeah! Don't you realize how embarrassed we were?\What was I supposed to do?\It was our only option.\Even so...\What? What?\High school girl! response:	High School Girl Goes to Antarctica! A high school aged celebrity will be going on a three month trip to Antarctica with the civilian expedition.
context: This, from the girl who came up with our last plan?\Yeah! Don't you realize how embarrassed we were?\What was I supposed to do?\It was our only option.\Even so...\What? What?\High school girl!\High School Girl Goes to Antarctica! A high school aged celebrity will be going on a three month trip to Antarctica with the civilian expedition. response:	Likes: 29
context: Yeah! Don't you realize how embarrassed we were?\What was I supposed to do?\It was our only option.\Even so...\What? What?\High school girl!\High School Girl Goes to Antarctica! A high school aged celebrity will be going on a three month trip to Antarctica with the civilian expedition.\Likes: 29 response:	Goes to Antarctica!
context: What was I supposed to do?\It was our only option.\Even so...\What? What?\High school girl!\High School Girl Goes to Antarctica! A high school aged celebrity will be going on a three month trip to Antarctica with the civilian expedition.\Likes: 29\Goes to Antarctica! response:	The planned civilian Antarctic expedition team has announced plans
