context: All right, that's about it. response:	You're working hard today, too, huh?
context: All right, that's about it.\You're working hard today, too, huh? response:	Obi.
context: All right, that's about it.\You're working hard today, too, huh?\Obi. response:	Oof.
context: All right, that's about it.\You're working hard today, too, huh?\Obi.\Oof. response:	Oh, you're wearing proper clothes.
context: All right, that's about it.\You're working hard today, too, huh?\Obi.\Oof.\Oh, you're wearing proper clothes. response:	The master has guests today, so I'm wearing a uniform, too.
context: All right, that's about it.\You're working hard today, too, huh?\Obi.\Oof.\Oh, you're wearing proper clothes.\The master has guests today, so I'm wearing a uniform, too. response:	Clothes like this make me feel really stiff, though.
context: All right, that's about it.\You're working hard today, too, huh?\Obi.\Oof.\Oh, you're wearing proper clothes.\The master has guests today, so I'm wearing a uniform, too.\Clothes like this make me feel really stiff, though. response:	It's hard to follow all of the confining rules in the castle...
context: All right, that's about it.\You're working hard today, too, huh?\Obi.\Oof.\Oh, you're wearing proper clothes.\The master has guests today, so I'm wearing a uniform, too.\Clothes like this make me feel really stiff, though.\It's hard to follow all of the confining rules in the castle... response:	Even so, I've decided to continue on this path...
context: You're working hard today, too, huh?\Obi.\Oof.\Oh, you're wearing proper clothes.\The master has guests today, so I'm wearing a uniform, too.\Clothes like this make me feel really stiff, though.\It's hard to follow all of the confining rules in the castle...\Even so, I've decided to continue on this path... response:	Ryu! It's about time to go back!
context: Obi.\Oof.\Oh, you're wearing proper clothes.\The master has guests today, so I'm wearing a uniform, too.\Clothes like this make me feel really stiff, though.\It's hard to follow all of the confining rules in the castle...\Even so, I've decided to continue on this path...\Ryu! It's about time to go back! response:	Ryu!
context: Oof.\Oh, you're wearing proper clothes.\The master has guests today, so I'm wearing a uniform, too.\Clothes like this make me feel really stiff, though.\It's hard to follow all of the confining rules in the castle...\Even so, I've decided to continue on this path...\Ryu! It's about time to go back!\Ryu! response:	He can't hear you, can he?
context: Oh, you're wearing proper clothes.\The master has guests today, so I'm wearing a uniform, too.\Clothes like this make me feel really stiff, though.\It's hard to follow all of the confining rules in the castle...\Even so, I've decided to continue on this path...\Ryu! It's about time to go back!\Ryu!\He can't hear you, can he? response:	Because the view I want to see is next to me...
context: The master has guests today, so I'm wearing a uniform, too.\Clothes like this make me feel really stiff, though.\It's hard to follow all of the confining rules in the castle...\Even so, I've decided to continue on this path...\Ryu! It's about time to go back!\Ryu!\He can't hear you, can he?\Because the view I want to see is next to me... response:	Because views I haven't seen before are waiting...
context: Clothes like this make me feel really stiff, though.\It's hard to follow all of the confining rules in the castle...\Even so, I've decided to continue on this path...\Ryu! It's about time to go back!\Ryu!\He can't hear you, can he?\Because the view I want to see is next to me...\Because views I haven't seen before are waiting... response:	Oh, Ryu! It's time to go!
context: It's hard to follow all of the confining rules in the castle...\Even so, I've decided to continue on this path...\Ryu! It's about time to go back!\Ryu!\He can't hear you, can he?\Because the view I want to see is next to me...\Because views I haven't seen before are waiting...\Oh, Ryu! It's time to go! response:	Just now, did she... with the whistle...?
context: Even so, I've decided to continue on this path...\Ryu! It's about time to go back!\Ryu!\He can't hear you, can he?\Because the view I want to see is next to me...\Because views I haven't seen before are waiting...\Oh, Ryu! It's time to go!\Just now, did she... with the whistle...? response:	Looks like it.
context: Ryu! It's about time to go back!\Ryu!\He can't hear you, can he?\Because the view I want to see is next to me...\Because views I haven't seen before are waiting...\Oh, Ryu! It's time to go!\Just now, did she... with the whistle...?\Looks like it. response:	Episode 10: Inexperienced Heart, Going Deeper
context: Ryu!\He can't hear you, can he?\Because the view I want to see is next to me...\Because views I haven't seen before are waiting...\Oh, Ryu! It's time to go!\Just now, did she... with the whistle...?\Looks like it.\Episode 10: Inexperienced Heart, Going Deeper response:	Um, thank you very much!
context: He can't hear you, can he?\Because the view I want to see is next to me...\Because views I haven't seen before are waiting...\Oh, Ryu! It's time to go!\Just now, did she... with the whistle...?\Looks like it.\Episode 10: Inexperienced Heart, Going Deeper\Um, thank you very much! response:	For calling Ryu for me.
context: Because the view I want to see is next to me...\Because views I haven't seen before are waiting...\Oh, Ryu! It's time to go!\Just now, did she... with the whistle...?\Looks like it.\Episode 10: Inexperienced Heart, Going Deeper\Um, thank you very much!\For calling Ryu for me. response:	Red hair...
context: Because views I haven't seen before are waiting...\Oh, Ryu! It's time to go!\Just now, did she... with the whistle...?\Looks like it.\Episode 10: Inexperienced Heart, Going Deeper\Um, thank you very much!\For calling Ryu for me.\Red hair... response:	That's rare. It's my first time seeing it!
context: Oh, Ryu! It's time to go!\Just now, did she... with the whistle...?\Looks like it.\Episode 10: Inexperienced Heart, Going Deeper\Um, thank you very much!\For calling Ryu for me.\Red hair...\That's rare. It's my first time seeing it! response:	I hear that a lot.
context: Just now, did she... with the whistle...?\Looks like it.\Episode 10: Inexperienced Heart, Going Deeper\Um, thank you very much!\For calling Ryu for me.\Red hair...\That's rare. It's my first time seeing it!\I hear that a lot. response:	It's amazing how you can get the bird to fly with your whistle!
context: Looks like it.\Episode 10: Inexperienced Heart, Going Deeper\Um, thank you very much!\For calling Ryu for me.\Red hair...\That's rare. It's my first time seeing it!\I hear that a lot.\It's amazing how you can get the bird to fly with your whistle! response:	You're the first person I've talked to since arriving here.
context: Episode 10: Inexperienced Heart, Going Deeper\Um, thank you very much!\For calling Ryu for me.\Red hair...\That's rare. It's my first time seeing it!\I hear that a lot.\It's amazing how you can get the bird to fly with your whistle!\You're the first person I've talked to since arriving here. response:	I finally feel less nervous.
context: Um, thank you very much!\For calling Ryu for me.\Red hair...\That's rare. It's my first time seeing it!\I hear that a lot.\It's amazing how you can get the bird to fly with your whistle!\You're the first person I've talked to since arriving here.\I finally feel less nervous. response:	You're...
context: For calling Ryu for me.\Red hair...\That's rare. It's my first time seeing it!\I hear that a lot.\It's amazing how you can get the bird to fly with your whistle!\You're the first person I've talked to since arriving here.\I finally feel less nervous.\You're... response:	I've got some business... I have an audience with the second prince after this.
context: Red hair...\That's rare. It's my first time seeing it!\I hear that a lot.\It's amazing how you can get the bird to fly with your whistle!\You're the first person I've talked to since arriving here.\I finally feel less nervous.\You're...\I've got some business... I have an audience with the second prince after this. response:	With Prince Zen?
