context: Which way? response:	The left. A little more to the left.
context: Which way?\The left. A little more to the left. response:	Ah, I see it! That's the island!
context: Which way?\The left. A little more to the left.\Ah, I see it! That's the island! response:	That island is where Goku and the others are fighting.
context: Which way?\The left. A little more to the left.\Ah, I see it! That's the island!\That island is where Goku and the others are fighting. response:	What about Gohan!? Gohan- chan really is still alive, right!? Really!?
context: Which way?\The left. A little more to the left.\Ah, I see it! That's the island!\That island is where Goku and the others are fighting.\What about Gohan!? Gohan- chan really is still alive, right!? Really!? response:	P- probably...
context: Which way?\The left. A little more to the left.\Ah, I see it! That's the island!\That island is where Goku and the others are fighting.\What about Gohan!? Gohan- chan really is still alive, right!? Really!?\P- probably... response:	What do you mean, probably !? Probably isn't good enough!
context: Which way?\The left. A little more to the left.\Ah, I see it! That's the island!\That island is where Goku and the others are fighting.\What about Gohan!? Gohan- chan really is still alive, right!? Really!?\P- probably...\What do you mean, probably !? Probably isn't good enough! response:	I told you we shouldn't have brought her.
context: Which way?\The left. A little more to the left.\Ah, I see it! That's the island!\That island is where Goku and the others are fighting.\What about Gohan!? Gohan- chan really is still alive, right!? Really!?\P- probably...\What do you mean, probably !? Probably isn't good enough!\I told you we shouldn't have brought her. response:	Still, l'm worried about the four - no, five of them.
context: The left. A little more to the left.\Ah, I see it! That's the island!\That island is where Goku and the others are fighting.\What about Gohan!? Gohan- chan really is still alive, right!? Really!?\P- probably...\What do you mean, probably !? Probably isn't good enough!\I told you we shouldn't have brought her.\Still, l'm worried about the four - no, five of them. response:	l can barely sense any Ki from any of them.
context: Ah, I see it! That's the island!\That island is where Goku and the others are fighting.\What about Gohan!? Gohan- chan really is still alive, right!? Really!?\P- probably...\What do you mean, probably !? Probably isn't good enough!\I told you we shouldn't have brought her.\Still, l'm worried about the four - no, five of them.\l can barely sense any Ki from any of them. response:	H- his tail? That's right... In the past, Goku's tail suddenly grew back, too...
context: That island is where Goku and the others are fighting.\What about Gohan!? Gohan- chan really is still alive, right!? Really!?\P- probably...\What do you mean, probably !? Probably isn't good enough!\I told you we shouldn't have brought her.\Still, l'm worried about the four - no, five of them.\l can barely sense any Ki from any of them.\H- his tail? That's right... In the past, Goku's tail suddenly grew back, too... response:	If he were to transform, that would be a problem!
context: What about Gohan!? Gohan- chan really is still alive, right!? Really!?\P- probably...\What do you mean, probably !? Probably isn't good enough!\I told you we shouldn't have brought her.\Still, l'm worried about the four - no, five of them.\l can barely sense any Ki from any of them.\H- his tail? That's right... In the past, Goku's tail suddenly grew back, too...\If he were to transform, that would be a problem! response:	What!?
context: P- probably...\What do you mean, probably !? Probably isn't good enough!\I told you we shouldn't have brought her.\Still, l'm worried about the four - no, five of them.\l can barely sense any Ki from any of them.\H- his tail? That's right... In the past, Goku's tail suddenly grew back, too...\If he were to transform, that would be a problem!\What!? response:	I got him! I got him!
context: What do you mean, probably !? Probably isn't good enough!\I told you we shouldn't have brought her.\Still, l'm worried about the four - no, five of them.\l can barely sense any Ki from any of them.\H- his tail? That's right... In the past, Goku's tail suddenly grew back, too...\If he were to transform, that would be a problem!\What!?\I got him! I got him! response:	T- take that, you jackass! Ha-ha-ha on you!
context: I told you we shouldn't have brought her.\Still, l'm worried about the four - no, five of them.\l can barely sense any Ki from any of them.\H- his tail? That's right... In the past, Goku's tail suddenly grew back, too...\If he were to transform, that would be a problem!\What!?\I got him! I got him!\T- take that, you jackass! Ha-ha-ha on you! response:	How'dya like that!? Ain't no way yer a match for Yajirobe- sama! Nyaah!
context: Still, l'm worried about the four - no, five of them.\l can barely sense any Ki from any of them.\H- his tail? That's right... In the past, Goku's tail suddenly grew back, too...\If he were to transform, that would be a problem!\What!?\I got him! I got him!\T- take that, you jackass! Ha-ha-ha on you!\How'dya like that!? Ain't no way yer a match for Yajirobe- sama! Nyaah! response:	W- why, you!
context: l can barely sense any Ki from any of them.\H- his tail? That's right... In the past, Goku's tail suddenly grew back, too...\If he were to transform, that would be a problem!\What!?\I got him! I got him!\T- take that, you jackass! Ha-ha-ha on you!\How'dya like that!? Ain't no way yer a match for Yajirobe- sama! Nyaah!\W- why, you! response:	You filthy bastard!
context: H- his tail? That's right... In the past, Goku's tail suddenly grew back, too...\If he were to transform, that would be a problem!\What!?\I got him! I got him!\T- take that, you jackass! Ha-ha-ha on you!\How'dya like that!? Ain't no way yer a match for Yajirobe- sama! Nyaah!\W- why, you!\You filthy bastard! response:	S- s- sorry'bout that! Did it hurt? I was just jokin' around. Did I cut ya?
context: If he were to transform, that would be a problem!\What!?\I got him! I got him!\T- take that, you jackass! Ha-ha-ha on you!\How'dya like that!? Ain't no way yer a match for Yajirobe- sama! Nyaah!\W- why, you!\You filthy bastard!\S- s- sorry'bout that! Did it hurt? I was just jokin' around. Did I cut ya? response:	That's right! I got lotsa respect for ya! Lemme be your friend-
context: What!?\I got him! I got him!\T- take that, you jackass! Ha-ha-ha on you!\How'dya like that!? Ain't no way yer a match for Yajirobe- sama! Nyaah!\W- why, you!\You filthy bastard!\S- s- sorry'bout that! Did it hurt? I was just jokin' around. Did I cut ya?\That's right! I got lotsa respect for ya! Lemme be your friend- response:	Y- Yajirobe...
context: I got him! I got him!\T- take that, you jackass! Ha-ha-ha on you!\How'dya like that!? Ain't no way yer a match for Yajirobe- sama! Nyaah!\W- why, you!\You filthy bastard!\S- s- sorry'bout that! Did it hurt? I was just jokin' around. Did I cut ya?\That's right! I got lotsa respect for ya! Lemme be your friend-\Y- Yajirobe... response:	Nobody inflicts a wound on my body and gets away with it!
context: T- take that, you jackass! Ha-ha-ha on you!\How'dya like that!? Ain't no way yer a match for Yajirobe- sama! Nyaah!\W- why, you!\You filthy bastard!\S- s- sorry'bout that! Did it hurt? I was just jokin' around. Did I cut ya?\That's right! I got lotsa respect for ya! Lemme be your friend-\Y- Yajirobe...\Nobody inflicts a wound on my body and gets away with it! response:	There's no way you're getting away with that!
context: How'dya like that!? Ain't no way yer a match for Yajirobe- sama! Nyaah!\W- why, you!\You filthy bastard!\S- s- sorry'bout that! Did it hurt? I was just jokin' around. Did I cut ya?\That's right! I got lotsa respect for ya! Lemme be your friend-\Y- Yajirobe...\Nobody inflicts a wound on my body and gets away with it!\There's no way you're getting away with that! response:	Dammit!
context: W- why, you!\You filthy bastard!\S- s- sorry'bout that! Did it hurt? I was just jokin' around. Did I cut ya?\That's right! I got lotsa respect for ya! Lemme be your friend-\Y- Yajirobe...\Nobody inflicts a wound on my body and gets away with it!\There's no way you're getting away with that!\Dammit! response:	G - Gohan... Gohan!
context: You filthy bastard!\S- s- sorry'bout that! Did it hurt? I was just jokin' around. Did I cut ya?\That's right! I got lotsa respect for ya! Lemme be your friend-\Y- Yajirobe...\Nobody inflicts a wound on my body and gets away with it!\There's no way you're getting away with that!\Dammit!\G - Gohan... Gohan! response:	Gohan!
context: S- s- sorry'bout that! Did it hurt? I was just jokin' around. Did I cut ya?\That's right! I got lotsa respect for ya! Lemme be your friend-\Y- Yajirobe...\Nobody inflicts a wound on my body and gets away with it!\There's no way you're getting away with that!\Dammit!\G - Gohan... Gohan!\Gohan! response:	T- that's Father's voice...
context: That's right! I got lotsa respect for ya! Lemme be your friend-\Y- Yajirobe...\Nobody inflicts a wound on my body and gets away with it!\There's no way you're getting away with that!\Dammit!\G - Gohan... Gohan!\Gohan!\T- that's Father's voice... response:	Gohan, hear my voice...
context: Y- Yajirobe...\Nobody inflicts a wound on my body and gets away with it!\There's no way you're getting away with that!\Dammit!\G - Gohan... Gohan!\Gohan!\T- that's Father's voice...\Gohan, hear my voice... response:	Look at the ball of light in the sky...
context: Nobody inflicts a wound on my body and gets away with it!\There's no way you're getting away with that!\Dammit!\G - Gohan... Gohan!\Gohan!\T- that's Father's voice...\Gohan, hear my voice...\Look at the ball of light in the sky... response:	B- ball of light? Ball of light?
context: There's no way you're getting away with that!\Dammit!\G - Gohan... Gohan!\Gohan!\T- that's Father's voice...\Gohan, hear my voice...\Look at the ball of light in the sky...\B- ball of light? Ball of light? response:	O- oh, hell!
context: Dammit!\G - Gohan... Gohan!\Gohan!\T- that's Father's voice...\Gohan, hear my voice...\Look at the ball of light in the sky...\B- ball of light? Ball of light?\O- oh, hell! response:	You think I'm going to allow that!?
context: G - Gohan... Gohan!\Gohan!\T- that's Father's voice...\Gohan, hear my voice...\Look at the ball of light in the sky...\B- ball of light? Ball of light?\O- oh, hell!\You think I'm going to allow that!? response:	Die!!
context: Gohan!\T- that's Father's voice...\Gohan, hear my voice...\Look at the ball of light in the sky...\B- ball of light? Ball of light?\O- oh, hell!\You think I'm going to allow that!?\Die!! response:	Oh, no!
context: T- that's Father's voice...\Gohan, hear my voice...\Look at the ball of light in the sky...\B- ball of light? Ball of light?\O- oh, hell!\You think I'm going to allow that!?\Die!!\Oh, no! response:	You brat! I'm not about to let you grow huge!
