context: Pathetic! response:	Fairy Tail used to be on top! What the hell happened?! Every last one of them...
context: Pathetic!\Fairy Tail used to be on top! What the hell happened?! Every last one of them... response:	Big words from somebody who was too busy pubhopping to cheer her teammates on.
context: Pathetic!\Fairy Tail used to be on top! What the hell happened?! Every last one of them...\Big words from somebody who was too busy pubhopping to cheer her teammates on. response:	I was watching you!
context: Pathetic!\Fairy Tail used to be on top! What the hell happened?! Every last one of them...\Big words from somebody who was too busy pubhopping to cheer her teammates on.\I was watching you! response:	Even all the pubs have Lacrima Vision.
context: Pathetic!\Fairy Tail used to be on top! What the hell happened?! Every last one of them...\Big words from somebody who was too busy pubhopping to cheer her teammates on.\I was watching you!\Even all the pubs have Lacrima Vision. response:	Well, let's raise a mug to our crushing defeat!
context: Pathetic!\Fairy Tail used to be on top! What the hell happened?! Every last one of them...\Big words from somebody who was too busy pubhopping to cheer her teammates on.\I was watching you!\Even all the pubs have Lacrima Vision.\Well, let's raise a mug to our crushing defeat! response:	Oh, Master!
context: Pathetic!\Fairy Tail used to be on top! What the hell happened?! Every last one of them...\Big words from somebody who was too busy pubhopping to cheer her teammates on.\I was watching you!\Even all the pubs have Lacrima Vision.\Well, let's raise a mug to our crushing defeat!\Oh, Master! response:	What a disaster of a day...
context: Pathetic!\Fairy Tail used to be on top! What the hell happened?! Every last one of them...\Big words from somebody who was too busy pubhopping to cheer her teammates on.\I was watching you!\Even all the pubs have Lacrima Vision.\Well, let's raise a mug to our crushing defeat!\Oh, Master!\What a disaster of a day... response:	I know...
context: Fairy Tail used to be on top! What the hell happened?! Every last one of them...\Big words from somebody who was too busy pubhopping to cheer her teammates on.\I was watching you!\Even all the pubs have Lacrima Vision.\Well, let's raise a mug to our crushing defeat!\Oh, Master!\What a disaster of a day...\I know... response:	We'd all better get our act together from tomorrow.
context: Big words from somebody who was too busy pubhopping to cheer her teammates on.\I was watching you!\Even all the pubs have Lacrima Vision.\Well, let's raise a mug to our crushing defeat!\Oh, Master!\What a disaster of a day...\I know...\We'd all better get our act together from tomorrow. response:	I'm up tomorrow!
context: I was watching you!\Even all the pubs have Lacrima Vision.\Well, let's raise a mug to our crushing defeat!\Oh, Master!\What a disaster of a day...\I know...\We'd all better get our act together from tomorrow.\I'm up tomorrow! response:	And I'll turn things around for us, you'll see!
context: Even all the pubs have Lacrima Vision.\Well, let's raise a mug to our crushing defeat!\Oh, Master!\What a disaster of a day...\I know...\We'd all better get our act together from tomorrow.\I'm up tomorrow!\And I'll turn things around for us, you'll see! response:	Do it to it, Natsu!
context: Well, let's raise a mug to our crushing defeat!\Oh, Master!\What a disaster of a day...\I know...\We'd all better get our act together from tomorrow.\I'm up tomorrow!\And I'll turn things around for us, you'll see!\Do it to it, Natsu! response:	If the Salamander's gonna be in the game, maybe I'll join in, too...
context: Oh, Master!\What a disaster of a day...\I know...\We'd all better get our act together from tomorrow.\I'm up tomorrow!\And I'll turn things around for us, you'll see!\Do it to it, Natsu!\If the Salamander's gonna be in the game, maybe I'll join in, too... response:	I'd say it's high time you showed'em the results of your training.
context: What a disaster of a day...\I know...\We'd all better get our act together from tomorrow.\I'm up tomorrow!\And I'll turn things around for us, you'll see!\Do it to it, Natsu!\If the Salamander's gonna be in the game, maybe I'll join in, too...\I'd say it's high time you showed'em the results of your training. response:	Huh? Lu-chan and Gray aren't here?
context: I know...\We'd all better get our act together from tomorrow.\I'm up tomorrow!\And I'll turn things around for us, you'll see!\Do it to it, Natsu!\If the Salamander's gonna be in the game, maybe I'll join in, too...\I'd say it's high time you showed'em the results of your training.\Huh? Lu-chan and Gray aren't here? response:	Now that you mention it, I haven't seen'em...
context: We'd all better get our act together from tomorrow.\I'm up tomorrow!\And I'll turn things around for us, you'll see!\Do it to it, Natsu!\If the Salamander's gonna be in the game, maybe I'll join in, too...\I'd say it's high time you showed'em the results of your training.\Huh? Lu-chan and Gray aren't here?\Now that you mention it, I haven't seen'em... response:	I'm not surprised, the way they lost...
context: I'm up tomorrow!\And I'll turn things around for us, you'll see!\Do it to it, Natsu!\If the Salamander's gonna be in the game, maybe I'll join in, too...\I'd say it's high time you showed'em the results of your training.\Huh? Lu-chan and Gray aren't here?\Now that you mention it, I haven't seen'em...\I'm not surprised, the way they lost... response:	They probably don't wanna be seen right now.
context: And I'll turn things around for us, you'll see!\Do it to it, Natsu!\If the Salamander's gonna be in the game, maybe I'll join in, too...\I'd say it's high time you showed'em the results of your training.\Huh? Lu-chan and Gray aren't here?\Now that you mention it, I haven't seen'em...\I'm not surprised, the way they lost...\They probably don't wanna be seen right now. response:	I don't know about that. Both of them were cool in my eyes.
context: Do it to it, Natsu!\If the Salamander's gonna be in the game, maybe I'll join in, too...\I'd say it's high time you showed'em the results of your training.\Huh? Lu-chan and Gray aren't here?\Now that you mention it, I haven't seen'em...\I'm not surprised, the way they lost...\They probably don't wanna be seen right now.\I don't know about that. Both of them were cool in my eyes. response:	Gray-sama...
context: If the Salamander's gonna be in the game, maybe I'll join in, too...\I'd say it's high time you showed'em the results of your training.\Huh? Lu-chan and Gray aren't here?\Now that you mention it, I haven't seen'em...\I'm not surprised, the way they lost...\They probably don't wanna be seen right now.\I don't know about that. Both of them were cool in my eyes.\Gray-sama... response:	Are you still depressed?
context: I'd say it's high time you showed'em the results of your training.\Huh? Lu-chan and Gray aren't here?\Now that you mention it, I haven't seen'em...\I'm not surprised, the way they lost...\They probably don't wanna be seen right now.\I don't know about that. Both of them were cool in my eyes.\Gray-sama...\Are you still depressed? response:	I could say the same thing to you.
context: Huh? Lu-chan and Gray aren't here?\Now that you mention it, I haven't seen'em...\I'm not surprised, the way they lost...\They probably don't wanna be seen right now.\I don't know about that. Both of them were cool in my eyes.\Gray-sama...\Are you still depressed?\I could say the same thing to you. response:	I hear everybody's gathered at a nearby pub.
context: Now that you mention it, I haven't seen'em...\I'm not surprised, the way they lost...\They probably don't wanna be seen right now.\I don't know about that. Both of them were cool in my eyes.\Gray-sama...\Are you still depressed?\I could say the same thing to you.\I hear everybody's gathered at a nearby pub. response:	It's a pain in the ass, but I'm gonna at least pop in...
context: I'm not surprised, the way they lost...\They probably don't wanna be seen right now.\I don't know about that. Both of them were cool in my eyes.\Gray-sama...\Are you still depressed?\I could say the same thing to you.\I hear everybody's gathered at a nearby pub.\It's a pain in the ass, but I'm gonna at least pop in... response:	Don't leave me alone...
context: They probably don't wanna be seen right now.\I don't know about that. Both of them were cool in my eyes.\Gray-sama...\Are you still depressed?\I could say the same thing to you.\I hear everybody's gathered at a nearby pub.\It's a pain in the ass, but I'm gonna at least pop in...\Don't leave me alone... response:	Lucy...
context: I don't know about that. Both of them were cool in my eyes.\Gray-sama...\Are you still depressed?\I could say the same thing to you.\I hear everybody's gathered at a nearby pub.\It's a pain in the ass, but I'm gonna at least pop in...\Don't leave me alone...\Lucy... response:	You...
context: Gray-sama...\Are you still depressed?\I could say the same thing to you.\I hear everybody's gathered at a nearby pub.\It's a pain in the ass, but I'm gonna at least pop in...\Don't leave me alone...\Lucy...\You... response:	Gray, the truth is I...
context: Are you still depressed?\I could say the same thing to you.\I hear everybody's gathered at a nearby pub.\It's a pain in the ass, but I'm gonna at least pop in...\Don't leave me alone...\Lucy...\You...\Gray, the truth is I... response:	Don't! I've got Juvia...
context: I could say the same thing to you.\I hear everybody's gathered at a nearby pub.\It's a pain in the ass, but I'm gonna at least pop in...\Don't leave me alone...\Lucy...\You...\Gray, the truth is I...\Don't! I've got Juvia... response:	I love you, Gray!
context: I hear everybody's gathered at a nearby pub.\It's a pain in the ass, but I'm gonna at least pop in...\Don't leave me alone...\Lucy...\You...\Gray, the truth is I...\Don't! I've got Juvia...\I love you, Gray! response:	What'll I do if that happens?!
context: It's a pain in the ass, but I'm gonna at least pop in...\Don't leave me alone...\Lucy...\You...\Gray, the truth is I...\Don't! I've got Juvia...\I love you, Gray!\What'll I do if that happens?! response:	It's not happening...
context: Don't leave me alone...\Lucy...\You...\Gray, the truth is I...\Don't! I've got Juvia...\I love you, Gray!\What'll I do if that happens?!\It's not happening... response:	As always, you've got a fertile imagination.
context: Lucy...\You...\Gray, the truth is I...\Don't! I've got Juvia...\I love you, Gray!\What'll I do if that happens?!\It's not happening...\As always, you've got a fertile imagination. response:	And this time, it was long!
context: You...\Gray, the truth is I...\Don't! I've got Juvia...\I love you, Gray!\What'll I do if that happens?!\It's not happening...\As always, you've got a fertile imagination.\And this time, it was long! response:	Lu-chan, are you okay?
context: Gray, the truth is I...\Don't! I've got Juvia...\I love you, Gray!\What'll I do if that happens?!\It's not happening...\As always, you've got a fertile imagination.\And this time, it was long!\Lu-chan, are you okay? response:	I'm totally fine. In fact, this has pumped me up even more!
context: Don't! I've got Juvia...\I love you, Gray!\What'll I do if that happens?!\It's not happening...\As always, you've got a fertile imagination.\And this time, it was long!\Lu-chan, are you okay?\I'm totally fine. In fact, this has pumped me up even more! response:	Where are Wendy and Carla?
context: I love you, Gray!\What'll I do if that happens?!\It's not happening...\As always, you've got a fertile imagination.\And this time, it was long!\Lu-chan, are you okay?\I'm totally fine. In fact, this has pumped me up even more!\Where are Wendy and Carla? response:	Looks like they're still under the weather...
context: What'll I do if that happens?!\It's not happening...\As always, you've got a fertile imagination.\And this time, it was long!\Lu-chan, are you okay?\I'm totally fine. In fact, this has pumped me up even more!\Where are Wendy and Carla?\Looks like they're still under the weather... response:	Poluchka-san is with them.
context: It's not happening...\As always, you've got a fertile imagination.\And this time, it was long!\Lu-chan, are you okay?\I'm totally fine. In fact, this has pumped me up even more!\Where are Wendy and Carla?\Looks like they're still under the weather...\Poluchka-san is with them. response:	Alright! We're all here, yeah?
context: As always, you've got a fertile imagination.\And this time, it was long!\Lu-chan, are you okay?\I'm totally fine. In fact, this has pumped me up even more!\Where are Wendy and Carla?\Looks like they're still under the weather...\Poluchka-san is with them.\Alright! We're all here, yeah? response:	Listen up, brats!
context: And this time, it was long!\Lu-chan, are you okay?\I'm totally fine. In fact, this has pumped me up even more!\Where are Wendy and Carla?\Looks like they're still under the weather...\Poluchka-san is with them.\Alright! We're all here, yeah?\Listen up, brats! response:	Today's defeat is the seed for tomorrow's victory!
context: Lu-chan, are you okay?\I'm totally fine. In fact, this has pumped me up even more!\Where are Wendy and Carla?\Looks like they're still under the weather...\Poluchka-san is with them.\Alright! We're all here, yeah?\Listen up, brats!\Today's defeat is the seed for tomorrow's victory! response:	Let's rise up!
context: I'm totally fine. In fact, this has pumped me up even more!\Where are Wendy and Carla?\Looks like they're still under the weather...\Poluchka-san is with them.\Alright! We're all here, yeah?\Listen up, brats!\Today's defeat is the seed for tomorrow's victory!\Let's rise up! response:	'Cause we don't know the meaning of the words give up!
context: Where are Wendy and Carla?\Looks like they're still under the weather...\Poluchka-san is with them.\Alright! We're all here, yeah?\Listen up, brats!\Today's defeat is the seed for tomorrow's victory!\Let's rise up!\'Cause we don't know the meaning of the words give up! response:	Aim for number one in Fiore!
context: Looks like they're still under the weather...\Poluchka-san is with them.\Alright! We're all here, yeah?\Listen up, brats!\Today's defeat is the seed for tomorrow's victory!\Let's rise up!\'Cause we don't know the meaning of the words give up!\Aim for number one in Fiore! response:	Yeah!
context: Poluchka-san is with them.\Alright! We're all here, yeah?\Listen up, brats!\Today's defeat is the seed for tomorrow's victory!\Let's rise up!\'Cause we don't know the meaning of the words give up!\Aim for number one in Fiore!\Yeah! response:	Is that really the guild that was shut out today?
context: Alright! We're all here, yeah?\Listen up, brats!\Today's defeat is the seed for tomorrow's victory!\Let's rise up!\'Cause we don't know the meaning of the words give up!\Aim for number one in Fiore!\Yeah!\Is that really the guild that was shut out today? response:	You tell me...
context: Listen up, brats!\Today's defeat is the seed for tomorrow's victory!\Let's rise up!\'Cause we don't know the meaning of the words give up!\Aim for number one in Fiore!\Yeah!\Is that really the guild that was shut out today?\You tell me... response:	Chariot!
context: Today's defeat is the seed for tomorrow's victory!\Let's rise up!\'Cause we don't know the meaning of the words give up!\Aim for number one in Fiore!\Yeah!\Is that really the guild that was shut out today?\You tell me...\Chariot! response:	Your Majesty...
context: Let's rise up!\'Cause we don't know the meaning of the words give up!\Aim for number one in Fiore!\Yeah!\Is that really the guild that was shut out today?\You tell me...\Chariot!\Your Majesty... response:	The first day of the Grand Magic Games has come to a successful end.
context: 'Cause we don't know the meaning of the words give up!\Aim for number one in Fiore!\Yeah!\Is that really the guild that was shut out today?\You tell me...\Chariot!\Your Majesty...\The first day of the Grand Magic Games has come to a successful end. response:	Yes, there were some fine magic battles.
context: Aim for number one in Fiore!\Yeah!\Is that really the guild that was shut out today?\You tell me...\Chariot!\Your Majesty...\The first day of the Grand Magic Games has come to a successful end.\Yes, there were some fine magic battles. response:	I have come to ask if you have any requests for the second day's battle part.
context: Yeah!\Is that really the guild that was shut out today?\You tell me...\Chariot!\Your Majesty...\The first day of the Grand Magic Games has come to a successful end.\Yes, there were some fine magic battles.\I have come to ask if you have any requests for the second day's battle part. response:	Let's see... I'd like to see Bacchus.
context: Is that really the guild that was shut out today?\You tell me...\Chariot!\Your Majesty...\The first day of the Grand Magic Games has come to a successful end.\Yes, there were some fine magic battles.\I have come to ask if you have any requests for the second day's battle part.\Let's see... I'd like to see Bacchus. response:	Would you slot him in?
context: You tell me...\Chariot!\Your Majesty...\The first day of the Grand Magic Games has come to a successful end.\Yes, there were some fine magic battles.\I have come to ask if you have any requests for the second day's battle part.\Let's see... I'd like to see Bacchus.\Would you slot him in? response:	Against which team?
context: Chariot!\Your Majesty...\The first day of the Grand Magic Games has come to a successful end.\Yes, there were some fine magic battles.\I have come to ask if you have any requests for the second day's battle part.\Let's see... I'd like to see Bacchus.\Would you slot him in?\Against which team? response:	Fairy Tale's, um...
context: Your Majesty...\The first day of the Grand Magic Games has come to a successful end.\Yes, there were some fine magic battles.\I have come to ask if you have any requests for the second day's battle part.\Let's see... I'd like to see Bacchus.\Would you slot him in?\Against which team?\Fairy Tale's, um... response:	The shapeshifter.
