context: I'm pretty sure it was around here... response:	No fair, Sou-kun!
context: I'm pretty sure it was around here...\No fair, Sou-kun! response:	No fair, Souta-kun!
context: I'm pretty sure it was around here...\No fair, Sou-kun!\No fair, Souta-kun! response:	No fair, Souta!
context: I'm pretty sure it was around here...\No fair, Sou-kun!\No fair, Souta-kun!\No fair, Souta! response:	No fair, Souta-kun!
context: I'm pretty sure it was around here...\No fair, Sou-kun!\No fair, Souta-kun!\No fair, Souta!\No fair, Souta-kun! response:	Did you have to say that, too, Akane?
context: I'm pretty sure it was around here...\No fair, Sou-kun!\No fair, Souta-kun!\No fair, Souta!\No fair, Souta-kun!\Did you have to say that, too, Akane? response:	I just felt like it, really.
context: I'm pretty sure it was around here...\No fair, Sou-kun!\No fair, Souta-kun!\No fair, Souta!\No fair, Souta-kun!\Did you have to say that, too, Akane?\I just felt like it, really. response:	My name's Ruri.
context: I'm pretty sure it was around here...\No fair, Sou-kun!\No fair, Souta-kun!\No fair, Souta!\No fair, Souta-kun!\Did you have to say that, too, Akane?\I just felt like it, really.\My name's Ruri. response:	What type of joke was that?
context: No fair, Sou-kun!\No fair, Souta-kun!\No fair, Souta!\No fair, Souta-kun!\Did you have to say that, too, Akane?\I just felt like it, really.\My name's Ruri.\What type of joke was that? response:	What?
context: No fair, Souta-kun!\No fair, Souta!\No fair, Souta-kun!\Did you have to say that, too, Akane?\I just felt like it, really.\My name's Ruri.\What type of joke was that?\What? response:	If Her Flag Breaks
context: No fair, Souta!\No fair, Souta-kun!\Did you have to say that, too, Akane?\I just felt like it, really.\My name's Ruri.\What type of joke was that?\What?\If Her Flag Breaks response:	Flag 5
context: No fair, Souta-kun!\Did you have to say that, too, Akane?\I just felt like it, really.\My name's Ruri.\What type of joke was that?\What?\If Her Flag Breaks\Flag 5 response:	Believe and Wait for Me. I'm not Going to be Late for My Date With Everyone.
context: Did you have to say that, too, Akane?\I just felt like it, really.\My name's Ruri.\What type of joke was that?\What?\If Her Flag Breaks\Flag 5\Believe and Wait for Me. I'm not Going to be Late for My Date With Everyone. response:	So can I ask you something?
context: I just felt like it, really.\My name's Ruri.\What type of joke was that?\What?\If Her Flag Breaks\Flag 5\Believe and Wait for Me. I'm not Going to be Late for My Date With Everyone.\So can I ask you something? response:	Sure. Whatever you want.
context: My name's Ruri.\What type of joke was that?\What?\If Her Flag Breaks\Flag 5\Believe and Wait for Me. I'm not Going to be Late for My Date With Everyone.\So can I ask you something?\Sure. Whatever you want. response:	W-Well...
context: What type of joke was that?\What?\If Her Flag Breaks\Flag 5\Believe and Wait for Me. I'm not Going to be Late for My Date With Everyone.\So can I ask you something?\Sure. Whatever you want.\W-Well... response:	I really want to go out somewhere with you, even if only just once.
context: What?\If Her Flag Breaks\Flag 5\Believe and Wait for Me. I'm not Going to be Late for My Date With Everyone.\So can I ask you something?\Sure. Whatever you want.\W-Well...\I really want to go out somewhere with you, even if only just once. response:	Sure, that shouldn't be a problem.
context: If Her Flag Breaks\Flag 5\Believe and Wait for Me. I'm not Going to be Late for My Date With Everyone.\So can I ask you something?\Sure. Whatever you want.\W-Well...\I really want to go out somewhere with you, even if only just once.\Sure, that shouldn't be a problem. response:	I guess you did say okay,
context: Flag 5\Believe and Wait for Me. I'm not Going to be Late for My Date With Everyone.\So can I ask you something?\Sure. Whatever you want.\W-Well...\I really want to go out somewhere with you, even if only just once.\Sure, that shouldn't be a problem.\I guess you did say okay, response:	but...
context: Believe and Wait for Me. I'm not Going to be Late for My Date With Everyone.\So can I ask you something?\Sure. Whatever you want.\W-Well...\I really want to go out somewhere with you, even if only just once.\Sure, that shouldn't be a problem.\I guess you did say okay,\but... response:	I can't believe you kept a secret like that
context: So can I ask you something?\Sure. Whatever you want.\W-Well...\I really want to go out somewhere with you, even if only just once.\Sure, that shouldn't be a problem.\I guess you did say okay,\but...\I can't believe you kept a secret like that response:	from your sister, Sou-kun.
