context: TL Note: Hitsumabushi: Eel-and-rice bowl, a specialty of Nagoya. response:	TL Note: A parody of Calpis Water, a Japanese uncarbonated soft drink.
context: TL Note: Hitsumabushi: Eel-and-rice bowl, a specialty of Nagoya.\TL Note: A parody of Calpis Water, a Japanese uncarbonated soft drink. response:	Text in book: Jin is an idiot
context: TL Note: Hitsumabushi: Eel-and-rice bowl, a specialty of Nagoya.\TL Note: A parody of Calpis Water, a Japanese uncarbonated soft drink.\Text in book: Jin is an idiot response:	TL Note: When the sun goddess Amaterasu was hiding in a cave, Yasakani no Magatama was the kind of jewel that the gods hung on a tree to lure her out.
context: TL Note: Hitsumabushi: Eel-and-rice bowl, a specialty of Nagoya.\TL Note: A parody of Calpis Water, a Japanese uncarbonated soft drink.\Text in book: Jin is an idiot\TL Note: When the sun goddess Amaterasu was hiding in a cave, Yasakani no Magatama was the kind of jewel that the gods hung on a tree to lure her out. response:	TL Note: Zashikiwarashi: A type of Japanese ghost that stays in someone's house.
context: TL Note: Hitsumabushi: Eel-and-rice bowl, a specialty of Nagoya.\TL Note: A parody of Calpis Water, a Japanese uncarbonated soft drink.\Text in book: Jin is an idiot\TL Note: When the sun goddess Amaterasu was hiding in a cave, Yasakani no Magatama was the kind of jewel that the gods hung on a tree to lure her out.\TL Note: Zashikiwarashi: A type of Japanese ghost that stays in someone's house. response:	That's enough!
context: TL Note: Hitsumabushi: Eel-and-rice bowl, a specialty of Nagoya.\TL Note: A parody of Calpis Water, a Japanese uncarbonated soft drink.\Text in book: Jin is an idiot\TL Note: When the sun goddess Amaterasu was hiding in a cave, Yasakani no Magatama was the kind of jewel that the gods hung on a tree to lure her out.\TL Note: Zashikiwarashi: A type of Japanese ghost that stays in someone's house.\That's enough! response:	I did it for your sake!
context: TL Note: Hitsumabushi: Eel-and-rice bowl, a specialty of Nagoya.\TL Note: A parody of Calpis Water, a Japanese uncarbonated soft drink.\Text in book: Jin is an idiot\TL Note: When the sun goddess Amaterasu was hiding in a cave, Yasakani no Magatama was the kind of jewel that the gods hung on a tree to lure her out.\TL Note: Zashikiwarashi: A type of Japanese ghost that stays in someone's house.\That's enough!\I did it for your sake! response:	You said you liked it! So I did it for you, thinking that you'd be happy!
context: TL Note: Hitsumabushi: Eel-and-rice bowl, a specialty of Nagoya.\TL Note: A parody of Calpis Water, a Japanese uncarbonated soft drink.\Text in book: Jin is an idiot\TL Note: When the sun goddess Amaterasu was hiding in a cave, Yasakani no Magatama was the kind of jewel that the gods hung on a tree to lure her out.\TL Note: Zashikiwarashi: A type of Japanese ghost that stays in someone's house.\That's enough!\I did it for your sake!\You said you liked it! So I did it for you, thinking that you'd be happy! response:	If you're there, answer me.
context: TL Note: A parody of Calpis Water, a Japanese uncarbonated soft drink.\Text in book: Jin is an idiot\TL Note: When the sun goddess Amaterasu was hiding in a cave, Yasakani no Magatama was the kind of jewel that the gods hung on a tree to lure her out.\TL Note: Zashikiwarashi: A type of Japanese ghost that stays in someone's house.\That's enough!\I did it for your sake!\You said you liked it! So I did it for you, thinking that you'd be happy!\If you're there, answer me. response:	I don't even want to talk to you!
context: Text in book: Jin is an idiot\TL Note: When the sun goddess Amaterasu was hiding in a cave, Yasakani no Magatama was the kind of jewel that the gods hung on a tree to lure her out.\TL Note: Zashikiwarashi: A type of Japanese ghost that stays in someone's house.\That's enough!\I did it for your sake!\You said you liked it! So I did it for you, thinking that you'd be happy!\If you're there, answer me.\I don't even want to talk to you! response:	I'm going to open it.
context: TL Note: When the sun goddess Amaterasu was hiding in a cave, Yasakani no Magatama was the kind of jewel that the gods hung on a tree to lure her out.\TL Note: Zashikiwarashi: A type of Japanese ghost that stays in someone's house.\That's enough!\I did it for your sake!\You said you liked it! So I did it for you, thinking that you'd be happy!\If you're there, answer me.\I don't even want to talk to you!\I'm going to open it. response:	Hey, don't force it closed!
