context: What the hell are you doing? response:	Keep your filthy hands off!
context: What the hell are you doing?\Keep your filthy hands off! response:	It's not a kind country we live in, is it?
context: What the hell are you doing?\Keep your filthy hands off!\It's not a kind country we live in, is it? response:	Lord O'Reilly is renting a room in this building.
context: What the hell are you doing?\Keep your filthy hands off!\It's not a kind country we live in, is it?\Lord O'Reilly is renting a room in this building. response:	He has been meeting with someone in secret, and our objective is to find out who.
context: What the hell are you doing?\Keep your filthy hands off!\It's not a kind country we live in, is it?\Lord O'Reilly is renting a room in this building.\He has been meeting with someone in secret, and our objective is to find out who. response:	Surveillance, then.
context: What the hell are you doing?\Keep your filthy hands off!\It's not a kind country we live in, is it?\Lord O'Reilly is renting a room in this building.\He has been meeting with someone in secret, and our objective is to find out who.\Surveillance, then. response:	We're not going to tail him?
context: What the hell are you doing?\Keep your filthy hands off!\It's not a kind country we live in, is it?\Lord O'Reilly is renting a room in this building.\He has been meeting with someone in secret, and our objective is to find out who.\Surveillance, then.\We're not going to tail him? response:	We're most likely dealing with another spy.
context: What the hell are you doing?\Keep your filthy hands off!\It's not a kind country we live in, is it?\Lord O'Reilly is renting a room in this building.\He has been meeting with someone in secret, and our objective is to find out who.\Surveillance, then.\We're not going to tail him?\We're most likely dealing with another spy. response:	There's a good chance that spy would spot us.
context: Keep your filthy hands off!\It's not a kind country we live in, is it?\Lord O'Reilly is renting a room in this building.\He has been meeting with someone in secret, and our objective is to find out who.\Surveillance, then.\We're not going to tail him?\We're most likely dealing with another spy.\There's a good chance that spy would spot us. response:	Anyone going in or out of that building has to take the path in front of the park.
context: It's not a kind country we live in, is it?\Lord O'Reilly is renting a room in this building.\He has been meeting with someone in secret, and our objective is to find out who.\Surveillance, then.\We're not going to tail him?\We're most likely dealing with another spy.\There's a good chance that spy would spot us.\Anyone going in or out of that building has to take the path in front of the park. response:	Ange, I want you there.
context: Lord O'Reilly is renting a room in this building.\He has been meeting with someone in secret, and our objective is to find out who.\Surveillance, then.\We're not going to tail him?\We're most likely dealing with another spy.\There's a good chance that spy would spot us.\Anyone going in or out of that building has to take the path in front of the park.\Ange, I want you there. response:	As for the other post,
context: He has been meeting with someone in secret, and our objective is to find out who.\Surveillance, then.\We're not going to tail him?\We're most likely dealing with another spy.\There's a good chance that spy would spot us.\Anyone going in or out of that building has to take the path in front of the park.\Ange, I want you there.\As for the other post, response:	we've rented our own room here, across from his.
context: Surveillance, then.\We're not going to tail him?\We're most likely dealing with another spy.\There's a good chance that spy would spot us.\Anyone going in or out of that building has to take the path in front of the park.\Ange, I want you there.\As for the other post,\we've rented our own room here, across from his. response:	We can see into Lord O'Reilly's room from there.
context: We're not going to tail him?\We're most likely dealing with another spy.\There's a good chance that spy would spot us.\Anyone going in or out of that building has to take the path in front of the park.\Ange, I want you there.\As for the other post,\we've rented our own room here, across from his.\We can see into Lord O'Reilly's room from there. response:	Then who will...
context: We're most likely dealing with another spy.\There's a good chance that spy would spot us.\Anyone going in or out of that building has to take the path in front of the park.\Ange, I want you there.\As for the other post,\we've rented our own room here, across from his.\We can see into Lord O'Reilly's room from there.\Then who will... response:	I will!
context: There's a good chance that spy would spot us.\Anyone going in or out of that building has to take the path in front of the park.\Ange, I want you there.\As for the other post,\we've rented our own room here, across from his.\We can see into Lord O'Reilly's room from there.\Then who will...\I will! response:	No.
context: Anyone going in or out of that building has to take the path in front of the park.\Ange, I want you there.\As for the other post,\we've rented our own room here, across from his.\We can see into Lord O'Reilly's room from there.\Then who will...\I will!\No. response:	Why not?
context: Ange, I want you there.\As for the other post,\we've rented our own room here, across from his.\We can see into Lord O'Reilly's room from there.\Then who will...\I will!\No.\Why not? response:	Stakeouts can go on for days.
context: As for the other post,\we've rented our own room here, across from his.\We can see into Lord O'Reilly's room from there.\Then who will...\I will!\No.\Why not?\Stakeouts can go on for days. response:	If the Princess disappears for that long, people will suspect something.
context: we've rented our own room here, across from his.\We can see into Lord O'Reilly's room from there.\Then who will...\I will!\No.\Why not?\Stakeouts can go on for days.\If the Princess disappears for that long, people will suspect something. response:	Then you can be me in the meantime.
context: We can see into Lord O'Reilly's room from there.\Then who will...\I will!\No.\Why not?\Stakeouts can go on for days.\If the Princess disappears for that long, people will suspect something.\Then you can be me in the meantime. response:	I'll be keeping watch at the park.
context: Then who will...\I will!\No.\Why not?\Stakeouts can go on for days.\If the Princess disappears for that long, people will suspect something.\Then you can be me in the meantime.\I'll be keeping watch at the park. response:	But it won't be for 24 hours every day, will it?
context: I will!\No.\Why not?\Stakeouts can go on for days.\If the Princess disappears for that long, people will suspect something.\Then you can be me in the meantime.\I'll be keeping watch at the park.\But it won't be for 24 hours every day, will it? response:	Well, we would trade off at night.
context: No.\Why not?\Stakeouts can go on for days.\If the Princess disappears for that long, people will suspect something.\Then you can be me in the meantime.\I'll be keeping watch at the park.\But it won't be for 24 hours every day, will it?\Well, we would trade off at night. response:	I've had official business nonstop for days; it's been so suffocating.
context: Why not?\Stakeouts can go on for days.\If the Princess disappears for that long, people will suspect something.\Then you can be me in the meantime.\I'll be keeping watch at the park.\But it won't be for 24 hours every day, will it?\Well, we would trade off at night.\I've had official business nonstop for days; it's been so suffocating. response:	When you're a princess, sometimes you just need to get outside.
context: Stakeouts can go on for days.\If the Princess disappears for that long, people will suspect something.\Then you can be me in the meantime.\I'll be keeping watch at the park.\But it won't be for 24 hours every day, will it?\Well, we would trade off at night.\I've had official business nonstop for days; it's been so suffocating.\When you're a princess, sometimes you just need to get outside. response:	Surely, you would understand that, Ange?
context: If the Princess disappears for that long, people will suspect something.\Then you can be me in the meantime.\I'll be keeping watch at the park.\But it won't be for 24 hours every day, will it?\Well, we would trade off at night.\I've had official business nonstop for days; it's been so suffocating.\When you're a princess, sometimes you just need to get outside.\Surely, you would understand that, Ange? response:	If you promise not to take a single step outside your post.
context: Then you can be me in the meantime.\I'll be keeping watch at the park.\But it won't be for 24 hours every day, will it?\Well, we would trade off at night.\I've had official business nonstop for days; it's been so suffocating.\When you're a princess, sometimes you just need to get outside.\Surely, you would understand that, Ange?\If you promise not to take a single step outside your post. response:	Alright!
context: I'll be keeping watch at the park.\But it won't be for 24 hours every day, will it?\Well, we would trade off at night.\I've had official business nonstop for days; it's been so suffocating.\When you're a princess, sometimes you just need to get outside.\Surely, you would understand that, Ange?\If you promise not to take a single step outside your post.\Alright! response:	That was hardly fair, putting it like that.
context: But it won't be for 24 hours every day, will it?\Well, we would trade off at night.\I've had official business nonstop for days; it's been so suffocating.\When you're a princess, sometimes you just need to get outside.\Surely, you would understand that, Ange?\If you promise not to take a single step outside your post.\Alright!\That was hardly fair, putting it like that. response:	Why do you think Miss Ange has such a soft spot for Her Highness?
context: Well, we would trade off at night.\I've had official business nonstop for days; it's been so suffocating.\When you're a princess, sometimes you just need to get outside.\Surely, you would understand that, Ange?\If you promise not to take a single step outside your post.\Alright!\That was hardly fair, putting it like that.\Why do you think Miss Ange has such a soft spot for Her Highness? response:	No idea.
context: I've had official business nonstop for days; it's been so suffocating.\When you're a princess, sometimes you just need to get outside.\Surely, you would understand that, Ange?\If you promise not to take a single step outside your post.\Alright!\That was hardly fair, putting it like that.\Why do you think Miss Ange has such a soft spot for Her Highness?\No idea. response:	Maybe she just can't say no to someone with her own face.
context: When you're a princess, sometimes you just need to get outside.\Surely, you would understand that, Ange?\If you promise not to take a single step outside your post.\Alright!\That was hardly fair, putting it like that.\Why do you think Miss Ange has such a soft spot for Her Highness?\No idea.\Maybe she just can't say no to someone with her own face. response:	Honestly! I'm asking a serious question!
context: Surely, you would understand that, Ange?\If you promise not to take a single step outside your post.\Alright!\That was hardly fair, putting it like that.\Why do you think Miss Ange has such a soft spot for Her Highness?\No idea.\Maybe she just can't say no to someone with her own face.\Honestly! I'm asking a serious question! response:	It's her again.
context: If you promise not to take a single step outside your post.\Alright!\That was hardly fair, putting it like that.\Why do you think Miss Ange has such a soft spot for Her Highness?\No idea.\Maybe she just can't say no to someone with her own face.\Honestly! I'm asking a serious question!\It's her again. response:	You ruddy brat!
context: Alright!\That was hardly fair, putting it like that.\Why do you think Miss Ange has such a soft spot for Her Highness?\No idea.\Maybe she just can't say no to someone with her own face.\Honestly! I'm asking a serious question!\It's her again.\You ruddy brat! response:	Don't come from behind. Come from the front.
context: That was hardly fair, putting it like that.\Why do you think Miss Ange has such a soft spot for Her Highness?\No idea.\Maybe she just can't say no to someone with her own face.\Honestly! I'm asking a serious question!\It's her again.\You ruddy brat!\Don't come from behind. Come from the front. response:	It's possible to create blind spots from in FRONT of your marks, too.
context: Why do you think Miss Ange has such a soft spot for Her Highness?\No idea.\Maybe she just can't say no to someone with her own face.\Honestly! I'm asking a serious question!\It's her again.\You ruddy brat!\Don't come from behind. Come from the front.\It's possible to create blind spots from in FRONT of your marks, too. response:	And that's why you're teaching her how to pick pockets?
context: No idea.\Maybe she just can't say no to someone with her own face.\Honestly! I'm asking a serious question!\It's her again.\You ruddy brat!\Don't come from behind. Come from the front.\It's possible to create blind spots from in FRONT of your marks, too.\And that's why you're teaching her how to pick pockets? response:	I only taught her a way to survive.
context: Maybe she just can't say no to someone with her own face.\Honestly! I'm asking a serious question!\It's her again.\You ruddy brat!\Don't come from behind. Come from the front.\It's possible to create blind spots from in FRONT of your marks, too.\And that's why you're teaching her how to pick pockets?\I only taught her a way to survive. response:	It's very hard, having to go without food. It puts you in a dark place.
context: Honestly! I'm asking a serious question!\It's her again.\You ruddy brat!\Don't come from behind. Come from the front.\It's possible to create blind spots from in FRONT of your marks, too.\And that's why you're teaching her how to pick pockets?\I only taught her a way to survive.\It's very hard, having to go without food. It puts you in a dark place. response:	Doesn't it bring back memories, trading clothes like this?
context: It's her again.\You ruddy brat!\Don't come from behind. Come from the front.\It's possible to create blind spots from in FRONT of your marks, too.\And that's why you're teaching her how to pick pockets?\I only taught her a way to survive.\It's very hard, having to go without food. It puts you in a dark place.\Doesn't it bring back memories, trading clothes like this? response:	Of teasing Mrs. Crawford?
context: You ruddy brat!\Don't come from behind. Come from the front.\It's possible to create blind spots from in FRONT of your marks, too.\And that's why you're teaching her how to pick pockets?\I only taught her a way to survive.\It's very hard, having to go without food. It puts you in a dark place.\Doesn't it bring back memories, trading clothes like this?\Of teasing Mrs. Crawford? response:	Yes! Remember how much fun it was?
context: Don't come from behind. Come from the front.\It's possible to create blind spots from in FRONT of your marks, too.\And that's why you're teaching her how to pick pockets?\I only taught her a way to survive.\It's very hard, having to go without food. It puts you in a dark place.\Doesn't it bring back memories, trading clothes like this?\Of teasing Mrs. Crawford?\Yes! Remember how much fun it was? response:	And our private fashion shows.
context: It's possible to create blind spots from in FRONT of your marks, too.\And that's why you're teaching her how to pick pockets?\I only taught her a way to survive.\It's very hard, having to go without food. It puts you in a dark place.\Doesn't it bring back memories, trading clothes like this?\Of teasing Mrs. Crawford?\Yes! Remember how much fun it was?\And our private fashion shows. response:	You taught me how to jump rope.
context: And that's why you're teaching her how to pick pockets?\I only taught her a way to survive.\It's very hard, having to go without food. It puts you in a dark place.\Doesn't it bring back memories, trading clothes like this?\Of teasing Mrs. Crawford?\Yes! Remember how much fun it was?\And our private fashion shows.\You taught me how to jump rope. response:	And I learned piano!
