context: It's up! Nice! response:	A feint!
context: It's up! Nice!\A feint! response:	Karasuno Johzenji
context: It's up! Nice!\A feint!\Karasuno Johzenji response:	Futamata!
context: It's up! Nice!\A feint!\Karasuno Johzenji\Futamata! response:	Again?! I'll stop them again!
context: It's up! Nice!\A feint!\Karasuno Johzenji\Futamata!\Again?! I'll stop them again! response:	This time, not with my face.
context: It's up! Nice!\A feint!\Karasuno Johzenji\Futamata!\Again?! I'll stop them again!\This time, not with my face. response:	Back attack!
context: It's up! Nice!\A feint!\Karasuno Johzenji\Futamata!\Again?! I'll stop them again!\This time, not with my face.\Back attack! response:	A break...
context: It's up! Nice!\A feint!\Karasuno Johzenji\Futamata!\Again?! I'll stop them again!\This time, not with my face.\Back attack!\A break... response:	I totally thought you were going to hit that.
context: A feint!\Karasuno Johzenji\Futamata!\Again?! I'll stop them again!\This time, not with my face.\Back attack!\A break...\I totally thought you were going to hit that. response:	You scared the crap out of me!
context: Karasuno Johzenji\Futamata!\Again?! I'll stop them again!\This time, not with my face.\Back attack!\A break...\I totally thought you were going to hit that.\You scared the crap out of me! response:	His own team didn't know he was going to do that.
context: Futamata!\Again?! I'll stop them again!\This time, not with my face.\Back attack!\A break...\I totally thought you were going to hit that.\You scared the crap out of me!\His own team didn't know he was going to do that. response:	But he was able to hit it so calmly.
context: Again?! I'll stop them again!\This time, not with my face.\Back attack!\A break...\I totally thought you were going to hit that.\You scared the crap out of me!\His own team didn't know he was going to do that.\But he was able to hit it so calmly. response:	They're vicious... How creepy.
context: This time, not with my face.\Back attack!\A break...\I totally thought you were going to hit that.\You scared the crap out of me!\His own team didn't know he was going to do that.\But he was able to hit it so calmly.\They're vicious... How creepy. response:	Johzenji seems to be doing well after their time out.
context: Back attack!\A break...\I totally thought you were going to hit that.\You scared the crap out of me!\His own team didn't know he was going to do that.\But he was able to hit it so calmly.\They're vicious... How creepy.\Johzenji seems to be doing well after their time out. response:	Yeah... They're starting to actually look at their opponents as they're playing.
context: A break...\I totally thought you were going to hit that.\You scared the crap out of me!\His own team didn't know he was going to do that.\But he was able to hit it so calmly.\They're vicious... How creepy.\Johzenji seems to be doing well after their time out.\Yeah... They're starting to actually look at their opponents as they're playing. response:	That's not good.
