context: Corpseless ...? response:	Yes, something between a Corpse and a human.
context: Corpseless ...?\Yes, something between a Corpse and a human. response:	You're... the same as me, then?
context: Corpseless ...?\Yes, something between a Corpse and a human.\You're... the same as me, then? response:	Either way, it means you're not human!
context: Corpseless ...?\Yes, something between a Corpse and a human.\You're... the same as me, then?\Either way, it means you're not human! response:	If you're saying you're my enemy...
context: Corpseless ...?\Yes, something between a Corpse and a human.\You're... the same as me, then?\Either way, it means you're not human!\If you're saying you're my enemy... response:	Corpse s are the enemy of humanity.
context: Corpseless ...?\Yes, something between a Corpse and a human.\You're... the same as me, then?\Either way, it means you're not human!\If you're saying you're my enemy...\Corpse s are the enemy of humanity. response:	Stop, Kurusu!
context: Corpseless ...?\Yes, something between a Corpse and a human.\You're... the same as me, then?\Either way, it means you're not human!\If you're saying you're my enemy...\Corpse s are the enemy of humanity.\Stop, Kurusu! response:	If not for these two...
context: Corpseless ...?\Yes, something between a Corpse and a human.\You're... the same as me, then?\Either way, it means you're not human!\If you're saying you're my enemy...\Corpse s are the enemy of humanity.\Stop, Kurusu!\If not for these two... response:	That does not mean we can have the Corpses accompany us!
context: Yes, something between a Corpse and a human.\You're... the same as me, then?\Either way, it means you're not human!\If you're saying you're my enemy...\Corpse s are the enemy of humanity.\Stop, Kurusu!\If not for these two...\That does not mean we can have the Corpses accompany us! response:	I feel the same way.
context: You're... the same as me, then?\Either way, it means you're not human!\If you're saying you're my enemy...\Corpse s are the enemy of humanity.\Stop, Kurusu!\If not for these two...\That does not mean we can have the Corpses accompany us!\I feel the same way. response:	I'm a Corpse.
context: Either way, it means you're not human!\If you're saying you're my enemy...\Corpse s are the enemy of humanity.\Stop, Kurusu!\If not for these two...\That does not mean we can have the Corpses accompany us!\I feel the same way.\I'm a Corpse. response:	I will turn everyone here into Corpse s.
context: If you're saying you're my enemy...\Corpse s are the enemy of humanity.\Stop, Kurusu!\If not for these two...\That does not mean we can have the Corpses accompany us!\I feel the same way.\I'm a Corpse.\I will turn everyone here into Corpse s. response:	Wh-What are?
context: Corpse s are the enemy of humanity.\Stop, Kurusu!\If not for these two...\That does not mean we can have the Corpses accompany us!\I feel the same way.\I'm a Corpse.\I will turn everyone here into Corpse s.\Wh-What are? response:	You're a Corpseless, not a Corpse.
context: Stop, Kurusu!\If not for these two...\That does not mean we can have the Corpses accompany us!\I feel the same way.\I'm a Corpse.\I will turn everyone here into Corpse s.\Wh-What are?\You're a Corpseless, not a Corpse. response:	Your body may be a Corpse, but your mind's still human.
context: If not for these two...\That does not mean we can have the Corpses accompany us!\I feel the same way.\I'm a Corpse.\I will turn everyone here into Corpse s.\Wh-What are?\You're a Corpseless, not a Corpse.\Your body may be a Corpse, but your mind's still human. response:	You want me to believe?!
context: That does not mean we can have the Corpses accompany us!\I feel the same way.\I'm a Corpse.\I will turn everyone here into Corpse s.\Wh-What are?\You're a Corpseless, not a Corpse.\Your body may be a Corpse, but your mind's still human.\You want me to believe?! response:	Ayame-san.
context: I feel the same way.\I'm a Corpse.\I will turn everyone here into Corpse s.\Wh-What are?\You're a Corpseless, not a Corpse.\Your body may be a Corpse, but your mind's still human.\You want me to believe?!\Ayame-san. response:	This Iron Fortress goes to Daimond Citadel, doesn't it?
