context: Why... response:	Why have I gone back?
context: Why...\Why have I gone back? response:	Sir, sir, you don't seem to be feeling well.
context: Why...\Why have I gone back?\Sir, sir, you don't seem to be feeling well. response:	Are you all right?
context: Why...\Why have I gone back?\Sir, sir, you don't seem to be feeling well.\Are you all right? response:	Sir, sir, you seem to have a stomachache.
context: Why...\Why have I gone back?\Sir, sir, you don't seem to be feeling well.\Are you all right?\Sir, sir, you seem to have a stomachache. response:	You didn't soil yourself, did you?
context: Why...\Why have I gone back?\Sir, sir, you don't seem to be feeling well.\Are you all right?\Sir, sir, you seem to have a stomachache.\You didn't soil yourself, did you? response:	You don't... remember me?
context: Why...\Why have I gone back?\Sir, sir, you don't seem to be feeling well.\Are you all right?\Sir, sir, you seem to have a stomachache.\You didn't soil yourself, did you?\You don't... remember me? response:	So it's like none of it ever happened?
context: Why...\Why have I gone back?\Sir, sir, you don't seem to be feeling well.\Are you all right?\Sir, sir, you seem to have a stomachache.\You didn't soil yourself, did you?\You don't... remember me?\So it's like none of it ever happened? response:	Sir?
context: Why have I gone back?\Sir, sir, you don't seem to be feeling well.\Are you all right?\Sir, sir, you seem to have a stomachache.\You didn't soil yourself, did you?\You don't... remember me?\So it's like none of it ever happened?\Sir? response:	Sir, you shouldn't try to move so suddenly.
context: Sir, sir, you don't seem to be feeling well.\Are you all right?\Sir, sir, you seem to have a stomachache.\You didn't soil yourself, did you?\You don't... remember me?\So it's like none of it ever happened?\Sir?\Sir, you shouldn't try to move so suddenly. response:	What happened, damn it?! Everything reset again!
context: Are you all right?\Sir, sir, you seem to have a stomachache.\You didn't soil yourself, did you?\You don't... remember me?\So it's like none of it ever happened?\Sir?\Sir, you shouldn't try to move so suddenly.\What happened, damn it?! Everything reset again! response:	Including my promise with Emilia!
context: Sir, sir, you seem to have a stomachache.\You didn't soil yourself, did you?\You don't... remember me?\So it's like none of it ever happened?\Sir?\Sir, you shouldn't try to move so suddenly.\What happened, damn it?! Everything reset again!\Including my promise with Emilia! response:	You entered without even knocking?
