context: We're... response:	Fairy Tail wizards!!!
context: We're...\Fairy Tail wizards!!! response:	Men...
context: We're...\Fairy Tail wizards!!!\Men... response:	Nichiya-san, are they...?
context: We're...\Fairy Tail wizards!!!\Men...\Nichiya-san, are they...? response:	Let's go, Carla!
context: We're...\Fairy Tail wizards!!!\Men...\Nichiya-san, are they...?\Let's go, Carla! response:	Men...
context: We're...\Fairy Tail wizards!!!\Men...\Nichiya-san, are they...?\Let's go, Carla!\Men... response:	Oyoyoyoyo...
context: We're...\Fairy Tail wizards!!!\Men...\Nichiya-san, are they...?\Let's go, Carla!\Men...\Oyoyoyoyo... response:	We're gonna save everyone!
context: We're...\Fairy Tail wizards!!!\Men...\Nichiya-san, are they...?\Let's go, Carla!\Men...\Oyoyoyoyo...\We're gonna save everyone! response:	We're gonna save'em, no matter what!
context: Fairy Tail wizards!!!\Men...\Nichiya-san, are they...?\Let's go, Carla!\Men...\Oyoyoyoyo...\We're gonna save everyone!\We're gonna save'em, no matter what! response:	Nichiya-san?
context: Men...\Nichiya-san, are they...?\Let's go, Carla!\Men...\Oyoyoyoyo...\We're gonna save everyone!\We're gonna save'em, no matter what!\Nichiya-san? response:	Angels who have lost their wings... The Fallen!
context: Nichiya-san, are they...?\Let's go, Carla!\Men...\Oyoyoyoyo...\We're gonna save everyone!\We're gonna save'em, no matter what!\Nichiya-san?\Angels who have lost their wings... The Fallen! response:	The Exceeds have been poisoned by the filth of Earthland and have Fallen!
context: Let's go, Carla!\Men...\Oyoyoyoyo...\We're gonna save everyone!\We're gonna save'em, no matter what!\Nichiya-san?\Angels who have lost their wings... The Fallen!\The Exceeds have been poisoned by the filth of Earthland and have Fallen! response:	Oh, men!
context: Men...\Oyoyoyoyo...\We're gonna save everyone!\We're gonna save'em, no matter what!\Nichiya-san?\Angels who have lost their wings... The Fallen!\The Exceeds have been poisoned by the filth of Earthland and have Fallen!\Oh, men! response:	Two of the Fallen are escaping!
context: Oyoyoyoyo...\We're gonna save everyone!\We're gonna save'em, no matter what!\Nichiya-san?\Angels who have lost their wings... The Fallen!\The Exceeds have been poisoned by the filth of Earthland and have Fallen!\Oh, men!\Two of the Fallen are escaping! response:	Royal Guard, go forth!
context: We're gonna save everyone!\We're gonna save'em, no matter what!\Nichiya-san?\Angels who have lost their wings... The Fallen!\The Exceeds have been poisoned by the filth of Earthland and have Fallen!\Oh, men!\Two of the Fallen are escaping!\Royal Guard, go forth! response:	Fly! To Your Friends!
context: We're gonna save'em, no matter what!\Nichiya-san?\Angels who have lost their wings... The Fallen!\The Exceeds have been poisoned by the filth of Earthland and have Fallen!\Oh, men!\Two of the Fallen are escaping!\Royal Guard, go forth!\Fly! To Your Friends! response:	Damn it...
context: Nichiya-san?\Angels who have lost their wings... The Fallen!\The Exceeds have been poisoned by the filth of Earthland and have Fallen!\Oh, men!\Two of the Fallen are escaping!\Royal Guard, go forth!\Fly! To Your Friends!\Damn it... response:	There's no way that Happy's a traitor!
context: Angels who have lost their wings... The Fallen!\The Exceeds have been poisoned by the filth of Earthland and have Fallen!\Oh, men!\Two of the Fallen are escaping!\Royal Guard, go forth!\Fly! To Your Friends!\Damn it...\There's no way that Happy's a traitor! response:	No way in hell, I say!
context: The Exceeds have been poisoned by the filth of Earthland and have Fallen!\Oh, men!\Two of the Fallen are escaping!\Royal Guard, go forth!\Fly! To Your Friends!\Damn it...\There's no way that Happy's a traitor!\No way in hell, I say! response:	You hear me?!
context: Oh, men!\Two of the Fallen are escaping!\Royal Guard, go forth!\Fly! To Your Friends!\Damn it...\There's no way that Happy's a traitor!\No way in hell, I say!\You hear me?! response:	Open this cell!
context: Two of the Fallen are escaping!\Royal Guard, go forth!\Fly! To Your Friends!\Damn it...\There's no way that Happy's a traitor!\No way in hell, I say!\You hear me?!\Open this cell! response:	Natsu-san...
context: Royal Guard, go forth!\Fly! To Your Friends!\Damn it...\There's no way that Happy's a traitor!\No way in hell, I say!\You hear me?!\Open this cell!\Natsu-san... response:	I'm gonna bust this thing wide open!
context: Fly! To Your Friends!\Damn it...\There's no way that Happy's a traitor!\No way in hell, I say!\You hear me?!\Open this cell!\Natsu-san...\I'm gonna bust this thing wide open! response:	Roar of the Fire Dragon!
context: Damn it...\There's no way that Happy's a traitor!\No way in hell, I say!\You hear me?!\Open this cell!\Natsu-san...\I'm gonna bust this thing wide open!\Roar of the Fire Dragon! response:	It's no use, yeah...
context: There's no way that Happy's a traitor!\No way in hell, I say!\You hear me?!\Open this cell!\Natsu-san...\I'm gonna bust this thing wide open!\Roar of the Fire Dragon!\It's no use, yeah... response:	Edolas is so damn annoying!
context: No way in hell, I say!\You hear me?!\Open this cell!\Natsu-san...\I'm gonna bust this thing wide open!\Roar of the Fire Dragon!\It's no use, yeah...\Edolas is so damn annoying! response:	Carla...
context: You hear me?!\Open this cell!\Natsu-san...\I'm gonna bust this thing wide open!\Roar of the Fire Dragon!\It's no use, yeah...\Edolas is so damn annoying!\Carla... response:	W-What's this?
context: Open this cell!\Natsu-san...\I'm gonna bust this thing wide open!\Roar of the Fire Dragon!\It's no use, yeah...\Edolas is so damn annoying!\Carla...\W-What's this? response:	What happened?
context: Natsu-san...\I'm gonna bust this thing wide open!\Roar of the Fire Dragon!\It's no use, yeah...\Edolas is so damn annoying!\Carla...\W-What's this?\What happened? response:	Hey! This has got to be some sort of joke, right?
context: I'm gonna bust this thing wide open!\Roar of the Fire Dragon!\It's no use, yeah...\Edolas is so damn annoying!\Carla...\W-What's this?\What happened?\Hey! This has got to be some sort of joke, right? response:	Oh, right... Everyone was captured.
context: Roar of the Fire Dragon!\It's no use, yeah...\Edolas is so damn annoying!\Carla...\W-What's this?\What happened?\Hey! This has got to be some sort of joke, right?\Oh, right... Everyone was captured. response:	Natsu... Happy...
context: It's no use, yeah...\Edolas is so damn annoying!\Carla...\W-What's this?\What happened?\Hey! This has got to be some sort of joke, right?\Oh, right... Everyone was captured.\Natsu... Happy... response:	Wendy... Carla...
context: Edolas is so damn annoying!\Carla...\W-What's this?\What happened?\Hey! This has got to be some sort of joke, right?\Oh, right... Everyone was captured.\Natsu... Happy...\Wendy... Carla... response:	Where did everyone go?
context: Carla...\W-What's this?\What happened?\Hey! This has got to be some sort of joke, right?\Oh, right... Everyone was captured.\Natsu... Happy...\Wendy... Carla...\Where did everyone go? response:	And hey... Let me outta these!
context: W-What's this?\What happened?\Hey! This has got to be some sort of joke, right?\Oh, right... Everyone was captured.\Natsu... Happy...\Wendy... Carla...\Where did everyone go?\And hey... Let me outta these! response:	Can anybody hear me?
context: What happened?\Hey! This has got to be some sort of joke, right?\Oh, right... Everyone was captured.\Natsu... Happy...\Wendy... Carla...\Where did everyone go?\And hey... Let me outta these!\Can anybody hear me? response:	God, she's loud.
context: Hey! This has got to be some sort of joke, right?\Oh, right... Everyone was captured.\Natsu... Happy...\Wendy... Carla...\Where did everyone go?\And hey... Let me outta these!\Can anybody hear me?\God, she's loud. response:	What's that noise?
context: Oh, right... Everyone was captured.\Natsu... Happy...\Wendy... Carla...\Where did everyone go?\And hey... Let me outta these!\Can anybody hear me?\God, she's loud.\What's that noise? response:	Maybe it's a caterpillar?
context: Natsu... Happy...\Wendy... Carla...\Where did everyone go?\And hey... Let me outta these!\Can anybody hear me?\God, she's loud.\What's that noise?\Maybe it's a caterpillar? response:	It's obviously not that.
context: Wendy... Carla...\Where did everyone go?\And hey... Let me outta these!\Can anybody hear me?\God, she's loud.\What's that noise?\Maybe it's a caterpillar?\It's obviously not that. response:	Something's coming from the castle...
context: Where did everyone go?\And hey... Let me outta these!\Can anybody hear me?\God, she's loud.\What's that noise?\Maybe it's a caterpillar?\It's obviously not that.\Something's coming from the castle... response:	Aren't those...
context: And hey... Let me outta these!\Can anybody hear me?\God, she's loud.\What's that noise?\Maybe it's a caterpillar?\It's obviously not that.\Something's coming from the castle...\Aren't those... response:	Outta our way!
context: Can anybody hear me?\God, she's loud.\What's that noise?\Maybe it's a caterpillar?\It's obviously not that.\Something's coming from the castle...\Aren't those...\Outta our way! response:	It's those heroes from before!
context: God, she's loud.\What's that noise?\Maybe it's a caterpillar?\It's obviously not that.\Something's coming from the castle...\Aren't those...\Outta our way!\It's those heroes from before! response:	And... the Royal Guard?
context: What's that noise?\Maybe it's a caterpillar?\It's obviously not that.\Something's coming from the castle...\Aren't those...\Outta our way!\It's those heroes from before!\And... the Royal Guard? response:	Hold it!
context: Maybe it's a caterpillar?\It's obviously not that.\Something's coming from the castle...\Aren't those...\Outta our way!\It's those heroes from before!\And... the Royal Guard?\Hold it! response:	Men!
context: It's obviously not that.\Something's coming from the castle...\Aren't those...\Outta our way!\It's those heroes from before!\And... the Royal Guard?\Hold it!\Men! response:	Men!
context: Something's coming from the castle...\Aren't those...\Outta our way!\It's those heroes from before!\And... the Royal Guard?\Hold it!\Men!\Men! response:	Men...
context: Aren't those...\Outta our way!\It's those heroes from before!\And... the Royal Guard?\Hold it!\Men!\Men!\Men... response:	I-I'm not tired, or anything...
context: Outta our way!\It's those heroes from before!\And... the Royal Guard?\Hold it!\Men!\Men!\Men...\I-I'm not tired, or anything... response:	I'm still young!
context: It's those heroes from before!\And... the Royal Guard?\Hold it!\Men!\Men!\Men...\I-I'm not tired, or anything...\I'm still young! response:	I must live up to the Queen's expectations!
context: And... the Royal Guard?\Hold it!\Men!\Men!\Men...\I-I'm not tired, or anything...\I'm still young!\I must live up to the Queen's expectations! response:	Carla!
context: Hold it!\Men!\Men!\Men...\I-I'm not tired, or anything...\I'm still young!\I must live up to the Queen's expectations!\Carla! response:	Happy!
context: Men!\Men!\Men...\I-I'm not tired, or anything...\I'm still young!\I must live up to the Queen's expectations!\Carla!\Happy! response:	Hold on real tight!
context: Men!\Men...\I-I'm not tired, or anything...\I'm still young!\I must live up to the Queen's expectations!\Carla!\Happy!\Hold on real tight! response:	Okay!
context: Men...\I-I'm not tired, or anything...\I'm still young!\I must live up to the Queen's expectations!\Carla!\Happy!\Hold on real tight!\Okay! response:	C-Carla... Are you okay?
context: I-I'm not tired, or anything...\I'm still young!\I must live up to the Queen's expectations!\Carla!\Happy!\Hold on real tight!\Okay!\C-Carla... Are you okay? response:	Somehow...
context: I'm still young!\I must live up to the Queen's expectations!\Carla!\Happy!\Hold on real tight!\Okay!\C-Carla... Are you okay?\Somehow... response:	Happy, look at that!
context: I must live up to the Queen's expectations!\Carla!\Happy!\Hold on real tight!\Okay!\C-Carla... Are you okay?\Somehow...\Happy, look at that! response:	That lacrima is floating!
context: Carla!\Happy!\Hold on real tight!\Okay!\C-Carla... Are you okay?\Somehow...\Happy, look at that!\That lacrima is floating! response:	It's way bigger than the one we saw in the Royal City.
context: Happy!\Hold on real tight!\Okay!\C-Carla... Are you okay?\Somehow...\Happy, look at that!\That lacrima is floating!\It's way bigger than the one we saw in the Royal City. response:	That's everyone from Fairy Tail!
context: Hold on real tight!\Okay!\C-Carla... Are you okay?\Somehow...\Happy, look at that!\That lacrima is floating!\It's way bigger than the one we saw in the Royal City.\That's everyone from Fairy Tail! response:	So that's where they were...
context: Okay!\C-Carla... Are you okay?\Somehow...\Happy, look at that!\That lacrima is floating!\It's way bigger than the one we saw in the Royal City.\That's everyone from Fairy Tail!\So that's where they were... response:	Which means...
context: C-Carla... Are you okay?\Somehow...\Happy, look at that!\That lacrima is floating!\It's way bigger than the one we saw in the Royal City.\That's everyone from Fairy Tail!\So that's where they were...\Which means... response:	Are we on a floating island?
context: Somehow...\Happy, look at that!\That lacrima is floating!\It's way bigger than the one we saw in the Royal City.\That's everyone from Fairy Tail!\So that's where they were...\Which means...\Are we on a floating island? response:	If the Royal City is way down there, then...
context: Happy, look at that!\That lacrima is floating!\It's way bigger than the one we saw in the Royal City.\That's everyone from Fairy Tail!\So that's where they were...\Which means...\Are we on a floating island?\If the Royal City is way down there, then... response:	Basically, the situation would look like this.
context: That lacrima is floating!\It's way bigger than the one we saw in the Royal City.\That's everyone from Fairy Tail!\So that's where they were...\Which means...\Are we on a floating island?\If the Royal City is way down there, then...\Basically, the situation would look like this. response:	H-How are we going to get down to the Royal City?
context: It's way bigger than the one we saw in the Royal City.\That's everyone from Fairy Tail!\So that's where they were...\Which means...\Are we on a floating island?\If the Royal City is way down there, then...\Basically, the situation would look like this.\H-How are we going to get down to the Royal City? response:	We can't use our Aera like we are now...
context: That's everyone from Fairy Tail!\So that's where they were...\Which means...\Are we on a floating island?\If the Royal City is way down there, then...\Basically, the situation would look like this.\H-How are we going to get down to the Royal City?\We can't use our Aera like we are now... response:	Natsu...
context: So that's where they were...\Which means...\Are we on a floating island?\If the Royal City is way down there, then...\Basically, the situation would look like this.\H-How are we going to get down to the Royal City?\We can't use our Aera like we are now...\Natsu... response:	Hey, you there!
context: Which means...\Are we on a floating island?\If the Royal City is way down there, then...\Basically, the situation would look like this.\H-How are we going to get down to the Royal City?\We can't use our Aera like we are now...\Natsu...\Hey, you there! response:	What the heck ya think yer doin' on my fields?
context: Are we on a floating island?\If the Royal City is way down there, then...\Basically, the situation would look like this.\H-How are we going to get down to the Royal City?\We can't use our Aera like we are now...\Natsu...\Hey, you there!\What the heck ya think yer doin' on my fields? response:	Shoot!
context: If the Royal City is way down there, then...\Basically, the situation would look like this.\H-How are we going to get down to the Royal City?\We can't use our Aera like we are now...\Natsu...\Hey, you there!\What the heck ya think yer doin' on my fields?\Shoot! response:	Yer those Fallen who the Royal Guard're searchin' about for, yeah?
context: Basically, the situation would look like this.\H-How are we going to get down to the Royal City?\We can't use our Aera like we are now...\Natsu...\Hey, you there!\What the heck ya think yer doin' on my fields?\Shoot!\Yer those Fallen who the Royal Guard're searchin' about for, yeah? response:	Get outta here!
context: H-How are we going to get down to the Royal City?\We can't use our Aera like we are now...\Natsu...\Hey, you there!\What the heck ya think yer doin' on my fields?\Shoot!\Yer those Fallen who the Royal Guard're searchin' about for, yeah?\Get outta here! response:	Aye! We're sorry!
context: We can't use our Aera like we are now...\Natsu...\Hey, you there!\What the heck ya think yer doin' on my fields?\Shoot!\Yer those Fallen who the Royal Guard're searchin' about for, yeah?\Get outta here!\Aye! We're sorry! response:	Men!
