context: Next up is the inter-club relay race. response:	On your mark! Get set!
context: Next up is the inter-club relay race.\On your mark! Get set! response:	Here I go!
context: Next up is the inter-club relay race.\On your mark! Get set!\Here I go! response:	Billionaire
context: Next up is the inter-club relay race.\On your mark! Get set!\Here I go!\Billionaire response:	Billionaire Here.
context: Next up is the inter-club relay race.\On your mark! Get set!\Here I go!\Billionaire\Billionaire Here. response:	Indian sum- Here.
context: Next up is the inter-club relay race.\On your mark! Get set!\Here I go!\Billionaire\Billionaire Here.\Indian sum- Here. response:	Indian sum-
context: Next up is the inter-club relay race.\On your mark! Get set!\Here I go!\Billionaire\Billionaire Here.\Indian sum- Here.\Indian sum- response:	Darn it, I wanted to come up from behind and pass everyone at the end,
context: Next up is the inter-club relay race.\On your mark! Get set!\Here I go!\Billionaire\Billionaire Here.\Indian sum- Here.\Indian sum-\Darn it, I wanted to come up from behind and pass everyone at the end, response:	but thanks to Yuki, we just blew them all away.
context: On your mark! Get set!\Here I go!\Billionaire\Billionaire Here.\Indian sum- Here.\Indian sum-\Darn it, I wanted to come up from behind and pass everyone at the end,\but thanks to Yuki, we just blew them all away. response:	To all times and places
context: Here I go!\Billionaire\Billionaire Here.\Indian sum- Here.\Indian sum-\Darn it, I wanted to come up from behind and pass everyone at the end,\but thanks to Yuki, we just blew them all away.\To all times and places response:	To all times and places It was a beautiful run.
context: Billionaire\Billionaire Here.\Indian sum- Here.\Indian sum-\Darn it, I wanted to come up from behind and pass everyone at the end,\but thanks to Yuki, we just blew them all away.\To all times and places\To all times and places It was a beautiful run. response:	To all times and places I just hope that the track team doesn't lose their confidence because of it.
context: Billionaire Here.\Indian sum- Here.\Indian sum-\Darn it, I wanted to come up from behind and pass everyone at the end,\but thanks to Yuki, we just blew them all away.\To all times and places\To all times and places It was a beautiful run.\To all times and places I just hope that the track team doesn't lose their confidence because of it. response:	In the nick of time
context: Indian sum- Here.\Indian sum-\Darn it, I wanted to come up from behind and pass everyone at the end,\but thanks to Yuki, we just blew them all away.\To all times and places\To all times and places It was a beautiful run.\To all times and places I just hope that the track team doesn't lose their confidence because of it.\In the nick of time response:	In the nick of time This isn't funny.
context: Indian sum-\Darn it, I wanted to come up from behind and pass everyone at the end,\but thanks to Yuki, we just blew them all away.\To all times and places\To all times and places It was a beautiful run.\To all times and places I just hope that the track team doesn't lose their confidence because of it.\In the nick of time\In the nick of time This isn't funny. response:	Because of this, people are going to think we're even weirder than they did before.
context: Darn it, I wanted to come up from behind and pass everyone at the end,\but thanks to Yuki, we just blew them all away.\To all times and places\To all times and places It was a beautiful run.\To all times and places I just hope that the track team doesn't lose their confidence because of it.\In the nick of time\In the nick of time This isn't funny.\Because of this, people are going to think we're even weirder than they did before. response:	Though it might be kind of late for that to matter.
context: but thanks to Yuki, we just blew them all away.\To all times and places\To all times and places It was a beautiful run.\To all times and places I just hope that the track team doesn't lose their confidence because of it.\In the nick of time\In the nick of time This isn't funny.\Because of this, people are going to think we're even weirder than they did before.\Though it might be kind of late for that to matter. response:	I suppose that there's no need to explain that our outfits
context: To all times and places\To all times and places It was a beautiful run.\To all times and places I just hope that the track team doesn't lose their confidence because of it.\In the nick of time\In the nick of time This isn't funny.\Because of this, people are going to think we're even weirder than they did before.\Though it might be kind of late for that to matter.\I suppose that there's no need to explain that our outfits response:	Unexplored area and the four character phrases we have on our headbands are all Haruhi's idea.
context: To all times and places It was a beautiful run.\To all times and places I just hope that the track team doesn't lose their confidence because of it.\In the nick of time\In the nick of time This isn't funny.\Because of this, people are going to think we're even weirder than they did before.\Though it might be kind of late for that to matter.\I suppose that there's no need to explain that our outfits\Unexplored area and the four character phrases we have on our headbands are all Haruhi's idea. response:	What the heck is this supposed to mean?
