context: Got you! response:	Damn, how could someone as graceful as myself have done that?
context: Got you!\Damn, how could someone as graceful as myself have done that? response:	Kyaa!
context: Got you!\Damn, how could someone as graceful as myself have done that?\Kyaa! response:	Kyaa?
context: Got you!\Damn, how could someone as graceful as myself have done that?\Kyaa!\Kyaa? response:	A white piglet fell!
context: Got you!\Damn, how could someone as graceful as myself have done that?\Kyaa!\Kyaa?\A white piglet fell! response:	What'd you say? This is why I hate inferior animals.
context: Got you!\Damn, how could someone as graceful as myself have done that?\Kyaa!\Kyaa?\A white piglet fell!\What'd you say? This is why I hate inferior animals. response:	It's actually a kitty, now that I look carefully.
context: Got you!\Damn, how could someone as graceful as myself have done that?\Kyaa!\Kyaa?\A white piglet fell!\What'd you say? This is why I hate inferior animals.\It's actually a kitty, now that I look carefully. response:	Are you okay, kitty?
context: Got you!\Damn, how could someone as graceful as myself have done that?\Kyaa!\Kyaa?\A white piglet fell!\What'd you say? This is why I hate inferior animals.\It's actually a kitty, now that I look carefully.\Are you okay, kitty? response:	Did you fall down like me?
context: Damn, how could someone as graceful as myself have done that?\Kyaa!\Kyaa?\A white piglet fell!\What'd you say? This is why I hate inferior animals.\It's actually a kitty, now that I look carefully.\Are you okay, kitty?\Did you fall down like me? response:	I can't climb up there.
context: Kyaa!\Kyaa?\A white piglet fell!\What'd you say? This is why I hate inferior animals.\It's actually a kitty, now that I look carefully.\Are you okay, kitty?\Did you fall down like me?\I can't climb up there. response:	What should I do?
context: Kyaa?\A white piglet fell!\What'd you say? This is why I hate inferior animals.\It's actually a kitty, now that I look carefully.\Are you okay, kitty?\Did you fall down like me?\I can't climb up there.\What should I do? response:	Who cares about that! How dare you call me a piglet?
context: A white piglet fell!\What'd you say? This is why I hate inferior animals.\It's actually a kitty, now that I look carefully.\Are you okay, kitty?\Did you fall down like me?\I can't climb up there.\What should I do?\Who cares about that! How dare you call me a piglet? response:	How cute!
context: What'd you say? This is why I hate inferior animals.\It's actually a kitty, now that I look carefully.\Are you okay, kitty?\Did you fall down like me?\I can't climb up there.\What should I do?\Who cares about that! How dare you call me a piglet?\How cute! response:	In the first place, this is just a temporary form.
