context: We don't know Eto Sensei, do we? response:	Right, Nodame's Sensei is Tanioka Sensei, you know.
context: We don't know Eto Sensei, do we?\Right, Nodame's Sensei is Tanioka Sensei, you know. response:	Hmmm...could he possibly mistake his student?
context: We don't know Eto Sensei, do we?\Right, Nodame's Sensei is Tanioka Sensei, you know.\Hmmm...could he possibly mistake his student? response:	Don't joke around!!
context: We don't know Eto Sensei, do we?\Right, Nodame's Sensei is Tanioka Sensei, you know.\Hmmm...could he possibly mistake his student?\Don't joke around!! response:	Ohhh...Gorota...
context: We don't know Eto Sensei, do we?\Right, Nodame's Sensei is Tanioka Sensei, you know.\Hmmm...could he possibly mistake his student?\Don't joke around!!\Ohhh...Gorota... response:	Didn't you hear anything about yourself
context: We don't know Eto Sensei, do we?\Right, Nodame's Sensei is Tanioka Sensei, you know.\Hmmm...could he possibly mistake his student?\Don't joke around!!\Ohhh...Gorota...\Didn't you hear anything about yourself response:	from Tanioka Sensei?
context: We don't know Eto Sensei, do we?\Right, Nodame's Sensei is Tanioka Sensei, you know.\Hmmm...could he possibly mistake his student?\Don't joke around!!\Ohhh...Gorota...\Didn't you hear anything about yourself\from Tanioka Sensei? response:	Aryaa?
context: We don't know Eto Sensei, do we?\Right, Nodame's Sensei is Tanioka Sensei, you know.\Hmmm...could he possibly mistake his student?\Don't joke around!!\Ohhh...Gorota...\Didn't you hear anything about yourself\from Tanioka Sensei?\Aryaa? response:	Noda Megumi!
context: Right, Nodame's Sensei is Tanioka Sensei, you know.\Hmmm...could he possibly mistake his student?\Don't joke around!!\Ohhh...Gorota...\Didn't you hear anything about yourself\from Tanioka Sensei?\Aryaa?\Noda Megumi! response:	I'll show that I can bring out your piano talent fully
context: Hmmm...could he possibly mistake his student?\Don't joke around!!\Ohhh...Gorota...\Didn't you hear anything about yourself\from Tanioka Sensei?\Aryaa?\Noda Megumi!\I'll show that I can bring out your piano talent fully response:	after being buried for these 3 years!
context: Don't joke around!!\Ohhh...Gorota...\Didn't you hear anything about yourself\from Tanioka Sensei?\Aryaa?\Noda Megumi!\I'll show that I can bring out your piano talent fully\after being buried for these 3 years! response:	Be thankful!
context: Ohhh...Gorota...\Didn't you hear anything about yourself\from Tanioka Sensei?\Aryaa?\Noda Megumi!\I'll show that I can bring out your piano talent fully\after being buried for these 3 years!\Be thankful! response:	Alright! Let's begin the lesson!
context: Didn't you hear anything about yourself\from Tanioka Sensei?\Aryaa?\Noda Megumi!\I'll show that I can bring out your piano talent fully\after being buried for these 3 years!\Be thankful!\Alright! Let's begin the lesson! response:	First, play for me the piece you've played before,
context: from Tanioka Sensei?\Aryaa?\Noda Megumi!\I'll show that I can bring out your piano talent fully\after being buried for these 3 years!\Be thankful!\Alright! Let's begin the lesson!\First, play for me the piece you've played before, response:	or one that you like, OK?
context: Aryaa?\Noda Megumi!\I'll show that I can bring out your piano talent fully\after being buried for these 3 years!\Be thankful!\Alright! Let's begin the lesson!\First, play for me the piece you've played before,\or one that you like, OK? response:	Come on...
context: Noda Megumi!\I'll show that I can bring out your piano talent fully\after being buried for these 3 years!\Be thankful!\Alright! Let's begin the lesson!\First, play for me the piece you've played before,\or one that you like, OK?\Come on... response:	Quick, sit down!
context: I'll show that I can bring out your piano talent fully\after being buried for these 3 years!\Be thankful!\Alright! Let's begin the lesson!\First, play for me the piece you've played before,\or one that you like, OK?\Come on...\Quick, sit down! response:	Huh, what's this? Music Score?
context: after being buried for these 3 years!\Be thankful!\Alright! Let's begin the lesson!\First, play for me the piece you've played before,\or one that you like, OK?\Come on...\Quick, sit down!\Huh, what's this? Music Score? response:	Fart Exercise...What's this??
context: Be thankful!\Alright! Let's begin the lesson!\First, play for me the piece you've played before,\or one that you like, OK?\Come on...\Quick, sit down!\Huh, what's this? Music Score?\Fart Exercise...What's this?? response:	It's the piece I've played before.
context: Alright! Let's begin the lesson!\First, play for me the piece you've played before,\or one that you like, OK?\Come on...\Quick, sit down!\Huh, what's this? Music Score?\Fart Exercise...What's this??\It's the piece I've played before. response:	Haaa???
context: First, play for me the piece you've played before,\or one that you like, OK?\Come on...\Quick, sit down!\Huh, what's this? Music Score?\Fart Exercise...What's this??\It's the piece I've played before.\Haaa??? response:	It's to be used for exercise in the kindergarten
context: or one that you like, OK?\Come on...\Quick, sit down!\Huh, what's this? Music Score?\Fart Exercise...What's this??\It's the piece I've played before.\Haaa???\It's to be used for exercise in the kindergarten response:	Together with Tanioka Sensei, I plan to complete it by the time
context: Come on...\Quick, sit down!\Huh, what's this? Music Score?\Fart Exercise...What's this??\It's the piece I've played before.\Haaa???\It's to be used for exercise in the kindergarten\Together with Tanioka Sensei, I plan to complete it by the time response:	of education internship, including the body movements too
context: Quick, sit down!\Huh, what's this? Music Score?\Fart Exercise...What's this??\It's the piece I've played before.\Haaa???\It's to be used for exercise in the kindergarten\Together with Tanioka Sensei, I plan to complete it by the time\of education internship, including the body movements too response:	What the heck were you doing, up to now??
context: Huh, what's this? Music Score?\Fart Exercise...What's this??\It's the piece I've played before.\Haaa???\It's to be used for exercise in the kindergarten\Together with Tanioka Sensei, I plan to complete it by the time\of education internship, including the body movements too\What the heck were you doing, up to now?? response:	Oi! Classic!
context: Fart Exercise...What's this??\It's the piece I've played before.\Haaa???\It's to be used for exercise in the kindergarten\Together with Tanioka Sensei, I plan to complete it by the time\of education internship, including the body movements too\What the heck were you doing, up to now??\Oi! Classic! response:	Play classical piece as normally!
context: It's the piece I've played before.\Haaa???\It's to be used for exercise in the kindergarten\Together with Tanioka Sensei, I plan to complete it by the time\of education internship, including the body movements too\What the heck were you doing, up to now??\Oi! Classic!\Play classical piece as normally! response:	What do you mean by normally?
context: Haaa???\It's to be used for exercise in the kindergarten\Together with Tanioka Sensei, I plan to complete it by the time\of education internship, including the body movements too\What the heck were you doing, up to now??\Oi! Classic!\Play classical piece as normally!\What do you mean by normally? response:	Like Chopin, or Liszt!!
