context: Ladies and gentlemen, good evening. response:	Wishing to express his feelings, the young man ran to the opera house,
context: Ladies and gentlemen, good evening.\Wishing to express his feelings, the young man ran to the opera house, response:	However, he is not yet aware.
context: Ladies and gentlemen, good evening.\Wishing to express his feelings, the young man ran to the opera house,\However, he is not yet aware. response:	Not yet aware of his father's sordid past, which lies concealed behind the broken engagement.
context: Ladies and gentlemen, good evening.\Wishing to express his feelings, the young man ran to the opera house,\However, he is not yet aware.\Not yet aware of his father's sordid past, which lies concealed behind the broken engagement. response:	Act 13: Haidee
context: Ladies and gentlemen, good evening.\Wishing to express his feelings, the young man ran to the opera house,\However, he is not yet aware.\Not yet aware of his father's sordid past, which lies concealed behind the broken engagement.\Act 13: Haidee response:	That man is a murderer!
context: Ladies and gentlemen, good evening.\Wishing to express his feelings, the young man ran to the opera house,\However, he is not yet aware.\Not yet aware of his father's sordid past, which lies concealed behind the broken engagement.\Act 13: Haidee\That man is a murderer! response:	I am surprised to see you come all this way, Your Honor.
context: Ladies and gentlemen, good evening.\Wishing to express his feelings, the young man ran to the opera house,\However, he is not yet aware.\Not yet aware of his father's sordid past, which lies concealed behind the broken engagement.\Act 13: Haidee\That man is a murderer!\I am surprised to see you come all this way, Your Honor. response:	Is this spectacle being provided as a sideshow to the opera?
context: Ladies and gentlemen, good evening.\Wishing to express his feelings, the young man ran to the opera house,\However, he is not yet aware.\Not yet aware of his father's sordid past, which lies concealed behind the broken engagement.\Act 13: Haidee\That man is a murderer!\I am surprised to see you come all this way, Your Honor.\Is this spectacle being provided as a sideshow to the opera? response:	I take it that you recognize this?
context: Wishing to express his feelings, the young man ran to the opera house,\However, he is not yet aware.\Not yet aware of his father's sordid past, which lies concealed behind the broken engagement.\Act 13: Haidee\That man is a murderer!\I am surprised to see you come all this way, Your Honor.\Is this spectacle being provided as a sideshow to the opera?\I take it that you recognize this? response:	As I recall, that is the ring that I gave to your wife.
context: However, he is not yet aware.\Not yet aware of his father's sordid past, which lies concealed behind the broken engagement.\Act 13: Haidee\That man is a murderer!\I am surprised to see you come all this way, Your Honor.\Is this spectacle being provided as a sideshow to the opera?\I take it that you recognize this?\As I recall, that is the ring that I gave to your wife. response:	It had poison hidden inside.
context: Not yet aware of his father's sordid past, which lies concealed behind the broken engagement.\Act 13: Haidee\That man is a murderer!\I am surprised to see you come all this way, Your Honor.\Is this spectacle being provided as a sideshow to the opera?\I take it that you recognize this?\As I recall, that is the ring that I gave to your wife.\It had poison hidden inside. response:	Goodness, what a fascinating contraption.
