context: My head! response:	My head is splitting open!
context: My head!\My head is splitting open! response:	Is this a new form of attack by the dark alliance?
context: My head!\My head is splitting open!\Is this a new form of attack by the dark alliance? response:	I told you not to get the regular size.
context: My head!\My head is splitting open!\Is this a new form of attack by the dark alliance?\I told you not to get the regular size. response:	I award you the privilege to enjoy half.
context: My head!\My head is splitting open!\Is this a new form of attack by the dark alliance?\I told you not to get the regular size.\I award you the privilege to enjoy half. response:	Look here.
context: My head!\My head is splitting open!\Is this a new form of attack by the dark alliance?\I told you not to get the regular size.\I award you the privilege to enjoy half.\Look here. response:	And so, our day alone together began.
context: My head!\My head is splitting open!\Is this a new form of attack by the dark alliance?\I told you not to get the regular size.\I award you the privilege to enjoy half.\Look here.\And so, our day alone together began. response:	Our one, precious day together.
context: My head!\My head is splitting open!\Is this a new form of attack by the dark alliance?\I told you not to get the regular size.\I award you the privilege to enjoy half.\Look here.\And so, our day alone together began.\Our one, precious day together. response:	Hey, why doesn't he have his dog with him?
context: My head is splitting open!\Is this a new form of attack by the dark alliance?\I told you not to get the regular size.\I award you the privilege to enjoy half.\Look here.\And so, our day alone together began.\Our one, precious day together.\Hey, why doesn't he have his dog with him? response:	Triangle... of Missed Encounters
context: Is this a new form of attack by the dark alliance?\I told you not to get the regular size.\I award you the privilege to enjoy half.\Look here.\And so, our day alone together began.\Our one, precious day together.\Hey, why doesn't he have his dog with him?\Triangle... of Missed Encounters response:	Mr. Saigo doesn't come with his dog in Kagoshima.
context: I told you not to get the regular size.\I award you the privilege to enjoy half.\Look here.\And so, our day alone together began.\Our one, precious day together.\Hey, why doesn't he have his dog with him?\Triangle... of Missed Encounters\Mr. Saigo doesn't come with his dog in Kagoshima. response:	How come? This is Mr. Saigo.
context: I award you the privilege to enjoy half.\Look here.\And so, our day alone together began.\Our one, precious day together.\Hey, why doesn't he have his dog with him?\Triangle... of Missed Encounters\Mr. Saigo doesn't come with his dog in Kagoshima.\How come? This is Mr. Saigo. response:	Everyone knows Mr. Saigo comes with a dog.
context: Look here.\And so, our day alone together began.\Our one, precious day together.\Hey, why doesn't he have his dog with him?\Triangle... of Missed Encounters\Mr. Saigo doesn't come with his dog in Kagoshima.\How come? This is Mr. Saigo.\Everyone knows Mr. Saigo comes with a dog. response:	I don't see what all the fuss is about...
context: And so, our day alone together began.\Our one, precious day together.\Hey, why doesn't he have his dog with him?\Triangle... of Missed Encounters\Mr. Saigo doesn't come with his dog in Kagoshima.\How come? This is Mr. Saigo.\Everyone knows Mr. Saigo comes with a dog.\I don't see what all the fuss is about... response:	What?
context: Our one, precious day together.\Hey, why doesn't he have his dog with him?\Triangle... of Missed Encounters\Mr. Saigo doesn't come with his dog in Kagoshima.\How come? This is Mr. Saigo.\Everyone knows Mr. Saigo comes with a dog.\I don't see what all the fuss is about...\What? response:	Hey, there's a dog way over there! There's a dog!
context: Hey, why doesn't he have his dog with him?\Triangle... of Missed Encounters\Mr. Saigo doesn't come with his dog in Kagoshima.\How come? This is Mr. Saigo.\Everyone knows Mr. Saigo comes with a dog.\I don't see what all the fuss is about...\What?\Hey, there's a dog way over there! There's a dog! response:	Okay, I'm taking the picture.
context: Triangle... of Missed Encounters\Mr. Saigo doesn't come with his dog in Kagoshima.\How come? This is Mr. Saigo.\Everyone knows Mr. Saigo comes with a dog.\I don't see what all the fuss is about...\What?\Hey, there's a dog way over there! There's a dog!\Okay, I'm taking the picture. response:	Say cheese.
context: Mr. Saigo doesn't come with his dog in Kagoshima.\How come? This is Mr. Saigo.\Everyone knows Mr. Saigo comes with a dog.\I don't see what all the fuss is about...\What?\Hey, there's a dog way over there! There's a dog!\Okay, I'm taking the picture.\Say cheese. response:	What are you doing here?!
context: How come? This is Mr. Saigo.\Everyone knows Mr. Saigo comes with a dog.\I don't see what all the fuss is about...\What?\Hey, there's a dog way over there! There's a dog!\Okay, I'm taking the picture.\Say cheese.\What are you doing here?! response:	I got separated from my group.
context: Everyone knows Mr. Saigo comes with a dog.\I don't see what all the fuss is about...\What?\Hey, there's a dog way over there! There's a dog!\Okay, I'm taking the picture.\Say cheese.\What are you doing here?!\I got separated from my group. response:	Where did you last see them?
context: I don't see what all the fuss is about...\What?\Hey, there's a dog way over there! There's a dog!\Okay, I'm taking the picture.\Say cheese.\What are you doing here?!\I got separated from my group.\Where did you last see them? response:	At the souvenir shop.
context: What?\Hey, there's a dog way over there! There's a dog!\Okay, I'm taking the picture.\Say cheese.\What are you doing here?!\I got separated from my group.\Where did you last see them?\At the souvenir shop. response:	Try calling them on your cell phone.
context: Hey, there's a dog way over there! There's a dog!\Okay, I'm taking the picture.\Say cheese.\What are you doing here?!\I got separated from my group.\Where did you last see them?\At the souvenir shop.\Try calling them on your cell phone. response:	She's finally awake.
context: Okay, I'm taking the picture.\Say cheese.\What are you doing here?!\I got separated from my group.\Where did you last see them?\At the souvenir shop.\Try calling them on your cell phone.\She's finally awake. response:	What a good idea!
context: Say cheese.\What are you doing here?!\I got separated from my group.\Where did you last see them?\At the souvenir shop.\Try calling them on your cell phone.\She's finally awake.\What a good idea! response:	Hello?
context: What are you doing here?!\I got separated from my group.\Where did you last see them?\At the souvenir shop.\Try calling them on your cell phone.\She's finally awake.\What a good idea!\Hello? response:	What is it? I'm on after-exam vacation. Why are you calling so early?
context: I got separated from my group.\Where did you last see them?\At the souvenir shop.\Try calling them on your cell phone.\She's finally awake.\What a good idea!\Hello?\What is it? I'm on after-exam vacation. Why are you calling so early? response:	Did you get my voice mail?
context: Where did you last see them?\At the souvenir shop.\Try calling them on your cell phone.\She's finally awake.\What a good idea!\Hello?\What is it? I'm on after-exam vacation. Why are you calling so early?\Did you get my voice mail? response:	Do not go and use my voice mail system without permission...
context: At the souvenir shop.\Try calling them on your cell phone.\She's finally awake.\What a good idea!\Hello?\What is it? I'm on after-exam vacation. Why are you calling so early?\Did you get my voice mail?\Do not go and use my voice mail system without permission... response:	Oh, be quiet! Never mind, and just delete it.
context: Try calling them on your cell phone.\She's finally awake.\What a good idea!\Hello?\What is it? I'm on after-exam vacation. Why are you calling so early?\Did you get my voice mail?\Do not go and use my voice mail system without permission...\Oh, be quiet! Never mind, and just delete it. response:	Delete what? Your existence on this Earth?
context: She's finally awake.\What a good idea!\Hello?\What is it? I'm on after-exam vacation. Why are you calling so early?\Did you get my voice mail?\Do not go and use my voice mail system without permission...\Oh, be quiet! Never mind, and just delete it.\Delete what? Your existence on this Earth? response:	No, that page on the internet.
