context: Abe no Seimei. response:	An onmyoji from the Heian era.
context: Abe no Seimei.\An onmyoji from the Heian era. response:	He was skilled in both astronomy and astrology,
context: Abe no Seimei.\An onmyoji from the Heian era.\He was skilled in both astronomy and astrology, response:	using many different types of familiars.
context: Abe no Seimei.\An onmyoji from the Heian era.\He was skilled in both astronomy and astrology,\using many different types of familiars. response:	He was the one who gave Kohaku his name, supposedly.
context: Abe no Seimei.\An onmyoji from the Heian era.\He was skilled in both astronomy and astrology,\using many different types of familiars.\He was the one who gave Kohaku his name, supposedly. response:	So, our research indicates
context: Abe no Seimei.\An onmyoji from the Heian era.\He was skilled in both astronomy and astrology,\using many different types of familiars.\He was the one who gave Kohaku his name, supposedly.\So, our research indicates response:	that it's a safe assumption that the Miyako family is descended from Abe no Seimei.
context: Abe no Seimei.\An onmyoji from the Heian era.\He was skilled in both astronomy and astrology,\using many different types of familiars.\He was the one who gave Kohaku his name, supposedly.\So, our research indicates\that it's a safe assumption that the Miyako family is descended from Abe no Seimei. response:	I saw that coming.
context: Abe no Seimei.\An onmyoji from the Heian era.\He was skilled in both astronomy and astrology,\using many different types of familiars.\He was the one who gave Kohaku his name, supposedly.\So, our research indicates\that it's a safe assumption that the Miyako family is descended from Abe no Seimei.\I saw that coming. response:	We also believe that the genealogy chart the Miyako family possesses is accurate.
context: An onmyoji from the Heian era.\He was skilled in both astronomy and astrology,\using many different types of familiars.\He was the one who gave Kohaku his name, supposedly.\So, our research indicates\that it's a safe assumption that the Miyako family is descended from Abe no Seimei.\I saw that coming.\We also believe that the genealogy chart the Miyako family possesses is accurate. response:	September 12th Nocturnal Community Relations Section
context: He was skilled in both astronomy and astrology,\using many different types of familiars.\He was the one who gave Kohaku his name, supposedly.\So, our research indicates\that it's a safe assumption that the Miyako family is descended from Abe no Seimei.\I saw that coming.\We also believe that the genealogy chart the Miyako family possesses is accurate.\September 12th Nocturnal Community Relations Section response:	Kamata Sachiko Administrative Scrivener
context: using many different types of familiars.\He was the one who gave Kohaku his name, supposedly.\So, our research indicates\that it's a safe assumption that the Miyako family is descended from Abe no Seimei.\I saw that coming.\We also believe that the genealogy chart the Miyako family possesses is accurate.\September 12th Nocturnal Community Relations Section\Kamata Sachiko Administrative Scrivener response:	But then, where did the name Miyako come from?
context: He was the one who gave Kohaku his name, supposedly.\So, our research indicates\that it's a safe assumption that the Miyako family is descended from Abe no Seimei.\I saw that coming.\We also believe that the genealogy chart the Miyako family possesses is accurate.\September 12th Nocturnal Community Relations Section\Kamata Sachiko Administrative Scrivener\But then, where did the name Miyako come from? response:	To keep people from finding out, right?
context: So, our research indicates\that it's a safe assumption that the Miyako family is descended from Abe no Seimei.\I saw that coming.\We also believe that the genealogy chart the Miyako family possesses is accurate.\September 12th Nocturnal Community Relations Section\Kamata Sachiko Administrative Scrivener\But then, where did the name Miyako come from?\To keep people from finding out, right? response:	That happens a lot in this business.
context: that it's a safe assumption that the Miyako family is descended from Abe no Seimei.\I saw that coming.\We also believe that the genealogy chart the Miyako family possesses is accurate.\September 12th Nocturnal Community Relations Section\Kamata Sachiko Administrative Scrivener\But then, where did the name Miyako come from?\To keep people from finding out, right?\That happens a lot in this business. response:	You're absolutely sure about this?
context: I saw that coming.\We also believe that the genealogy chart the Miyako family possesses is accurate.\September 12th Nocturnal Community Relations Section\Kamata Sachiko Administrative Scrivener\But then, where did the name Miyako come from?\To keep people from finding out, right?\That happens a lot in this business.\You're absolutely sure about this? response:	Don't worry.
context: We also believe that the genealogy chart the Miyako family possesses is accurate.\September 12th Nocturnal Community Relations Section\Kamata Sachiko Administrative Scrivener\But then, where did the name Miyako come from?\To keep people from finding out, right?\That happens a lot in this business.\You're absolutely sure about this?\Don't worry. response:	Coincidentally, I happened to meet someone who's a direct descendant.
context: September 12th Nocturnal Community Relations Section\Kamata Sachiko Administrative Scrivener\But then, where did the name Miyako come from?\To keep people from finding out, right?\That happens a lot in this business.\You're absolutely sure about this?\Don't worry.\Coincidentally, I happened to meet someone who's a direct descendant. response:	They happened to invite me to their library,
context: Kamata Sachiko Administrative Scrivener\But then, where did the name Miyako come from?\To keep people from finding out, right?\That happens a lot in this business.\You're absolutely sure about this?\Don't worry.\Coincidentally, I happened to meet someone who's a direct descendant.\They happened to invite me to their library, response:	where they happened to leave the relevant documents on a desk,
context: But then, where did the name Miyako come from?\To keep people from finding out, right?\That happens a lot in this business.\You're absolutely sure about this?\Don't worry.\Coincidentally, I happened to meet someone who's a direct descendant.\They happened to invite me to their library,\where they happened to leave the relevant documents on a desk, response:	and I happened to get a chance to see them.
context: To keep people from finding out, right?\That happens a lot in this business.\You're absolutely sure about this?\Don't worry.\Coincidentally, I happened to meet someone who's a direct descendant.\They happened to invite me to their library,\where they happened to leave the relevant documents on a desk,\and I happened to get a chance to see them. response:	You're terrifying.
context: That happens a lot in this business.\You're absolutely sure about this?\Don't worry.\Coincidentally, I happened to meet someone who's a direct descendant.\They happened to invite me to their library,\where they happened to leave the relevant documents on a desk,\and I happened to get a chance to see them.\You're terrifying. response:	Which means...
context: You're absolutely sure about this?\Don't worry.\Coincidentally, I happened to meet someone who's a direct descendant.\They happened to invite me to their library,\where they happened to leave the relevant documents on a desk,\and I happened to get a chance to see them.\You're terrifying.\Which means... response:	Your knack for languages hasn't changed a bit,
context: Don't worry.\Coincidentally, I happened to meet someone who's a direct descendant.\They happened to invite me to their library,\where they happened to leave the relevant documents on a desk,\and I happened to get a chance to see them.\You're terrifying.\Which means...\Your knack for languages hasn't changed a bit, response:	Abe no Seimei.
context: Coincidentally, I happened to meet someone who's a direct descendant.\They happened to invite me to their library,\where they happened to leave the relevant documents on a desk,\and I happened to get a chance to see them.\You're terrifying.\Which means...\Your knack for languages hasn't changed a bit,\Abe no Seimei. response:	What he said was...
context: They happened to invite me to their library,\where they happened to leave the relevant documents on a desk,\and I happened to get a chance to see them.\You're terrifying.\Which means...\Your knack for languages hasn't changed a bit,\Abe no Seimei.\What he said was... response:	True, probably.
context: where they happened to leave the relevant documents on a desk,\and I happened to get a chance to see them.\You're terrifying.\Which means...\Your knack for languages hasn't changed a bit,\Abe no Seimei.\What he said was...\True, probably. response:	You may happen to have inherited an especially strong version of Seimei's power.
context: and I happened to get a chance to see them.\You're terrifying.\Which means...\Your knack for languages hasn't changed a bit,\Abe no Seimei.\What he said was...\True, probably.\You may happen to have inherited an especially strong version of Seimei's power. response:	Do you think so?
context: You're terrifying.\Which means...\Your knack for languages hasn't changed a bit,\Abe no Seimei.\What he said was...\True, probably.\You may happen to have inherited an especially strong version of Seimei's power.\Do you think so? response:	Kamata-san, this is my sister's paperwork.
context: Which means...\Your knack for languages hasn't changed a bit,\Abe no Seimei.\What he said was...\True, probably.\You may happen to have inherited an especially strong version of Seimei's power.\Do you think so?\Kamata-san, this is my sister's paperwork. response:	Thanks!
context: Your knack for languages hasn't changed a bit,\Abe no Seimei.\What he said was...\True, probably.\You may happen to have inherited an especially strong version of Seimei's power.\Do you think so?\Kamata-san, this is my sister's paperwork.\Thanks! response:	Your sister's paperwork?
context: Abe no Seimei.\What he said was...\True, probably.\You may happen to have inherited an especially strong version of Seimei's power.\Do you think so?\Kamata-san, this is my sister's paperwork.\Thanks!\Your sister's paperwork? response:	Yeah.
context: What he said was...\True, probably.\You may happen to have inherited an especially strong version of Seimei's power.\Do you think so?\Kamata-san, this is my sister's paperwork.\Thanks!\Your sister's paperwork?\Yeah. response:	The way she has to return to society is a bit unusual.
context: True, probably.\You may happen to have inherited an especially strong version of Seimei's power.\Do you think so?\Kamata-san, this is my sister's paperwork.\Thanks!\Your sister's paperwork?\Yeah.\The way she has to return to society is a bit unusual. response:	We decide if we use official channels,
