context: This woman, Kurami Zell, has won all her games in the tournament. response:	Is there no one left to challenge her?
context: This woman, Kurami Zell, has won all her games in the tournament.\Is there no one left to challenge her? response:	Wait, Sora. Are you serious?
context: This woman, Kurami Zell, has won all her games in the tournament.\Is there no one left to challenge her?\Wait, Sora. Are you serious? response:	You're going to crash the coronation?
context: This woman, Kurami Zell, has won all her games in the tournament.\Is there no one left to challenge her?\Wait, Sora. Are you serious?\You're going to crash the coronation? response:	I just got reborn into this world.
context: This woman, Kurami Zell, has won all her games in the tournament.\Is there no one left to challenge her?\Wait, Sora. Are you serious?\You're going to crash the coronation?\I just got reborn into this world. response:	I can't lose my place to live.
context: This woman, Kurami Zell, has won all her games in the tournament.\Is there no one left to challenge her?\Wait, Sora. Are you serious?\You're going to crash the coronation?\I just got reborn into this world.\I can't lose my place to live. response:	But...
context: This woman, Kurami Zell, has won all her games in the tournament.\Is there no one left to challenge her?\Wait, Sora. Are you serious?\You're going to crash the coronation?\I just got reborn into this world.\I can't lose my place to live.\But... response:	All right... I'll just become king,
context: This woman, Kurami Zell, has won all her games in the tournament.\Is there no one left to challenge her?\Wait, Sora. Are you serious?\You're going to crash the coronation?\I just got reborn into this world.\I can't lose my place to live.\But...\All right... I'll just become king, response:	and take back our lost territory!
context: Is there no one left to challenge her?\Wait, Sora. Are you serious?\You're going to crash the coronation?\I just got reborn into this world.\I can't lose my place to live.\But...\All right... I'll just become king,\and take back our lost territory! response:	Then, in accordance with the last wish of the former king,
context: Wait, Sora. Are you serious?\You're going to crash the coronation?\I just got reborn into this world.\I can't lose my place to live.\But...\All right... I'll just become king,\and take back our lost territory!\Then, in accordance with the last wish of the former king, response:	Expert
context: You're going to crash the coronation?\I just got reborn into this world.\I can't lose my place to live.\But...\All right... I'll just become king,\and take back our lost territory!\Then, in accordance with the last wish of the former king,\Expert response:	I will crown Kurami Zell as our new king.
context: I just got reborn into this world.\I can't lose my place to live.\But...\All right... I'll just become king,\and take back our lost territory!\Then, in accordance with the last wish of the former king,\Expert\I will crown Kurami Zell as our new king. response:	If anyone objects, speak now or forever hold your
context: I can't lose my place to live.\But...\All right... I'll just become king,\and take back our lost territory!\Then, in accordance with the last wish of the former king,\Expert\I will crown Kurami Zell as our new king.\If anyone objects, speak now or forever hold your response:	Objection!
context: But...\All right... I'll just become king,\and take back our lost territory!\Then, in accordance with the last wish of the former king,\Expert\I will crown Kurami Zell as our new king.\If anyone objects, speak now or forever hold your\Objection! response:	Objection! I object!
context: All right... I'll just become king,\and take back our lost territory!\Then, in accordance with the last wish of the former king,\Expert\I will crown Kurami Zell as our new king.\If anyone objects, speak now or forever hold your\Objection!\Objection! I object! response:	A-Are you saying you wish to challenge her?
context: and take back our lost territory!\Then, in accordance with the last wish of the former king,\Expert\I will crown Kurami Zell as our new king.\If anyone objects, speak now or forever hold your\Objection!\Objection! I object!\A-Are you saying you wish to challenge her? response:	Yup.
context: Then, in accordance with the last wish of the former king,\Expert\I will crown Kurami Zell as our new king.\If anyone objects, speak now or forever hold your\Objection!\Objection! I object!\A-Are you saying you wish to challenge her?\Yup. response:	Sending your servant after me just because you lost?
context: Expert\I will crown Kurami Zell as our new king.\If anyone objects, speak now or forever hold your\Objection!\Objection! I object!\A-Are you saying you wish to challenge her?\Yup.\Sending your servant after me just because you lost? response:	This isn't a place to bring children to play, Stephanie Dola.
context: I will crown Kurami Zell as our new king.\If anyone objects, speak now or forever hold your\Objection!\Objection! I object!\A-Are you saying you wish to challenge her?\Yup.\Sending your servant after me just because you lost?\This isn't a place to bring children to play, Stephanie Dola. response:	It's not a place where we can hand the throne to a con artist, either.
context: If anyone objects, speak now or forever hold your\Objection!\Objection! I object!\A-Are you saying you wish to challenge her?\Yup.\Sending your servant after me just because you lost?\This isn't a place to bring children to play, Stephanie Dola.\It's not a place where we can hand the throne to a con artist, either. response:	Especially one who's getting help from another country.
context: Objection!\Objection! I object!\A-Are you saying you wish to challenge her?\Yup.\Sending your servant after me just because you lost?\This isn't a place to bring children to play, Stephanie Dola.\It's not a place where we can hand the throne to a con artist, either.\Especially one who's getting help from another country. response:	You see any, Shiro?
