context: What do you think? response:	It's really warm!
context: What do you think?\It's really warm! response:	Really feels like summer...
context: What do you think?\It's really warm!\Really feels like summer... response:	Make sure you get your fill of it!
context: What do you think?\It's really warm!\Really feels like summer...\Make sure you get your fill of it! response:	You won't be touching any warm surfaces for a while, after this.
context: What do you think?\It's really warm!\Really feels like summer...\Make sure you get your fill of it!\You won't be touching any warm surfaces for a while, after this. response:	Hey.
context: What do you think?\It's really warm!\Really feels like summer...\Make sure you get your fill of it!\You won't be touching any warm surfaces for a while, after this.\Hey. response:	What?
context: What do you think?\It's really warm!\Really feels like summer...\Make sure you get your fill of it!\You won't be touching any warm surfaces for a while, after this.\Hey.\What? response:	Let's do this in Antarctica, too.
context: What do you think?\It's really warm!\Really feels like summer...\Make sure you get your fill of it!\You won't be touching any warm surfaces for a while, after this.\Hey.\What?\Let's do this in Antarctica, too. response:	Well, shall we?
context: It's really warm!\Really feels like summer...\Make sure you get your fill of it!\You won't be touching any warm surfaces for a while, after this.\Hey.\What?\Let's do this in Antarctica, too.\Well, shall we? response:	Ready to sail!
context: Really feels like summer...\Make sure you get your fill of it!\You won't be touching any warm surfaces for a while, after this.\Hey.\What?\Let's do this in Antarctica, too.\Well, shall we?\Ready to sail! response:	It's done, huh?
context: Make sure you get your fill of it!\You won't be touching any warm surfaces for a while, after this.\Hey.\What?\Let's do this in Antarctica, too.\Well, shall we?\Ready to sail!\It's done, huh? response:	No.
context: You won't be touching any warm surfaces for a while, after this.\Hey.\What?\Let's do this in Antarctica, too.\Well, shall we?\Ready to sail!\It's done, huh?\No. response:	We did it.
context: Hey.\What?\Let's do this in Antarctica, too.\Well, shall we?\Ready to sail!\It's done, huh?\No.\We did it. response:	The boat left the land.
context: What?\Let's do this in Antarctica, too.\Well, shall we?\Ready to sail!\It's done, huh?\No.\We did it.\The boat left the land. response:	I don't know what this trip will mean in the end.
context: Let's do this in Antarctica, too.\Well, shall we?\Ready to sail!\It's done, huh?\No.\We did it.\The boat left the land.\I don't know what this trip will mean in the end. response:	We'll be taking time off from school, missing tests...
context: Well, shall we?\Ready to sail!\It's done, huh?\No.\We did it.\The boat left the land.\I don't know what this trip will mean in the end.\We'll be taking time off from school, missing tests... response:	It might even affect our entrance exams.
context: Ready to sail!\It's done, huh?\No.\We did it.\The boat left the land.\I don't know what this trip will mean in the end.\We'll be taking time off from school, missing tests...\It might even affect our entrance exams. response:	But as of now,
context: It's done, huh?\No.\We did it.\The boat left the land.\I don't know what this trip will mean in the end.\We'll be taking time off from school, missing tests...\It might even affect our entrance exams.\But as of now, response:	we are no longer high school students who can never take a step forward.
context: No.\We did it.\The boat left the land.\I don't know what this trip will mean in the end.\We'll be taking time off from school, missing tests...\It might even affect our entrance exams.\But as of now,\we are no longer high school students who can never take a step forward. response:	We are not 17-year-olds and 16-year-olds who try but accomplish nothing.
context: We did it.\The boat left the land.\I don't know what this trip will mean in the end.\We'll be taking time off from school, missing tests...\It might even affect our entrance exams.\But as of now,\we are no longer high school students who can never take a step forward.\We are not 17-year-olds and 16-year-olds who try but accomplish nothing. response:	It's all ocean!
context: The boat left the land.\I don't know what this trip will mean in the end.\We'll be taking time off from school, missing tests...\It might even affect our entrance exams.\But as of now,\we are no longer high school students who can never take a step forward.\We are not 17-year-olds and 16-year-olds who try but accomplish nothing.\It's all ocean! response:	Of course it is.
context: I don't know what this trip will mean in the end.\We'll be taking time off from school, missing tests...\It might even affect our entrance exams.\But as of now,\we are no longer high school students who can never take a step forward.\We are not 17-year-olds and 16-year-olds who try but accomplish nothing.\It's all ocean!\Of course it is. response:	The world really is big, isn't it?
context: We'll be taking time off from school, missing tests...\It might even affect our entrance exams.\But as of now,\we are no longer high school students who can never take a step forward.\We are not 17-year-olds and 16-year-olds who try but accomplish nothing.\It's all ocean!\Of course it is.\The world really is big, isn't it? response:	That's enough!
context: It might even affect our entrance exams.\But as of now,\we are no longer high school students who can never take a step forward.\We are not 17-year-olds and 16-year-olds who try but accomplish nothing.\It's all ocean!\Of course it is.\The world really is big, isn't it?\That's enough! response:	Hey, guys, I'm taking a picture!
context: But as of now,\we are no longer high school students who can never take a step forward.\We are not 17-year-olds and 16-year-olds who try but accomplish nothing.\It's all ocean!\Of course it is.\The world really is big, isn't it?\That's enough!\Hey, guys, I'm taking a picture! response:	Look up here!
context: we are no longer high school students who can never take a step forward.\We are not 17-year-olds and 16-year-olds who try but accomplish nothing.\It's all ocean!\Of course it is.\The world really is big, isn't it?\That's enough!\Hey, guys, I'm taking a picture!\Look up here! response:	Okay, say cheese!
context: We are not 17-year-olds and 16-year-olds who try but accomplish nothing.\It's all ocean!\Of course it is.\The world really is big, isn't it?\That's enough!\Hey, guys, I'm taking a picture!\Look up here!\Okay, say cheese! response:	A Place Further Than the Universe
context: It's all ocean!\Of course it is.\The world really is big, isn't it?\That's enough!\Hey, guys, I'm taking a picture!\Look up here!\Okay, say cheese!\A Place Further Than the Universe response:	Howling, Maddening, Screaming
context: Of course it is.\The world really is big, isn't it?\That's enough!\Hey, guys, I'm taking a picture!\Look up here!\Okay, say cheese!\A Place Further Than the Universe\Howling, Maddening, Screaming response:	20 Likes 12 Comments
context: The world really is big, isn't it?\That's enough!\Hey, guys, I'm taking a picture!\Look up here!\Okay, say cheese!\A Place Further Than the Universe\Howling, Maddening, Screaming\20 Likes 12 Comments response:	LaundryDuty MysterySolved ArmyNice
context: That's enough!\Hey, guys, I'm taking a picture!\Look up here!\Okay, say cheese!\A Place Further Than the Universe\Howling, Maddening, Screaming\20 Likes 12 Comments\LaundryDuty MysterySolved ArmyNice response:	High school girls are conducting intervews!! i. *Please explain what your job is. One person is enough.
context: Hey, guys, I'm taking a picture!\Look up here!\Okay, say cheese!\A Place Further Than the Universe\Howling, Maddening, Screaming\20 Likes 12 Comments\LaundryDuty MysterySolved ArmyNice\High school girls are conducting intervews!! i. *Please explain what your job is. One person is enough. response:	Ready to go?
context: Look up here!\Okay, say cheese!\A Place Further Than the Universe\Howling, Maddening, Screaming\20 Likes 12 Comments\LaundryDuty MysterySolved ArmyNice\High school girls are conducting intervews!! i. *Please explain what your job is. One person is enough.\Ready to go? response:	I see! Thank you very much!
context: Okay, say cheese!\A Place Further Than the Universe\Howling, Maddening, Screaming\20 Likes 12 Comments\LaundryDuty MysterySolved ArmyNice\High school girls are conducting intervews!! i. *Please explain what your job is. One person is enough.\Ready to go?\I see! Thank you very much! response:	Yeah, yeah. Very cute.
context: A Place Further Than the Universe\Howling, Maddening, Screaming\20 Likes 12 Comments\LaundryDuty MysterySolved ArmyNice\High school girls are conducting intervews!! i. *Please explain what your job is. One person is enough.\Ready to go?\I see! Thank you very much!\Yeah, yeah. Very cute. response:	We're not live, so you can do it again...
context: Howling, Maddening, Screaming\20 Likes 12 Comments\LaundryDuty MysterySolved ArmyNice\High school girls are conducting intervews!! i. *Please explain what your job is. One person is enough.\Ready to go?\I see! Thank you very much!\Yeah, yeah. Very cute.\We're not live, so you can do it again... response:	We rocked!
context: 20 Likes 12 Comments\LaundryDuty MysterySolved ArmyNice\High school girls are conducting intervews!! i. *Please explain what your job is. One person is enough.\Ready to go?\I see! Thank you very much!\Yeah, yeah. Very cute.\We're not live, so you can do it again...\We rocked! response:	They said the waves were gonna get pretty rough...
context: LaundryDuty MysterySolved ArmyNice\High school girls are conducting intervews!! i. *Please explain what your job is. One person is enough.\Ready to go?\I see! Thank you very much!\Yeah, yeah. Very cute.\We're not live, so you can do it again...\We rocked!\They said the waves were gonna get pretty rough... response:	We really need to be efficient with our time.
context: High school girls are conducting intervews!! i. *Please explain what your job is. One person is enough.\Ready to go?\I see! Thank you very much!\Yeah, yeah. Very cute.\We're not live, so you can do it again...\We rocked!\They said the waves were gonna get pretty rough...\We really need to be efficient with our time. response:	They wanted us to help out later, right?
context: Ready to go?\I see! Thank you very much!\Yeah, yeah. Very cute.\We're not live, so you can do it again...\We rocked!\They said the waves were gonna get pretty rough...\We really need to be efficient with our time.\They wanted us to help out later, right? response:	Yes, that's right.
context: I see! Thank you very much!\Yeah, yeah. Very cute.\We're not live, so you can do it again...\We rocked!\They said the waves were gonna get pretty rough...\We really need to be efficient with our time.\They wanted us to help out later, right?\Yes, that's right. response:	Why didn't you wake me?
