context: What'cha doing? response:	-Hey! -Hey!
context: What'cha doing?\-Hey! -Hey! response:	Shh! Keep quiet! You might knock them over!
context: What'cha doing?\-Hey! -Hey!\Shh! Keep quiet! You might knock them over! response:	You could knock them over!
context: What'cha doing?\-Hey! -Hey!\Shh! Keep quiet! You might knock them over!\You could knock them over! response:	Oh, these are dominos, are they?
context: What'cha doing?\-Hey! -Hey!\Shh! Keep quiet! You might knock them over!\You could knock them over!\Oh, these are dominos, are they? response:	What do you mean to do by lining so many of them up like this?
context: What'cha doing?\-Hey! -Hey!\Shh! Keep quiet! You might knock them over!\You could knock them over!\Oh, these are dominos, are they?\What do you mean to do by lining so many of them up like this? response:	What are we going to do, you ask?!
context: What'cha doing?\-Hey! -Hey!\Shh! Keep quiet! You might knock them over!\You could knock them over!\Oh, these are dominos, are they?\What do you mean to do by lining so many of them up like this?\What are we going to do, you ask?! response:	You ask?!
context: What'cha doing?\-Hey! -Hey!\Shh! Keep quiet! You might knock them over!\You could knock them over!\Oh, these are dominos, are they?\What do you mean to do by lining so many of them up like this?\What are we going to do, you ask?!\You ask?! response:	As you can see, it's so we can knock them over!
context: -Hey! -Hey!\Shh! Keep quiet! You might knock them over!\You could knock them over!\Oh, these are dominos, are they?\What do you mean to do by lining so many of them up like this?\What are we going to do, you ask?!\You ask?!\As you can see, it's so we can knock them over! response:	To knock them over!
context: Shh! Keep quiet! You might knock them over!\You could knock them over!\Oh, these are dominos, are they?\What do you mean to do by lining so many of them up like this?\What are we going to do, you ask?!\You ask?!\As you can see, it's so we can knock them over!\To knock them over! response:	Where's the sense in lining them up to knock them over?
context: You could knock them over!\Oh, these are dominos, are they?\What do you mean to do by lining so many of them up like this?\What are we going to do, you ask?!\You ask?!\As you can see, it's so we can knock them over!\To knock them over!\Where's the sense in lining them up to knock them over? response:	That is a difficult question, isn't it?
context: Oh, these are dominos, are they?\What do you mean to do by lining so many of them up like this?\What are we going to do, you ask?!\You ask?!\As you can see, it's so we can knock them over!\To knock them over!\Where's the sense in lining them up to knock them over?\That is a difficult question, isn't it? response:	Isn't it?
context: What do you mean to do by lining so many of them up like this?\What are we going to do, you ask?!\You ask?!\As you can see, it's so we can knock them over!\To knock them over!\Where's the sense in lining them up to knock them over?\That is a difficult question, isn't it?\Isn't it? response:	If I had to say, it's because there are dominos here!
