context: It's about that time. response:	Indeed.
context: It's about that time.\Indeed. response:	Look, here he is now.
context: It's about that time.\Indeed.\Look, here he is now. response:	Emma!
context: It's about that time.\Indeed.\Look, here he is now.\Emma! response:	Oh!
context: It's about that time.\Indeed.\Look, here he is now.\Emma!\Oh! response:	Uh... Here, I'll take this.
context: It's about that time.\Indeed.\Look, here he is now.\Emma!\Oh!\Uh... Here, I'll take this. response:	Don't worry about the change.
context: It's about that time.\Indeed.\Look, here he is now.\Emma!\Oh!\Uh... Here, I'll take this.\Don't worry about the change. response:	He doesn't need to buy anything...
context: It's about that time.\Indeed.\Look, here he is now.\Emma!\Oh!\Uh... Here, I'll take this.\Don't worry about the change.\He doesn't need to buy anything... response:	Episode 2 Two Worlds
context: Indeed.\Look, here he is now.\Emma!\Oh!\Uh... Here, I'll take this.\Don't worry about the change.\He doesn't need to buy anything...\Episode 2 Two Worlds response:	Thank you.
context: Look, here he is now.\Emma!\Oh!\Uh... Here, I'll take this.\Don't worry about the change.\He doesn't need to buy anything...\Episode 2 Two Worlds\Thank you. response:	Not at all. I was coming here anyway...
context: Emma!\Oh!\Uh... Here, I'll take this.\Don't worry about the change.\He doesn't need to buy anything...\Episode 2 Two Worlds\Thank you.\Not at all. I was coming here anyway... response:	Oh, I have to return your gloves. I'll get them for you.
context: Oh!\Uh... Here, I'll take this.\Don't worry about the change.\He doesn't need to buy anything...\Episode 2 Two Worlds\Thank you.\Not at all. I was coming here anyway...\Oh, I have to return your gloves. I'll get them for you. response:	I-I'm sorry...
context: Uh... Here, I'll take this.\Don't worry about the change.\He doesn't need to buy anything...\Episode 2 Two Worlds\Thank you.\Not at all. I was coming here anyway...\Oh, I have to return your gloves. I'll get them for you.\I-I'm sorry... response:	I'll collect the gloves another time.
context: Don't worry about the change.\He doesn't need to buy anything...\Episode 2 Two Worlds\Thank you.\Not at all. I was coming here anyway...\Oh, I have to return your gloves. I'll get them for you.\I-I'm sorry...\I'll collect the gloves another time. response:	But...
context: He doesn't need to buy anything...\Episode 2 Two Worlds\Thank you.\Not at all. I was coming here anyway...\Oh, I have to return your gloves. I'll get them for you.\I-I'm sorry...\I'll collect the gloves another time.\But... response:	I'd like you to keep them. In other words...
context: Episode 2 Two Worlds\Thank you.\Not at all. I was coming here anyway...\Oh, I have to return your gloves. I'll get them for you.\I-I'm sorry...\I'll collect the gloves another time.\But...\I'd like you to keep them. In other words... response:	They'll be my excuse.
context: Thank you.\Not at all. I was coming here anyway...\Oh, I have to return your gloves. I'll get them for you.\I-I'm sorry...\I'll collect the gloves another time.\But...\I'd like you to keep them. In other words...\They'll be my excuse. response:	You don't need an excuse...
context: Not at all. I was coming here anyway...\Oh, I have to return your gloves. I'll get them for you.\I-I'm sorry...\I'll collect the gloves another time.\But...\I'd like you to keep them. In other words...\They'll be my excuse.\You don't need an excuse... response:	The Mistress would be pleased to see you anytime.
context: Oh, I have to return your gloves. I'll get them for you.\I-I'm sorry...\I'll collect the gloves another time.\But...\I'd like you to keep them. In other words...\They'll be my excuse.\You don't need an excuse...\The Mistress would be pleased to see you anytime. response:	What? No, that's not what I meant...
context: I-I'm sorry...\I'll collect the gloves another time.\But...\I'd like you to keep them. In other words...\They'll be my excuse.\You don't need an excuse...\The Mistress would be pleased to see you anytime.\What? No, that's not what I meant... response:	However,
context: I'll collect the gloves another time.\But...\I'd like you to keep them. In other words...\They'll be my excuse.\You don't need an excuse...\The Mistress would be pleased to see you anytime.\What? No, that's not what I meant...\However, response:	if you wish to come again...
context: But...\I'd like you to keep them. In other words...\They'll be my excuse.\You don't need an excuse...\The Mistress would be pleased to see you anytime.\What? No, that's not what I meant...\However,\if you wish to come again... response:	Your father is very angry.
context: I'd like you to keep them. In other words...\They'll be my excuse.\You don't need an excuse...\The Mistress would be pleased to see you anytime.\What? No, that's not what I meant...\However,\if you wish to come again...\Your father is very angry. response:	He wants to know why you're off gallivanting around instead of working.
context: They'll be my excuse.\You don't need an excuse...\The Mistress would be pleased to see you anytime.\What? No, that's not what I meant...\However,\if you wish to come again...\Your father is very angry.\He wants to know why you're off gallivanting around instead of working. response:	I leave it in your capable hands, Teresa.
context: You don't need an excuse...\The Mistress would be pleased to see you anytime.\What? No, that's not what I meant...\However,\if you wish to come again...\Your father is very angry.\He wants to know why you're off gallivanting around instead of working.\I leave it in your capable hands, Teresa. response:	Flattery won't help you. I can't make excuses for you every day!
context: The Mistress would be pleased to see you anytime.\What? No, that's not what I meant...\However,\if you wish to come again...\Your father is very angry.\He wants to know why you're off gallivanting around instead of working.\I leave it in your capable hands, Teresa.\Flattery won't help you. I can't make excuses for you every day! response:	Well, it's not as if I want to carry on my father's work.
context: What? No, that's not what I meant...\However,\if you wish to come again...\Your father is very angry.\He wants to know why you're off gallivanting around instead of working.\I leave it in your capable hands, Teresa.\Flattery won't help you. I can't make excuses for you every day!\Well, it's not as if I want to carry on my father's work. response:	You shouldn't say things like that.
context: However,\if you wish to come again...\Your father is very angry.\He wants to know why you're off gallivanting around instead of working.\I leave it in your capable hands, Teresa.\Flattery won't help you. I can't make excuses for you every day!\Well, it's not as if I want to carry on my father's work.\You shouldn't say things like that. response:	Oh! Looks like someone's here.
context: if you wish to come again...\Your father is very angry.\He wants to know why you're off gallivanting around instead of working.\I leave it in your capable hands, Teresa.\Flattery won't help you. I can't make excuses for you every day!\Well, it's not as if I want to carry on my father's work.\You shouldn't say things like that.\Oh! Looks like someone's here. response:	You're avoiding the subject again!
context: Your father is very angry.\He wants to know why you're off gallivanting around instead of working.\I leave it in your capable hands, Teresa.\Flattery won't help you. I can't make excuses for you every day!\Well, it's not as if I want to carry on my father's work.\You shouldn't say things like that.\Oh! Looks like someone's here.\You're avoiding the subject again! response:	No, it's the truth.
context: He wants to know why you're off gallivanting around instead of working.\I leave it in your capable hands, Teresa.\Flattery won't help you. I can't make excuses for you every day!\Well, it's not as if I want to carry on my father's work.\You shouldn't say things like that.\Oh! Looks like someone's here.\You're avoiding the subject again!\No, it's the truth. response:	Will-
context: I leave it in your capable hands, Teresa.\Flattery won't help you. I can't make excuses for you every day!\Well, it's not as if I want to carry on my father's work.\You shouldn't say things like that.\Oh! Looks like someone's here.\You're avoiding the subject again!\No, it's the truth.\Will- response:	Brother Will!
context: Flattery won't help you. I can't make excuses for you every day!\Well, it's not as if I want to carry on my father's work.\You shouldn't say things like that.\Oh! Looks like someone's here.\You're avoiding the subject again!\No, it's the truth.\Will-\Brother Will! response:	We're home, brother.
context: Well, it's not as if I want to carry on my father's work.\You shouldn't say things like that.\Oh! Looks like someone's here.\You're avoiding the subject again!\No, it's the truth.\Will-\Brother Will!\We're home, brother. response:	Oh, Arthur's here too?
context: You shouldn't say things like that.\Oh! Looks like someone's here.\You're avoiding the subject again!\No, it's the truth.\Will-\Brother Will!\We're home, brother.\Oh, Arthur's here too? response:	You sound so pleased to see me.
context: Oh! Looks like someone's here.\You're avoiding the subject again!\No, it's the truth.\Will-\Brother Will!\We're home, brother.\Oh, Arthur's here too?\You sound so pleased to see me. response:	We ran into him at the station.
context: You're avoiding the subject again!\No, it's the truth.\Will-\Brother Will!\We're home, brother.\Oh, Arthur's here too?\You sound so pleased to see me.\We ran into him at the station. response:	Thank you, Stevens.
context: No, it's the truth.\Will-\Brother Will!\We're home, brother.\Oh, Arthur's here too?\You sound so pleased to see me.\We ran into him at the station.\Thank you, Stevens. response:	How was Lyme Regis?
context: Will-\Brother Will!\We're home, brother.\Oh, Arthur's here too?\You sound so pleased to see me.\We ran into him at the station.\Thank you, Stevens.\How was Lyme Regis? response:	I much prefer London.
context: Brother Will!\We're home, brother.\Oh, Arthur's here too?\You sound so pleased to see me.\We ran into him at the station.\Thank you, Stevens.\How was Lyme Regis?\I much prefer London. response:	Oh, but the country's better in some respects.
context: We're home, brother.\Oh, Arthur's here too?\You sound so pleased to see me.\We ran into him at the station.\Thank you, Stevens.\How was Lyme Regis?\I much prefer London.\Oh, but the country's better in some respects. response:	But in the country, there are no shops or theatres. It was so boring.
context: Oh, Arthur's here too?\You sound so pleased to see me.\We ran into him at the station.\Thank you, Stevens.\How was Lyme Regis?\I much prefer London.\Oh, but the country's better in some respects.\But in the country, there are no shops or theatres. It was so boring. response:	Will...
context: You sound so pleased to see me.\We ran into him at the station.\Thank you, Stevens.\How was Lyme Regis?\I much prefer London.\Oh, but the country's better in some respects.\But in the country, there are no shops or theatres. It was so boring.\Will... response:	Brother Will, I heard that Harrods has been refurbished. Take me there!
context: We ran into him at the station.\Thank you, Stevens.\How was Lyme Regis?\I much prefer London.\Oh, but the country's better in some respects.\But in the country, there are no shops or theatres. It was so boring.\Will...\Brother Will, I heard that Harrods has been refurbished. Take me there! response:	Some other time.
context: Thank you, Stevens.\How was Lyme Regis?\I much prefer London.\Oh, but the country's better in some respects.\But in the country, there are no shops or theatres. It was so boring.\Will...\Brother Will, I heard that Harrods has been refurbished. Take me there!\Some other time. response:	Some other time? And when would that be?
context: How was Lyme Regis?\I much prefer London.\Oh, but the country's better in some respects.\But in the country, there are no shops or theatres. It was so boring.\Will...\Brother Will, I heard that Harrods has been refurbished. Take me there!\Some other time.\Some other time? And when would that be? response:	As I said, some other time.
