context: We need to become the MVPs. response:	We're stopping the Quest Dorm from getting shut down,
context: We need to become the MVPs.\We're stopping the Quest Dorm from getting shut down, response:	and Souta from getting expelled!
context: We need to become the MVPs.\We're stopping the Quest Dorm from getting shut down,\and Souta from getting expelled! response:	Yeah!
context: We need to become the MVPs.\We're stopping the Quest Dorm from getting shut down,\and Souta from getting expelled!\Yeah! response:	Yeah.
context: We need to become the MVPs.\We're stopping the Quest Dorm from getting shut down,\and Souta from getting expelled!\Yeah!\Yeah. response:	If Her Flag Breaks
context: We need to become the MVPs.\We're stopping the Quest Dorm from getting shut down,\and Souta from getting expelled!\Yeah!\Yeah.\If Her Flag Breaks response:	Flag 4
context: We need to become the MVPs.\We're stopping the Quest Dorm from getting shut down,\and Souta from getting expelled!\Yeah!\Yeah.\If Her Flag Breaks\Flag 4 response:	We're Almost to the Goal. The Track Meet'll End Just Fine.
context: We need to become the MVPs.\We're stopping the Quest Dorm from getting shut down,\and Souta from getting expelled!\Yeah!\Yeah.\If Her Flag Breaks\Flag 4\We're Almost to the Goal. The Track Meet'll End Just Fine. response:	So this might be a bit late,
context: We're stopping the Quest Dorm from getting shut down,\and Souta from getting expelled!\Yeah!\Yeah.\If Her Flag Breaks\Flag 4\We're Almost to the Goal. The Track Meet'll End Just Fine.\So this might be a bit late, response:	but what do we need to do to become MVPs?
context: and Souta from getting expelled!\Yeah!\Yeah.\If Her Flag Breaks\Flag 4\We're Almost to the Goal. The Track Meet'll End Just Fine.\So this might be a bit late,\but what do we need to do to become MVPs? response:	Well, of course,
context: Yeah!\Yeah.\If Her Flag Breaks\Flag 4\We're Almost to the Goal. The Track Meet'll End Just Fine.\So this might be a bit late,\but what do we need to do to become MVPs?\Well, of course, response:	we need to get a high total score,
context: Yeah.\If Her Flag Breaks\Flag 4\We're Almost to the Goal. The Track Meet'll End Just Fine.\So this might be a bit late,\but what do we need to do to become MVPs?\Well, of course,\we need to get a high total score, response:	but the score's not the only thing.
context: If Her Flag Breaks\Flag 4\We're Almost to the Goal. The Track Meet'll End Just Fine.\So this might be a bit late,\but what do we need to do to become MVPs?\Well, of course,\we need to get a high total score,\but the score's not the only thing. response:	There's a lot of emphasis placed on special points
