context: Recently, on Fairy Tail... response:	At the end of the fierce battle on Tenroujima, we somehow returned home alive
context: Recently, on Fairy Tail...\At the end of the fierce battle on Tenroujima, we somehow returned home alive response:	thanks to being put in suspended animation by the first master.
context: Recently, on Fairy Tail...\At the end of the fierce battle on Tenroujima, we somehow returned home alive\thanks to being put in suspended animation by the first master. response:	Except seven years had passed while we were gone!
context: Recently, on Fairy Tail...\At the end of the fierce battle on Tenroujima, we somehow returned home alive\thanks to being put in suspended animation by the first master.\Except seven years had passed while we were gone! response:	So what happened to our guild why we were gone?
context: Recently, on Fairy Tail...\At the end of the fierce battle on Tenroujima, we somehow returned home alive\thanks to being put in suspended animation by the first master.\Except seven years had passed while we were gone!\So what happened to our guild why we were gone? response:	Well, it seems a lot happened, and there's a lot we still don't know
context: Recently, on Fairy Tail...\At the end of the fierce battle on Tenroujima, we somehow returned home alive\thanks to being put in suspended animation by the first master.\Except seven years had passed while we were gone!\So what happened to our guild why we were gone?\Well, it seems a lot happened, and there's a lot we still don't know response:	about this world that's seven years past the one we left.
context: Recently, on Fairy Tail...\At the end of the fierce battle on Tenroujima, we somehow returned home alive\thanks to being put in suspended animation by the first master.\Except seven years had passed while we were gone!\So what happened to our guild why we were gone?\Well, it seems a lot happened, and there's a lot we still don't know\about this world that's seven years past the one we left. response:	Three months from now, the major event that decides
context: Recently, on Fairy Tail...\At the end of the fierce battle on Tenroujima, we somehow returned home alive\thanks to being put in suspended animation by the first master.\Except seven years had passed while we were gone!\So what happened to our guild why we were gone?\Well, it seems a lot happened, and there's a lot we still don't know\about this world that's seven years past the one we left.\Three months from now, the major event that decides response:	The Grand Magic Games!
context: At the end of the fierce battle on Tenroujima, we somehow returned home alive\thanks to being put in suspended animation by the first master.\Except seven years had passed while we were gone!\So what happened to our guild why we were gone?\Well, it seems a lot happened, and there's a lot we still don't know\about this world that's seven years past the one we left.\Three months from now, the major event that decides\The Grand Magic Games! response:	It's a festival in which people compete in various events using magic.
context: thanks to being put in suspended animation by the first master.\Except seven years had passed while we were gone!\So what happened to our guild why we were gone?\Well, it seems a lot happened, and there's a lot we still don't know\about this world that's seven years past the one we left.\Three months from now, the major event that decides\The Grand Magic Games!\It's a festival in which people compete in various events using magic. response:	During the seven years we were gone,
context: Except seven years had passed while we were gone!\So what happened to our guild why we were gone?\Well, it seems a lot happened, and there's a lot we still don't know\about this world that's seven years past the one we left.\Three months from now, the major event that decides\The Grand Magic Games!\It's a festival in which people compete in various events using magic.\During the seven years we were gone, response:	Fairy Tail became the weakest guild in the kingdom of Fiore,
