context: Then this machine was- response:	Yeah. The demon we saw 15 years ago.
context: Then this machine was-\Yeah. The demon we saw 15 years ago. response:	I always figured it had been annihilated in the damage of Heaven's Fall.
context: Then this machine was-\Yeah. The demon we saw 15 years ago.\I always figured it had been annihilated in the damage of Heaven's Fall. response:	Capt. Magbaredge!
context: Then this machine was-\Yeah. The demon we saw 15 years ago.\I always figured it had been annihilated in the damage of Heaven's Fall.\Capt. Magbaredge! response:	What in the world... is that?
context: Then this machine was-\Yeah. The demon we saw 15 years ago.\I always figured it had been annihilated in the damage of Heaven's Fall.\Capt. Magbaredge!\What in the world... is that? response:	Confirm that the ship is fitted out.
context: Then this machine was-\Yeah. The demon we saw 15 years ago.\I always figured it had been annihilated in the damage of Heaven's Fall.\Capt. Magbaredge!\What in the world... is that?\Confirm that the ship is fitted out. response:	Check its fuel, weapons, and munitions.
context: Then this machine was-\Yeah. The demon we saw 15 years ago.\I always figured it had been annihilated in the damage of Heaven's Fall.\Capt. Magbaredge!\What in the world... is that?\Confirm that the ship is fitted out.\Check its fuel, weapons, and munitions. response:	Yes, ma'am!
context: Then this machine was-\Yeah. The demon we saw 15 years ago.\I always figured it had been annihilated in the damage of Heaven's Fall.\Capt. Magbaredge!\What in the world... is that?\Confirm that the ship is fitted out.\Check its fuel, weapons, and munitions.\Yes, ma'am! response:	Deucalion. That's this ship's name?
context: Yeah. The demon we saw 15 years ago.\I always figured it had been annihilated in the damage of Heaven's Fall.\Capt. Magbaredge!\What in the world... is that?\Confirm that the ship is fitted out.\Check its fuel, weapons, and munitions.\Yes, ma'am!\Deucalion. That's this ship's name? response:	Why do you suppose such a fine ship was abandoned
context: I always figured it had been annihilated in the damage of Heaven's Fall.\Capt. Magbaredge!\What in the world... is that?\Confirm that the ship is fitted out.\Check its fuel, weapons, and munitions.\Yes, ma'am!\Deucalion. That's this ship's name?\Why do you suppose such a fine ship was abandoned response:	without ever sending it into battle?
context: Capt. Magbaredge!\What in the world... is that?\Confirm that the ship is fitted out.\Check its fuel, weapons, and munitions.\Yes, ma'am!\Deucalion. That's this ship's name?\Why do you suppose such a fine ship was abandoned\without ever sending it into battle? response:	Reserves are still working! If we can feed it power, it'll be good to go.
context: What in the world... is that?\Confirm that the ship is fitted out.\Check its fuel, weapons, and munitions.\Yes, ma'am!\Deucalion. That's this ship's name?\Why do you suppose such a fine ship was abandoned\without ever sending it into battle?\Reserves are still working! If we can feed it power, it'll be good to go. response:	Fuel level is... I'm not sure!
context: Confirm that the ship is fitted out.\Check its fuel, weapons, and munitions.\Yes, ma'am!\Deucalion. That's this ship's name?\Why do you suppose such a fine ship was abandoned\without ever sending it into battle?\Reserves are still working! If we can feed it power, it'll be good to go.\Fuel level is... I'm not sure! response:	What kind of report is that?
context: Check its fuel, weapons, and munitions.\Yes, ma'am!\Deucalion. That's this ship's name?\Why do you suppose such a fine ship was abandoned\without ever sending it into battle?\Reserves are still working! If we can feed it power, it'll be good to go.\Fuel level is... I'm not sure!\What kind of report is that? response:	There's no fuel gauge!
context: Yes, ma'am!\Deucalion. That's this ship's name?\Why do you suppose such a fine ship was abandoned\without ever sending it into battle?\Reserves are still working! If we can feed it power, it'll be good to go.\Fuel level is... I'm not sure!\What kind of report is that?\There's no fuel gauge! response:	Oh, so that's it.
