context: This is a dumb riddle about rain. response:	I'm second?
context: This is a dumb riddle about rain.\I'm second? response:	Amazing, Takagi! You're 1!
context: This is a dumb riddle about rain.\I'm second?\Amazing, Takagi! You're 1! response:	And you only ever read manga.
context: This is a dumb riddle about rain.\I'm second?\Amazing, Takagi! You're 1!\And you only ever read manga. response:	Just studying all the time...
context: This is a dumb riddle about rain.\I'm second?\Amazing, Takagi! You're 1!\And you only ever read manga.\Just studying all the time... response:	Going to a good high school and a good college...
context: This is a dumb riddle about rain.\I'm second?\Amazing, Takagi! You're 1!\And you only ever read manga.\Just studying all the time...\Going to a good high school and a good college... response:	That kind of thing,
context: This is a dumb riddle about rain.\I'm second?\Amazing, Takagi! You're 1!\And you only ever read manga.\Just studying all the time...\Going to a good high school and a good college...\That kind of thing, response:	isn't my dream.
context: This is a dumb riddle about rain.\I'm second?\Amazing, Takagi! You're 1!\And you only ever read manga.\Just studying all the time...\Going to a good high school and a good college...\That kind of thing,\isn't my dream. response:	Come on!
context: I'm second?\Amazing, Takagi! You're 1!\And you only ever read manga.\Just studying all the time...\Going to a good high school and a good college...\That kind of thing,\isn't my dream.\Come on! response:	Okay!
context: Amazing, Takagi! You're 1!\And you only ever read manga.\Just studying all the time...\Going to a good high school and a good college...\That kind of thing,\isn't my dream.\Come on!\Okay! response:	Get it over here!
context: And you only ever read manga.\Just studying all the time...\Going to a good high school and a good college...\That kind of thing,\isn't my dream.\Come on!\Okay!\Get it over here! response:	Yes!
context: Just studying all the time...\Going to a good high school and a good college...\That kind of thing,\isn't my dream.\Come on!\Okay!\Get it over here!\Yes! response:	I still can't let my guard down.
context: Going to a good high school and a good college...\That kind of thing,\isn't my dream.\Come on!\Okay!\Get it over here!\Yes!\I still can't let my guard down. response:	Takagi-kun.
context: That kind of thing,\isn't my dream.\Come on!\Okay!\Get it over here!\Yes!\I still can't let my guard down.\Takagi-kun. response:	I'm Iwase Aiko.
context: isn't my dream.\Come on!\Okay!\Get it over here!\Yes!\I still can't let my guard down.\Takagi-kun.\I'm Iwase Aiko. response:	The 2nd highest grades in our class,
context: Come on!\Okay!\Get it over here!\Yes!\I still can't let my guard down.\Takagi-kun.\I'm Iwase Aiko.\The 2nd highest grades in our class, response:	that was me.
context: Okay!\Get it over here!\Yes!\I still can't let my guard down.\Takagi-kun.\I'm Iwase Aiko.\The 2nd highest grades in our class,\that was me. response:	Oh... really?
context: Get it over here!\Yes!\I still can't let my guard down.\Takagi-kun.\I'm Iwase Aiko.\The 2nd highest grades in our class,\that was me.\Oh... really? response:	I think we should encourage each other and do our best.
context: Yes!\I still can't let my guard down.\Takagi-kun.\I'm Iwase Aiko.\The 2nd highest grades in our class,\that was me.\Oh... really?\I think we should encourage each other and do our best. response:	Sure!
context: I still can't let my guard down.\Takagi-kun.\I'm Iwase Aiko.\The 2nd highest grades in our class,\that was me.\Oh... really?\I think we should encourage each other and do our best.\Sure! response:	Let's do our best.
context: Takagi-kun.\I'm Iwase Aiko.\The 2nd highest grades in our class,\that was me.\Oh... really?\I think we should encourage each other and do our best.\Sure!\Let's do our best. response:	This is Akina.
context: I'm Iwase Aiko.\The 2nd highest grades in our class,\that was me.\Oh... really?\I think we should encourage each other and do our best.\Sure!\Let's do our best.\This is Akina. response:	Yes.
context: The 2nd highest grades in our class,\that was me.\Oh... really?\I think we should encourage each other and do our best.\Sure!\Let's do our best.\This is Akina.\Yes. response:	The collaboration with Crow took 4th place.
context: that was me.\Oh... really?\I think we should encourage each other and do our best.\Sure!\Let's do our best.\This is Akina.\Yes.\The collaboration with Crow took 4th place. response:	What about PCP?
context: Oh... really?\I think we should encourage each other and do our best.\Sure!\Let's do our best.\This is Akina.\Yes.\The collaboration with Crow took 4th place.\What about PCP? response:	5th?
context: I think we should encourage each other and do our best.\Sure!\Let's do our best.\This is Akina.\Yes.\The collaboration with Crow took 4th place.\What about PCP?\5th? response:	I see.
context: Sure!\Let's do our best.\This is Akina.\Yes.\The collaboration with Crow took 4th place.\What about PCP?\5th?\I see. response:	Yes.
context: Let's do our best.\This is Akina.\Yes.\The collaboration with Crow took 4th place.\What about PCP?\5th?\I see.\Yes. response:	I said I wouldn't lose to PCP.
context: This is Akina.\Yes.\The collaboration with Crow took 4th place.\What about PCP?\5th?\I see.\Yes.\I said I wouldn't lose to PCP. response:	Hey, if I could be with you right now
context: Yes.\The collaboration with Crow took 4th place.\What about PCP?\5th?\I see.\Yes.\I said I wouldn't lose to PCP.\Hey, if I could be with you right now response:	Then I could keep my voice from fading
context: The collaboration with Crow took 4th place.\What about PCP?\5th?\I see.\Yes.\I said I wouldn't lose to PCP.\Hey, if I could be with you right now\Then I could keep my voice from fading response:	The goals I've set for myself seem too high to reach,
context: What about PCP?\5th?\I see.\Yes.\I said I wouldn't lose to PCP.\Hey, if I could be with you right now\Then I could keep my voice from fading\The goals I've set for myself seem too high to reach, response:	and I feel like I've lost my way
context: 5th?\I see.\Yes.\I said I wouldn't lose to PCP.\Hey, if I could be with you right now\Then I could keep my voice from fading\The goals I've set for myself seem too high to reach,\and I feel like I've lost my way response:	I'm relying on a broken compass and hiding in someone's shadow
context: I see.\Yes.\I said I wouldn't lose to PCP.\Hey, if I could be with you right now\Then I could keep my voice from fading\The goals I've set for myself seem too high to reach,\and I feel like I've lost my way\I'm relying on a broken compass and hiding in someone's shadow response:	If we keep letting go of what we have to find something else,
context: Yes.\I said I wouldn't lose to PCP.\Hey, if I could be with you right now\Then I could keep my voice from fading\The goals I've set for myself seem too high to reach,\and I feel like I've lost my way\I'm relying on a broken compass and hiding in someone's shadow\If we keep letting go of what we have to find something else, response:	then I'm convinced we can never grow up
