context: I want to go back to that time again. response:	I want to become small again.
context: I want to go back to that time again.\I want to become small again. response:	Minami-kun...
context: I want to go back to that time again.\I want to become small again.\Minami-kun... response:	Where are you Chiyomi?
context: I want to go back to that time again.\I want to become small again.\Minami-kun...\Where are you Chiyomi? response:	Here! I'm over here, Minami-kun!
context: I want to go back to that time again.\I want to become small again.\Minami-kun...\Where are you Chiyomi?\Here! I'm over here, Minami-kun! response:	You're in Tokyo?
context: I want to go back to that time again.\I want to become small again.\Minami-kun...\Where are you Chiyomi?\Here! I'm over here, Minami-kun!\You're in Tokyo? response:	Hey, what are you thinking?
context: I want to go back to that time again.\I want to become small again.\Minami-kun...\Where are you Chiyomi?\Here! I'm over here, Minami-kun!\You're in Tokyo?\Hey, what are you thinking? response:	So, I told you yesterday.
context: I want to go back to that time again.\I want to become small again.\Minami-kun...\Where are you Chiyomi?\Here! I'm over here, Minami-kun!\You're in Tokyo?\Hey, what are you thinking?\So, I told you yesterday. response:	About the dance workshop.
context: I want to become small again.\Minami-kun...\Where are you Chiyomi?\Here! I'm over here, Minami-kun!\You're in Tokyo?\Hey, what are you thinking?\So, I told you yesterday.\About the dance workshop. response:	Please let me stay with you.
context: Minami-kun...\Where are you Chiyomi?\Here! I'm over here, Minami-kun!\You're in Tokyo?\Hey, what are you thinking?\So, I told you yesterday.\About the dance workshop.\Please let me stay with you. response:	Horikiri-shi.
context: Where are you Chiyomi?\Here! I'm over here, Minami-kun!\You're in Tokyo?\Hey, what are you thinking?\So, I told you yesterday.\About the dance workshop.\Please let me stay with you.\Horikiri-shi. response:	A new work...
context: Here! I'm over here, Minami-kun!\You're in Tokyo?\Hey, what are you thinking?\So, I told you yesterday.\About the dance workshop.\Please let me stay with you.\Horikiri-shi.\A new work... response:	I wanted to...
context: You're in Tokyo?\Hey, what are you thinking?\So, I told you yesterday.\About the dance workshop.\Please let me stay with you.\Horikiri-shi.\A new work...\I wanted to... response:	put something like this in here.
context: Hey, what are you thinking?\So, I told you yesterday.\About the dance workshop.\Please let me stay with you.\Horikiri-shi.\A new work...\I wanted to...\put something like this in here. response:	Do you like Chiyomi?
context: So, I told you yesterday.\About the dance workshop.\Please let me stay with you.\Horikiri-shi.\A new work...\I wanted to...\put something like this in here.\Do you like Chiyomi? response:	I do... like Horikiri-shi.
context: About the dance workshop.\Please let me stay with you.\Horikiri-shi.\A new work...\I wanted to...\put something like this in here.\Do you like Chiyomi?\I do... like Horikiri-shi. response:	Did he see me?
context: Please let me stay with you.\Horikiri-shi.\A new work...\I wanted to...\put something like this in here.\Do you like Chiyomi?\I do... like Horikiri-shi.\Did he see me? response:	- Chiyomi is not at the workshop. - Eh?
context: Horikiri-shi.\A new work...\I wanted to...\put something like this in here.\Do you like Chiyomi?\I do... like Horikiri-shi.\Did he see me?\- Chiyomi is not at the workshop. - Eh? response:	Are you really Onee-chan? (big sister)
context: A new work...\I wanted to...\put something like this in here.\Do you like Chiyomi?\I do... like Horikiri-shi.\Did he see me?\- Chiyomi is not at the workshop. - Eh?\Are you really Onee-chan? (big sister) response:	Asuka, I'm sorry.
context: I wanted to...\put something like this in here.\Do you like Chiyomi?\I do... like Horikiri-shi.\Did he see me?\- Chiyomi is not at the workshop. - Eh?\Are you really Onee-chan? (big sister)\Asuka, I'm sorry. response:	As always, you roll around so much in your sleep.
context: put something like this in here.\Do you like Chiyomi?\I do... like Horikiri-shi.\Did he see me?\- Chiyomi is not at the workshop. - Eh?\Are you really Onee-chan? (big sister)\Asuka, I'm sorry.\As always, you roll around so much in your sleep. response:	Minami-kun...
context: Do you like Chiyomi?\I do... like Horikiri-shi.\Did he see me?\- Chiyomi is not at the workshop. - Eh?\Are you really Onee-chan? (big sister)\Asuka, I'm sorry.\As always, you roll around so much in your sleep.\Minami-kun... response:	Hurry up and get up. We'll be late.
context: I do... like Horikiri-shi.\Did he see me?\- Chiyomi is not at the workshop. - Eh?\Are you really Onee-chan? (big sister)\Asuka, I'm sorry.\As always, you roll around so much in your sleep.\Minami-kun...\Hurry up and get up. We'll be late. response:	Were you watching me?
context: Did he see me?\- Chiyomi is not at the workshop. - Eh?\Are you really Onee-chan? (big sister)\Asuka, I'm sorry.\As always, you roll around so much in your sleep.\Minami-kun...\Hurry up and get up. We'll be late.\Were you watching me? response:	How can you sleep like that.
context: - Chiyomi is not at the workshop. - Eh?\Are you really Onee-chan? (big sister)\Asuka, I'm sorry.\As always, you roll around so much in your sleep.\Minami-kun...\Hurry up and get up. We'll be late.\Were you watching me?\How can you sleep like that. response:	- I'm changing, so look away. - Okay.
context: Are you really Onee-chan? (big sister)\Asuka, I'm sorry.\As always, you roll around so much in your sleep.\Minami-kun...\Hurry up and get up. We'll be late.\Were you watching me?\How can you sleep like that.\- I'm changing, so look away. - Okay. response:	It's been 4 weeks since I became small.
context: Asuka, I'm sorry.\As always, you roll around so much in your sleep.\Minami-kun...\Hurry up and get up. We'll be late.\Were you watching me?\How can you sleep like that.\- I'm changing, so look away. - Okay.\It's been 4 weeks since I became small. response:	A lot has happened...
context: As always, you roll around so much in your sleep.\Minami-kun...\Hurry up and get up. We'll be late.\Were you watching me?\How can you sleep like that.\- I'm changing, so look away. - Okay.\It's been 4 weeks since I became small.\A lot has happened... response:	Here you go.
context: Minami-kun...\Hurry up and get up. We'll be late.\Were you watching me?\How can you sleep like that.\- I'm changing, so look away. - Okay.\It's been 4 weeks since I became small.\A lot has happened...\Here you go. response:	Thank you for the meal.
