context: Come on! Unless you want to die, get moving! response:	I told you to step forward further!
context: Come on! Unless you want to die, get moving!\I told you to step forward further! response:	Hey, hey, snap to it!
context: Come on! Unless you want to die, get moving!\I told you to step forward further!\Hey, hey, snap to it! response:	What are they planning to do with the Namekians?
context: Come on! Unless you want to die, get moving!\I told you to step forward further!\Hey, hey, snap to it!\What are they planning to do with the Namekians? response:	K- Kuririn- san, are those all Saiyans?
context: Come on! Unless you want to die, get moving!\I told you to step forward further!\Hey, hey, snap to it!\What are they planning to do with the Namekians?\K- Kuririn- san, are those all Saiyans? response:	No, they're not. They're wearing the same battle dress, but they're not Saiyans.
context: Come on! Unless you want to die, get moving!\I told you to step forward further!\Hey, hey, snap to it!\What are they planning to do with the Namekians?\K- Kuririn- san, are those all Saiyans?\No, they're not. They're wearing the same battle dress, but they're not Saiyans. response:	Besides, Vegeta is supposed to be the only remaining Saiyan.
context: Come on! Unless you want to die, get moving!\I told you to step forward further!\Hey, hey, snap to it!\What are they planning to do with the Namekians?\K- Kuririn- san, are those all Saiyans?\No, they're not. They're wearing the same battle dress, but they're not Saiyans.\Besides, Vegeta is supposed to be the only remaining Saiyan. response:	Not including Goku or yourself.
context: Come on! Unless you want to die, get moving!\I told you to step forward further!\Hey, hey, snap to it!\What are they planning to do with the Namekians?\K- Kuririn- san, are those all Saiyans?\No, they're not. They're wearing the same battle dress, but they're not Saiyans.\Besides, Vegeta is supposed to be the only remaining Saiyan.\Not including Goku or yourself. response:	T- then...
context: I told you to step forward further!\Hey, hey, snap to it!\What are they planning to do with the Namekians?\K- Kuririn- san, are those all Saiyans?\No, they're not. They're wearing the same battle dress, but they're not Saiyans.\Besides, Vegeta is supposed to be the only remaining Saiyan.\Not including Goku or yourself.\T- then... response:	Come to think of it, there was that guy who said he was Goku's brother.
context: Hey, hey, snap to it!\What are they planning to do with the Namekians?\K- Kuririn- san, are those all Saiyans?\No, they're not. They're wearing the same battle dress, but they're not Saiyans.\Besides, Vegeta is supposed to be the only remaining Saiyan.\Not including Goku or yourself.\T- then...\Come to think of it, there was that guy who said he was Goku's brother. response:	Our task is to go through space, searching for planets with good environments,
context: What are they planning to do with the Namekians?\K- Kuririn- san, are those all Saiyans?\No, they're not. They're wearing the same battle dress, but they're not Saiyans.\Besides, Vegeta is supposed to be the only remaining Saiyan.\Not including Goku or yourself.\T- then...\Come to think of it, there was that guy who said he was Goku's brother.\Our task is to go through space, searching for planets with good environments, response:	and once we've exterminated those who already live there,
context: K- Kuririn- san, are those all Saiyans?\No, they're not. They're wearing the same battle dress, but they're not Saiyans.\Besides, Vegeta is supposed to be the only remaining Saiyan.\Not including Goku or yourself.\T- then...\Come to think of it, there was that guy who said he was Goku's brother.\Our task is to go through space, searching for planets with good environments,\and once we've exterminated those who already live there, response:	we sell them for a high price to aliens who are looking for a suitable planet.
context: No, they're not. They're wearing the same battle dress, but they're not Saiyans.\Besides, Vegeta is supposed to be the only remaining Saiyan.\Not including Goku or yourself.\T- then...\Come to think of it, there was that guy who said he was Goku's brother.\Our task is to go through space, searching for planets with good environments,\and once we've exterminated those who already live there,\we sell them for a high price to aliens who are looking for a suitable planet. response:	It could be that these guys are in league with them.
