context: I'm back here again... response:	Sister, Sister... It appears our guest is still half-asleep.
context: I'm back here again...\Sister, Sister... It appears our guest is still half-asleep. response:	Rem, Rem...
context: I'm back here again...\Sister, Sister... It appears our guest is still half-asleep.\Rem, Rem... response:	For one so young, it's quite sad how out of it he is.
context: I'm back here again...\Sister, Sister... It appears our guest is still half-asleep.\Rem, Rem...\For one so young, it's quite sad how out of it he is. response:	What is the matter, sir?
context: I'm back here again...\Sister, Sister... It appears our guest is still half-asleep.\Rem, Rem...\For one so young, it's quite sad how out of it he is.\What is the matter, sir? response:	Do you feel unwell?
context: I'm back here again...\Sister, Sister... It appears our guest is still half-asleep.\Rem, Rem...\For one so young, it's quite sad how out of it he is.\What is the matter, sir?\Do you feel unwell? response:	What's wrong, sir?
context: I'm back here again...\Sister, Sister... It appears our guest is still half-asleep.\Rem, Rem...\For one so young, it's quite sad how out of it he is.\What is the matter, sir?\Do you feel unwell?\What's wrong, sir? response:	Do you have a chronic illness flaring up?
context: I'm back here again...\Sister, Sister... It appears our guest is still half-asleep.\Rem, Rem...\For one so young, it's quite sad how out of it he is.\What is the matter, sir?\Do you feel unwell?\What's wrong, sir?\Do you have a chronic illness flaring up? response:	Let me see your hands.
context: Sister, Sister... It appears our guest is still half-asleep.\Rem, Rem...\For one so young, it's quite sad how out of it he is.\What is the matter, sir?\Do you feel unwell?\What's wrong, sir?\Do you have a chronic illness flaring up?\Let me see your hands. response:	So it's true...
context: Rem, Rem...\For one so young, it's quite sad how out of it he is.\What is the matter, sir?\Do you feel unwell?\What's wrong, sir?\Do you have a chronic illness flaring up?\Let me see your hands.\So it's true... response:	I wasn't mistaken...
context: For one so young, it's quite sad how out of it he is.\What is the matter, sir?\Do you feel unwell?\What's wrong, sir?\Do you have a chronic illness flaring up?\Let me see your hands.\So it's true...\I wasn't mistaken... response:	No, sir. I think you are mistaken about everything.
context: What is the matter, sir?\Do you feel unwell?\What's wrong, sir?\Do you have a chronic illness flaring up?\Let me see your hands.\So it's true...\I wasn't mistaken...\No, sir. I think you are mistaken about everything. response:	No, sir. I think your very birth was a mistake.
context: Do you feel unwell?\What's wrong, sir?\Do you have a chronic illness flaring up?\Let me see your hands.\So it's true...\I wasn't mistaken...\No, sir. I think you are mistaken about everything.\No, sir. I think your very birth was a mistake. response:	When I think about what's to come, I can't laugh off that comment.
context: What's wrong, sir?\Do you have a chronic illness flaring up?\Let me see your hands.\So it's true...\I wasn't mistaken...\No, sir. I think you are mistaken about everything.\No, sir. I think your very birth was a mistake.\When I think about what's to come, I can't laugh off that comment. response:	But right now, even that's a good feeling.
context: Do you have a chronic illness flaring up?\Let me see your hands.\So it's true...\I wasn't mistaken...\No, sir. I think you are mistaken about everything.\No, sir. I think your very birth was a mistake.\When I think about what's to come, I can't laugh off that comment.\But right now, even that's a good feeling. response:	Sister, Sister...
context: Let me see your hands.\So it's true...\I wasn't mistaken...\No, sir. I think you are mistaken about everything.\No, sir. I think your very birth was a mistake.\When I think about what's to come, I can't laugh off that comment.\But right now, even that's a good feeling.\Sister, Sister... response:	Could our guest be a troubled man, deriving pleasure from torture?
context: So it's true...\I wasn't mistaken...\No, sir. I think you are mistaken about everything.\No, sir. I think your very birth was a mistake.\When I think about what's to come, I can't laugh off that comment.\But right now, even that's a good feeling.\Sister, Sister...\Could our guest be a troubled man, deriving pleasure from torture? response:	Rem, Rem, our guest appears to be
context: I wasn't mistaken...\No, sir. I think you are mistaken about everything.\No, sir. I think your very birth was a mistake.\When I think about what's to come, I can't laugh off that comment.\But right now, even that's a good feeling.\Sister, Sister...\Could our guest be a troubled man, deriving pleasure from torture?\Rem, Rem, our guest appears to be response:	a pervert who's turned on by insults.
context: No, sir. I think you are mistaken about everything.\No, sir. I think your very birth was a mistake.\When I think about what's to come, I can't laugh off that comment.\But right now, even that's a good feeling.\Sister, Sister...\Could our guest be a troubled man, deriving pleasure from torture?\Rem, Rem, our guest appears to be\a pervert who's turned on by insults. response:	Sorry to do that out of the blue,
context: No, sir. I think your very birth was a mistake.\When I think about what's to come, I can't laugh off that comment.\But right now, even that's a good feeling.\Sister, Sister...\Could our guest be a troubled man, deriving pleasure from torture?\Rem, Rem, our guest appears to be\a pervert who's turned on by insults.\Sorry to do that out of the blue, response:	but I trust you both.
context: When I think about what's to come, I can't laugh off that comment.\But right now, even that's a good feeling.\Sister, Sister...\Could our guest be a troubled man, deriving pleasure from torture?\Rem, Rem, our guest appears to be\a pervert who's turned on by insults.\Sorry to do that out of the blue,\but I trust you both. response:	Let's be friends, okay?
