context: These two chicks sure are charming response:	I'm I hallucinating?
context: These two chicks sure are charming\I'm I hallucinating? response:	I didn't drink that much
context: These two chicks sure are charming\I'm I hallucinating?\I didn't drink that much response:	Humans and Monsters once coexisted equally
context: These two chicks sure are charming\I'm I hallucinating?\I didn't drink that much\Humans and Monsters once coexisted equally response:	Humans lived during the day
context: These two chicks sure are charming\I'm I hallucinating?\I didn't drink that much\Humans and Monsters once coexisted equally\Humans lived during the day response:	Monsters came out at night
context: These two chicks sure are charming\I'm I hallucinating?\I didn't drink that much\Humans and Monsters once coexisted equally\Humans lived during the day\Monsters came out at night response:	But when lights were invented, humans started to take over the night
context: These two chicks sure are charming\I'm I hallucinating?\I didn't drink that much\Humans and Monsters once coexisted equally\Humans lived during the day\Monsters came out at night\But when lights were invented, humans started to take over the night response:	Disrupting the Yin Yang1
context: These two chicks sure are charming\I'm I hallucinating?\I didn't drink that much\Humans and Monsters once coexisted equally\Humans lived during the day\Monsters came out at night\But when lights were invented, humans started to take over the night\Disrupting the Yin Yang1 response:	Causing the monsters to rebel, and harm humans
context: I'm I hallucinating?\I didn't drink that much\Humans and Monsters once coexisted equally\Humans lived during the day\Monsters came out at night\But when lights were invented, humans started to take over the night\Disrupting the Yin Yang1\Causing the monsters to rebel, and harm humans response:	Because of this,
context: I didn't drink that much\Humans and Monsters once coexisted equally\Humans lived during the day\Monsters came out at night\But when lights were invented, humans started to take over the night\Disrupting the Yin Yang1\Causing the monsters to rebel, and harm humans\Because of this, response:	Those who could defeat monsters became important in society
context: Humans and Monsters once coexisted equally\Humans lived during the day\Monsters came out at night\But when lights were invented, humans started to take over the night\Disrupting the Yin Yang1\Causing the monsters to rebel, and harm humans\Because of this,\Those who could defeat monsters became important in society response:	And my goal is
context: Humans lived during the day\Monsters came out at night\But when lights were invented, humans started to take over the night\Disrupting the Yin Yang1\Causing the monsters to rebel, and harm humans\Because of this,\Those who could defeat monsters became important in society\And my goal is response:	To become the ace of censors2
context: Monsters came out at night\But when lights were invented, humans started to take over the night\Disrupting the Yin Yang1\Causing the monsters to rebel, and harm humans\Because of this,\Those who could defeat monsters became important in society\And my goal is\To become the ace of censors2 response:	Little brother,
context: But when lights were invented, humans started to take over the night\Disrupting the Yin Yang1\Causing the monsters to rebel, and harm humans\Because of this,\Those who could defeat monsters became important in society\And my goal is\To become the ace of censors2\Little brother, response:	Playing by you self late at night, how depressing
context: Disrupting the Yin Yang1\Causing the monsters to rebel, and harm humans\Because of this,\Those who could defeat monsters became important in society\And my goal is\To become the ace of censors2\Little brother,\Playing by you self late at night, how depressing response:	How about you play some more stimulating games with us?
context: Causing the monsters to rebel, and harm humans\Because of this,\Those who could defeat monsters became important in society\And my goal is\To become the ace of censors2\Little brother,\Playing by you self late at night, how depressing\How about you play some more stimulating games with us? response:	The key to a women heart
context: Because of this,\Those who could defeat monsters became important in society\And my goal is\To become the ace of censors2\Little brother,\Playing by you self late at night, how depressing\How about you play some more stimulating games with us?\The key to a women heart response:	Is a man who is confident
context: Those who could defeat monsters became important in society\And my goal is\To become the ace of censors2\Little brother,\Playing by you self late at night, how depressing\How about you play some more stimulating games with us?\The key to a women heart\Is a man who is confident response:	Don't show your weakness
context: And my goal is\To become the ace of censors2\Little brother,\Playing by you self late at night, how depressing\How about you play some more stimulating games with us?\The key to a women heart\Is a man who is confident\Don't show your weakness response:	Your brother here is the master at picking up girls
context: To become the ace of censors2\Little brother,\Playing by you self late at night, how depressing\How about you play some more stimulating games with us?\The key to a women heart\Is a man who is confident\Don't show your weakness\Your brother here is the master at picking up girls response:	Heh, okay, okay,
context: Little brother,\Playing by you self late at night, how depressing\How about you play some more stimulating games with us?\The key to a women heart\Is a man who is confident\Don't show your weakness\Your brother here is the master at picking up girls\Heh, okay, okay, response:	So how are we going to play?
context: Playing by you self late at night, how depressing\How about you play some more stimulating games with us?\The key to a women heart\Is a man who is confident\Don't show your weakness\Your brother here is the master at picking up girls\Heh, okay, okay,\So how are we going to play? response:	Don't get too exited
context: How about you play some more stimulating games with us?\The key to a women heart\Is a man who is confident\Don't show your weakness\Your brother here is the master at picking up girls\Heh, okay, okay,\So how are we going to play?\Don't get too exited response:	First answer our question
context: The key to a women heart\Is a man who is confident\Don't show your weakness\Your brother here is the master at picking up girls\Heh, okay, okay,\So how are we going to play?\Don't get too exited\First answer our question response:	Which one of us do you think is prettier?
context: Is a man who is confident\Don't show your weakness\Your brother here is the master at picking up girls\Heh, okay, okay,\So how are we going to play?\Don't get too exited\First answer our question\Which one of us do you think is prettier? response:	Men,
context: Don't show your weakness\Your brother here is the master at picking up girls\Heh, okay, okay,\So how are we going to play?\Don't get too exited\First answer our question\Which one of us do you think is prettier?\Men, response:	They must have a sharp mind and raging courage
context: Your brother here is the master at picking up girls\Heh, okay, okay,\So how are we going to play?\Don't get too exited\First answer our question\Which one of us do you think is prettier?\Men,\They must have a sharp mind and raging courage response:	I think your face is prettier
context: Heh, okay, okay,\So how are we going to play?\Don't get too exited\First answer our question\Which one of us do you think is prettier?\Men,\They must have a sharp mind and raging courage\I think your face is prettier response:	But her body is better
context: So how are we going to play?\Don't get too exited\First answer our question\Which one of us do you think is prettier?\Men,\They must have a sharp mind and raging courage\I think your face is prettier\But her body is better response:	So that means your equally amazing
context: Don't get too exited\First answer our question\Which one of us do you think is prettier?\Men,\They must have a sharp mind and raging courage\I think your face is prettier\But her body is better\So that means your equally amazing response:	You really know what to say
context: First answer our question\Which one of us do you think is prettier?\Men,\They must have a sharp mind and raging courage\I think your face is prettier\But her body is better\So that means your equally amazing\You really know what to say response:	Then how about this?
context: Which one of us do you think is prettier?\Men,\They must have a sharp mind and raging courage\I think your face is prettier\But her body is better\So that means your equally amazing\You really know what to say\Then how about this? response:	My body along with her face
context: Men,\They must have a sharp mind and raging courage\I think your face is prettier\But her body is better\So that means your equally amazing\You really know what to say\Then how about this?\My body along with her face response:	Does that make us prettier?
context: They must have a sharp mind and raging courage\I think your face is prettier\But her body is better\So that means your equally amazing\You really know what to say\Then how about this?\My body along with her face\Does that make us prettier? response:	The secret to conquering girls
context: I think your face is prettier\But her body is better\So that means your equally amazing\You really know what to say\Then how about this?\My body along with her face\Does that make us prettier?\The secret to conquering girls response:	Is to leave an unforgettable impression
context: But her body is better\So that means your equally amazing\You really know what to say\Then how about this?\My body along with her face\Does that make us prettier?\The secret to conquering girls\Is to leave an unforgettable impression response:	He already fainted
context: So that means your equally amazing\You really know what to say\Then how about this?\My body along with her face\Does that make us prettier?\The secret to conquering girls\Is to leave an unforgettable impression\He already fainted response:	Sis, we can properly enjoy him
context: You really know what to say\Then how about this?\My body along with her face\Does that make us prettier?\The secret to conquering girls\Is to leave an unforgettable impression\He already fainted\Sis, we can properly enjoy him response:	Eww,
context: Then how about this?\My body along with her face\Does that make us prettier?\The secret to conquering girls\Is to leave an unforgettable impression\He already fainted\Sis, we can properly enjoy him\Eww, response:	What's that smell?
