context: This is... Lord Wales'... response:	The letter has been taken,
context: This is... Lord Wales'...\The letter has been taken, response:	and the Prince's life was taken in front of my eyes...
context: This is... Lord Wales'...\The letter has been taken,\and the Prince's life was taken in front of my eyes... response:	The greatest responsibility for all of this is mine.
context: This is... Lord Wales'...\The letter has been taken,\and the Prince's life was taken in front of my eyes...\The greatest responsibility for all of this is mine. response:	I couldn't see the truth about Wardes...
context: This is... Lord Wales'...\The letter has been taken,\and the Prince's life was taken in front of my eyes...\The greatest responsibility for all of this is mine.\I couldn't see the truth about Wardes... response:	Now, lift your head, Louise FranCoise.
context: This is... Lord Wales'...\The letter has been taken,\and the Prince's life was taken in front of my eyes...\The greatest responsibility for all of this is mine.\I couldn't see the truth about Wardes...\Now, lift your head, Louise FranCoise. response:	Thank you for his final memento and will...
context: This is... Lord Wales'...\The letter has been taken,\and the Prince's life was taken in front of my eyes...\The greatest responsibility for all of this is mine.\I couldn't see the truth about Wardes...\Now, lift your head, Louise FranCoise.\Thank you for his final memento and will... response:	Thank you, Louise...
context: This is... Lord Wales'...\The letter has been taken,\and the Prince's life was taken in front of my eyes...\The greatest responsibility for all of this is mine.\I couldn't see the truth about Wardes...\Now, lift your head, Louise FranCoise.\Thank you for his final memento and will...\Thank you, Louise... response:	Princess...
context: The letter has been taken,\and the Prince's life was taken in front of my eyes...\The greatest responsibility for all of this is mine.\I couldn't see the truth about Wardes...\Now, lift your head, Louise FranCoise.\Thank you for his final memento and will...\Thank you, Louise...\Princess... response:	A history of the couple's romance that starts from the first kiss
context: and the Prince's life was taken in front of my eyes...\The greatest responsibility for all of this is mine.\I couldn't see the truth about Wardes...\Now, lift your head, Louise FranCoise.\Thank you for his final memento and will...\Thank you, Louise...\Princess...\A history of the couple's romance that starts from the first kiss response:	You, the one who cast magic on this destiny, suddenly appeared
context: The greatest responsibility for all of this is mine.\I couldn't see the truth about Wardes...\Now, lift your head, Louise FranCoise.\Thank you for his final memento and will...\Thank you, Louise...\Princess...\A history of the couple's romance that starts from the first kiss\You, the one who cast magic on this destiny, suddenly appeared response:	The sky where two moons never fade away
context: I couldn't see the truth about Wardes...\Now, lift your head, Louise FranCoise.\Thank you for his final memento and will...\Thank you, Louise...\Princess...\A history of the couple's romance that starts from the first kiss\You, the one who cast magic on this destiny, suddenly appeared\The sky where two moons never fade away response:	That's an impossibility, right?
context: Now, lift your head, Louise FranCoise.\Thank you for his final memento and will...\Thank you, Louise...\Princess...\A history of the couple's romance that starts from the first kiss\You, the one who cast magic on this destiny, suddenly appeared\The sky where two moons never fade away\That's an impossibility, right? response:	This is the first time I've felt anything like this
context: Thank you for his final memento and will...\Thank you, Louise...\Princess...\A history of the couple's romance that starts from the first kiss\You, the one who cast magic on this destiny, suddenly appeared\The sky where two moons never fade away\That's an impossibility, right?\This is the first time I've felt anything like this response:	I'm feeling more and more at ease with this place
context: Thank you, Louise...\Princess...\A history of the couple's romance that starts from the first kiss\You, the one who cast magic on this destiny, suddenly appeared\The sky where two moons never fade away\That's an impossibility, right?\This is the first time I've felt anything like this\I'm feeling more and more at ease with this place response:	Even if you trip and become depressed
context: Princess...\A history of the couple's romance that starts from the first kiss\You, the one who cast magic on this destiny, suddenly appeared\The sky where two moons never fade away\That's an impossibility, right?\This is the first time I've felt anything like this\I'm feeling more and more at ease with this place\Even if you trip and become depressed response:	I will always hold you tight with a squeeze
context: A history of the couple's romance that starts from the first kiss\You, the one who cast magic on this destiny, suddenly appeared\The sky where two moons never fade away\That's an impossibility, right?\This is the first time I've felt anything like this\I'm feeling more and more at ease with this place\Even if you trip and become depressed\I will always hold you tight with a squeeze response:	The story where we met that day stays hot with a sweet kiss
context: You, the one who cast magic on this destiny, suddenly appeared\The sky where two moons never fade away\That's an impossibility, right?\This is the first time I've felt anything like this\I'm feeling more and more at ease with this place\Even if you trip and become depressed\I will always hold you tight with a squeeze\The story where we met that day stays hot with a sweet kiss response:	See, you can cast magic, and the wishes will surely come true
context: The sky where two moons never fade away\That's an impossibility, right?\This is the first time I've felt anything like this\I'm feeling more and more at ease with this place\Even if you trip and become depressed\I will always hold you tight with a squeeze\The story where we met that day stays hot with a sweet kiss\See, you can cast magic, and the wishes will surely come true response:	A history of the couple's romance that starts from the first kiss
context: That's an impossibility, right?\This is the first time I've felt anything like this\I'm feeling more and more at ease with this place\Even if you trip and become depressed\I will always hold you tight with a squeeze\The story where we met that day stays hot with a sweet kiss\See, you can cast magic, and the wishes will surely come true\A history of the couple's romance that starts from the first kiss response:	You, the one who cast magic on this destiny, suddenly appeared
context: This is the first time I've felt anything like this\I'm feeling more and more at ease with this place\Even if you trip and become depressed\I will always hold you tight with a squeeze\The story where we met that day stays hot with a sweet kiss\See, you can cast magic, and the wishes will surely come true\A history of the couple's romance that starts from the first kiss\You, the one who cast magic on this destiny, suddenly appeared response:	Zero Treasure
context: I'm feeling more and more at ease with this place\Even if you trip and become depressed\I will always hold you tight with a squeeze\The story where we met that day stays hot with a sweet kiss\See, you can cast magic, and the wishes will surely come true\A history of the couple's romance that starts from the first kiss\You, the one who cast magic on this destiny, suddenly appeared\Zero Treasure response:	Isn't this another false lead, as usual?
context: Even if you trip and become depressed\I will always hold you tight with a squeeze\The story where we met that day stays hot with a sweet kiss\See, you can cast magic, and the wishes will surely come true\A history of the couple's romance that starts from the first kiss\You, the one who cast magic on this destiny, suddenly appeared\Zero Treasure\Isn't this another false lead, as usual? response:	This time, I am sure that this information is true!
context: I will always hold you tight with a squeeze\The story where we met that day stays hot with a sweet kiss\See, you can cast magic, and the wishes will surely come true\A history of the couple's romance that starts from the first kiss\You, the one who cast magic on this destiny, suddenly appeared\Zero Treasure\Isn't this another false lead, as usual?\This time, I am sure that this information is true! response:	Come in.
context: The story where we met that day stays hot with a sweet kiss\See, you can cast magic, and the wishes will surely come true\A history of the couple's romance that starts from the first kiss\You, the one who cast magic on this destiny, suddenly appeared\Zero Treasure\Isn't this another false lead, as usual?\This time, I am sure that this information is true!\Come in. response:	Oh, Miss Valliere.
context: See, you can cast magic, and the wishes will surely come true\A history of the couple's romance that starts from the first kiss\You, the one who cast magic on this destiny, suddenly appeared\Zero Treasure\Isn't this another false lead, as usual?\This time, I am sure that this information is true!\Come in.\Oh, Miss Valliere. response:	Hello, Mr. Colbert...
context: A history of the couple's romance that starts from the first kiss\You, the one who cast magic on this destiny, suddenly appeared\Zero Treasure\Isn't this another false lead, as usual?\This time, I am sure that this information is true!\Come in.\Oh, Miss Valliere.\Hello, Mr. Colbert... response:	Um... I'm here to report...
context: You, the one who cast magic on this destiny, suddenly appeared\Zero Treasure\Isn't this another false lead, as usual?\This time, I am sure that this information is true!\Come in.\Oh, Miss Valliere.\Hello, Mr. Colbert...\Um... I'm here to report... response:	All right, I'll accept your vacation notice.
context: Zero Treasure\Isn't this another false lead, as usual?\This time, I am sure that this information is true!\Come in.\Oh, Miss Valliere.\Hello, Mr. Colbert...\Um... I'm here to report...\All right, I'll accept your vacation notice. response:	About how many days?
context: Isn't this another false lead, as usual?\This time, I am sure that this information is true!\Come in.\Oh, Miss Valliere.\Hello, Mr. Colbert...\Um... I'm here to report...\All right, I'll accept your vacation notice.\About how many days? response:	We are heading to the village of Talb,
context: This time, I am sure that this information is true!\Come in.\Oh, Miss Valliere.\Hello, Mr. Colbert...\Um... I'm here to report...\All right, I'll accept your vacation notice.\About how many days?\We are heading to the village of Talb, response:	so I believe that we will be back by the solar eclipse at the latest.
context: Come in.\Oh, Miss Valliere.\Hello, Mr. Colbert...\Um... I'm here to report...\All right, I'll accept your vacation notice.\About how many days?\We are heading to the village of Talb,\so I believe that we will be back by the solar eclipse at the latest. response:	Then, if you will excuse me...
context: Oh, Miss Valliere.\Hello, Mr. Colbert...\Um... I'm here to report...\All right, I'll accept your vacation notice.\About how many days?\We are heading to the village of Talb,\so I believe that we will be back by the solar eclipse at the latest.\Then, if you will excuse me... response:	Mr. Colbert is taking some time off?
context: Hello, Mr. Colbert...\Um... I'm here to report...\All right, I'll accept your vacation notice.\About how many days?\We are heading to the village of Talb,\so I believe that we will be back by the solar eclipse at the latest.\Then, if you will excuse me...\Mr. Colbert is taking some time off? response:	Apparently, he has found the location of the legendary dragon.
context: Um... I'm here to report...\All right, I'll accept your vacation notice.\About how many days?\We are heading to the village of Talb,\so I believe that we will be back by the solar eclipse at the latest.\Then, if you will excuse me...\Mr. Colbert is taking some time off?\Apparently, he has found the location of the legendary dragon. response:	Legendary dragon?
context: All right, I'll accept your vacation notice.\About how many days?\We are heading to the village of Talb,\so I believe that we will be back by the solar eclipse at the latest.\Then, if you will excuse me...\Mr. Colbert is taking some time off?\Apparently, he has found the location of the legendary dragon.\Legendary dragon? response:	He's gone on a search for a legendary something in the past,
context: About how many days?\We are heading to the village of Talb,\so I believe that we will be back by the solar eclipse at the latest.\Then, if you will excuse me...\Mr. Colbert is taking some time off?\Apparently, he has found the location of the legendary dragon.\Legendary dragon?\He's gone on a search for a legendary something in the past, response:	and almost stranded himself out in the ocean.
context: We are heading to the village of Talb,\so I believe that we will be back by the solar eclipse at the latest.\Then, if you will excuse me...\Mr. Colbert is taking some time off?\Apparently, he has found the location of the legendary dragon.\Legendary dragon?\He's gone on a search for a legendary something in the past,\and almost stranded himself out in the ocean. response:	Well, I'm not counting on him much.
context: so I believe that we will be back by the solar eclipse at the latest.\Then, if you will excuse me...\Mr. Colbert is taking some time off?\Apparently, he has found the location of the legendary dragon.\Legendary dragon?\He's gone on a search for a legendary something in the past,\and almost stranded himself out in the ocean.\Well, I'm not counting on him much. response:	Now, let's hear the report.
context: Then, if you will excuse me...\Mr. Colbert is taking some time off?\Apparently, he has found the location of the legendary dragon.\Legendary dragon?\He's gone on a search for a legendary something in the past,\and almost stranded himself out in the ocean.\Well, I'm not counting on him much.\Now, let's hear the report. response:	Yes, sir.
context: Mr. Colbert is taking some time off?\Apparently, he has found the location of the legendary dragon.\Legendary dragon?\He's gone on a search for a legendary something in the past,\and almost stranded himself out in the ocean.\Well, I'm not counting on him much.\Now, let's hear the report.\Yes, sir. response:	The Reconquista?
context: Apparently, he has found the location of the legendary dragon.\Legendary dragon?\He's gone on a search for a legendary something in the past,\and almost stranded himself out in the ocean.\Well, I'm not counting on him much.\Now, let's hear the report.\Yes, sir.\The Reconquista? response:	This looks like it will be rather troublesome.
context: Legendary dragon?\He's gone on a search for a legendary something in the past,\and almost stranded himself out in the ocean.\Well, I'm not counting on him much.\Now, let's hear the report.\Yes, sir.\The Reconquista?\This looks like it will be rather troublesome. response:	Thank you for the hard work. You should take a nice vacation.
context: He's gone on a search for a legendary something in the past,\and almost stranded himself out in the ocean.\Well, I'm not counting on him much.\Now, let's hear the report.\Yes, sir.\The Reconquista?\This looks like it will be rather troublesome.\Thank you for the hard work. You should take a nice vacation. response:	Um, Old Osman?
context: and almost stranded himself out in the ocean.\Well, I'm not counting on him much.\Now, let's hear the report.\Yes, sir.\The Reconquista?\This looks like it will be rather troublesome.\Thank you for the hard work. You should take a nice vacation.\Um, Old Osman? response:	Do you know about the descendant of the Void?
context: Well, I'm not counting on him much.\Now, let's hear the report.\Yes, sir.\The Reconquista?\This looks like it will be rather troublesome.\Thank you for the hard work. You should take a nice vacation.\Um, Old Osman?\Do you know about the descendant of the Void? response:	My memory is uncertain,
context: Now, let's hear the report.\Yes, sir.\The Reconquista?\This looks like it will be rather troublesome.\Thank you for the hard work. You should take a nice vacation.\Um, Old Osman?\Do you know about the descendant of the Void?\My memory is uncertain, response:	and I don't know who it was that called me that,
context: Yes, sir.\The Reconquista?\This looks like it will be rather troublesome.\Thank you for the hard work. You should take a nice vacation.\Um, Old Osman?\Do you know about the descendant of the Void?\My memory is uncertain,\and I don't know who it was that called me that, response:	but I'm sure...
context: The Reconquista?\This looks like it will be rather troublesome.\Thank you for the hard work. You should take a nice vacation.\Um, Old Osman?\Do you know about the descendant of the Void?\My memory is uncertain,\and I don't know who it was that called me that,\but I'm sure... response:	Void is the legendary element of magic that has long been lost.
context: This looks like it will be rather troublesome.\Thank you for the hard work. You should take a nice vacation.\Um, Old Osman?\Do you know about the descendant of the Void?\My memory is uncertain,\and I don't know who it was that called me that,\but I'm sure...\Void is the legendary element of magic that has long been lost. response:	Legendary?
context: Thank you for the hard work. You should take a nice vacation.\Um, Old Osman?\Do you know about the descendant of the Void?\My memory is uncertain,\and I don't know who it was that called me that,\but I'm sure...\Void is the legendary element of magic that has long been lost.\Legendary? response:	Such amazing magic...
context: Um, Old Osman?\Do you know about the descendant of the Void?\My memory is uncertain,\and I don't know who it was that called me that,\but I'm sure...\Void is the legendary element of magic that has long been lost.\Legendary?\Such amazing magic... response:	Or rather, even normal magic for me is, well, um...
context: Do you know about the descendant of the Void?\My memory is uncertain,\and I don't know who it was that called me that,\but I'm sure...\Void is the legendary element of magic that has long been lost.\Legendary?\Such amazing magic...\Or rather, even normal magic for me is, well, um... response:	You don't have to go into the details.
context: My memory is uncertain,\and I don't know who it was that called me that,\but I'm sure...\Void is the legendary element of magic that has long been lost.\Legendary?\Such amazing magic...\Or rather, even normal magic for me is, well, um...\You don't have to go into the details. response:	I guess Gundolf is for real as well.
context: and I don't know who it was that called me that,\but I'm sure...\Void is the legendary element of magic that has long been lost.\Legendary?\Such amazing magic...\Or rather, even normal magic for me is, well, um...\You don't have to go into the details.\I guess Gundolf is for real as well. response:	Gundolf?
context: but I'm sure...\Void is the legendary element of magic that has long been lost.\Legendary?\Such amazing magic...\Or rather, even normal magic for me is, well, um...\You don't have to go into the details.\I guess Gundolf is for real as well.\Gundolf? response:	Saito is the legendary familiar?
context: Void is the legendary element of magic that has long been lost.\Legendary?\Such amazing magic...\Or rather, even normal magic for me is, well, um...\You don't have to go into the details.\I guess Gundolf is for real as well.\Gundolf?\Saito is the legendary familiar? response:	That's impossible.
context: Legendary?\Such amazing magic...\Or rather, even normal magic for me is, well, um...\You don't have to go into the details.\I guess Gundolf is for real as well.\Gundolf?\Saito is the legendary familiar?\That's impossible. response:	Here we go...
context: Such amazing magic...\Or rather, even normal magic for me is, well, um...\You don't have to go into the details.\I guess Gundolf is for real as well.\Gundolf?\Saito is the legendary familiar?\That's impossible.\Here we go... response:	I'm back.
context: Or rather, even normal magic for me is, well, um...\You don't have to go into the details.\I guess Gundolf is for real as well.\Gundolf?\Saito is the legendary familiar?\That's impossible.\Here we go...\I'm back. response:	What is it?
context: You don't have to go into the details.\I guess Gundolf is for real as well.\Gundolf?\Saito is the legendary familiar?\That's impossible.\Here we go...\I'm back.\What is it? response:	I can't stay in clothes stained from such a long journey!
context: I guess Gundolf is for real as well.\Gundolf?\Saito is the legendary familiar?\That's impossible.\Here we go...\I'm back.\What is it?\I can't stay in clothes stained from such a long journey! response:	So I was just changing clothes.
context: Gundolf?\Saito is the legendary familiar?\That's impossible.\Here we go...\I'm back.\What is it?\I can't stay in clothes stained from such a long journey!\So I was just changing clothes. response:	Oh, so there was more laundry.
context: Saito is the legendary familiar?\That's impossible.\Here we go...\I'm back.\What is it?\I can't stay in clothes stained from such a long journey!\So I was just changing clothes.\Oh, so there was more laundry. response:	Geez.
context: That's impossible.\Here we go...\I'm back.\What is it?\I can't stay in clothes stained from such a long journey!\So I was just changing clothes.\Oh, so there was more laundry.\Geez. response:	If you complain too much, you can do without food!
context: Here we go...\I'm back.\What is it?\I can't stay in clothes stained from such a long journey!\So I was just changing clothes.\Oh, so there was more laundry.\Geez.\If you complain too much, you can do without food! response:	Yeah, yeah...
context: I'm back.\What is it?\I can't stay in clothes stained from such a long journey!\So I was just changing clothes.\Oh, so there was more laundry.\Geez.\If you complain too much, you can do without food!\Yeah, yeah... response:	How can you go back to normal like that?
context: What is it?\I can't stay in clothes stained from such a long journey!\So I was just changing clothes.\Oh, so there was more laundry.\Geez.\If you complain too much, you can do without food!\Yeah, yeah...\How can you go back to normal like that? response:	You kissed me!
