context: Intro response:	The heck is this?
context: Intro\The heck is this? response:	Pickles, I guess?
context: Intro\The heck is this?\Pickles, I guess? response:	Maybe she wanted to thank us for letting her stay the night.
context: Intro\The heck is this?\Pickles, I guess?\Maybe she wanted to thank us for letting her stay the night. response:	I'll taste test it.
context: Intro\The heck is this?\Pickles, I guess?\Maybe she wanted to thank us for letting her stay the night.\I'll taste test it. response:	Well?
context: Intro\The heck is this?\Pickles, I guess?\Maybe she wanted to thank us for letting her stay the night.\I'll taste test it.\Well? response:	She might be our enemy, but she's good.
context: Intro\The heck is this?\Pickles, I guess?\Maybe she wanted to thank us for letting her stay the night.\I'll taste test it.\Well?\She might be our enemy, but she's good. response:	Why are the keys on the floor?
context: Intro\The heck is this?\Pickles, I guess?\Maybe she wanted to thank us for letting her stay the night.\I'll taste test it.\Well?\She might be our enemy, but she's good.\Why are the keys on the floor? response:	She probably opened the window on her way out
context: The heck is this?\Pickles, I guess?\Maybe she wanted to thank us for letting her stay the night.\I'll taste test it.\Well?\She might be our enemy, but she's good.\Why are the keys on the floor?\She probably opened the window on her way out response:	and threw in the keys after locking the front door.
context: Pickles, I guess?\Maybe she wanted to thank us for letting her stay the night.\I'll taste test it.\Well?\She might be our enemy, but she's good.\Why are the keys on the floor?\She probably opened the window on her way out\and threw in the keys after locking the front door. response:	No wonder she's a hero.
context: Maybe she wanted to thank us for letting her stay the night.\I'll taste test it.\Well?\She might be our enemy, but she's good.\Why are the keys on the floor?\She probably opened the window on her way out\and threw in the keys after locking the front door.\No wonder she's a hero. response:	Such a nice girl.
context: I'll taste test it.\Well?\She might be our enemy, but she's good.\Why are the keys on the floor?\She probably opened the window on her way out\and threw in the keys after locking the front door.\No wonder she's a hero.\Such a nice girl. response:	What would you have done?
context: Well?\She might be our enemy, but she's good.\Why are the keys on the floor?\She probably opened the window on her way out\and threw in the keys after locking the front door.\No wonder she's a hero.\Such a nice girl.\What would you have done? response:	It should be obvious.
context: She might be our enemy, but she's good.\Why are the keys on the floor?\She probably opened the window on her way out\and threw in the keys after locking the front door.\No wonder she's a hero.\Such a nice girl.\What would you have done?\It should be obvious. response:	I would've locked the door
context: Why are the keys on the floor?\She probably opened the window on her way out\and threw in the keys after locking the front door.\No wonder she's a hero.\Such a nice girl.\What would you have done?\It should be obvious.\I would've locked the door response:	and taken the key with me.
context: She probably opened the window on her way out\and threw in the keys after locking the front door.\No wonder she's a hero.\Such a nice girl.\What would you have done?\It should be obvious.\I would've locked the door\and taken the key with me. response:	You're a demon.
context: and threw in the keys after locking the front door.\No wonder she's a hero.\Such a nice girl.\What would you have done?\It should be obvious.\I would've locked the door\and taken the key with me.\You're a demon. response:	That I am. What about it?
context: No wonder she's a hero.\Such a nice girl.\What would you have done?\It should be obvious.\I would've locked the door\and taken the key with me.\You're a demon.\That I am. What about it? response:	OP
context: Such a nice girl.\What would you have done?\It should be obvious.\I would've locked the door\and taken the key with me.\You're a demon.\That I am. What about it?\OP response:	Get out of your cage
context: What would you have done?\It should be obvious.\I would've locked the door\and taken the key with me.\You're a demon.\That I am. What about it?\OP\Get out of your cage response:	Fly towards the sky
context: It should be obvious.\I would've locked the door\and taken the key with me.\You're a demon.\That I am. What about it?\OP\Get out of your cage\Fly towards the sky response:	It all starts right here, right now
context: I would've locked the door\and taken the key with me.\You're a demon.\That I am. What about it?\OP\Get out of your cage\Fly towards the sky\It all starts right here, right now response:	Let's picture what we can do
context: and taken the key with me.\You're a demon.\That I am. What about it?\OP\Get out of your cage\Fly towards the sky\It all starts right here, right now\Let's picture what we can do response:	Unbelievable things might happen
context: You're a demon.\That I am. What about it?\OP\Get out of your cage\Fly towards the sky\It all starts right here, right now\Let's picture what we can do\Unbelievable things might happen response:	Unbelievable things might happen
context: That I am. What about it?\OP\Get out of your cage\Fly towards the sky\It all starts right here, right now\Let's picture what we can do\Unbelievable things might happen\Unbelievable things might happen response:	Unbelievable things might happen
context: OP\Get out of your cage\Fly towards the sky\It all starts right here, right now\Let's picture what we can do\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen response:	Unbelievable things might happen
context: Get out of your cage\Fly towards the sky\It all starts right here, right now\Let's picture what we can do\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen response:	Unbelievable things might happen
context: Fly towards the sky\It all starts right here, right now\Let's picture what we can do\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen response:	Unbelievable things might happen
context: It all starts right here, right now\Let's picture what we can do\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen response:	Unbelievable things might happen
context: Let's picture what we can do\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen response:	Unbelievable things might happen
context: Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen response:	Unbelievable things might happen
context: Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen response:	Unbelievable things might happen
context: Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen response:	Unbelievable things might happen
context: Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen response:	Unbelievable things might happen
context: Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen response:	Unbelievable things might happen
context: Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen response:	Unbelievable things might happen
context: Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen response:	Unbelievable things might happen
context: Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen response:	Unbelievable things might happen
context: Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen response:	Unbelievable things might happen
context: Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen response:	Unbelievable things might happen
context: Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen response:	Unbelievable things might happen
context: Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen response:	Unbelievable things might happen
context: Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen response:	Unbelievable things might happen
context: Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen response:	Unbelievable things might happen
context: Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen response:	Unbelievable things might happen
context: Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen response:	Unbelievable things might happen
context: Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen response:	Unbelievable things might happen
context: Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen response:	Unbelievable things might happen
context: Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen response:	Unbelievable things might happen
context: Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen response:	Unbelievable things might happen
context: Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen response:	Unbelievable things might happen
context: Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen response:	Unbelievable things might happen
context: Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen response:	Unbelievable things might happen
context: Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen response:	Unbelievable things might happen
context: Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen response:	Unbelievable things might happen
context: Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen response:	Unbelievable things might happen
