context: Back then, I didn't know what was going on, response:	or what they had talked about.
context: Back then, I didn't know what was going on,\or what they had talked about. response:	I didn't have any idea.
context: Back then, I didn't know what was going on,\or what they had talked about.\I didn't have any idea. response:	I didn't even know how I felt.
context: Back then, I didn't know what was going on,\or what they had talked about.\I didn't have any idea.\I didn't even know how I felt. response:	Senpai...
context: Back then, I didn't know what was going on,\or what they had talked about.\I didn't have any idea.\I didn't even know how I felt.\Senpai... response:	We were, uh...
context: Back then, I didn't know what was going on,\or what they had talked about.\I didn't have any idea.\I didn't even know how I felt.\Senpai...\We were, uh... response:	S-Sorry!
context: Back then, I didn't know what was going on,\or what they had talked about.\I didn't have any idea.\I didn't even know how I felt.\Senpai...\We were, uh...\S-Sorry! response:	Senpai!
context: Back then, I didn't know what was going on,\or what they had talked about.\I didn't have any idea.\I didn't even know how I felt.\Senpai...\We were, uh...\S-Sorry!\Senpai! response:	But I really didn't want to see it.
context: or what they had talked about.\I didn't have any idea.\I didn't even know how I felt.\Senpai...\We were, uh...\S-Sorry!\Senpai!\But I really didn't want to see it. response:	Huh?
context: I didn't have any idea.\I didn't even know how I felt.\Senpai...\We were, uh...\S-Sorry!\Senpai!\But I really didn't want to see it.\Huh? response:	Takatsuki-senpai?
context: I didn't even know how I felt.\Senpai...\We were, uh...\S-Sorry!\Senpai!\But I really didn't want to see it.\Huh?\Takatsuki-senpai? response:	Back then, I...
context: Senpai...\We were, uh...\S-Sorry!\Senpai!\But I really didn't want to see it.\Huh?\Takatsuki-senpai?\Back then, I... response:	Hm?
context: We were, uh...\S-Sorry!\Senpai!\But I really didn't want to see it.\Huh?\Takatsuki-senpai?\Back then, I...\Hm? response:	Tetsuro-san!
context: S-Sorry!\Senpai!\But I really didn't want to see it.\Huh?\Takatsuki-senpai?\Back then, I...\Hm?\Tetsuro-san! response:	Huh?
context: Senpai!\But I really didn't want to see it.\Huh?\Takatsuki-senpai?\Back then, I...\Hm?\Tetsuro-san!\Huh? response:	He's so shy.
context: But I really didn't want to see it.\Huh?\Takatsuki-senpai?\Back then, I...\Hm?\Tetsuro-san!\Huh?\He's so shy. response:	Actually, why am I...?
context: Huh?\Takatsuki-senpai?\Back then, I...\Hm?\Tetsuro-san!\Huh?\He's so shy.\Actually, why am I...? response:	I think we're far enough away now.
context: Takatsuki-senpai?\Back then, I...\Hm?\Tetsuro-san!\Huh?\He's so shy.\Actually, why am I...?\I think we're far enough away now. response:	That girl is way too aggressive.
