context: I'm heading out. response:	Ah, bocchan, good morning!
context: I'm heading out.\Ah, bocchan, good morning! response:	Shoveling the snow...
context: I'm heading out.\Ah, bocchan, good morning!\Shoveling the snow... response:	Good morning.
context: I'm heading out.\Ah, bocchan, good morning!\Shoveling the snow...\Good morning. response:	You don't have to.
context: I'm heading out.\Ah, bocchan, good morning!\Shoveling the snow...\Good morning.\You don't have to. response:	Since I'm not going to school, my body's been too idle.
context: I'm heading out.\Ah, bocchan, good morning!\Shoveling the snow...\Good morning.\You don't have to.\Since I'm not going to school, my body's been too idle. response:	So this is like a substitute for club activities.
context: I'm heading out.\Ah, bocchan, good morning!\Shoveling the snow...\Good morning.\You don't have to.\Since I'm not going to school, my body's been too idle.\So this is like a substitute for club activities. response:	I see...
context: I'm heading out.\Ah, bocchan, good morning!\Shoveling the snow...\Good morning.\You don't have to.\Since I'm not going to school, my body's been too idle.\So this is like a substitute for club activities.\I see... response:	Be careful.
context: Ah, bocchan, good morning!\Shoveling the snow...\Good morning.\You don't have to.\Since I'm not going to school, my body's been too idle.\So this is like a substitute for club activities.\I see...\Be careful. response:	We weren't siblings, after all...
context: Shoveling the snow...\Good morning.\You don't have to.\Since I'm not going to school, my body's been too idle.\So this is like a substitute for club activities.\I see...\Be careful.\We weren't siblings, after all... response:	We weren't siblings, after all...
context: Good morning.\You don't have to.\Since I'm not going to school, my body's been too idle.\So this is like a substitute for club activities.\I see...\Be careful.\We weren't siblings, after all...\We weren't siblings, after all... response:	Well then, let's keep working...
context: You don't have to.\Since I'm not going to school, my body's been too idle.\So this is like a substitute for club activities.\I see...\Be careful.\We weren't siblings, after all...\We weren't siblings, after all...\Well then, let's keep working... response:	Hiromi-san, you must be tired, right?
context: Since I'm not going to school, my body's been too idle.\So this is like a substitute for club activities.\I see...\Be careful.\We weren't siblings, after all...\We weren't siblings, after all...\Well then, let's keep working...\Hiromi-san, you must be tired, right? response:	No, I was just spacing out a bit.
context: So this is like a substitute for club activities.\I see...\Be careful.\We weren't siblings, after all...\We weren't siblings, after all...\Well then, let's keep working...\Hiromi-san, you must be tired, right?\No, I was just spacing out a bit. response:	Hey! was Here, that could work too
context: I see...\Be careful.\We weren't siblings, after all...\We weren't siblings, after all...\Well then, let's keep working...\Hiromi-san, you must be tired, right?\No, I was just spacing out a bit.\Hey! was Here, that could work too response:	Thanks.
context: Be careful.\We weren't siblings, after all...\We weren't siblings, after all...\Well then, let's keep working...\Hiromi-san, you must be tired, right?\No, I was just spacing out a bit.\Hey! was Here, that could work too\Thanks. response:	Were you calling your girlfriend?
context: We weren't siblings, after all...\We weren't siblings, after all...\Well then, let's keep working...\Hiromi-san, you must be tired, right?\No, I was just spacing out a bit.\Hey! was Here, that could work too\Thanks.\Were you calling your girlfriend? response:	Yeah, I guess...
context: We weren't siblings, after all...\Well then, let's keep working...\Hiromi-san, you must be tired, right?\No, I was just spacing out a bit.\Hey! was Here, that could work too\Thanks.\Were you calling your girlfriend?\Yeah, I guess... response:	You're quite popular with the girls, huh?
