context: The Year 1879 (What is now) Menlo Park, America response:	What's happening? The Year 1879 (What is now) Menlo Park, America
context: The Year 1879 (What is now) Menlo Park, America\What's happening? The Year 1879 (What is now) Menlo Park, America response:	What's happening?
context: The Year 1879 (What is now) Menlo Park, America\What's happening? The Year 1879 (What is now) Menlo Park, America\What's happening? response:	The weather was so nice earlier...
context: The Year 1879 (What is now) Menlo Park, America\What's happening? The Year 1879 (What is now) Menlo Park, America\What's happening?\The weather was so nice earlier... response:	Focus already!
context: The Year 1879 (What is now) Menlo Park, America\What's happening? The Year 1879 (What is now) Menlo Park, America\What's happening?\The weather was so nice earlier...\Focus already! response:	R-Right.
context: The Year 1879 (What is now) Menlo Park, America\What's happening? The Year 1879 (What is now) Menlo Park, America\What's happening?\The weather was so nice earlier...\Focus already!\R-Right. response:	A thread of cotton treated with soot for a filament.
context: The Year 1879 (What is now) Menlo Park, America\What's happening? The Year 1879 (What is now) Menlo Park, America\What's happening?\The weather was so nice earlier...\Focus already!\R-Right.\A thread of cotton treated with soot for a filament. response:	It'll work.
context: The Year 1879 (What is now) Menlo Park, America\What's happening? The Year 1879 (What is now) Menlo Park, America\What's happening?\The weather was so nice earlier...\Focus already!\R-Right.\A thread of cotton treated with soot for a filament.\It'll work. response:	Sir, it came from the warehouse.
context: What's happening? The Year 1879 (What is now) Menlo Park, America\What's happening?\The weather was so nice earlier...\Focus already!\R-Right.\A thread of cotton treated with soot for a filament.\It'll work.\Sir, it came from the warehouse. response:	What are those idiots doing?!
context: What's happening?\The weather was so nice earlier...\Focus already!\R-Right.\A thread of cotton treated with soot for a filament.\It'll work.\Sir, it came from the warehouse.\What are those idiots doing?! response:	Can it be... This is...
context: The weather was so nice earlier...\Focus already!\R-Right.\A thread of cotton treated with soot for a filament.\It'll work.\Sir, it came from the warehouse.\What are those idiots doing?!\Can it be... This is... response:	What is that?
context: Focus already!\R-Right.\A thread of cotton treated with soot for a filament.\It'll work.\Sir, it came from the warehouse.\What are those idiots doing?!\Can it be... This is...\What is that? response:	I don't know!
context: R-Right.\A thread of cotton treated with soot for a filament.\It'll work.\Sir, it came from the warehouse.\What are those idiots doing?!\Can it be... This is...\What is that?\I don't know! response:	Episode 12 Cherished Scientists I don't know!
context: A thread of cotton treated with soot for a filament.\It'll work.\Sir, it came from the warehouse.\What are those idiots doing?!\Can it be... This is...\What is that?\I don't know!\Episode 12 Cherished Scientists I don't know! response:	But it could be a fissure in space-time! Episode 12 Cherished Scientists
context: It'll work.\Sir, it came from the warehouse.\What are those idiots doing?!\Can it be... This is...\What is that?\I don't know!\Episode 12 Cherished Scientists I don't know!\But it could be a fissure in space-time! Episode 12 Cherished Scientists response:	But it could be a fissure in space-time!
context: Sir, it came from the warehouse.\What are those idiots doing?!\Can it be... This is...\What is that?\I don't know!\Episode 12 Cherished Scientists I don't know!\But it could be a fissure in space-time! Episode 12 Cherished Scientists\But it could be a fissure in space-time! response:	A- A fissure in space-time?
context: What are those idiots doing?!\Can it be... This is...\What is that?\I don't know!\Episode 12 Cherished Scientists I don't know!\But it could be a fissure in space-time! Episode 12 Cherished Scientists\But it could be a fissure in space-time!\A- A fissure in space-time? response:	Mari, grab on to the ladder!
context: Can it be... This is...\What is that?\I don't know!\Episode 12 Cherished Scientists I don't know!\But it could be a fissure in space-time! Episode 12 Cherished Scientists\But it could be a fissure in space-time!\A- A fissure in space-time?\Mari, grab on to the ladder! response:	Papa!
context: What is that?\I don't know!\Episode 12 Cherished Scientists I don't know!\But it could be a fissure in space-time! Episode 12 Cherished Scientists\But it could be a fissure in space-time!\A- A fissure in space-time?\Mari, grab on to the ladder!\Papa! response:	I'll be fine! You stay still!
context: I don't know!\Episode 12 Cherished Scientists I don't know!\But it could be a fissure in space-time! Episode 12 Cherished Scientists\But it could be a fissure in space-time!\A- A fissure in space-time?\Mari, grab on to the ladder!\Papa!\I'll be fine! You stay still! response:	But Papa!
context: Episode 12 Cherished Scientists I don't know!\But it could be a fissure in space-time! Episode 12 Cherished Scientists\But it could be a fissure in space-time!\A- A fissure in space-time?\Mari, grab on to the ladder!\Papa!\I'll be fine! You stay still!\But Papa! response:	Papa!
context: But it could be a fissure in space-time! Episode 12 Cherished Scientists\But it could be a fissure in space-time!\A- A fissure in space-time?\Mari, grab on to the ladder!\Papa!\I'll be fine! You stay still!\But Papa!\Papa! response:	Brother, what's happening?
context: But it could be a fissure in space-time!\A- A fissure in space-time?\Mari, grab on to the ladder!\Papa!\I'll be fine! You stay still!\But Papa!\Papa!\Brother, what's happening? response:	I don't know.
context: A- A fissure in space-time?\Mari, grab on to the ladder!\Papa!\I'll be fine! You stay still!\But Papa!\Papa!\Brother, what's happening?\I don't know. response:	It could be a time paradox variation.
