context: Redraw? response:	After what Eiji said about the name, we can't make it into a manuscript.
context: Redraw?\After what Eiji said about the name, we can't make it into a manuscript. response:	Hey, what's he mean?
context: Redraw?\After what Eiji said about the name, we can't make it into a manuscript.\Hey, what's he mean? response:	I told you we went to the editorial department yesterday about the whole KOOGY thing, right?
context: Redraw?\After what Eiji said about the name, we can't make it into a manuscript.\Hey, what's he mean?\I told you we went to the editorial department yesterday about the whole KOOGY thing, right? response:	Yeah.
context: Redraw?\After what Eiji said about the name, we can't make it into a manuscript.\Hey, what's he mean?\I told you we went to the editorial department yesterday about the whole KOOGY thing, right?\Yeah. response:	After that, we got together with all the members in the Golden Future Cup and showed each other our names.
context: Redraw?\After what Eiji said about the name, we can't make it into a manuscript.\Hey, what's he mean?\I told you we went to the editorial department yesterday about the whole KOOGY thing, right?\Yeah.\After that, we got together with all the members in the Golden Future Cup and showed each other our names. response:	And then at the end, Eiji said,
context: Redraw?\After what Eiji said about the name, we can't make it into a manuscript.\Hey, what's he mean?\I told you we went to the editorial department yesterday about the whole KOOGY thing, right?\Yeah.\After that, we got together with all the members in the Golden Future Cup and showed each other our names.\And then at the end, Eiji said, response:	I know which is 3rd, but it's a tie for 1st.
context: Redraw?\After what Eiji said about the name, we can't make it into a manuscript.\Hey, what's he mean?\I told you we went to the editorial department yesterday about the whole KOOGY thing, right?\Yeah.\After that, we got together with all the members in the Golden Future Cup and showed each other our names.\And then at the end, Eiji said,\I know which is 3rd, but it's a tie for 1st. response:	What's that about?
context: After what Eiji said about the name, we can't make it into a manuscript.\Hey, what's he mean?\I told you we went to the editorial department yesterday about the whole KOOGY thing, right?\Yeah.\After that, we got together with all the members in the Golden Future Cup and showed each other our names.\And then at the end, Eiji said,\I know which is 3rd, but it's a tie for 1st.\What's that about? response:	Weren't you guys just having a fun little informal get-together?
context: Hey, what's he mean?\I told you we went to the editorial department yesterday about the whole KOOGY thing, right?\Yeah.\After that, we got together with all the members in the Golden Future Cup and showed each other our names.\And then at the end, Eiji said,\I know which is 3rd, but it's a tie for 1st.\What's that about?\Weren't you guys just having a fun little informal get-together? response:	That Eiji guy is a little strange.
context: I told you we went to the editorial department yesterday about the whole KOOGY thing, right?\Yeah.\After that, we got together with all the members in the Golden Future Cup and showed each other our names.\And then at the end, Eiji said,\I know which is 3rd, but it's a tie for 1st.\What's that about?\Weren't you guys just having a fun little informal get-together?\That Eiji guy is a little strange. response:	More than a little.
context: Yeah.\After that, we got together with all the members in the Golden Future Cup and showed each other our names.\And then at the end, Eiji said,\I know which is 3rd, but it's a tie for 1st.\What's that about?\Weren't you guys just having a fun little informal get-together?\That Eiji guy is a little strange.\More than a little. response:	But he's a genius!
context: After that, we got together with all the members in the Golden Future Cup and showed each other our names.\And then at the end, Eiji said,\I know which is 3rd, but it's a tie for 1st.\What's that about?\Weren't you guys just having a fun little informal get-together?\That Eiji guy is a little strange.\More than a little.\But he's a genius! response:	And he was giving his flat out opinion as a genius.
context: And then at the end, Eiji said,\I know which is 3rd, but it's a tie for 1st.\What's that about?\Weren't you guys just having a fun little informal get-together?\That Eiji guy is a little strange.\More than a little.\But he's a genius!\And he was giving his flat out opinion as a genius. response:	We can't just ignore that.
context: I know which is 3rd, but it's a tie for 1st.\What's that about?\Weren't you guys just having a fun little informal get-together?\That Eiji guy is a little strange.\More than a little.\But he's a genius!\And he was giving his flat out opinion as a genius.\We can't just ignore that. response:	Our goal is serialization.
context: What's that about?\Weren't you guys just having a fun little informal get-together?\That Eiji guy is a little strange.\More than a little.\But he's a genius!\And he was giving his flat out opinion as a genius.\We can't just ignore that.\Our goal is serialization. response:	We can't mess up here!
context: Weren't you guys just having a fun little informal get-together?\That Eiji guy is a little strange.\More than a little.\But he's a genius!\And he was giving his flat out opinion as a genius.\We can't just ignore that.\Our goal is serialization.\We can't mess up here! response:	Is there really time to write it again?
context: That Eiji guy is a little strange.\More than a little.\But he's a genius!\And he was giving his flat out opinion as a genius.\We can't just ignore that.\Our goal is serialization.\We can't mess up here!\Is there really time to write it again? response:	You guys have barely slept since you started working on it, right?
context: More than a little.\But he's a genius!\And he was giving his flat out opinion as a genius.\We can't just ignore that.\Our goal is serialization.\We can't mess up here!\Is there really time to write it again?\You guys have barely slept since you started working on it, right? response:	Your bodies are gonna break down.
context: But he's a genius!\And he was giving his flat out opinion as a genius.\We can't just ignore that.\Our goal is serialization.\We can't mess up here!\Is there really time to write it again?\You guys have barely slept since you started working on it, right?\Your bodies are gonna break down. response:	Thank you Miyoshi, but no.
context: And he was giving his flat out opinion as a genius.\We can't just ignore that.\Our goal is serialization.\We can't mess up here!\Is there really time to write it again?\You guys have barely slept since you started working on it, right?\Your bodies are gonna break down.\Thank you Miyoshi, but no. response:	If we stop now, we'll definitely end up regretting it.
context: We can't just ignore that.\Our goal is serialization.\We can't mess up here!\Is there really time to write it again?\You guys have barely slept since you started working on it, right?\Your bodies are gonna break down.\Thank you Miyoshi, but no.\If we stop now, we'll definitely end up regretting it. response:	There are no problems with the story.
context: Our goal is serialization.\We can't mess up here!\Is there really time to write it again?\You guys have barely slept since you started working on it, right?\Your bodies are gonna break down.\Thank you Miyoshi, but no.\If we stop now, we'll definitely end up regretting it.\There are no problems with the story. response:	The drawings are what need fixing.
context: We can't mess up here!\Is there really time to write it again?\You guys have barely slept since you started working on it, right?\Your bodies are gonna break down.\Thank you Miyoshi, but no.\If we stop now, we'll definitely end up regretting it.\There are no problems with the story.\The drawings are what need fixing. response:	I need to get them to make better use of Shuujin's story.
context: Is there really time to write it again?\You guys have barely slept since you started working on it, right?\Your bodies are gonna break down.\Thank you Miyoshi, but no.\If we stop now, we'll definitely end up regretting it.\There are no problems with the story.\The drawings are what need fixing.\I need to get them to make better use of Shuujin's story. response:	Okay, but I have one condition.
context: You guys have barely slept since you started working on it, right?\Your bodies are gonna break down.\Thank you Miyoshi, but no.\If we stop now, we'll definitely end up regretting it.\There are no problems with the story.\The drawings are what need fixing.\I need to get them to make better use of Shuujin's story.\Okay, but I have one condition. response:	Condition?
context: Your bodies are gonna break down.\Thank you Miyoshi, but no.\If we stop now, we'll definitely end up regretting it.\There are no problems with the story.\The drawings are what need fixing.\I need to get them to make better use of Shuujin's story.\Okay, but I have one condition.\Condition? response:	Yeah.
context: Thank you Miyoshi, but no.\If we stop now, we'll definitely end up regretting it.\There are no problems with the story.\The drawings are what need fixing.\I need to get them to make better use of Shuujin's story.\Okay, but I have one condition.\Condition?\Yeah. response:	Let me touch up the story too!
context: If we stop now, we'll definitely end up regretting it.\There are no problems with the story.\The drawings are what need fixing.\I need to get them to make better use of Shuujin's story.\Okay, but I have one condition.\Condition?\Yeah.\Let me touch up the story too! response:	Eh? There's no need to!
context: There are no problems with the story.\The drawings are what need fixing.\I need to get them to make better use of Shuujin's story.\Okay, but I have one condition.\Condition?\Yeah.\Let me touch up the story too!\Eh? There's no need to! response:	That's just from your perspective as the artist.
context: The drawings are what need fixing.\I need to get them to make better use of Shuujin's story.\Okay, but I have one condition.\Condition?\Yeah.\Let me touch up the story too!\Eh? There's no need to!\That's just from your perspective as the artist. response:	After looking at the runner-up king of the Story King's name,
context: I need to get them to make better use of Shuujin's story.\Okay, but I have one condition.\Condition?\Yeah.\Let me touch up the story too!\Eh? There's no need to!\That's just from your perspective as the artist.\After looking at the runner-up king of the Story King's name, response:	I've been thinking I need to try to aim higher.
context: Okay, but I have one condition.\Condition?\Yeah.\Let me touch up the story too!\Eh? There's no need to!\That's just from your perspective as the artist.\After looking at the runner-up king of the Story King's name,\I've been thinking I need to try to aim higher. response:	Hang on a minute, I'll write down my ideas in note form.
context: Condition?\Yeah.\Let me touch up the story too!\Eh? There's no need to!\That's just from your perspective as the artist.\After looking at the runner-up king of the Story King's name,\I've been thinking I need to try to aim higher.\Hang on a minute, I'll write down my ideas in note form. response:	I'm not sure if the stuff is good enough to get serialized,
context: Yeah.\Let me touch up the story too!\Eh? There's no need to!\That's just from your perspective as the artist.\After looking at the runner-up king of the Story King's name,\I've been thinking I need to try to aim higher.\Hang on a minute, I'll write down my ideas in note form.\I'm not sure if the stuff is good enough to get serialized, response:	but we don't have the luxury of holding back here.
context: Let me touch up the story too!\Eh? There's no need to!\That's just from your perspective as the artist.\After looking at the runner-up king of the Story King's name,\I've been thinking I need to try to aim higher.\Hang on a minute, I'll write down my ideas in note form.\I'm not sure if the stuff is good enough to get serialized,\but we don't have the luxury of holding back here. response:	Yeah!
context: Eh? There's no need to!\That's just from your perspective as the artist.\After looking at the runner-up king of the Story King's name,\I've been thinking I need to try to aim higher.\Hang on a minute, I'll write down my ideas in note form.\I'm not sure if the stuff is good enough to get serialized,\but we don't have the luxury of holding back here.\Yeah! response:	You guys sure are idiots.
context: That's just from your perspective as the artist.\After looking at the runner-up king of the Story King's name,\I've been thinking I need to try to aim higher.\Hang on a minute, I'll write down my ideas in note form.\I'm not sure if the stuff is good enough to get serialized,\but we don't have the luxury of holding back here.\Yeah!\You guys sure are idiots. response:	Yeah, we're still at the dreaming idiot right now.
context: After looking at the runner-up king of the Story King's name,\I've been thinking I need to try to aim higher.\Hang on a minute, I'll write down my ideas in note form.\I'm not sure if the stuff is good enough to get serialized,\but we don't have the luxury of holding back here.\Yeah!\You guys sure are idiots.\Yeah, we're still at the dreaming idiot right now. response:	What's that?
