context: What?! Really?! response:	We have just received information
context: What?! Really?!\We have just received information response:	that Rei's Grandpa has turned into a monster.
context: What?! Really?!\We have just received information\that Rei's Grandpa has turned into a monster. response:	No way! Then will Rei also become a monster?!
context: What?! Really?!\We have just received information\that Rei's Grandpa has turned into a monster.\No way! Then will Rei also become a monster?! response:	Anyone who turns my favorite Grandpa and Rei into monsters...
context: What?! Really?!\We have just received information\that Rei's Grandpa has turned into a monster.\No way! Then will Rei also become a monster?!\Anyone who turns my favorite Grandpa and Rei into monsters... response:	In the name of the moon, I will punish you!
context: What?! Really?!\We have just received information\that Rei's Grandpa has turned into a monster.\No way! Then will Rei also become a monster?!\Anyone who turns my favorite Grandpa and Rei into monsters...\In the name of the moon, I will punish you! response:	Gomen ne sunao ja nakute yume no naka nara ieru
context: What?! Really?!\We have just received information\that Rei's Grandpa has turned into a monster.\No way! Then will Rei also become a monster?!\Anyone who turns my favorite Grandpa and Rei into monsters...\In the name of the moon, I will punish you!\Gomen ne sunao ja nakute yume no naka nara ieru response:	Shikou kairo wa short sunzen ima sugu aitai yo
context: What?! Really?!\We have just received information\that Rei's Grandpa has turned into a monster.\No way! Then will Rei also become a monster?!\Anyone who turns my favorite Grandpa and Rei into monsters...\In the name of the moon, I will punish you!\Gomen ne sunao ja nakute yume no naka nara ieru\Shikou kairo wa short sunzen ima sugu aitai yo response:	Nakitakunaru you na moonlight denwa mo dekinai midnight
context: We have just received information\that Rei's Grandpa has turned into a monster.\No way! Then will Rei also become a monster?!\Anyone who turns my favorite Grandpa and Rei into monsters...\In the name of the moon, I will punish you!\Gomen ne sunao ja nakute yume no naka nara ieru\Shikou kairo wa short sunzen ima sugu aitai yo\Nakitakunaru you na moonlight denwa mo dekinai midnight response:	Datte junjou dou shiyou heart wa mangekyou
context: that Rei's Grandpa has turned into a monster.\No way! Then will Rei also become a monster?!\Anyone who turns my favorite Grandpa and Rei into monsters...\In the name of the moon, I will punish you!\Gomen ne sunao ja nakute yume no naka nara ieru\Shikou kairo wa short sunzen ima sugu aitai yo\Nakitakunaru you na moonlight denwa mo dekinai midnight\Datte junjou dou shiyou heart wa mangekyou response:	Tsuki no hikari ni michibikare
context: No way! Then will Rei also become a monster?!\Anyone who turns my favorite Grandpa and Rei into monsters...\In the name of the moon, I will punish you!\Gomen ne sunao ja nakute yume no naka nara ieru\Shikou kairo wa short sunzen ima sugu aitai yo\Nakitakunaru you na moonlight denwa mo dekinai midnight\Datte junjou dou shiyou heart wa mangekyou\Tsuki no hikari ni michibikare response:	Nando mo meguriau
context: Anyone who turns my favorite Grandpa and Rei into monsters...\In the name of the moon, I will punish you!\Gomen ne sunao ja nakute yume no naka nara ieru\Shikou kairo wa short sunzen ima sugu aitai yo\Nakitakunaru you na moonlight denwa mo dekinai midnight\Datte junjou dou shiyou heart wa mangekyou\Tsuki no hikari ni michibikare\Nando mo meguriau response:	Seiza no matataki kazoe uranau koi no yukue
context: In the name of the moon, I will punish you!\Gomen ne sunao ja nakute yume no naka nara ieru\Shikou kairo wa short sunzen ima sugu aitai yo\Nakitakunaru you na moonlight denwa mo dekinai midnight\Datte junjou dou shiyou heart wa mangekyou\Tsuki no hikari ni michibikare\Nando mo meguriau\Seiza no matataki kazoe uranau koi no yukue response:	Onaji kuni ni umareta no miracle romance
context: Gomen ne sunao ja nakute yume no naka nara ieru\Shikou kairo wa short sunzen ima sugu aitai yo\Nakitakunaru you na moonlight denwa mo dekinai midnight\Datte junjou dou shiyou heart wa mangekyou\Tsuki no hikari ni michibikare\Nando mo meguriau\Seiza no matataki kazoe uranau koi no yukue\Onaji kuni ni umareta no miracle romance response:	Shinjite iru no miracle romance
context: Shikou kairo wa short sunzen ima sugu aitai yo\Nakitakunaru you na moonlight denwa mo dekinai midnight\Datte junjou dou shiyou heart wa mangekyou\Tsuki no hikari ni michibikare\Nando mo meguriau\Seiza no matataki kazoe uranau koi no yukue\Onaji kuni ni umareta no miracle romance\Shinjite iru no miracle romance response:	I'm Usagi Tsukino.
context: Nakitakunaru you na moonlight denwa mo dekinai midnight\Datte junjou dou shiyou heart wa mangekyou\Tsuki no hikari ni michibikare\Nando mo meguriau\Seiza no matataki kazoe uranau koi no yukue\Onaji kuni ni umareta no miracle romance\Shinjite iru no miracle romance\I'm Usagi Tsukino. response:	As you know, I'm a sailor warrior of love and justice, Sailor Moon.
context: Datte junjou dou shiyou heart wa mangekyou\Tsuki no hikari ni michibikare\Nando mo meguriau\Seiza no matataki kazoe uranau koi no yukue\Onaji kuni ni umareta no miracle romance\Shinjite iru no miracle romance\I'm Usagi Tsukino.\As you know, I'm a sailor warrior of love and justice, Sailor Moon. response:	But it's not easy, you know.
context: Tsuki no hikari ni michibikare\Nando mo meguriau\Seiza no matataki kazoe uranau koi no yukue\Onaji kuni ni umareta no miracle romance\Shinjite iru no miracle romance\I'm Usagi Tsukino.\As you know, I'm a sailor warrior of love and justice, Sailor Moon.\But it's not easy, you know. response:	I have to get a hold of the legendary Silver Crystal
context: Nando mo meguriau\Seiza no matataki kazoe uranau koi no yukue\Onaji kuni ni umareta no miracle romance\Shinjite iru no miracle romance\I'm Usagi Tsukino.\As you know, I'm a sailor warrior of love and justice, Sailor Moon.\But it's not easy, you know.\I have to get a hold of the legendary Silver Crystal response:	before the bad guys get it,
context: Seiza no matataki kazoe uranau koi no yukue\Onaji kuni ni umareta no miracle romance\Shinjite iru no miracle romance\I'm Usagi Tsukino.\As you know, I'm a sailor warrior of love and justice, Sailor Moon.\But it's not easy, you know.\I have to get a hold of the legendary Silver Crystal\before the bad guys get it, response:	but to do that, I have to find the seven rainbow crystals!
context: Onaji kuni ni umareta no miracle romance\Shinjite iru no miracle romance\I'm Usagi Tsukino.\As you know, I'm a sailor warrior of love and justice, Sailor Moon.\But it's not easy, you know.\I have to get a hold of the legendary Silver Crystal\before the bad guys get it,\but to do that, I have to find the seven rainbow crystals! response:	Oh, man. But anyhow, we've got four sailor warriors now,
context: Shinjite iru no miracle romance\I'm Usagi Tsukino.\As you know, I'm a sailor warrior of love and justice, Sailor Moon.\But it's not easy, you know.\I have to get a hold of the legendary Silver Crystal\before the bad guys get it,\but to do that, I have to find the seven rainbow crystals!\Oh, man. But anyhow, we've got four sailor warriors now, response:	so it'll work out somehow.
context: I'm Usagi Tsukino.\As you know, I'm a sailor warrior of love and justice, Sailor Moon.\But it's not easy, you know.\I have to get a hold of the legendary Silver Crystal\before the bad guys get it,\but to do that, I have to find the seven rainbow crystals!\Oh, man. But anyhow, we've got four sailor warriors now,\so it'll work out somehow. response:	Grandpa Goes Crazy, Rei's in Jeopardy
context: As you know, I'm a sailor warrior of love and justice, Sailor Moon.\But it's not easy, you know.\I have to get a hold of the legendary Silver Crystal\before the bad guys get it,\but to do that, I have to find the seven rainbow crystals!\Oh, man. But anyhow, we've got four sailor warriors now,\so it'll work out somehow.\Grandpa Goes Crazy, Rei's in Jeopardy response:	Oh, what a beautiful moon!
