context: Ladies and gentlemen, good evening. response:	A rage that is only permitted by youth.
context: Ladies and gentlemen, good evening.\A rage that is only permitted by youth. response:	A pure, unadulterated rage.
context: Ladies and gentlemen, good evening.\A rage that is only permitted by youth.\A pure, unadulterated rage. response:	That is the most appropriate description for the emotion expressed by the young soul.
context: Ladies and gentlemen, good evening.\A rage that is only permitted by youth.\A pure, unadulterated rage.\That is the most appropriate description for the emotion expressed by the young soul. response:	How exquisite it is!
context: Ladies and gentlemen, good evening.\A rage that is only permitted by youth.\A pure, unadulterated rage.\That is the most appropriate description for the emotion expressed by the young soul.\How exquisite it is! response:	How I desire it!
context: Ladies and gentlemen, good evening.\A rage that is only permitted by youth.\A pure, unadulterated rage.\That is the most appropriate description for the emotion expressed by the young soul.\How exquisite it is!\How I desire it! response:	More! More!
context: Ladies and gentlemen, good evening.\A rage that is only permitted by youth.\A pure, unadulterated rage.\That is the most appropriate description for the emotion expressed by the young soul.\How exquisite it is!\How I desire it!\More! More! response:	Act 18: The Duel
context: Ladies and gentlemen, good evening.\A rage that is only permitted by youth.\A pure, unadulterated rage.\That is the most appropriate description for the emotion expressed by the young soul.\How exquisite it is!\How I desire it!\More! More!\Act 18: The Duel response:	C'mon, baby, why not?
context: A rage that is only permitted by youth.\A pure, unadulterated rage.\That is the most appropriate description for the emotion expressed by the young soul.\How exquisite it is!\How I desire it!\More! More!\Act 18: The Duel\C'mon, baby, why not? response:	Is it because you are a soldier's son that you did not give in to fear and run away?
context: A pure, unadulterated rage.\That is the most appropriate description for the emotion expressed by the young soul.\How exquisite it is!\How I desire it!\More! More!\Act 18: The Duel\C'mon, baby, why not?\Is it because you are a soldier's son that you did not give in to fear and run away? response:	En garde!
context: That is the most appropriate description for the emotion expressed by the young soul.\How exquisite it is!\How I desire it!\More! More!\Act 18: The Duel\C'mon, baby, why not?\Is it because you are a soldier's son that you did not give in to fear and run away?\En garde! response:	Edmond... is dead.
context: How exquisite it is!\How I desire it!\More! More!\Act 18: The Duel\C'mon, baby, why not?\Is it because you are a soldier's son that you did not give in to fear and run away?\En garde!\Edmond... is dead. response:	This body retains only his shape and appearance.
context: How I desire it!\More! More!\Act 18: The Duel\C'mon, baby, why not?\Is it because you are a soldier's son that you did not give in to fear and run away?\En garde!\Edmond... is dead.\This body retains only his shape and appearance. response:	There is no longer anything of Edmond himself left within it.
context: More! More!\Act 18: The Duel\C'mon, baby, why not?\Is it because you are a soldier's son that you did not give in to fear and run away?\En garde!\Edmond... is dead.\This body retains only his shape and appearance.\There is no longer anything of Edmond himself left within it. response:	I will show you proof that Edmond, the man you once loved, is now dead.
context: Act 18: The Duel\C'mon, baby, why not?\Is it because you are a soldier's son that you did not give in to fear and run away?\En garde!\Edmond... is dead.\This body retains only his shape and appearance.\There is no longer anything of Edmond himself left within it.\I will show you proof that Edmond, the man you once loved, is now dead. response:	Edmond...
context: C'mon, baby, why not?\Is it because you are a soldier's son that you did not give in to fear and run away?\En garde!\Edmond... is dead.\This body retains only his shape and appearance.\There is no longer anything of Edmond himself left within it.\I will show you proof that Edmond, the man you once loved, is now dead.\Edmond... response:	It's done!
context: Is it because you are a soldier's son that you did not give in to fear and run away?\En garde!\Edmond... is dead.\This body retains only his shape and appearance.\There is no longer anything of Edmond himself left within it.\I will show you proof that Edmond, the man you once loved, is now dead.\Edmond...\It's done! response:	I'm cutting it pretty close...
context: En garde!\Edmond... is dead.\This body retains only his shape and appearance.\There is no longer anything of Edmond himself left within it.\I will show you proof that Edmond, the man you once loved, is now dead.\Edmond...\It's done!\I'm cutting it pretty close... response:	I wrote a message in a birthday card for him,
context: Edmond... is dead.\This body retains only his shape and appearance.\There is no longer anything of Edmond himself left within it.\I will show you proof that Edmond, the man you once loved, is now dead.\Edmond...\It's done!\I'm cutting it pretty close...\I wrote a message in a birthday card for him, response:	Anyway, give it to Albert after I leave tomorrow.
context: This body retains only his shape and appearance.\There is no longer anything of Edmond himself left within it.\I will show you proof that Edmond, the man you once loved, is now dead.\Edmond...\It's done!\I'm cutting it pretty close...\I wrote a message in a birthday card for him,\Anyway, give it to Albert after I leave tomorrow. response:	Please? I'm begging you.
