context: Hold your breath response:	Deadly Night awaits us
context: Hold your breath\Deadly Night awaits us response:	You desired it,
context: Hold your breath\Deadly Night awaits us\You desired it, response:	the world like that
context: Hold your breath\Deadly Night awaits us\You desired it,\the world like that response:	to reflect in those eyes
context: Hold your breath\Deadly Night awaits us\You desired it,\the world like that\to reflect in those eyes response:	OOHO
context: Hold your breath\Deadly Night awaits us\You desired it,\the world like that\to reflect in those eyes\OOHO response:	Even if those dreams will be scary
context: Hold your breath\Deadly Night awaits us\You desired it,\the world like that\to reflect in those eyes\OOHO\Even if those dreams will be scary response:	For your sake, Fairy Blue
context: Hold your breath\Deadly Night awaits us\You desired it,\the world like that\to reflect in those eyes\OOHO\Even if those dreams will be scary\For your sake, Fairy Blue response:	Breaking of stars
context: Deadly Night awaits us\You desired it,\the world like that\to reflect in those eyes\OOHO\Even if those dreams will be scary\For your sake, Fairy Blue\Breaking of stars response:	was decorated by
context: You desired it,\the world like that\to reflect in those eyes\OOHO\Even if those dreams will be scary\For your sake, Fairy Blue\Breaking of stars\was decorated by response:	So don't stop believing!
context: the world like that\to reflect in those eyes\OOHO\Even if those dreams will be scary\For your sake, Fairy Blue\Breaking of stars\was decorated by\So don't stop believing! response:	As long as I'm looking at
context: to reflect in those eyes\OOHO\Even if those dreams will be scary\For your sake, Fairy Blue\Breaking of stars\was decorated by\So don't stop believing!\As long as I'm looking at response:	the brightly shining moon.
context: OOHO\Even if those dreams will be scary\For your sake, Fairy Blue\Breaking of stars\was decorated by\So don't stop believing!\As long as I'm looking at\the brightly shining moon. response:	My dried lips
context: Even if those dreams will be scary\For your sake, Fairy Blue\Breaking of stars\was decorated by\So don't stop believing!\As long as I'm looking at\the brightly shining moon.\My dried lips response:	are exposed to
context: For your sake, Fairy Blue\Breaking of stars\was decorated by\So don't stop believing!\As long as I'm looking at\the brightly shining moon.\My dried lips\are exposed to response:	the freezing sun.
context: Breaking of stars\was decorated by\So don't stop believing!\As long as I'm looking at\the brightly shining moon.\My dried lips\are exposed to\the freezing sun. response:	Overflowing tears
context: was decorated by\So don't stop believing!\As long as I'm looking at\the brightly shining moon.\My dried lips\are exposed to\the freezing sun.\Overflowing tears response:	with its reflecting shine,
context: So don't stop believing!\As long as I'm looking at\the brightly shining moon.\My dried lips\are exposed to\the freezing sun.\Overflowing tears\with its reflecting shine, response:	keep falling down my cheeks.
context: As long as I'm looking at\the brightly shining moon.\My dried lips\are exposed to\the freezing sun.\Overflowing tears\with its reflecting shine,\keep falling down my cheeks. response:	Hoping to make up,
context: the brightly shining moon.\My dried lips\are exposed to\the freezing sun.\Overflowing tears\with its reflecting shine,\keep falling down my cheeks.\Hoping to make up, response:	I have been looking for you
context: My dried lips\are exposed to\the freezing sun.\Overflowing tears\with its reflecting shine,\keep falling down my cheeks.\Hoping to make up,\I have been looking for you response:	in dreary places.
context: are exposed to\the freezing sun.\Overflowing tears\with its reflecting shine,\keep falling down my cheeks.\Hoping to make up,\I have been looking for you\in dreary places. response:	When our fingers made contact
context: the freezing sun.\Overflowing tears\with its reflecting shine,\keep falling down my cheeks.\Hoping to make up,\I have been looking for you\in dreary places.\When our fingers made contact response:	the only thing that was scrambled
context: Overflowing tears\with its reflecting shine,\keep falling down my cheeks.\Hoping to make up,\I have been looking for you\in dreary places.\When our fingers made contact\the only thing that was scrambled response:	was your loneliness
context: with its reflecting shine,\keep falling down my cheeks.\Hoping to make up,\I have been looking for you\in dreary places.\When our fingers made contact\the only thing that was scrambled\was your loneliness response:	The wish we held on
context: keep falling down my cheeks.\Hoping to make up,\I have been looking for you\in dreary places.\When our fingers made contact\the only thing that was scrambled\was your loneliness\The wish we held on response:	in the middle of our heartbeats,
context: Hoping to make up,\I have been looking for you\in dreary places.\When our fingers made contact\the only thing that was scrambled\was your loneliness\The wish we held on\in the middle of our heartbeats, response:	if only that was our destiny...
context: I have been looking for you\in dreary places.\When our fingers made contact\the only thing that was scrambled\was your loneliness\The wish we held on\in the middle of our heartbeats,\if only that was our destiny... response:	Although I have lost you,
context: in dreary places.\When our fingers made contact\the only thing that was scrambled\was your loneliness\The wish we held on\in the middle of our heartbeats,\if only that was our destiny...\Although I have lost you, response:	the memories you left behind,
context: When our fingers made contact\the only thing that was scrambled\was your loneliness\The wish we held on\in the middle of our heartbeats,\if only that was our destiny...\Although I have lost you,\the memories you left behind, response:	along with your image,
context: the only thing that was scrambled\was your loneliness\The wish we held on\in the middle of our heartbeats,\if only that was our destiny...\Although I have lost you,\the memories you left behind,\along with your image, response:	even now
context: was your loneliness\The wish we held on\in the middle of our heartbeats,\if only that was our destiny...\Although I have lost you,\the memories you left behind,\along with your image,\even now response:	remain within' me...
context: The wish we held on\in the middle of our heartbeats,\if only that was our destiny...\Although I have lost you,\the memories you left behind,\along with your image,\even now\remain within' me... response:	Bravery or Bloodshed
context: in the middle of our heartbeats,\if only that was our destiny...\Although I have lost you,\the memories you left behind,\along with your image,\even now\remain within' me...\Bravery or Bloodshed response:	Decisive Battle, Mifune vs. Black Star?
context: if only that was our destiny...\Although I have lost you,\the memories you left behind,\along with your image,\even now\remain within' me...\Bravery or Bloodshed\Decisive Battle, Mifune vs. Black Star? response:	The Miraculous Raging Flip
context: Although I have lost you,\the memories you left behind,\along with your image,\even now\remain within' me...\Bravery or Bloodshed\Decisive Battle, Mifune vs. Black Star?\The Miraculous Raging Flip response:	Royce: Fly! Our Death City' s Robot?
context: the memories you left behind,\along with your image,\even now\remain within' me...\Bravery or Bloodshed\Decisive Battle, Mifune vs. Black Star?\The Miraculous Raging Flip\Royce: Fly! Our Death City' s Robot? response:	So you're finally here.
context: along with your image,\even now\remain within' me...\Bravery or Bloodshed\Decisive Battle, Mifune vs. Black Star?\The Miraculous Raging Flip\Royce: Fly! Our Death City' s Robot?\So you're finally here. response:	You've finally made your way here.
context: even now\remain within' me...\Bravery or Bloodshed\Decisive Battle, Mifune vs. Black Star?\The Miraculous Raging Flip\Royce: Fly! Our Death City' s Robot?\So you're finally here.\You've finally made your way here. response:	Sorry to keep you waiting, Mifune.
context: remain within' me...\Bravery or Bloodshed\Decisive Battle, Mifune vs. Black Star?\The Miraculous Raging Flip\Royce: Fly! Our Death City' s Robot?\So you're finally here.\You've finally made your way here.\Sorry to keep you waiting, Mifune. response:	Black Star, on stage!
context: Bravery or Bloodshed\Decisive Battle, Mifune vs. Black Star?\The Miraculous Raging Flip\Royce: Fly! Our Death City' s Robot?\So you're finally here.\You've finally made your way here.\Sorry to keep you waiting, Mifune.\Black Star, on stage! response:	One win and one loss...
context: Decisive Battle, Mifune vs. Black Star?\The Miraculous Raging Flip\Royce: Fly! Our Death City' s Robot?\So you're finally here.\You've finally made your way here.\Sorry to keep you waiting, Mifune.\Black Star, on stage!\One win and one loss... response:	This will decide who's the winner.
context: The Miraculous Raging Flip\Royce: Fly! Our Death City' s Robot?\So you're finally here.\You've finally made your way here.\Sorry to keep you waiting, Mifune.\Black Star, on stage!\One win and one loss...\This will decide who's the winner. response:	Yeah...
context: Royce: Fly! Our Death City' s Robot?\So you're finally here.\You've finally made your way here.\Sorry to keep you waiting, Mifune.\Black Star, on stage!\One win and one loss...\This will decide who's the winner.\Yeah... response:	I'll show you who's the winner once and for all.
context: So you're finally here.\You've finally made your way here.\Sorry to keep you waiting, Mifune.\Black Star, on stage!\One win and one loss...\This will decide who's the winner.\Yeah...\I'll show you who's the winner once and for all. response:	Tsubaki, you ready?
context: You've finally made your way here.\Sorry to keep you waiting, Mifune.\Black Star, on stage!\One win and one loss...\This will decide who's the winner.\Yeah...\I'll show you who's the winner once and for all.\Tsubaki, you ready? response:	Yes.
context: Sorry to keep you waiting, Mifune.\Black Star, on stage!\One win and one loss...\This will decide who's the winner.\Yeah...\I'll show you who's the winner once and for all.\Tsubaki, you ready?\Yes. response:	Is it the path of a demon,
context: Black Star, on stage!\One win and one loss...\This will decide who's the winner.\Yeah...\I'll show you who's the winner once and for all.\Tsubaki, you ready?\Yes.\Is it the path of a demon, response:	or the path of the warrior?
context: One win and one loss...\This will decide who's the winner.\Yeah...\I'll show you who's the winner once and for all.\Tsubaki, you ready?\Yes.\Is it the path of a demon,\or the path of the warrior? response:	Black Star...
context: This will decide who's the winner.\Yeah...\I'll show you who's the winner once and for all.\Tsubaki, you ready?\Yes.\Is it the path of a demon,\or the path of the warrior?\Black Star... response:	On which path will you walk?
context: Yeah...\I'll show you who's the winner once and for all.\Tsubaki, you ready?\Yes.\Is it the path of a demon,\or the path of the warrior?\Black Star...\On which path will you walk? response:	Is giving Shibusen this Demon Tool really the right thing to do?
context: I'll show you who's the winner once and for all.\Tsubaki, you ready?\Yes.\Is it the path of a demon,\or the path of the warrior?\Black Star...\On which path will you walk?\Is giving Shibusen this Demon Tool really the right thing to do? response:	If honorable father is planning to use it to perform evil deeds...
context: Tsubaki, you ready?\Yes.\Is it the path of a demon,\or the path of the warrior?\Black Star...\On which path will you walk?\Is giving Shibusen this Demon Tool really the right thing to do?\If honorable father is planning to use it to perform evil deeds... response:	then when that time comes...
context: Yes.\Is it the path of a demon,\or the path of the warrior?\Black Star...\On which path will you walk?\Is giving Shibusen this Demon Tool really the right thing to do?\If honorable father is planning to use it to perform evil deeds...\then when that time comes... response:	Hey, hey, Kid!
context: Is it the path of a demon,\or the path of the warrior?\Black Star...\On which path will you walk?\Is giving Shibusen this Demon Tool really the right thing to do?\If honorable father is planning to use it to perform evil deeds...\then when that time comes...\Hey, hey, Kid! response:	What?
context: or the path of the warrior?\Black Star...\On which path will you walk?\Is giving Shibusen this Demon Tool really the right thing to do?\If honorable father is planning to use it to perform evil deeds...\then when that time comes...\Hey, hey, Kid!\What? response:	That. I wonder what it is.
context: Black Star...\On which path will you walk?\Is giving Shibusen this Demon Tool really the right thing to do?\If honorable father is planning to use it to perform evil deeds...\then when that time comes...\Hey, hey, Kid!\What?\That. I wonder what it is. response:	Huh?
context: On which path will you walk?\Is giving Shibusen this Demon Tool really the right thing to do?\If honorable father is planning to use it to perform evil deeds...\then when that time comes...\Hey, hey, Kid!\What?\That. I wonder what it is.\Huh? response:	Fools!
